"Status","Year","Disability","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Policy","880","850","58200","57400"
"In post","2021","Declared disabled","G6/G7","Project Delivery","340","330","57160","55870"
"In post","2021","Declared disabled","G6/G7","Property","80","80","57350","55510"
"In post","2021","Declared disabled","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Science and Engineering","190","180","54580","52860"
"In post","2021","Declared disabled","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Statistics","50","50","59570","59160"
"In post","2021","Declared disabled","G6/G7","Tax","230","220","56270","52580"
"In post","2021","Declared disabled","G6/G7","Unknown","790","760","58310","56120"
"In post","2021","Declared disabled","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared disabled","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Policy","100","100","86430","77580"
"In post","2021","Declared disabled","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Unknown","90","90","89910","80290"
"In post","2021","Declared disabled","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Commercial","300","290","38190","38010"
"In post","2021","Declared disabled","SEO/HEO","Communications","140","130","37230","36960"
"In post","2021","Declared disabled","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Digital, Data and Technology","520","500","37250","36790"
"In post","2021","Declared disabled","SEO/HEO","Economics","40","40","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Finance","320","300","37360","36970"
"In post","2021","Declared disabled","SEO/HEO","Human Resources","430","410","37270","36570"
"In post","2021","Declared disabled","SEO/HEO","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Intelligence Analysis","120","110","36850","36140"
"In post","2021","Declared disabled","SEO/HEO","Internal Audit","70","60","39570","39200"
"In post","2021","Declared disabled","SEO/HEO","International Trade","40","40","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Knowledge and Information Management","120","110","36810","36240"
"In post","2021","Declared disabled","SEO/HEO","Legal","290","270","39070","38430"
"In post","2021","Declared disabled","SEO/HEO","Medicine","40","40","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Operational Delivery","2690","2550","36820","35280"
"In post","2021","Declared disabled","SEO/HEO","Operational Research","70","70","36160","37320"
"In post","2021","Declared disabled","SEO/HEO","Other","450","430","35270","35000"
"In post","2021","Declared disabled","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Policy","1090","1060","36660","36190"
"In post","2021","Declared disabled","SEO/HEO","Project Delivery","820","780","36620","36460"
"In post","2021","Declared disabled","SEO/HEO","Property","280","270","36140","33790"
"In post","2021","Declared disabled","SEO/HEO","Psychology","60","60","35590","31180"
"In post","2021","Declared disabled","SEO/HEO","Science and Engineering","560","530","36610","37310"
"In post","2021","Declared disabled","SEO/HEO","Security","120","120","40420","38160"
"In post","2021","Declared disabled","SEO/HEO","Social Research","80","70","36970","37020"
"In post","2021","Declared disabled","SEO/HEO","Statistics","90","90","37150","37040"
"In post","2021","Declared disabled","SEO/HEO","Tax","650","610","34890","32100"
"In post","2021","Declared disabled","SEO/HEO","Unknown","2320","2180","35630","34290"
"In post","2021","Declared disabled","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Operational Delivery","2240","2080","30500","30210"
"In post","2021","Declared disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Project Delivery","50","50","40340","39860"
"In post","2021","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Science and Engineering","60","60","41510","40440"
"In post","2021","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Commercial","150","140","22120","21590"
"In post","2021","Declared non-disabled","AA/AO","Communications","150","140","22170","21590"
"In post","2021","Declared non-disabled","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Digital, Data and Technology","260","250","21850","21580"
"In post","2021","Declared non-disabled","AA/AO","Economics","50","50","23780","23760"
"In post","2021","Declared non-disabled","AA/AO","Finance","730","620","21510","21440"
"In post","2021","Declared non-disabled","AA/AO","Human Resources","790","730","21630","21130"
"In post","2021","Declared non-disabled","AA/AO","Intelligence Analysis","110","100","23240","21710"
"In post","2021","Declared non-disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Knowledge and Information Management","230","220","22130","21130"
"In post","2021","Declared non-disabled","AA/AO","Legal","170","150","21580","21440"
"In post","2021","Declared non-disabled","AA/AO","Medicine","220","210","22600","22640"
"In post","2021","Declared non-disabled","AA/AO","Operational Delivery","48780","43770","23010","21440"
"In post","2021","Declared non-disabled","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Other","5190","4950","21040","20920"
"In post","2021","Declared non-disabled","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Policy","530","510","23500","23830"
"In post","2021","Declared non-disabled","AA/AO","Project Delivery","220","200","21710","21130"
"In post","2021","Declared non-disabled","AA/AO","Property","620","580","19930","19560"
"In post","2021","Declared non-disabled","AA/AO","Psychology","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Science and Engineering","930","900","21790","21580"
"In post","2021","Declared non-disabled","AA/AO","Security","3320","3240","25820","21150"
"In post","2021","Declared non-disabled","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Tax","1310","1220","20320","20140"
"In post","2021","Declared non-disabled","AA/AO","Unknown","24640","21290","21290","21010"
"In post","2021","Declared non-disabled","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Commercial","480","460","25990","26510"
"In post","2021","Declared non-disabled","EO","Communications","370","350","27540","26930"
"In post","2021","Declared non-disabled","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Counter Fraud","130","120","26470","25580"
"In post","2021","Declared non-disabled","EO","Digital, Data and Technology","1260","1210","27500","26670"
"In post","2021","Declared non-disabled","EO","Economics","60","60","27390","27680"
"In post","2021","Declared non-disabled","EO","Finance","1150","1080","26570","26670"
"In post","2021","Declared non-disabled","EO","Human Resources","860","800","26960","26670"
"In post","2021","Declared non-disabled","EO","Intelligence Analysis","1170","1110","27700","27370"
"In post","2021","Declared non-disabled","EO","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","EO","International Trade","50","50","26990","26510"
"In post","2021","Declared non-disabled","EO","Knowledge and Information Management","340","320","26960","26670"
"In post","2021","Declared non-disabled","EO","Legal","1130","1090","27470","26030"
"In post","2021","Declared non-disabled","EO","Medicine","220","200","30570","30620"
"In post","2021","Declared non-disabled","EO","Operational Delivery","29280","27030","27300","26750"
"In post","2021","Declared non-disabled","EO","Operational Research","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Other","3420","3250","26200","26670"
"In post","2021","Declared non-disabled","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Policy","1700","1650","28460","28680"
"In post","2021","Declared non-disabled","EO","Project Delivery","1320","1270","26510","26670"
"In post","2021","Declared non-disabled","EO","Property","1000","940","27090","26670"
"In post","2021","Declared non-disabled","EO","Psychology","290","280","26380","26330"
"In post","2021","Declared non-disabled","EO","Science and Engineering","1350","1310","25900","26370"
"In post","2021","Declared non-disabled","EO","Security","720","700","32780","28960"
"In post","2021","Declared non-disabled","EO","Social Research","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Statistics","170","160","27950","27850"
"In post","2021","Declared non-disabled","EO","Tax","2060","1900","26620","25560"
"In post","2021","Declared non-disabled","EO","Unknown","38760","35210","28090","27570"
"In post","2021","Declared non-disabled","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","G6/G7","Commercial","700","680","59630","57200"
"In post","2021","Declared non-disabled","G6/G7","Communications","620","590","58160","57290"
"In post","2021","Declared non-disabled","G6/G7","Corporate Finance","60","50","57430","56350"
"In post","2021","Declared non-disabled","G6/G7","Counter Fraud","80","80","61800","58990"
"In post","2021","Declared non-disabled","G6/G7","Digital, Data and Technology","2290","2250","58440","57110"
"In post","2021","Declared non-disabled","G6/G7","Economics","660","640","60070","58960"
"In post","2021","Declared non-disabled","G6/G7","Finance","1580","1540","59390","58130"
"In post","2021","Declared non-disabled","G6/G7","Human Resources","1190","1150","58430","57460"
"In post","2021","Declared non-disabled","G6/G7","Inspector of Education and Training","460","450","75630","75500"
"In post","2021","Declared non-disabled","G6/G7","Intelligence Analysis","210","200","58480","58230"
"In post","2021","Declared non-disabled","G6/G7","Internal Audit","150","150","58570","56610"
"In post","2021","Declared non-disabled","G6/G7","International Trade","320","320","56150","53600"
"In post","2021","Declared non-disabled","G6/G7","Knowledge and Information Management","270","260","57580","55060"
"In post","2021","Declared non-disabled","G6/G7","Legal","4250","3930","59550","58470"
"In post","2021","Declared non-disabled","G6/G7","Medicine","430","380","73840","74470"
"In post","2021","Declared non-disabled","G6/G7","Operational Delivery","4740","4610","58690","56540"
"In post","2021","Declared non-disabled","G6/G7","Operational Research","350","330","54250","53810"
"In post","2021","Declared non-disabled","G6/G7","Other","1410","1370","62010","59420"
"In post","2021","Declared non-disabled","G6/G7","Planning","50","50","57950","57110"
"In post","2021","Declared non-disabled","G6/G7","Planning Inspectors","250","220","58050","58810"
"In post","2021","Declared non-disabled","G6/G7","Policy","7880","7640","58700","57460"
"In post","2021","Declared non-disabled","G6/G7","Project Delivery","3150","3080","56960","54880"
"In post","2021","Declared non-disabled","G6/G7","Property","870","850","58400","56540"
"In post","2021","Declared non-disabled","G6/G7","Psychology","90","80","65200","65520"
"In post","2021","Declared non-disabled","G6/G7","Science and Engineering","2020","1920","55880","54740"
"In post","2021","Declared non-disabled","G6/G7","Security","230","220","60360","57720"
"In post","2021","Declared non-disabled","G6/G7","Social Research","250","230","56850","57460"
"In post","2021","Declared non-disabled","G6/G7","Statistics","480","460","57230","57720"
"In post","2021","Declared non-disabled","G6/G7","Tax","1890","1810","56970","52580"
"In post","2021","Declared non-disabled","G6/G7","Unknown","6170","5960","59130","57530"
"In post","2021","Declared non-disabled","G6/G7","Veterinarian","110","110","55400","54320"
"In post","2021","Declared non-disabled","SCS","Commercial","60","60","90190","83090"
"In post","2021","Declared non-disabled","SCS","Communications","80","70","85920","80790"
"In post","2021","Declared non-disabled","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Digital, Data and Technology","150","150","92430","86950"
"In post","2021","Declared non-disabled","SCS","Economics","80","70","88190","81770"
"In post","2021","Declared non-disabled","SCS","Finance","220","220","90150","82940"
"In post","2021","Declared non-disabled","SCS","Human Resources","140","140","89860","83680"
"In post","2021","Declared non-disabled","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","International Trade","70","70","83590","75570"
"In post","2021","Declared non-disabled","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Legal","280","270","88550","83230"
"In post","2021","Declared non-disabled","SCS","Medicine","220","190","102310","97870"
"In post","2021","Declared non-disabled","SCS","Operational Delivery","500","480","90960","83790"
"In post","2021","Declared non-disabled","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Other","190","190","95190","86190"
"In post","2021","Declared non-disabled","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Policy","1380","1330","85080","77570"
"In post","2021","Declared non-disabled","SCS","Project Delivery","340","330","91960","85140"
"In post","2021","Declared non-disabled","SCS","Property","50","50","89350","79420"
"In post","2021","Declared non-disabled","SCS","Science and Engineering","100","80","94260","91000"
"In post","2021","Declared non-disabled","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Statistics","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Tax","70","70","82110","78210"
"In post","2021","Declared non-disabled","SCS","Unknown","930","910","93780","83230"
"In post","2021","Declared non-disabled","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SEO/HEO","Commercial","1970","1910","37800","37320"
"In post","2021","Declared non-disabled","SEO/HEO","Communications","1330","1300","38020","37420"
"In post","2021","Declared non-disabled","SEO/HEO","Corporate Finance","50","50","36890","37510"
"In post","2021","Declared non-disabled","SEO/HEO","Counter Fraud","350","330","38240","39170"
"In post","2021","Declared non-disabled","SEO/HEO","Digital, Data and Technology","4380","4250","37970","37940"
"In post","2021","Declared non-disabled","SEO/HEO","Economics","550","550","35160","34090"
"In post","2021","Declared non-disabled","SEO/HEO","Finance","2680","2580","37970","37410"
"In post","2021","Declared non-disabled","SEO/HEO","Human Resources","2300","2190","36830","36330"
"In post","2021","Declared non-disabled","SEO/HEO","Inspector of Education and Training","250","240","50940","51360"
"In post","2021","Declared non-disabled","SEO/HEO","Intelligence Analysis","900","880","36960","36150"
"In post","2021","Declared non-disabled","SEO/HEO","Internal Audit","360","340","40800","40700"
"In post","2021","Declared non-disabled","SEO/HEO","International Trade","330","320","35490","35040"
"In post","2021","Declared non-disabled","SEO/HEO","Knowledge and Information Management","720","690","36620","36500"
"In post","2021","Declared non-disabled","SEO/HEO","Legal","2320","2160","39040","38000"
"In post","2021","Declared non-disabled","SEO/HEO","Medicine","460","420","38810","37890"
"In post","2021","Declared non-disabled","SEO/HEO","Operational Delivery","21100","20090","36650","35200"
"In post","2021","Declared non-disabled","SEO/HEO","Operational Research","360","350","36740","37320"
"In post","2021","Declared non-disabled","SEO/HEO","Other","3720","3600","35620","35070"
"In post","2021","Declared non-disabled","SEO/HEO","Planning","80","80","39230","39600"
"In post","2021","Declared non-disabled","SEO/HEO","Policy","8200","7980","37550","36980"
"In post","2021","Declared non-disabled","SEO/HEO","Project Delivery","6030","5840","36830","37320"
"In post","2021","Declared non-disabled","SEO/HEO","Property","2240","2150","37300","36400"
"In post","2021","Declared non-disabled","SEO/HEO","Psychology","590","570","37310","32730"
"In post","2021","Declared non-disabled","SEO/HEO","Science and Engineering","4620","4420","37140","37320"
"In post","2021","Declared non-disabled","SEO/HEO","Security","890","870","40520","38160"
"In post","2021","Declared non-disabled","SEO/HEO","Social Research","450","420","39110","38630"
"In post","2021","Declared non-disabled","SEO/HEO","Statistics","640","620","37280","37020"
"In post","2021","Declared non-disabled","SEO/HEO","Tax","4420","4180","34610","31870"
"In post","2021","Declared non-disabled","SEO/HEO","Unknown","13700","13080","35900","35000"
"In post","2021","Declared non-disabled","SEO/HEO","Veterinarian","220","210","41140","37910"
"In post","2021","Declared non-disabled","Unknown","Commercial","150","150","38350","35230"
"In post","2021","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Finance","110","100","40890","39860"
"In post","2021","Declared non-disabled","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Operational Delivery","8680","8030","30220","30210"
"In post","2021","Declared non-disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Other","150","150","43770","40620"
"In post","2021","Declared non-disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","400","390","42990","40460"
"In post","2021","Declared non-disabled","Unknown","Property","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Science and Engineering","560","560","39240","37210"
"In post","2021","Declared non-disabled","Unknown","Security","60","60","38360","37170"
"In post","2021","Declared non-disabled","Unknown","Unknown","210","210","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Finance","60","50","21560","21440"
"In post","2021","Undeclared","AA/AO","Human Resources","70","60","21670","21130"
"In post","2021","Undeclared","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
