"Status","Year","Responsibility_level","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Finance","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","No function","1340","1230","21570","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","No function","60","50","22120","21000"
"In post","2021","AA/AO","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Analysis","50","50","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Grants Management","950","860","21010","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","No function","840","790","22050","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Project Delivery","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Property","60","50","21330","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Commercial","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Communications","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Digital, Data & Technology","50","50","21660","21590"
"In post","2021","AA/AO","Department for Transport","Finance","50","50","20790","21590"
"In post","2021","AA/AO","Department for Transport","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","No function","5360","4640","21780","21590"
"In post","2021","AA/AO","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Property","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Security","60","60","25220","25390"
"In post","2021","AA/AO","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","No function","240","210","22150","22160"
"In post","2021","AA/AO","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Unknown","29320","25100","21170","21010"
"In post","2021","AA/AO","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","No function","880","770","21170","20230"
"In post","2021","AA/AO","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Human Resources","30","30","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","No function","300","290","26240","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Project Delivery","50","40","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Security","100","90","26040","24110"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Digital, Data & Technology","60","50","21740","22350"
"In post","2021","AA/AO","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","No function","1770","1670","22490","22350"
"In post","2021","AA/AO","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Communications","260","220","20790","20660"
"In post","2021","AA/AO","HM Revenue and Customs","Counter Fraud","840","730","21470","21440"
"In post","2021","AA/AO","HM Revenue and Customs","Debt","3410","3070","20950","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Digital, Data & Technology","60","60","20820","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Finance","920","740","20690","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Human Resources","300","260","20960","21170"
"In post","2021","AA/AO","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Legal","150","130","22110","21440"
"In post","2021","AA/AO","HM Revenue and Customs","No function","14690","12660","20630","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Project Delivery","90","70","21780","21440"
"In post","2021","AA/AO","HM Revenue and Customs","Property","860","770","21260","21100"
"In post","2021","AA/AO","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Unknown","8330","7380","21990","21430"
"In post","2021","AA/AO","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Commercial","240","230","21890","21130"
"In post","2021","AA/AO","Ministry of Defence","Communications","100","90","21350","21020"
"In post","2021","AA/AO","Ministry of Defence","Digital, Data & Technology","120","120","21390","20920"
"In post","2021","AA/AO","Ministry of Defence","Finance","230","210","21500","21130"
"In post","2021","AA/AO","Ministry of Defence","Human Resources","770","700","21250","21130"
"In post","2021","AA/AO","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","No function","160","160","19250","20170"
"In post","2021","AA/AO","Ministry of Defence","Project Delivery","280","270","20550","20920"
"In post","2021","AA/AO","Ministry of Defence","Property","740","710","18570","17980"
"In post","2021","AA/AO","Ministry of Defence","Security","5030","4930","27010","21670"
"In post","2021","AA/AO","Ministry of Defence","Unknown","8240","7870","21030","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","No function","190","180","22230","22560"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Commercial","90","90","21710","20890"
"In post","2021","AA/AO","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Finance","50","40","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Human Resources","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","No function","40270","37350","24440","23240"
"In post","2021","AA/AO","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Security","60","60","29130","27510"
"In post","2021","AA/AO","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","No function","250","230","23950","24220"
"In post","2021","AA/AO","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","No function","200","180","21240","21160"
"In post","2021","AA/AO","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","No function","50","50","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Commercial","60","50","23570","24450"
"In post","2021","AA/AO","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Finance","70","60","23200","22920"
"In post","2021","AA/AO","Scottish Government","Human Resources","80","80","21870","20850"
"In post","2021","AA/AO","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Legal","900","790","21690","22820"
"In post","2021","AA/AO","Scottish Government","No function","2250","2100","23110","22220"
"In post","2021","AA/AO","Scottish Government","Project Delivery","80","80","23030","22920"
"In post","2021","AA/AO","Scottish Government","Property","580","560","25520","26530"
"In post","2021","AA/AO","Scottish Government","Unknown","2070","1960","22800","22230"
"In post","2021","AA/AO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","No function","60","60","20970","20650"
"In post","2021","AA/AO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Analysis","60","60","19490","19130"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","No function","1380","960","19640","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Unknown","970","890","23340","23830"
"In post","2021","EO","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Counter Fraud","30","30","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Finance","40","30","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Human Resources","40","40","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Legal","1560","1460","28150","28430"
"In post","2021","EO","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Communications","40","40","[c]","[c]"
"In post","2021","EO","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Digital, Data & Technology","60","60","27450","27500"
"In post","2021","EO","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Human Resources","220","210","26240","25760"
"In post","2021","EO","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","No function","340","330","27940","27500"
"In post","2021","EO","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office","Security","140","140","26580","26670"
"In post","2021","EO","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Unknown","80","70","24740","24440"
"In post","2021","EO","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Project Delivery","40","40","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
