"Status","Year","Responsibility_level","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Department for Work and Pensions (excl. agencies)","330","280","20880","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","290","270","20760","20920"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Animal and Plant Health Agency","100","100","21080","21050"
"In post","2021","AA/AO","Cumbria","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Department for Work and Pensions (excl. agencies)","60","50","20850","21010"
"In post","2021","AA/AO","Cumbria","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","HM Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","AA/AO","Cumbria","HM Prison and Probation Service","150","140","24490","23240"
"In post","2021","AA/AO","Cumbria","Ministry of Defence (excl. agencies)","100","90","25460","22810"
"In post","2021","AA/AO","Cumbria","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Rural Payments Agency","440","390","20990","21050"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Crown Prosecution Service","70","70","21320","21950"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Work and Pensions (excl. agencies)","740","630","20830","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Courts and Tribunals Service","270","240","19060","19570"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Land Registry","120","110","22330","22350"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Prison and Probation Service","1280","1200","25010","24440"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Revenue and Customs (excl. agencies)","630","560","20440","20140"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Legal Aid Agency","100","90","19160","18890"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Ministry of Defence (excl. agencies)","150","140","23410","21130"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Office of the Public Guardian","220","200","18970","18880"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Animal and Plant Health Agency","110","100","21100","21050"
"In post","2021","AA/AO","Devon","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Department for Work and Pensions (excl. agencies)","820","660","20810","21010"
"In post","2021","AA/AO","Devon","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","HM Courts and Tribunals Service","130","100","19080","19570"
"In post","2021","AA/AO","Devon","HM Land Registry","180","160","22110","22350"
"In post","2021","AA/AO","Devon","HM Prison and Probation Service","670","620","24990","23970"
"In post","2021","AA/AO","Devon","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Insolvency Service","60","50","20880","20880"
"In post","2021","AA/AO","Devon","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Met Office","90","90","22540","21140"
"In post","2021","AA/AO","Devon","Ministry of Defence (excl. agencies)","670","640","23270","20920"
"In post","2021","AA/AO","Devon","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Rural Payments Agency","80","70","21020","21050"
"In post","2021","AA/AO","Devon","Valuation Office Agency","230","210","20830","21100"
"In post","2021","AA/AO","Dorset and Somerset","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","Department for Work and Pensions (excl. agencies)","210","180","20930","21010"
"In post","2021","AA/AO","Dorset and Somerset","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","HM Courts and Tribunals Service","160","130","18980","19570"
"In post","2021","AA/AO","Dorset and Somerset","HM Land Registry","100","100","22350","22350"
"In post","2021","AA/AO","Dorset and Somerset","HM Prison and Probation Service","630","590","25450","25300"
"In post","2021","AA/AO","Dorset and Somerset","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","Ministry of Defence (excl. agencies)","490","470","20590","20920"
"In post","2021","AA/AO","Dorset and Somerset","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","UK Hydrographic Office","80","80","20360","20170"
"In post","2021","AA/AO","Dorset and Somerset","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Department for Work and Pensions (excl. agencies)","390","310","20890","21010"
"In post","2021","AA/AO","East Anglia","Driver and Vehicle Standards Agency","60","50","26260","26580"
"In post","2021","AA/AO","East Anglia","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","HM Courts and Tribunals Service","340","300","19080","18890"
"In post","2021","AA/AO","East Anglia","HM Land Registry","70","70","22360","22350"
"In post","2021","AA/AO","East Anglia","HM Prison and Probation Service","2250","2120","26030","25790"
"In post","2021","AA/AO","East Anglia","HM Revenue and Customs (excl. agencies)","160","140","20830","21400"
"In post","2021","AA/AO","East Anglia","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Home Office (incl. agencies)","450","380","21030","21430"
"In post","2021","AA/AO","East Anglia","Insolvency Service","40","40","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Ministry of Defence (excl. agencies)","980","940","21750","20920"
"In post","2021","AA/AO","East Anglia","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Public Health England","60","50","21580","21570"
"In post","2021","AA/AO","East Anglia","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Animal and Plant Health Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","East Wales","Companies House","390","340","21700","22490"
"In post","2021","AA/AO","East Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Crown Prosecution Service","60","60","21910","21950"
"In post","2021","AA/AO","East Wales","Defence Electronics and Components Agency","80","70","19970","21000"
"In post","2021","AA/AO","East Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Department for Work and Pensions (excl. agencies)","660","570","20840","21010"
"In post","2021","AA/AO","East Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","HM Courts and Tribunals Service","310","270","19020","18890"
"In post","2021","AA/AO","East Wales","HM Prison and Probation Service","990","940","24260","23970"
"In post","2021","AA/AO","East Wales","HM Revenue and Customs (excl. agencies)","1440","1270","20460","20140"
"In post","2021","AA/AO","East Wales","Home Office (incl. agencies)","170","140","21170","21430"
"In post","2021","AA/AO","East Wales","Insolvency Service","30","30","[c]","[c]"
"In post","2021","AA/AO","East Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Ministry of Defence (excl. agencies)","330","320","20530","20720"
"In post","2021","AA/AO","East Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","UK Intellectual Property Office","190","180","20780","21140"
"In post","2021","AA/AO","East Wales","United Kingdom Statistics Authority","400","360","19340","19520"
"In post","2021","AA/AO","East Wales","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","East Wales","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Wales","Welsh Government (excl. agencies)","480","440","23340","23830"
"In post","2021","AA/AO","East Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Department for Work and Pensions (excl. agencies)","420","340","20840","21010"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","HM Courts and Tribunals Service","100","80","19300","19830"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","HM Land Registry","110","100","22350","22350"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","HM Prison and Probation Service","1200","1120","25690","25300"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Home Office (incl. agencies)","70","70","21380","21430"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Ministry of Defence (excl. agencies)","160","150","23770","21130"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Crown Office and Procurator Fiscal Service","230","210","21890","22220"
"In post","2021","AA/AO","Eastern Scotland","Department for Work and Pensions (excl. agencies)","1490","1300","20900","21010"
"In post","2021","AA/AO","Eastern Scotland","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Forestry and Land Scotland","120","110","24420","22920"
"In post","2021","AA/AO","Eastern Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","HM Revenue and Customs (excl. agencies)","1100","1030","20380","20140"
"In post","2021","AA/AO","Eastern Scotland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Insolvency Service","50","40","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Ministry of Defence (excl. agencies)","360","340","21260","20920"
"In post","2021","AA/AO","Eastern Scotland","National Records of Scotland","140","130","22590","22230"
"In post","2021","AA/AO","Eastern Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Registers of Scotland","320","300","24010","24130"
"In post","2021","AA/AO","Eastern Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Scottish Courts and Tribunals Service","520","470","21780","22820"
"In post","2021","AA/AO","Eastern Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Scottish Government (excl. agencies)","690","670","24180","23340"
"In post","2021","AA/AO","Eastern Scotland","Scottish Prison Service","780","740","23790","25870"
"In post","2021","AA/AO","Eastern Scotland","Social Security Scotland","160","150","22040","22230"
"In post","2021","AA/AO","Eastern Scotland","Student Awards Agency for Scotland","120","110","21800","22230"
"In post","2021","AA/AO","Eastern Scotland","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Essex","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Department for Work and Pensions (excl. agencies)","430","370","24130","24180"
"In post","2021","AA/AO","Essex","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","HM Courts and Tribunals Service","170","140","19210","19830"
"In post","2021","AA/AO","Essex","HM Prison and Probation Service","280","280","27840","28400"
"In post","2021","AA/AO","Essex","HM Revenue and Customs (excl. agencies)","200","160","20870","21230"
"In post","2021","AA/AO","Essex","Home Office (incl. agencies)","170","160","21430","21430"
"In post","2021","AA/AO","Essex","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Ministry of Defence (excl. agencies)","290","280","25310","21130"
"In post","2021","AA/AO","Essex","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Defence Science and Technology Laboratory","100","100","18880","17710"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Work and Pensions (excl. agencies)","430","360","20970","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Driver and Vehicle Standards Agency","60","60","23730","21590"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","HM Courts and Tribunals Service","340","300","19310","19830"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","90","90","22350","22350"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","HM Prison and Probation Service","790","750","25010","24440"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs (excl. agencies)","150","130","20690","20140"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence (excl. agencies)","1270","1220","22400","20920"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","National Crime Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Planning Inspectorate","160","150","21540","21270"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Public Health England","190","170","20140","19630"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","Crown Prosecution Service","70","60","21940","21950"
"In post","2021","AA/AO","Greater Manchester","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","Department for Work and Pensions (excl. agencies)","1830","1600","20690","21010"
"In post","2021","AA/AO","Greater Manchester","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","HM Courts and Tribunals Service","740","660","19720","19930"
"In post","2021","AA/AO","Greater Manchester","HM Prison and Probation Service","900","850","25360","24440"
