"Status","Year","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Education","Commercial","200","200","40580","38000"
"In post","2021","Department for Education","Communications","330","320","39370","36780"
"In post","2021","Department for Education","Digital, Data & Technology","650","640","39700","36780"
"In post","2021","Department for Education","Finance","540","520","43250","41150"
"In post","2021","Department for Education","Human Resources","150","150","36220","30200"
"In post","2021","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","70","60","54640","55000"
"In post","2021","Department for Education","No function","4150","4000","43080","37510"
"In post","2021","Department for Education","Project Delivery","530","510","47490","50130"
"In post","2021","Department for Education","Property","270","260","49500","50630"
"In post","2021","Department for Education","Security","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","600","580","52160","46170"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","590","560","34170","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","210","200","37720","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","380","350","37820","36560"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","710","690","43180","42440"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","420","400","42710","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Grants Management","1890","1730","25510","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","270","250","42740","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","5530","5290","37380","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","510","480","38300","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","150","150","43500","40060"
"In post","2021","Department for International Trade","Analysis","250","250","43170","38540"
"In post","2021","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","100","100","42660","38540"
"In post","2021","Department for International Trade","Digital, Data & Technology","120","120","46700","43500"
"In post","2021","Department for International Trade","Finance","90","90","47730","44030"
"In post","2021","Department for International Trade","Human Resources","130","130","43250","38540"
"In post","2021","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","No function","1880","1860","46340","39960"
"In post","2021","Department for International Trade","Project Delivery","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Analysis","490","470","43730","42470"
"In post","2021","Department for Transport","Commercial","210","190","33760","31300"
"In post","2021","Department for Transport","Communications","300","290","37770","34710"
"In post","2021","Department for Transport","Counter Fraud","60","60","30980","26780"
"In post","2021","Department for Transport","Digital, Data & Technology","1180","1160","39470","36030"
"In post","2021","Department for Transport","Finance","420","400","39840","37570"
"In post","2021","Department for Transport","Human Resources","420","400","36540","32810"
"In post","2021","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","No function","11970","10960","30460","26700"
"In post","2021","Department for Transport","Project Delivery","620","600","49850","44030"
"In post","2021","Department for Transport","Property","160","150","33580","31040"
"In post","2021","Department for Transport","Security","130","120","30940","26410"
"In post","2021","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Analysis","40","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Commercial","50","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Communications","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Digital, Data & Technology","60","60","39240","33460"
"In post","2021","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Human Resources","90","80","39880","35910"
"In post","2021","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","No function","2200","2070","43600","41480"
"In post","2021","Department for Work and Pensions","Project Delivery","50","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care","Analysis","290","280","52060","53360"
"In post","2021","Department of Health and Social Care","Commercial","240","230","47480","40650"
"In post","2021","Department of Health and Social Care","Communications","310","300","44020","40650"
"In post","2021","Department of Health and Social Care","Digital, Data & Technology","360","350","44810","40850"
"In post","2021","Department of Health and Social Care","Finance","610","590","41250","36820"
"In post","2021","Department of Health and Social Care","Human Resources","290","280","42950","36820"
"In post","2021","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","No function","8400","7770","44810","38890"
"In post","2021","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Property","40","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","1200","1150","48880","42160"
"In post","2021","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","No function","90","80","62680","74730"
"In post","2021","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Analysis","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Communications","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Counter Fraud","60","60","38850","37630"
"In post","2021","Food Standards Agency","Digital, Data & Technology","60","60","44630","40350"
"In post","2021","Food Standards Agency","Finance","50","50","41000","37910"
"In post","2021","Food Standards Agency","Human Resources","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","No function","950","930","35400","30810"
"In post","2021","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Analysis","70","70","57670","58370"
"In post","2021","Foreign, Commonwealth and Development Office","Commercial","190","180","41740","39630"
"In post","2021","Foreign, Commonwealth and Development Office","Communications","150","140","47860","44620"
"In post","2021","Foreign, Commonwealth and Development Office","Digital, Data & Technology","370","360","41150","39190"
"In post","2021","Foreign, Commonwealth and Development Office","Finance","300","280","42670","38890"
"In post","2021","Foreign, Commonwealth and Development Office","Human Resources","280","270","43530","38860"
"In post","2021","Foreign, Commonwealth and Development Office","Internal Audit","70","70","41330","37480"
"In post","2021","Foreign, Commonwealth and Development Office","Legal","120","100","58300","58470"
"In post","2021","Foreign, Commonwealth and Development Office","No function","3680","3630","47920","39770"
"In post","2021","Foreign, Commonwealth and Development Office","Project Delivery","2050","2000","51380","53000"
"In post","2021","Foreign, Commonwealth and Development Office","Property","460","460","41470","39410"
"In post","2021","Foreign, Commonwealth and Development Office","Security","570","550","39920","34770"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","330","330","50930","45250"
"In post","2021","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Communications","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Digital, Data & Technology","670","640","38030","38450"
"In post","2021","HM Land Registry","Finance","50","50","48870","46800"
"In post","2021","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Human Resources","90","80","40290","33840"
"In post","2021","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Legal","260","240","50540","57000"
"In post","2021","HM Land Registry","No function","5030","4520","28310","27130"
"In post","2021","HM Land Registry","Project Delivery","140","140","40870","38550"
"In post","2021","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Analysis","690","660","44250","38630"
"In post","2021","HM Revenue and Customs","Commercial","140","140","36810","35000"
"In post","2021","HM Revenue and Customs","Communications","4180","4020","29300","25560"
"In post","2021","HM Revenue and Customs","Counter Fraud","8830","8300","33150","31810"
"In post","2021","HM Revenue and Customs","Debt","4650","4200","23180","20140"
"In post","2021","HM Revenue and Customs","Digital, Data & Technology","2700","2590","39310","36160"
"In post","2021","HM Revenue and Customs","Finance","2480","2220","32910","28130"
"In post","2021","HM Revenue and Customs","Human Resources","1670","1550","35590","31810"
"In post","2021","HM Revenue and Customs","Internal Audit","80","70","44180","41350"
"In post","2021","HM Revenue and Customs","Legal","1280","1200","40270","32030"
"In post","2021","HM Revenue and Customs","No function","31530","28390","28440","25560"
"In post","2021","HM Revenue and Customs","Project Delivery","4570","4320","43760","38630"
"In post","2021","HM Revenue and Customs","Property","3500","3240","33390","30000"
"In post","2021","HM Revenue and Customs","Security","190","180","40830","38630"
"In post","2021","HM Treasury","Analysis","160","150","53520","52840"
"In post","2021","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Communications","50","40","[c]","[c]"
"In post","2021","HM Treasury","Counter Fraud","40","30","[c]","[c]"
"In post","2021","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Digital, Data & Technology","70","60","49620","43150"
"In post","2021","HM Treasury","Finance","120","120","50180","52500"
"In post","2021","HM Treasury","Human Resources","110","100","42540","39200"
"In post","2021","HM Treasury","Internal Audit","350","330","50540","48780"
"In post","2021","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","No function","1620","1590","47540","52500"
"In post","2021","HM Treasury","Project Delivery","30","30","[c]","[c]"
"In post","2021","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","100","100","43140","37460"
"In post","2021","Home Office","Unknown","35370","32870","31970","27370"
"In post","2021","Ministry of Defence","Analysis","650","630","40280","37360"
"In post","2021","Ministry of Defence","Commercial","2080","2010","36730","34490"
"In post","2021","Ministry of Defence","Communications","870","840","32410","29200"
"In post","2021","Ministry of Defence","Digital, Data & Technology","990","970","34000","33290"
"In post","2021","Ministry of Defence","Finance","2150","2070","38260","33300"
"In post","2021","Ministry of Defence","Human Resources","2190","2050","32330","26670"
"In post","2021","Ministry of Defence","Internal Audit","150","140","38660","34630"
"In post","2021","Ministry of Defence","Legal","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","No function","3140","3030","39140","37320"
"In post","2021","Ministry of Defence","Project Delivery","16450","15950","37790","35130"
"In post","2021","Ministry of Defence","Property","2730","2650","32270","33300"
"In post","2021","Ministry of Defence","Security","6090","5980","29160","25540"
"In post","2021","Ministry of Defence","Unknown","20160","19440","31270","26670"
"In post","2021","Ministry of Housing, Communities and Local Government","Analysis","210","200","46420","43400"
"In post","2021","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Communications","110","110","41320","34920"
"In post","2021","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","150","150","44240","40720"
"In post","2021","Ministry of Housing, Communities and Local Government","Finance","140","130","50660","51010"
"In post","2021","Ministry of Housing, Communities and Local Government","Human Resources","90","80","40860","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","No function","2530","2420","45280","41980"
"In post","2021","Ministry of Housing, Communities and Local Government","Project Delivery","150","140","45810","40720"
"In post","2021","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Analysis","410","400","45180","40480"
"In post","2021","Ministry of Justice","Commercial","1050","1020","44220","41100"
"In post","2021","Ministry of Justice","Communications","160","150","44100","39870"
"In post","2021","Ministry of Justice","Digital, Data & Technology","1070","1050","46390","43960"
"In post","2021","Ministry of Justice","Finance","790","760","42270","37910"
"In post","2021","Ministry of Justice","Human Resources","980","940","41700","36800"
"In post","2021","Ministry of Justice","Internal Audit","70","60","48010","48800"
"In post","2021","Ministry of Justice","Legal","1440","1310","42410","43090"
"In post","2021","Ministry of Justice","No function","71190","66520","28260","26300"
"In post","2021","Ministry of Justice","Project Delivery","720","710","40680","36800"
"In post","2021","Ministry of Justice","Property","360","350","40300","35040"
"In post","2021","Ministry of Justice","Security","680","670","39330","36720"
"In post","2021","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Communications","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Digital, Data & Technology","260","250","41070","37750"
"In post","2021","National Crime Agency","Finance","50","40","[c]","[c]"
"In post","2021","National Crime Agency","Human Resources","190","180","40160","39240"
"In post","2021","National Crime Agency","Legal","50","50","55660","59160"
"In post","2021","National Crime Agency","No function","4720","4620","39700","37560"
"In post","2021","National Crime Agency","Project Delivery","90","90","46620","45480"
"In post","2021","National Crime Agency","Property","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Security","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","No function","130","120","44760","38680"
"In post","2021","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Analysis","150","150","39800","35010"
"In post","2021","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Communications","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education","Digital, Data & Technology","80","80","45050","39850"
"In post","2021","Office for Standards in Education","Finance","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education","Human Resources","60","50","39210","32010"
"In post","2021","Office for Standards in Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","No function","1340","1290","51840","51360"
"In post","2021","Office for Standards in Education","Project Delivery","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Analysis","70","70","54970","52390"
"In post","2021","Office of Gas and Electricity Markets","Communications","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Digital, Data & Technology","60","60","51940","50000"
"In post","2021","Office of Gas and Electricity Markets","Finance","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Legal","80","80","63840","63540"
"In post","2021","Office of Gas and Electricity Markets","No function","860","850","41550","35720"
"In post","2021","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","No function","200","190","46050","40940"
"In post","2021","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Analysis","50","50","[c]","[c]"
"In post","2021","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","No function","220","220","55610","55870"
"In post","2021","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Commercial","370","360","34050","34800"
"In post","2021","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Digital, Data & Technology","130","130","43770","40300"
"In post","2021","Other Cabinet Office Agencies","Finance","60","60","44090","39000"
"In post","2021","Other Cabinet Office Agencies","Human Resources","50","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","No function","190","180","40460","35520"
"In post","2021","Other Cabinet Office Agencies","Project Delivery","60","60","48010","46920"
"In post","2021","Other Cabinet Office Agencies","Property","50","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","70","60","49920","49700"
"In post","2021","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","110","100","47590","46600"
"In post","2021","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Commercial","100","100","31960","25870"
"In post","2021","Scottish Government","Communications","50","50","38750","36780"
"In post","2021","Scottish Government","Digital, Data & Technology","240","230","39080","35720"
"In post","2021","Scottish Government","Finance","190","180","34510","33650"
"In post","2021","Scottish Government","Human Resources","310","290","34150","33650"
"In post","2021","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Legal","2270","2060","34540","29350"
"In post","2021","Scottish Government","No function","6130","5730","30540","30080"
"In post","2021","Scottish Government","Project Delivery","290","280","36330","35330"
"In post","2021","Scottish Government","Property","1020","980","30540","28870"
"In post","2021","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","11580","11080","40770","35110"
"In post","2021","The National Archives","Commercial","40","40","[c]","[c]"
"In post","2021","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Digital, Data & Technology","100","100","40120","39390"
"In post","2021","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","No function","340","320","34280","30830"
"In post","2021","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Commercial","190","190","53960","49790"
"In post","2021","UK Export Finance","Communications","40","40","[c]","[c]"
"In post","2021","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Finance","50","50","[c]","[c]"
"In post","2021","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","40","40","[c]","[c]"
"In post","2021","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Analysis","1700","1630","37100","35390"
"In post","2021","United Kingdom Statistics Authority","Commercial","30","30","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","90","80","37320","36030"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","600","590","40840","36840"
"In post","2021","United Kingdom Statistics Authority","Finance","60","60","37140","29840"
"In post","2021","United Kingdom Statistics Authority","Human Resources","220","200","37360","32540"
"In post","2021","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
