"Status","Year","Function_of_post","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","London","270","250","50330","47080"
"In post","2021","Analysis","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","North West (England)","30","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","South East (England)","50","50","39510","37320"
"In post","2021","Analysis","Undeclared","South West (England)","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Wales","50","50","34520","31180"
"In post","2021","Analysis","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East of England","210","200","35460","32290"
"In post","2021","Analysis","Unknown","London","680","660","47890","43510"
"In post","2021","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North West (England)","70","70","34820","31810"
"In post","2021","Analysis","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South East (England)","160","150","38380","36030"
"In post","2021","Analysis","Unknown","South West (England)","100","100","34300","29750"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Wales","330","310","34510","30130"
"In post","2021","Analysis","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Midlands (England)","120","110","40420","37970"
"In post","2021","Commercial","Heterosexual / straight","East of England","270","260","39140","35760"
"In post","2021","Commercial","Heterosexual / straight","London","950","930","53210","46130"
"In post","2021","Commercial","Heterosexual / straight","North East (England)","80","70","44640","40930"
"In post","2021","Commercial","Heterosexual / straight","North West (England)","450","440","40010","35420"
"In post","2021","Commercial","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Scotland","220","210","36920","34800"
"In post","2021","Commercial","Heterosexual / straight","South East (England)","490","470","36180","33300"
"In post","2021","Commercial","Heterosexual / straight","South West (England)","850","820","39890","37400"
"In post","2021","Commercial","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Wales","240","230","35670","32020"
"In post","2021","Commercial","Heterosexual / straight","West Midlands (England)","230","220","39160","36710"
"In post","2021","Commercial","Heterosexual / straight","Yorkshire and The Humber","250","250","41830","37800"
"In post","2021","Commercial","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","London","60","60","47210","40980"
"In post","2021","Commercial","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East of England","40","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","London","110","110","50130","42160"
"In post","2021","Commercial","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North West (England)","40","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scotland","40","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","South East (England)","70","70","35400","33300"
"In post","2021","Commercial","Undeclared","South West (England)","140","130","42150","39720"
"In post","2021","Commercial","Undeclared","Wales","70","60","32560","28750"
"In post","2021","Commercial","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East of England","80","80","49660","44980"
"In post","2021","Commercial","Unknown","London","750","740","68180","62120"
"In post","2021","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North West (England)","270","260","49780","49700"
"In post","2021","Commercial","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scotland","130","120","41300","38850"
"In post","2021","Commercial","Unknown","South East (England)","100","100","55210","53320"
"In post","2021","Commercial","Unknown","South West (England)","350","340","48500","46090"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Wales","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands (England)","80","80","44750","39750"
"In post","2021","Commercial","Unknown","Yorkshire and The Humber","160","160","53190","50660"
"In post","2021","Communications","Heterosexual / straight","East Midlands (England)","260","250","30990","26700"
"In post","2021","Communications","Heterosexual / straight","East of England","80","70","34060","31810"
"In post","2021","Communications","Heterosexual / straight","London","1470","1440","44710","40640"
"In post","2021","Communications","Heterosexual / straight","North East (England)","940","890","28550","25560"
"In post","2021","Communications","Heterosexual / straight","North West (England)","360","340","32520","31810"
"In post","2021","Communications","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Scotland","150","140","32790","31810"
"In post","2021","Communications","Heterosexual / straight","South East (England)","230","220","33130","31390"
"In post","2021","Communications","Heterosexual / straight","South West (England)","230","210","36130","33300"
"In post","2021","Communications","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Wales","570","540","30100","25560"
"In post","2021","Communications","Heterosexual / straight","West Midlands (England)","190","180","34620","31810"
"In post","2021","Communications","Heterosexual / straight","Yorkshire and The Humber","280","270","31810","28130"
"In post","2021","Communications","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","London","150","150","44410","41760"
"In post","2021","Communications","LGBO","North East (England)","70","60","27700","25560"
"In post","2021","Communications","LGBO","North West (England)","40","30","[c]","[c]"
"In post","2021","Communications","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Wales","40","40","[c]","[c]"
"In post","2021","Communications","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","London","150","150","42580","40600"
"In post","2021","Communications","Undeclared","North East (England)","80","80","27260","25560"
"In post","2021","Communications","Undeclared","North West (England)","40","30","[c]","[c]"
"In post","2021","Communications","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South East (England)","30","30","[c]","[c]"
"In post","2021","Communications","Undeclared","South West (England)","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Wales","60","50","28560","25560"
"In post","2021","Communications","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","East Midlands (England)","200","190","27970","25560"
"In post","2021","Communications","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","London","670","650","45510","41200"
"In post","2021","Communications","Unknown","North East (England)","460","430","27040","25560"
"In post","2021","Communications","Unknown","North West (England)","280","280","28660","25560"
"In post","2021","Communications","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scotland","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","South East (England)","60","60","35280","33300"
"In post","2021","Communications","Unknown","South West (England)","80","80","36840","34560"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Wales","300","290","28100","25560"
"In post","2021","Communications","Unknown","West Midlands (England)","140","140","30870","25560"
"In post","2021","Communications","Unknown","Yorkshire and The Humber","320","310","29380","25560"
"In post","2021","Counter Fraud","Heterosexual / straight","East Midlands (England)","330","310","34600","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","East of England","270","250","29010","26470"
"In post","2021","Counter Fraud","Heterosexual / straight","London","1360","1320","40160","36160"
"In post","2021","Counter Fraud","Heterosexual / straight","North East (England)","340","330","32600","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","North West (England)","1010","950","33960","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Northern Ireland","260","250","32180","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Scotland","520","480","31130","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","South East (England)","260","240","30870","29570"
"In post","2021","Counter Fraud","Heterosexual / straight","South West (England)","240","220","34970","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Wales","250","230","31910","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","West Midlands (England)","440","410","32510","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Yorkshire and The Humber","570","520","32910","31810"
"In post","2021","Counter Fraud","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","London","90","80","38590","34500"
"In post","2021","Counter Fraud","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","North West (England)","50","50","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Scotland","30","30","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","East Midlands (England)","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","East of England","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","London","240","230","39930","36160"
"In post","2021","Counter Fraud","Undeclared","North East (England)","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","North West (England)","150","140","35150","31810"
"In post","2021","Counter Fraud","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Scotland","70","60","32620","31810"
"In post","2021","Counter Fraud","Undeclared","South East (England)","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","South West (England)","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Wales","60","50","29610","26780"
"In post","2021","Counter Fraud","Undeclared","West Midlands (England)","70","60","33430","28130"
"In post","2021","Counter Fraud","Undeclared","Yorkshire and The Humber","80","80","35080","32100"
"In post","2021","Counter Fraud","Unknown","East Midlands (England)","140","130","30530","28130"
"In post","2021","Counter Fraud","Unknown","East of England","120","110","26660","25560"
"In post","2021","Counter Fraud","Unknown","London","630","600","37020","36160"
"In post","2021","Counter Fraud","Unknown","North East (England)","130","120","29490","26530"
"In post","2021","Counter Fraud","Unknown","North West (England)","480","450","30140","26820"
"In post","2021","Counter Fraud","Unknown","Northern Ireland","100","90","29100","25560"
"In post","2021","Counter Fraud","Unknown","Scotland","230","210","29130","27350"
"In post","2021","Counter Fraud","Unknown","South East (England)","120","110","30700","28130"
"In post","2021","Counter Fraud","Unknown","South West (England)","100","90","33230","31810"
"In post","2021","Counter Fraud","Unknown","Wales","70","70","30530","28930"
"In post","2021","Counter Fraud","Unknown","West Midlands (England)","210","190","31160","31000"
"In post","2021","Counter Fraud","Unknown","Yorkshire and The Humber","190","180","29910","25560"
"In post","2021","Debt","Heterosexual / straight","East Midlands (England)","100","90","22570","20140"
"In post","2021","Debt","Heterosexual / straight","East of England","80","70","24770","24390"
"In post","2021","Debt","Heterosexual / straight","London","240","220","28280","25630"
"In post","2021","Debt","Heterosexual / straight","North East (England)","220","200","22570","20140"
"In post","2021","Debt","Heterosexual / straight","North West (England)","190","180","24280","21440"
"In post","2021","Debt","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Heterosexual / straight","Scotland","690","610","22460","20140"
"In post","2021","Debt","Heterosexual / straight","South East (England)","50","40","[c]","[c]"
"In post","2021","Debt","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Heterosexual / straight","Wales","170","160","23930","20140"
"In post","2021","Debt","Heterosexual / straight","West Midlands (England)","200","180","23820","21440"
"In post","2021","Debt","Heterosexual / straight","Yorkshire and The Humber","190","170","25090","21440"
"In post","2021","Debt","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Scotland","60","60","21830","20140"
"In post","2021","Debt","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","East of England","30","30","[c]","[c]"
"In post","2021","Debt","Undeclared","London","60","50","28260","25630"
"In post","2021","Debt","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Scotland","80","70","22130","21400"
"In post","2021","Debt","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Debt","Unknown","East Midlands (England)","130","120","20840","20140"
"In post","2021","Debt","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","London","250","230","28360","25630"
"In post","2021","Debt","Unknown","North East (England)","330","310","20960","20140"
"In post","2021","Debt","Unknown","North West (England)","110","100","22140","20140"
"In post","2021","Debt","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Scotland","610","570","21180","20140"
"In post","2021","Debt","Unknown","South East (England)","50","40","27030","28130"
"In post","2021","Debt","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Wales","130","120","22050","20140"
"In post","2021","Debt","Unknown","West Midlands (England)","200","180","21250","20140"
"In post","2021","Debt","Unknown","Yorkshire and The Humber","190","170","21620","20140"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","East Midlands (England)","190","190","37510","33350"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","East of England","320","310","36650","33300"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","London","2100","2060","49490","50000"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","North East (England)","490","470","39540","37840"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","North West (England)","580","560","39190","36520"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Scotland","360","350","39130","35240"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","South East (England)","590","570","38480","35900"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","South West (England)","970","930","39210","38450"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Wales","1120","1090","40830","38230"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","West Midlands (England)","610","590","40370","37310"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Yorkshire and The Humber","550","530","39360","35900"
"In post","2021","Digital, Data & Technology","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","London","210","210","49200","52410"
"In post","2021","Digital, Data & Technology","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","North West (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","South West (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Wales","70","70","35690","32710"
"In post","2021","Digital, Data & Technology","LGBO","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","East of England","60","50","35880","35000"
"In post","2021","Digital, Data & Technology","Undeclared","London","280","270","49580","51710"
"In post","2021","Digital, Data & Technology","Undeclared","North East (England)","60","60","38160","37100"
"In post","2021","Digital, Data & Technology","Undeclared","North West (England)","70","60","37940","31840"
"In post","2021","Digital, Data & Technology","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Scotland","90","90","34990","29350"
"In post","2021","Digital, Data & Technology","Undeclared","South East (England)","90","80","37620","33300"
"In post","2021","Digital, Data & Technology","Undeclared","South West (England)","170","160","39970","38450"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Wales","240","230","39580","39050"
"In post","2021","Digital, Data & Technology","Undeclared","West Midlands (England)","70","70","41990","36870"
"In post","2021","Digital, Data & Technology","Undeclared","Yorkshire and The Humber","70","70","37110","32200"
"In post","2021","Digital, Data & Technology","Unknown","East Midlands (England)","70","70","37110","32750"
"In post","2021","Digital, Data & Technology","Unknown","East of England","160","150","35780","32730"
"In post","2021","Digital, Data & Technology","Unknown","London","810","790","48250","43800"
"In post","2021","Digital, Data & Technology","Unknown","North East (England)","200","190","37170","31810"
"In post","2021","Digital, Data & Technology","Unknown","North West (England)","190","190","37540","36500"
"In post","2021","Digital, Data & Technology","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Scotland","210","210","38820","36780"
"In post","2021","Digital, Data & Technology","Unknown","South East (England)","210","200","38270","36040"
"In post","2021","Digital, Data & Technology","Unknown","South West (England)","1160","1110","39060","39650"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Wales","450","440","37800","36030"
"In post","2021","Digital, Data & Technology","Unknown","West Midlands (England)","260","250","41000","38400"
"In post","2021","Digital, Data & Technology","Unknown","Yorkshire and The Humber","200","200","39420","36820"
"In post","2021","Finance","Heterosexual / straight","East Midlands (England)","180","170","35710","31810"
"In post","2021","Finance","Heterosexual / straight","East of England","310","290","37580","35270"
"In post","2021","Finance","Heterosexual / straight","London","1770","1730","49410","44880"
"In post","2021","Finance","Heterosexual / straight","North East (England)","280","270","38180","36960"
"In post","2021","Finance","Heterosexual / straight","North West (England)","490","470","38950","36500"
"In post","2021","Finance","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Scotland","540","470","29080","25560"
"In post","2021","Finance","Heterosexual / straight","South East (England)","750","720","36750","33300"
"In post","2021","Finance","Heterosexual / straight","South West (England)","940","900","39440","34920"
"In post","2021","Finance","Heterosexual / straight","Wales","270","250","34540","30730"
"In post","2021","Finance","Heterosexual / straight","West Midlands (England)","330","320","39740","36880"
"In post","2021","Finance","Heterosexual / straight","Yorkshire and The Humber","520","480","35720","30840"
"In post","2021","Finance","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","London","80","80","51040","53360"
"In post","2021","Finance","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","North West (England)","30","30","[c]","[c]"
"In post","2021","Finance","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","South West (England)","30","30","[c]","[c]"
"In post","2021","Finance","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","East of England","50","40","[c]","[c]"
"In post","2021","Finance","Undeclared","London","230","220","48770","45200"
"In post","2021","Finance","Undeclared","North East (England)","30","30","[c]","[c]"
"In post","2021","Finance","Undeclared","North West (England)","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Scotland","90","70","28260","21440"
"In post","2021","Finance","Undeclared","South East (England)","110","100","38000","33460"
"In post","2021","Finance","Undeclared","South West (England)","130","120","40610","38150"
