"Status","Year","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared non-disabled","Unknown","1050","940","37620","36680"
"Leaver CS","2022","Undeclared","AA/AO","990","830","21940","21260"
"Leaver CS","2022","Undeclared","EO","500","440","27720","27570"
"Leaver CS","2022","Undeclared","G6/G7","190","170","59770","57680"
"Leaver CS","2022","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","470","440","37780","36840"
"Leaver CS","2022","Undeclared","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","4600","4230","22070","21260"
"Leaver CS","2022","Unknown","EO","2220","2000","27750","27570"
"Leaver CS","2022","Unknown","G6/G7","1130","940","60250","56950"
"Leaver CS","2022","Unknown","SCS","200","160","104750","95930"
"Leaver CS","2022","Unknown","SEO/HEO","2200","1850","37330","36740"
"Leaver CS","2022","Unknown","Unknown","940","780","36400","33270"
"Leaver Dept.","2021","Declared disabled","AA/AO","160","150","20850","21000"
"Leaver Dept.","2021","Declared disabled","EO","250","230","26540","27310"
"Leaver Dept.","2021","Declared disabled","G6/G7","170","160","56990","54470"
"Leaver Dept.","2021","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","380","370","35250","33960"
"Leaver Dept.","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","1260","1190","21140","21010"
"Leaver Dept.","2021","Declared non-disabled","EO","1550","1480","26830","27570"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","1330","1260","57550","55650"
"Leaver Dept.","2021","Declared non-disabled","SCS","230","210","87370","79220"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","2480","2350","35440","34320"
"Leaver Dept.","2021","Declared non-disabled","Unknown","100","100","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","100","100","21140","21010"
"Leaver Dept.","2021","Undeclared","EO","130","130","27250","27570"
"Leaver Dept.","2021","Undeclared","G6/G7","120","110","57140","55930"
"Leaver Dept.","2021","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","240","230","36500","35090"
"Leaver Dept.","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","620","590","20980","20880"
"Leaver Dept.","2021","Unknown","EO","480","440","27060","27020"
"Leaver Dept.","2021","Unknown","G6/G7","690","590","56090","54280"
"Leaver Dept.","2021","Unknown","SCS","90","70","89270","78630"
"Leaver Dept.","2021","Unknown","SEO/HEO","1460","1340","34330","32960"
"Leaver Dept.","2021","Unknown","Unknown","100","90","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","AA/AO","290","270","21350","21260"
"Leaver Dept.","2022","Declared disabled","EO","500","480","27240","27570"
"Leaver Dept.","2022","Declared disabled","G6/G7","290","260","57150","54700"
"Leaver Dept.","2022","Declared disabled","SCS","50","40","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","700","660","35420","34600"
"Leaver Dept.","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","2160","2000","21460","21260"
"Leaver Dept.","2022","Declared non-disabled","EO","3570","3430","26970","27570"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","2790","2610","58000","54850"
"Leaver Dept.","2022","Declared non-disabled","SCS","500","430","95000","93640"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","5270","4980","35880","35310"
"Leaver Dept.","2022","Declared non-disabled","Unknown","130","120","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","120","110","21670","21260"
"Leaver Dept.","2022","Undeclared","EO","210","200","27240","27570"
"Leaver Dept.","2022","Undeclared","G6/G7","130","130","57230","54680"
"Leaver Dept.","2022","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","370","360","36500","36330"
"Leaver Dept.","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","780","730","21630","21260"
"Leaver Dept.","2022","Unknown","EO","970","770","27350","27570"
"Leaver Dept.","2022","Unknown","G6/G7","1580","1110","58290","54820"
"Leaver Dept.","2022","Unknown","SCS","300","200","107660","105540"
"Leaver Dept.","2022","Unknown","SEO/HEO","2730","2140","35510","34550"
"Leaver Dept.","2022","Unknown","Unknown","160","80","[c]","[c]"
"New entrant CS","2021","Declared disabled","AA/AO","1280","1250","21240","21010"
"New entrant CS","2021","Declared disabled","EO","1760","1710","27860","27570"
"New entrant CS","2021","Declared disabled","G6/G7","170","170","55300","54120"
"New entrant CS","2021","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SEO/HEO","660","640","34240","33210"
"New entrant CS","2021","Declared disabled","Unknown","130","120","23810","22920"
"New entrant CS","2021","Declared non-disabled","AA/AO","10610","10380","21680","21010"
"New entrant CS","2021","Declared non-disabled","EO","11110","10880","27830","27570"
"New entrant CS","2021","Declared non-disabled","G6/G7","1730","1670","57710","54700"
"New entrant CS","2021","Declared non-disabled","SCS","180","160","96240","91380"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","5760","5590","35090","34020"
"New entrant CS","2021","Declared non-disabled","Unknown","1050","980","25550","22920"
"New entrant CS","2021","Undeclared","AA/AO","500","480","21510","21010"
"New entrant CS","2021","Undeclared","EO","650","640","27630","27570"
"New entrant CS","2021","Undeclared","G6/G7","170","160","58120","55320"
"New entrant CS","2021","Undeclared","SCS","30","20","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","530","500","34370","33570"
"New entrant CS","2021","Undeclared","Unknown","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","8190","7960","21470","20810"
"New entrant CS","2021","Unknown","EO","5150","5060","27060","27270"
"New entrant CS","2021","Unknown","G6/G7","1700","1650","57650","55000"
"New entrant CS","2021","Unknown","SCS","300","290","89320","75250"
"New entrant CS","2021","Unknown","SEO/HEO","4700","4620","34540","33000"
"New entrant CS","2021","Unknown","Unknown","800","740","23610","22920"
"New entrant CS","2022","Declared disabled","AA/AO","1610","1560","21740","21260"
"New entrant CS","2022","Declared disabled","EO","1190","1150","27250","27570"
"New entrant CS","2022","Declared disabled","G6/G7","250","240","55120","53360"
"New entrant CS","2022","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SEO/HEO","960","940","34520","33210"
"New entrant CS","2022","Declared disabled","Unknown","1180","1110","29510","27380"
"New entrant CS","2022","Declared non-disabled","AA/AO","13300","12940","22040","21260"
"New entrant CS","2022","Declared non-disabled","EO","8650","8460","27120","27570"
"New entrant CS","2022","Declared non-disabled","G6/G7","2520","2460","55820","53420"
"New entrant CS","2022","Declared non-disabled","SCS","170","160","95120","88790"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","8070","7930","35190","33570"
"New entrant CS","2022","Declared non-disabled","Unknown","4190","3930","28930","25480"
"New entrant CS","2022","Undeclared","AA/AO","560","540","21760","21260"
"New entrant CS","2022","Undeclared","EO","430","420","27180","27570"
"New entrant CS","2022","Undeclared","G6/G7","130","120","54950","53450"
"New entrant CS","2022","Undeclared","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","460","450","35150","34020"
"New entrant CS","2022","Undeclared","Unknown","300","270","30270","28200"
"New entrant CS","2022","Unknown","AA/AO","8660","8370","22110","21260"
"New entrant CS","2022","Unknown","EO","5960","5690","27100","26820"
"New entrant CS","2022","Unknown","G6/G7","1660","1560","58690","55210"
"New entrant CS","2022","Unknown","SCS","170","160","101250","90100"
"New entrant CS","2022","Unknown","SEO/HEO","5370","5110","34730","33290"
"New entrant CS","2022","Unknown","Unknown","3580","3220","27720","26280"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
