"Status","Year","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Female","Finance","250","190","37100","33300"
"Leaver CS","2022","Female","Grants Management","80","70","24790","21300"
"Leaver CS","2022","Female","Human Resources","450","400","35080","30420"
"Leaver CS","2022","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Legal","450","400","44410","43520"
"Leaver CS","2022","Female","No function","13850","12060","30680","27570"
"Leaver CS","2022","Female","Project Delivery","470","430","38390","34290"
"Leaver CS","2022","Female","Property","260","220","29480","22130"
"Leaver CS","2022","Female","Security","170","160","30600","27680"
"Leaver CS","2022","Female","Unknown","5930","4900","30090","26350"
"Leaver CS","2022","Male","Analysis","310","270","38620","34380"
"Leaver CS","2022","Male","Commercial","280","240","55250","49980"
"Leaver CS","2022","Male","Communications","170","150","42450","38150"
"Leaver CS","2022","Male","Counter Fraud","160","130","31110","27570"
"Leaver CS","2022","Male","Debt","90","80","22610","21260"
"Leaver CS","2022","Male","Digital, Data & Technology","960","910","42230","38680"
"Leaver CS","2022","Male","Finance","260","230","41980","37270"
"Leaver CS","2022","Male","Grants Management","80","70","23780","21300"
"Leaver CS","2022","Male","Human Resources","210","200","36470","32650"
"Leaver CS","2022","Male","Internal Audit","40","30","[c]","[c]"
"Leaver CS","2022","Male","Legal","290","270","49630","52390"
"Leaver CS","2022","Male","No function","10610","9840","32540","27570"
"Leaver CS","2022","Male","Project Delivery","830","800","39740","37400"
"Leaver CS","2022","Male","Property","350","330","34710","30870"
"Leaver CS","2022","Male","Security","640","620","32400","29250"
"Leaver CS","2022","Male","Unknown","5520","4940","33260","28180"
"Leaver CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Analysis","140","130","40900","35290"
"Leaver Dept.","2021","Female","Commercial","90","90","41390","40580"
"Leaver Dept.","2021","Female","Communications","120","120","40030","36660"
"Leaver Dept.","2021","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Digital, Data & Technology","100","90","45230","40580"
"Leaver Dept.","2021","Female","Finance","100","100","48090","48210"
"Leaver Dept.","2021","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Human Resources","300","300","38970","33640"
"Leaver Dept.","2021","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Legal","140","140","42450","35790"
"Leaver Dept.","2021","Female","No function","2240","2170","37240","32320"
"Leaver Dept.","2021","Female","Project Delivery","250","250","41780","37200"
"Leaver Dept.","2021","Female","Property","60","60","35760","32000"
"Leaver Dept.","2021","Female","Security","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","Unknown","2980","2620","34310","29570"
"Leaver Dept.","2021","Male","Analysis","140","140","41860","37350"
"Leaver Dept.","2021","Male","Commercial","70","70","43550","40040"
"Leaver Dept.","2021","Male","Communications","90","90","44430","39750"
"Leaver Dept.","2021","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Digital, Data & Technology","140","140","45480","41090"
"Leaver Dept.","2021","Male","Finance","100","100","45090","41680"
"Leaver Dept.","2021","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Human Resources","170","170","38150","33440"
"Leaver Dept.","2021","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Legal","80","80","44790","47000"
"Leaver Dept.","2021","Male","No function","1780","1750","38690","32980"
"Leaver Dept.","2021","Male","Project Delivery","270","270","40490","37380"
"Leaver Dept.","2021","Male","Property","60","60","36610","31950"
"Leaver Dept.","2021","Male","Security","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","2370","2140","34960","30830"
"Leaver Dept.","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Analysis","250","180","40380","37380"
"Leaver Dept.","2022","Female","Commercial","260","160","42200","39360"
"Leaver Dept.","2022","Female","Communications","280","210","41480","37290"
"Leaver Dept.","2022","Female","Counter Fraud","80","70","31160","27570"
"Leaver Dept.","2022","Female","Debt","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","340","280","41110","36780"
"Leaver Dept.","2022","Female","Finance","310","220","39860","35390"
"Leaver Dept.","2022","Female","Grants Management","40","30","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","540","490","38320","32960"
"Leaver Dept.","2022","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","150","140","44310","39560"
"Leaver Dept.","2022","Female","No function","9200","8350","37640","32000"
"Leaver Dept.","2022","Female","Project Delivery","320","310","39750","36840"
"Leaver Dept.","2022","Female","Property","90","80","30970","26880"
"Leaver Dept.","2022","Female","Security","70","70","38480","34550"
"Leaver Dept.","2022","Female","Unknown","2000","1710","35120","28990"
"Leaver Dept.","2022","Male","Analysis","290","220","42080","38020"
"Leaver Dept.","2022","Male","Commercial","210","150","47020","42270"
"Leaver Dept.","2022","Male","Communications","200","150","43060","37710"
"Leaver Dept.","2022","Male","Counter Fraud","80","70","32050","27610"
"Leaver Dept.","2022","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Digital, Data & Technology","440","390","42640","38000"
"Leaver Dept.","2022","Male","Finance","280","220","43240","39960"
"Leaver Dept.","2022","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Human Resources","210","190","37280","32000"
"Leaver Dept.","2022","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","80","80","44800","39080"
"Leaver Dept.","2022","Male","No function","5580","5230","40120","32770"
"Leaver Dept.","2022","Male","Project Delivery","370","370","40240","36740"
"Leaver Dept.","2022","Male","Property","90","80","43230","38010"
"Leaver Dept.","2022","Male","Security","90","90","35630","33300"
"Leaver Dept.","2022","Male","Unknown","1740","1550","36290","30830"
"Leaver Dept.","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Analysis","580","570","33920","31950"
"New entrant CS","2021","Female","Commercial","390","380","44700","36950"
"New entrant CS","2021","Female","Communications","650","640","30970","25560"
"New entrant CS","2021","Female","Counter Fraud","90","80","29690","26090"
"New entrant CS","2021","Female","Debt","510","490","20440","20140"
"New entrant CS","2021","Female","Digital, Data & Technology","710","700","38540","34550"
"New entrant CS","2021","Female","Finance","420","410","34000","32790"
"New entrant CS","2021","Female","Grants Management","30","30","[c]","[c]"
"New entrant CS","2021","Female","Human Resources","630","600","32390","28000"
"New entrant CS","2021","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Legal","920","890","34600","29280"
"New entrant CS","2021","Female","No function","12200","11640","27610","24020"
"New entrant CS","2021","Female","Project Delivery","800","780","35150","33000"
"New entrant CS","2021","Female","Property","300","290","28010","24620"
"New entrant CS","2021","Female","Security","220","220","26030","23540"
"New entrant CS","2021","Female","Unknown","13200","12780","27850","27570"
"New entrant CS","2021","Male","Analysis","610","600","34360","31980"
"New entrant CS","2021","Male","Commercial","390","380","51810","41500"
"New entrant CS","2021","Male","Communications","650","650","30150","25560"
"New entrant CS","2021","Male","Counter Fraud","110","110","30790","29570"
"New entrant CS","2021","Male","Debt","460","450","20570","20140"
"New entrant CS","2021","Male","Digital, Data & Technology","1150","1150","40580","36800"
"New entrant CS","2021","Male","Finance","350","340","36660","32790"
"New entrant CS","2021","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Human Resources","250","240","32730","28000"
"New entrant CS","2021","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Legal","490","480","37000","34860"
"New entrant CS","2021","Male","No function","8980","8780","28960","25230"
"New entrant CS","2021","Male","Project Delivery","1060","1060","36750","34000"
"New entrant CS","2021","Male","Property","440","440","32430","28120"
"New entrant CS","2021","Male","Security","630","630","27350","23540"
"New entrant CS","2021","Male","Unknown","9850","9770","28220","27570"
"New entrant CS","2021","Unknown","Analysis","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Analysis","710","680","33010","30710"
"New entrant CS","2022","Female","Commercial","550","510","39750","33540"
"New entrant CS","2022","Female","Communications","820","780","31500","26820"
"New entrant CS","2022","Female","Counter Fraud","830","800","26690","26590"
"New entrant CS","2022","Female","Debt","610","590","21580","21250"
"New entrant CS","2022","Female","Digital, Data & Technology","1110","1080","36380","33370"
"New entrant CS","2022","Female","Finance","640","590","33730","30400"
"New entrant CS","2022","Female","Grants Management","300","280","21510","21300"
"New entrant CS","2022","Female","Human Resources","940","900","32100","28000"
"New entrant CS","2022","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Legal","870","840","35700","29280"
"New entrant CS","2022","Female","No function","25150","23920","27800","25480"
"New entrant CS","2022","Female","Project Delivery","860","830","33640","30730"
"New entrant CS","2022","Female","Property","520","510","30160","25000"
"New entrant CS","2022","Female","Security","230","230","28550","26350"
"New entrant CS","2022","Female","Unknown","5250","5020","29930","27230"
"New entrant CS","2022","Male","Analysis","770","750","34420","31000"
"New entrant CS","2022","Male","Commercial","450","420","45970","36810"
"New entrant CS","2022","Male","Communications","700","680","29950","26590"
"New entrant CS","2022","Male","Counter Fraud","760","760","27750","26590"
"New entrant CS","2022","Male","Debt","410","410","21750","21250"
"New entrant CS","2022","Male","Digital, Data & Technology","1780","1750","38260","34550"
"New entrant CS","2022","Male","Finance","530","500","34170","31060"
"New entrant CS","2022","Male","Grants Management","230","220","21910","21300"
"New entrant CS","2022","Male","Human Resources","410","400","33740","28500"
"New entrant CS","2022","Male","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","Male","Legal","390","380","38560","38000"
"New entrant CS","2022","Male","No function","16750","16330","28510","26590"
"New entrant CS","2022","Male","Project Delivery","1150","1140","36360","33000"
"New entrant CS","2022","Male","Property","590","590","34380","30450"
"New entrant CS","2022","Male","Security","640","640","29030","25210"
"New entrant CS","2022","Male","Unknown","4390","4260","30750","27230"
"New entrant CS","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
