"Status","Year","Organisation","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Unknown","110","100","35370","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","250","240","28440","24250"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Declared disabled","260","240","28170","25190"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Declared non-disabled","1550","1470","30860","28030"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Undeclared","60","50","29490","26190"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Declared non-disabled","90","90","28170","25100"
"In post","2021","Animal and Plant Health Agency","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Declared non-disabled","220","200","33650","30230"
"In post","2021","Animal and Plant Health Agency","Undeclared","Undeclared","80","70","33840","31460"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared non-disabled","140","130","32050","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","170","160","29180","25330"
"In post","2021","Attorney General's Office","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Declared disabled","530","500","43730","37300"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Declared non-disabled","3690","3590","48720","41820"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Undeclared","140","140","44260","38580"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Unknown","60","60","48480","49700"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Declared disabled","90","90","44810","40600"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Declared non-disabled","320","320","44850","40600"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Declared disabled","80","80","44900","40580"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Declared non-disabled","300","290","49150","41820"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Undeclared","120","110","45200","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared non-disabled","200","190","60750","55520"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3890","3840","44550","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Declared non-disabled","200","190","34430","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Declared non-disabled","160","150","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Unknown","170","160","38070","35900"
"In post","2021","Charity Commission","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Declared non-disabled","180","170","35150","29160"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","40","30","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","160","150","35470","29550"
"In post","2021","Companies House","Heterosexual / straight","Declared disabled","60","50","32520","25870"
"In post","2021","Companies House","Heterosexual / straight","Declared non-disabled","610","560","32110","27460"
"In post","2021","Companies House","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Companies House","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Companies House","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Unknown","260","230","27720","22490"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Declared non-disabled","610","590","59400","56190"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Declared non-disabled","130","120","28200","22720"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Undeclared","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Unknown","40","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Declared non-disabled","180","170","41240","35460"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Unknown","330","320","37050","34800"
"In post","2021","Crown Commercial Service","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","150","150","34100","30590"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Declared disabled","80","70","37880","33300"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Declared non-disabled","1580","1460","35100","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Declared non-disabled","60","60","33140","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Declared non-disabled","60","50","35690","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Declared non-disabled","110","100","43160","40790"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Declared disabled","550","510","41870","38000"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Declared non-disabled","3370","3130","42100","38180"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Unknown","850","830","35890","32280"
"In post","2021","Crown Prosecution Service","LGBO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Declared non-disabled","160","150","43140","39030"
"In post","2021","Crown Prosecution Service","LGBO","Unknown","50","50","29750","25480"
"In post","2021","Crown Prosecution Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Declared non-disabled","90","90","45390","50520"
"In post","2021","Crown Prosecution Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Unknown","80","70","35330","30130"
"In post","2021","Crown Prosecution Service","Unknown","Declared disabled","100","90","42870","42770"
"In post","2021","Crown Prosecution Service","Unknown","Declared non-disabled","930","830","44160","43390"
"In post","2021","Crown Prosecution Service","Unknown","Unknown","490","450","40250","34650"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","Unknown","110","110","58840","51550"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Declared non-disabled","110","110","28830","27460"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Declared non-disabled","100","90","28670","28750"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Undeclared","180","170","28370","28110"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Declared disabled","830","800","35390","33130"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Declared non-disabled","6880","6660","36620","33740"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Undeclared","270","260","37260","35230"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Unknown","480","460","36080","33680"
"In post","2021","Defence Equipment and Support","LGBO","Declared disabled","60","60","30580","28700"
"In post","2021","Defence Equipment and Support","LGBO","Declared non-disabled","180","180","32380","29520"
"In post","2021","Defence Equipment and Support","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","Declared disabled","160","160","37850","36940"
"In post","2021","Defence Equipment and Support","Undeclared","Declared non-disabled","590","560","38040","36330"
"In post","2021","Defence Equipment and Support","Undeclared","Undeclared","380","370","39520","39080"
"In post","2021","Defence Equipment and Support","Undeclared","Unknown","120","110","39650","39280"
"In post","2021","Defence Equipment and Support","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Declared non-disabled","200","190","34340","32910"
"In post","2021","Defence Equipment and Support","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Unknown","460","450","31840","29100"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Declared disabled","380","360","38230","37320"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Declared non-disabled","2530","2420","40670","37700"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Undeclared","110","100","41190","46080"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Unknown","70","60","34880","28660"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Declared disabled","50","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Declared non-disabled","90","90","34380","28650"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Declared non-disabled","120","120","43420","42660"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Undeclared","150","150","43440","46080"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Undeclared","140","130","42370","46080"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Unknown","650","630","40840","37700"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Declared disabled","340","330","47610","43040"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Declared non-disabled","3030","2950","50200","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Undeclared","100","100","49400","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Unknown","310","300","44500","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Declared disabled","70","70","45270","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Declared non-disabled","320","320","48380","50510"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Unknown","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Declared non-disabled","290","280","50760","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Undeclared","150","150","51020","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Declared non-disabled","50","50","45650","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Unknown","510","500","44680","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Declared disabled","80","80","48390","39360"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Declared non-disabled","1110","1090","49900","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Declared non-disabled","140","140","47720","44770"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared non-disabled","60","60","49820","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","220","220","48400","48580"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Declared disabled","390","370","41600","36960"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Declared non-disabled","2990","2870","45690","42420"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Undeclared","160","160","43940","39100"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Unknown","460","450","38240","36500"
"In post","2021","Department for Education (excl. agencies)","LGBO","Declared disabled","50","50","41090","33810"
"In post","2021","Department for Education (excl. agencies)","LGBO","Declared non-disabled","220","210","45500","40720"
"In post","2021","Department for Education (excl. agencies)","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","LGBO","Unknown","50","50","37030","32940"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Declared non-disabled","250","240","45670","43890"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Undeclared","80","70","46210","44890"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Declared non-disabled","400","380","47760","49860"
"In post","2021","Department for Education (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Unknown","510","490","42070","36660"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","Declared disabled","450","440","40370","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","Declared non-disabled","3140","3030","42890","38490"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","Undeclared","120","120","40300","36970"
