"Status","Year","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Unknown","50","50","50180","41340"
"In post","2021","Grants Management","AA/AO","950","860","21010","21050"
"In post","2021","Grants Management","EO","540","500","25520","25190"
"In post","2021","Grants Management","G6/G7","60","60","52580","49800"
"In post","2021","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","330","310","32730","31170"
"In post","2021","Human Resources","AA/AO","1610","1450","21350","21030"
"In post","2021","Human Resources","EO","1770","1670","26680","26670"
"In post","2021","Human Resources","G6/G7","1900","1840","57800","56110"
"In post","2021","Human Resources","SCS","220","220","89150","82130"
"In post","2021","Human Resources","SEO/HEO","3850","3690","36390","35690"
"In post","2021","Human Resources","Unknown","230","220","37670","32710"
"In post","2021","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","50","50","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","200","190","58940","56790"
"In post","2021","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","460","440","40550","40520"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","2580","2330","22090","21950"
"In post","2021","Legal","EO","2450","2270","28050","28430"
"In post","2021","Legal","G6/G7","6030","5570","59470","58040"
"In post","2021","Legal","SCS","460","440","88840","82950"
"In post","2021","Legal","SEO/HEO","3320","3110","38520","38000"
"In post","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","70510","63800","23090","21500"
"In post","2021","No function","EO","33120","31090","28210","27130"
"In post","2021","No function","G6/G7","21080","20390","58310","55430"
"In post","2021","No function","SCS","2960","2820","90490","81600"
"In post","2021","No function","SEO/HEO","45260","43410","36650","35700"
"In post","2021","No function","Unknown","12010","11100","29880","28330"
"In post","2021","Project Delivery","AA/AO","620","580","21650","21440"
"In post","2021","Project Delivery","EO","4610","4390","24860","25750"
"In post","2021","Project Delivery","G6/G7","7370","7180","57380","55620"
"In post","2021","Project Delivery","SCS","700","680","91540","83350"
"In post","2021","Project Delivery","SEO/HEO","13750","13280","36350","36460"
"In post","2021","Project Delivery","Unknown","1360","1330","42310","40180"
"In post","2021","Property","AA/AO","2350","2200","21510","21100"
"In post","2021","Property","EO","1950","1840","27450","26670"
"In post","2021","Property","G6/G7","1260","1230","57550","55610"
"In post","2021","Property","SCS","90","90","93150","83310"
"In post","2021","Property","SEO/HEO","3620","3480","37280","36460"
"In post","2021","Property","Unknown","40","40","[c]","[c]"
"In post","2021","Security","AA/AO","5520","5400","26710","21600"
"In post","2021","Security","EO","1180","1160","32330","27870"
"In post","2021","Security","G6/G7","380","370","60280","57660"
"In post","2021","Security","SCS","40","40","[c]","[c]"
"In post","2021","Security","SEO/HEO","1580","1550","39400","36480"
"In post","2021","Security","Unknown","60","60","37050","37170"
"In post","2021","Unknown","AA/AO","49050","43320","21400","21010"
"In post","2021","Unknown","EO","70090","64030","27890","27570"
"In post","2021","Unknown","G6/G7","12040","11580","60820","59750"
"In post","2021","Unknown","SCS","1340","1300","90070","83230"
"In post","2021","Unknown","SEO/HEO","31720","30360","37000","35440"
"In post","2021","Unknown","Unknown","2470","2460","37740","34460"
"In post","2022","Analysis","AA/AO","260","250","21790","21300"
"In post","2022","Analysis","EO","870","830","26830","26440"
"In post","2022","Analysis","G6/G7","2820","2690","58970","56450"
"In post","2022","Analysis","SCS","190","180","89270","81110"
"In post","2022","Analysis","SEO/HEO","4320","4190","36270","36590"
"In post","2022","Commercial","AA/AO","290","270","22580","21840"
"In post","2022","Commercial","EO","760","730","26660","26460"
"In post","2022","Commercial","G6/G7","2250","2210","61540","60490"
"In post","2022","Commercial","SCS","330","330","110740","104630"
"In post","2022","Commercial","SEO/HEO","2820","2740","37320","37400"
"In post","2022","Commercial","Unknown","170","160","40030","37400"
"In post","2022","Communications","AA/AO","490","450","21820","21250"
"In post","2022","Communications","EO","3240","3130","26940","26820"
"In post","2022","Communications","G6/G7","1200","1170","58640","56370"
"In post","2022","Communications","SCS","140","130","92210","85000"
"In post","2022","Communications","SEO/HEO","3460","3370","36560","34260"
"In post","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","2760","2390","22330","21260"
"In post","2022","Counter Fraud","EO","7190","6610","28150","27570"
"In post","2022","Counter Fraud","G6/G7","1320","1260","59540","55410"
"In post","2022","Counter Fraud","SCS","50","50","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","5710","5450","36330","34290"
"In post","2022","Debt","AA/AO","5190","4560","21640","21260"
"In post","2022","Debt","EO","1220","1100","27810","27570"
"In post","2022","Debt","G6/G7","50","50","61510","55210"
"In post","2022","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","360","340","35270","33370"
"In post","2022","Digital, Data & Technology","AA/AO","950","920","21880","21380"
"In post","2022","Digital, Data & Technology","EO","3790","3630","27620","27130"
"In post","2022","Digital, Data & Technology","G6/G7","6000","5880","57750","55210"
"In post","2022","Digital, Data & Technology","SCS","330","330","92360","85820"
"In post","2022","Digital, Data & Technology","SEO/HEO","10910","10610","37420","36840"
"In post","2022","Digital, Data & Technology","Unknown","70","70","34230","32300"
"In post","2022","Finance","AA/AO","1720","1460","21770","21260"
"In post","2022","Finance","EO","2100","1990","26870","26820"
"In post","2022","Finance","G6/G7","2770","2700","58350","56730"
"In post","2022","Finance","SCS","310","300","87380","80160"
"In post","2022","Finance","SEO/HEO","5430","5230","37230","36540"
"In post","2022","Finance","Unknown","60","50","50720","44130"
"In post","2022","Grants Management","AA/AO","1280","1170","21280","21300"
"In post","2022","Grants Management","EO","600","550","25440","25190"
"In post","2022","Grants Management","G6/G7","70","70","51780","49370"
"In post","2022","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","SEO/HEO","360","330","32590","31070"
"In post","2022","Human Resources","AA/AO","1640","1480","21720","21260"
"In post","2022","Human Resources","EO","2590","2420","27290","27270"
"In post","2022","Human Resources","G6/G7","2340","2270","57690","55560"
"In post","2022","Human Resources","SCS","260","260","86780","79320"
"In post","2022","Human Resources","SEO/HEO","4850","4640","36270","35430"
"In post","2022","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","50","40","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","210","200","58640","56850"
"In post","2022","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","460","430","40660","40520"
"In post","2022","Legal","AA/AO","1620","1490","22770","22200"
"In post","2022","Legal","EO","2130","1990","28010","27580"
"In post","2022","Legal","G6/G7","6000","5540","59410","57960"
"In post","2022","Legal","SCS","460","440","87880","82520"
"In post","2022","Legal","SEO/HEO","2200","2100","39480","38000"
"In post","2022","No function","AA/AO","93790","83910","23040","21260"
"In post","2022","No function","EO","76800","70800","28380","27570"
"In post","2022","No function","G6/G7","24670","23880","58490","55210"
"In post","2022","No function","SCS","3330","3200","89830","81050"
"In post","2022","No function","SEO/HEO","56740","54490","36910","35860"
"In post","2022","No function","Unknown","19200","17770","30100","28200"
"In post","2022","Project Delivery","AA/AO","630","550","22030","21260"
"In post","2022","Project Delivery","EO","3440","3250","24860","25750"
"In post","2022","Project Delivery","G6/G7","7240","7040","58080","55580"
"In post","2022","Project Delivery","SCS","590","580","92460","83920"
"In post","2022","Project Delivery","SEO/HEO","13050","12530","36720","37140"
"In post","2022","Project Delivery","Unknown","1610","1570","41060","39850"
"In post","2022","Property","AA/AO","1830","1720","21490","21840"
"In post","2022","Property","EO","1910","1810","26770","26670"
"In post","2022","Property","G6/G7","1740","1690","58420","57150"
"In post","2022","Property","SCS","120","120","92470","87080"
"In post","2022","Property","SEO/HEO","3900","3760","37590","36460"
"In post","2022","Property","Unknown","50","50","[c]","[c]"
"In post","2022","Security","AA/AO","5650","5510","26930","22900"
"In post","2022","Security","EO","1510","1470","31750","28590"
"In post","2022","Security","G6/G7","610","600","59310","57870"
"In post","2022","Security","SCS","60","60","88630","78860"
"In post","2022","Security","SEO/HEO","2670","2610","38860","37090"
"In post","2022","Security","Unknown","190","180","32770","31370"
"In post","2022","Unknown","AA/AO","19030","17640","22190","21680"
"In post","2022","Unknown","EO","23070","21640","27490","27230"
"In post","2022","Unknown","G6/G7","10180","9810","62140","61440"
"In post","2022","Unknown","SCS","1020","980","89540","83230"
"In post","2022","Unknown","SEO/HEO","24300","23470","38110","37460"
"In post","2022","Unknown","Unknown","2060","2050","37420","34160"
"Leaver CS","2021","Analysis","AA/AO","100","100","21090","19130"
"Leaver CS","2021","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","50","40","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","90","80","34920","34650"
"Leaver CS","2021","Commercial","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","70","70","65990","63970"
"Leaver CS","2021","Commercial","SCS","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","100","90","37820","37000"
"Leaver CS","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","40","30","[c]","[c]"
"Leaver CS","2021","Communications","EO","40","30","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","120","120","35780","35180"
"Leaver CS","2021","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","50","50","21000","21110"
"Leaver CS","2021","Digital, Data & Technology","EO","80","80","27360","26670"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","120","120","59140","57980"
"Leaver CS","2021","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","160","160","37900","38140"
"Leaver CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Finance","EO","30","30","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","60","50","63130","62970"
"Leaver CS","2021","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","100","90","39200","37590"
"Leaver CS","2021","Grants Management","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","70","70","20930","20920"
"Leaver CS","2021","Human Resources","EO","50","50","26270","27000"
"Leaver CS","2021","Human Resources","G6/G7","60","60","58680","58360"
"Leaver CS","2021","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","120","110","38620","38610"
"Leaver CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","150","140","22090","21950"
"Leaver CS","2021","Legal","EO","90","80","26730","26830"
"Leaver CS","2021","Legal","G6/G7","250","220","58980","55610"
"Leaver CS","2021","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","150","130","40730","40800"
"Leaver CS","2021","No function","AA/AO","5120","4620","20460","20100"
"Leaver CS","2021","No function","EO","1220","1100","27150","26700"
"Leaver CS","2021","No function","G6/G7","600","550","60290","57470"
"Leaver CS","2021","No function","SCS","140","130","106280","104580"
"Leaver CS","2021","No function","SEO/HEO","1410","1290","36930","35550"
"Leaver CS","2021","No function","Unknown","660","570","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","200","190","22340","21950"
"Leaver CS","2021","Project Delivery","G6/G7","140","130","58990","56740"
"Leaver CS","2021","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","390","370","36370","36260"
"Leaver CS","2021","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","180","170","20930","20300"
"Leaver CS","2021","Property","EO","160","140","26510","26000"
"Leaver CS","2021","Property","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","160","140","38400","37620"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","320","310","27340","22650"
"Leaver CS","2021","Security","EO","50","50","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","5710","4730","21220","21010"
"Leaver CS","2021","Unknown","EO","4170","3500","27960","27570"
"Leaver CS","2021","Unknown","G6/G7","1030","870","61880","60380"
"Leaver CS","2021","Unknown","SCS","180","130","89500","83900"
"Leaver CS","2021","Unknown","SEO/HEO","2630","2310","36770","36460"
"Leaver CS","2021","Unknown","Unknown","540","510","35090","32700"
"Leaver CS","2022","Analysis","AA/AO","130","130","21360","20950"
"Leaver CS","2022","Analysis","EO","60","60","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","110","70","60900","57390"
"Leaver CS","2022","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","230","200","35890","35900"
"Leaver CS","2022","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","60","50","25860","26120"
"Leaver CS","2022","Commercial","G6/G7","180","160","66280","64500"
"Leaver CS","2022","Commercial","SCS","40","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","210","160","37500","36820"
"Leaver CS","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","30","30","[c]","[c]"
"Leaver CS","2022","Communications","EO","80","60","27290","26930"
"Leaver CS","2022","Communications","G6/G7","80","60","59870","58080"
"Leaver CS","2022","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SEO/HEO","200","190","38240","37740"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","100","70","21760","21260"
"Leaver CS","2022","Counter Fraud","EO","160","120","27860","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","SEO/HEO","80","60","37060","36020"
"Leaver CS","2022","Debt","AA/AO","190","160","21360","21260"
"Leaver CS","2022","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","120","110","20990","21170"
"Leaver CS","2022","Digital, Data & Technology","EO","230","210","27350","26990"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","390","370","58740","56670"
"Leaver CS","2022","Digital, Data & Technology","SCS","30","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","630","580","38000","37260"
"Leaver CS","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","70","70","21910","21540"
"Leaver CS","2022","Finance","EO","90","70","26800","26670"
"Leaver CS","2022","Finance","G6/G7","100","90","58460","57210"
"Leaver CS","2022","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","SEO/HEO","210","170","38700","37900"
"Leaver CS","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","AA/AO","90","80","21180","21300"
"Leaver CS","2022","Grants Management","EO","50","40","[c]","[c]"
"Leaver CS","2022","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","AA/AO","140","120","21560","21170"
"Leaver CS","2022","Human Resources","EO","170","150","26720","27500"
"Leaver CS","2022","Human Resources","G6/G7","100","90","57820","56340"
"Leaver CS","2022","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","SEO/HEO","240","220","37410","36780"
"Leaver CS","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Legal","AA/AO","150","130","22100","22200"
"Leaver CS","2022","Legal","EO","100","90","28160","27350"
"Leaver CS","2022","Legal","G6/G7","350","300","59020","55610"
"Leaver CS","2022","Legal","SCS","40","30","[c]","[c]"
"Leaver CS","2022","Legal","SEO/HEO","120","110","40440","38310"
"Leaver CS","2022","No function","AA/AO","10500","9430","21230","21260"
"Leaver CS","2022","No function","EO","6230","5560","27890","27570"
"Leaver CS","2022","No function","G6/G7","1770","1600","59060","55830"
"Leaver CS","2022","No function","SCS","370","320","96570","93370"
"Leaver CS","2022","No function","SEO/HEO","3770","3390","36920","36330"
"Leaver CS","2022","No function","Unknown","1820","1610","34570","29600"
"Leaver CS","2022","Project Delivery","AA/AO","60","50","21430","21260"
"Leaver CS","2022","Project Delivery","EO","230","220","23250","23220"
"Leaver CS","2022","Project Delivery","G6/G7","260","240","59630","58150"
"Leaver CS","2022","Project Delivery","SCS","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","600","560","36310","36530"
"Leaver CS","2022","Project Delivery","Unknown","120","120","37180","35650"
"Leaver CS","2022","Property","AA/AO","250","230","20970","21100"
"Leaver CS","2022","Property","EO","100","80","25850","26030"
"Leaver CS","2022","Property","G6/G7","70","60","59170","58240"
"Leaver CS","2022","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","190","180","38880","38770"
"Leaver CS","2022","Security","AA/AO","530","500","28490","25000"
"Leaver CS","2022","Security","EO","120","110","32710","29200"
"Leaver CS","2022","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SEO/HEO","140","130","39830","36740"
"Leaver CS","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","5030","4310","21750","21260"
"Leaver CS","2022","Unknown","EO","2880","2520","27900","27570"
"Leaver CS","2022","Unknown","G6/G7","840","720","63900","62170"
"Leaver CS","2022","Unknown","SCS","140","110","97710","93350"
"Leaver CS","2022","Unknown","SEO/HEO","2200","1920","38470","37460"
"Leaver CS","2022","Unknown","Unknown","360","270","36620","33270"
"Leaver Dept.","2021","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","G6/G7","90","80","58260","57600"
"Leaver Dept.","2021","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","SEO/HEO","150","150","35230","33990"
"Leaver Dept.","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO/HEO","70","70","37700","37410"
"Leaver Dept.","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","EO","30","30","[c]","[c]"
"Leaver Dept.","2021","Communications","G6/G7","50","50","57520","54700"
"Leaver Dept.","2021","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","SEO/HEO","120","110","37420","36660"
"Leaver Dept.","2021","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","EO","40","40","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","G6/G7","90","90","59470","56020"
"Leaver Dept.","2021","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","SEO/HEO","100","90","36710","36030"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","EO","30","30","[c]","[c]"
"Leaver Dept.","2021","Finance","G6/G7","70","70","59540","58130"
"Leaver Dept.","2021","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","SEO/HEO","90","80","38920","38070"
"Leaver Dept.","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","AA/AO","60","60","21040","20800"
"Leaver Dept.","2021","Human Resources","EO","80","80","26460","26380"
"Leaver Dept.","2021","Human Resources","G6/G7","100","100","57060","56850"
"Leaver Dept.","2021","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","SEO/HEO","210","210","35680","34400"
"Leaver Dept.","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Legal","EO","40","40","[c]","[c]"
"Leaver Dept.","2021","Legal","G6/G7","90","80","59020","58010"
"Leaver Dept.","2021","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","No function","AA/AO","680","650","20580","20100"
"Leaver Dept.","2021","No function","EO","510","500","26080","26410"
"Leaver Dept.","2021","No function","G6/G7","840","810","55930","54230"
"Leaver Dept.","2021","No function","SCS","140","130","88340","77730"
"Leaver Dept.","2021","No function","SEO/HEO","1760","1740","33990","32750"
"Leaver Dept.","2021","No function","Unknown","90","90","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","EO","80","80","24110","24500"
"Leaver Dept.","2021","Project Delivery","G6/G7","140","140","57070","54730"
"Leaver Dept.","2021","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","SEO/HEO","270","260","34420","33460"
"Leaver Dept.","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","SCS","[c]","[c]","[c]","[c]"
