"Status","Year","Responsibility_level","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Counter Fraud","120","110","26410","25580"
"In post","2021","EO","Female","Digital, Data and Technology","810","760","27230","26670"
"In post","2021","EO","Female","Economics","60","60","26300","26250"
"In post","2021","EO","Female","Finance","1050","970","26670","26670"
"In post","2021","EO","Female","Human Resources","990","920","26910","26670"
"In post","2021","EO","Female","Intelligence Analysis","790","720","27450","27370"
"In post","2021","EO","Female","Internal Audit","30","30","[c]","[c]"
"In post","2021","EO","Female","International Trade","50","50","[c]","[c]"
"In post","2021","EO","Female","Knowledge and Information Management","320","290","26840","26670"
"In post","2021","EO","Female","Legal","980","920","27400","26060"
"In post","2021","EO","Female","Medicine","240","210","30900","30620"
"In post","2021","EO","Female","Operational Delivery","23190","20940","27120","26570"
"In post","2021","EO","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Other","2340","2200","26230","26670"
"In post","2021","EO","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Policy","1630","1570","28320","28410"
"In post","2021","EO","Female","Project Delivery","1200","1130","26530","26670"
"In post","2021","EO","Female","Property","740","660","27040","26500"
"In post","2021","EO","Female","Psychology","360","350","26920","26330"
"In post","2021","EO","Female","Science and Engineering","610","570","26150","26560"
"In post","2021","EO","Female","Security","310","290","29390","27070"
"In post","2021","EO","Female","Social Research","30","30","[c]","[c]"
"In post","2021","EO","Female","Statistics","110","100","27640","27850"
"In post","2021","EO","Female","Tax","2020","1810","26690","25560"
"In post","2021","EO","Female","Unknown","34670","30560","28050","27570"
"In post","2021","EO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Commercial","290","280","26120","26360"
"In post","2021","EO","Male","Communications","260","260","27550","27270"
"In post","2021","EO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Counter Fraud","70","70","26920","26350"
"In post","2021","EO","Male","Digital, Data and Technology","1410","1390","27660","26750"
"In post","2021","EO","Male","Economics","60","60","27640","27680"
"In post","2021","EO","Male","Finance","580","570","26390","26670"
"In post","2021","EO","Male","Human Resources","390","380","27640","27180"
"In post","2021","EO","Male","Intelligence Analysis","780","760","28140","27370"
"In post","2021","EO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","International Trade","50","50","26910","26510"
"In post","2021","EO","Male","Knowledge and Information Management","190","190","27140","26670"
"In post","2021","EO","Male","Legal","960","950","27400","25560"
"In post","2021","EO","Male","Medicine","90","90","29660","30620"
"In post","2021","EO","Male","Operational Delivery","21900","20890","28430","27370"
"In post","2021","EO","Male","Operational Research","40","40","[c]","[c]"
"In post","2021","EO","Male","Other","2810","2710","26550","26670"
"In post","2021","EO","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Policy","1050","1040","28270","28500"
"In post","2021","EO","Male","Project Delivery","710","690","26550","26670"
"In post","2021","EO","Male","Property","770","750","27010","26670"
"In post","2021","EO","Male","Psychology","70","60","26730","26850"
"In post","2021","EO","Male","Science and Engineering","1400","1370","25750","26370"
"In post","2021","EO","Male","Security","790","780","34170","31980"
"In post","2021","EO","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Statistics","140","130","27970","28270"
"In post","2021","EO","Male","Tax","2040","1960","26420","25560"
"In post","2021","EO","Male","Unknown","18560","17890","28110","27570"
"In post","2021","EO","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Commercial","470","450","57950","54970"
"In post","2021","G6/G7","Female","Communications","560","530","57970","56620"
"In post","2021","G6/G7","Female","Corporate Finance","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","Counter Fraud","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","Digital, Data and Technology","1190","1150","57040","55650"
"In post","2021","G6/G7","Female","Economics","360","330","59210","57850"
"In post","2021","G6/G7","Female","Finance","1020","980","58220","57460"
"In post","2021","G6/G7","Female","Human Resources","1170","1120","57900","56610"
"In post","2021","G6/G7","Female","Inspector of Education and Training","300","300","74720","75500"
"In post","2021","G6/G7","Female","Intelligence Analysis","180","170","58180","56740"
"In post","2021","G6/G7","Female","Internal Audit","80","80","58830","56150"
"In post","2021","G6/G7","Female","International Trade","260","250","54720","51970"
"In post","2021","G6/G7","Female","Knowledge and Information Management","220","200","56700","54540"
"In post","2021","G6/G7","Female","Legal","3660","3290","58870","57330"
"In post","2021","G6/G7","Female","Medicine","390","330","72620","74070"
"In post","2021","G6/G7","Female","Operational Delivery","3310","3190","57250","54440"
"In post","2021","G6/G7","Female","Operational Research","170","150","54780","54540"
"In post","2021","G6/G7","Female","Other","850","810","59930","57680"
"In post","2021","G6/G7","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Planning Inspectors","130","110","57420","58810"
"In post","2021","G6/G7","Female","Policy","5740","5490","58070","56620"
"In post","2021","G6/G7","Female","Project Delivery","1960","1890","56310","54540"
"In post","2021","G6/G7","Female","Property","370","360","56840","54990"
"In post","2021","G6/G7","Female","Psychology","90","90","63910","65520"
"In post","2021","G6/G7","Female","Science and Engineering","1010","930","55940","53830"
"In post","2021","G6/G7","Female","Security","110","100","59360","56800"
"In post","2021","G6/G7","Female","Social Research","210","190","56350","57430"
"In post","2021","G6/G7","Female","Statistics","310","280","56420","56200"
"In post","2021","G6/G7","Female","Tax","1010","960","56330","52580"
"In post","2021","G6/G7","Female","Unknown","4920","4690","59110","56640"
"In post","2021","G6/G7","Female","Veterinarian","80","70","54390","54150"
"In post","2021","G6/G7","Male","Commercial","550","540","59890","58110"
"In post","2021","G6/G7","Male","Communications","380","380","58220","56960"
"In post","2021","G6/G7","Male","Corporate Finance","40","40","[c]","[c]"
"In post","2021","G6/G7","Male","Counter Fraud","90","80","61810","58820"
"In post","2021","G6/G7","Male","Digital, Data and Technology","2270","2250","59010","57460"
"In post","2021","G6/G7","Male","Economics","590","580","59840","58130"
"In post","2021","G6/G7","Male","Finance","1120","1110","59870","58770"
"In post","2021","G6/G7","Male","Human Resources","500","490","59280","57740"
"In post","2021","G6/G7","Male","Inspector of Education and Training","210","200","76280","75500"
"In post","2021","G6/G7","Male","Intelligence Analysis","230","230","58900","57740"
"In post","2021","G6/G7","Male","Internal Audit","110","110","58980","58470"
"In post","2021","G6/G7","Male","International Trade","340","340","56290","54600"
"In post","2021","G6/G7","Male","Knowledge and Information Management","190","190","58340","56720"
"In post","2021","G6/G7","Male","Legal","2270","2190","60310","59160"
"In post","2021","G6/G7","Male","Medicine","280","250","76690","78980"
"In post","2021","G6/G7","Male","Operational Delivery","3230","3170","60320","57740"
"In post","2021","G6/G7","Male","Operational Research","340","330","54110","53550"
"In post","2021","G6/G7","Male","Other","1100","1080","63040","59970"
"In post","2021","G6/G7","Male","Planning","40","30","[c]","[c]"
"In post","2021","G6/G7","Male","Planning Inspectors","220","190","57960","58810"
"In post","2021","G6/G7","Male","Policy","5630","5570","58890","57460"
"In post","2021","G6/G7","Male","Project Delivery","2380","2350","57360","55120"
"In post","2021","G6/G7","Male","Property","790","770","58710","57130"
"In post","2021","G6/G7","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Male","Science and Engineering","2120","2050","55510","54890"
"In post","2021","G6/G7","Male","Security","240","230","59820","57460"
"In post","2021","G6/G7","Male","Social Research","110","110","56350","56190"
"In post","2021","G6/G7","Male","Statistics","350","350","57680","57850"
"In post","2021","G6/G7","Male","Tax","1700","1640","57270","52580"
"In post","2021","G6/G7","Male","Unknown","4720","4640","60100","58850"
"In post","2021","G6/G7","Male","Veterinarian","80","70","57380","56760"
"In post","2021","G6/G7","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Commercial","50","40","[c]","[c]"
"In post","2021","SCS","Female","Communications","70","60","83440","79580"
"In post","2021","SCS","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Digital, Data and Technology","80","80","87410","80420"
"In post","2021","SCS","Female","Economics","30","30","[c]","[c]"
"In post","2021","SCS","Female","Finance","110","110","88770","81830"
"In post","2021","SCS","Female","Human Resources","130","120","89020","82020"
"In post","2021","SCS","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","International Trade","50","50","79670","74540"
"In post","2021","SCS","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Legal","210","200","86910","82500"
"In post","2021","SCS","Female","Medicine","260","220","105080","98890"
"In post","2021","SCS","Female","Operational Delivery","290","280","91300","82500"
"In post","2021","SCS","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Other","130","120","89200","83510"
"In post","2021","SCS","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Policy","880","830","83510","76700"
"In post","2021","SCS","Female","Project Delivery","190","180","88080","84130"
"In post","2021","SCS","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Science and Engineering","40","30","[c]","[c]"
"In post","2021","SCS","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Tax","50","40","[c]","[c]"
"In post","2021","SCS","Female","Unknown","740","710","87950","79930"
"In post","2021","SCS","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Commercial","60","60","89190","80900"
"In post","2021","SCS","Male","Communications","50","50","91190","84670"
"In post","2021","SCS","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Digital, Data and Technology","140","140","93360","87910"
"In post","2021","SCS","Male","Economics","60","60","88330","81610"
"In post","2021","SCS","Male","Finance","170","170","91720","85100"
"In post","2021","SCS","Male","Human Resources","60","60","89200","83690"
"In post","2021","SCS","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","International Trade","60","60","90530","76810"
"In post","2021","SCS","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Legal","180","170","90200","83830"
"In post","2021","SCS","Male","Medicine","170","150","109440","106750"
"In post","2021","SCS","Male","Operational Delivery","360","360","94350","90530"
"In post","2021","SCS","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Other","140","140","98840","90100"
"In post","2021","SCS","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Policy","960","950","87550","78460"
"In post","2021","SCS","Male","Project Delivery","240","240","95060","86700"
"In post","2021","SCS","Male","Property","40","40","[c]","[c]"
"In post","2021","SCS","Male","Science and Engineering","90","80","96770","92370"
"In post","2021","SCS","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Tax","40","40","[c]","[c]"
"In post","2021","SCS","Male","Unknown","920","910","94200","83230"
"In post","2021","SCS","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Female","Commercial","1650","1570","36900","36780"
"In post","2021","SEO/HEO","Female","Communications","1190","1140","37870","37410"
"In post","2021","SEO/HEO","Female","Corporate Finance","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Female","Counter Fraud","210","200","37240","37910"
"In post","2021","SEO/HEO","Female","Digital, Data and Technology","2340","2220","36870","36740"
"In post","2021","SEO/HEO","Female","Economics","310","310","34670","33880"
"In post","2021","SEO/HEO","Female","Finance","2080","1970","37440","36820"
"In post","2021","SEO/HEO","Female","Human Resources","2350","2210","36610","35990"
"In post","2021","SEO/HEO","Female","Inspector of Education and Training","300","290","51010","51360"
"In post","2021","SEO/HEO","Female","Intelligence Analysis","510","490","36310","36040"
"In post","2021","SEO/HEO","Female","Internal Audit","260","240","40010","39980"
"In post","2021","SEO/HEO","Female","International Trade","290","290","35220","34760"
"In post","2021","SEO/HEO","Female","Knowledge and Information Management","530","490","36340","36330"
"In post","2021","SEO/HEO","Female","Legal","2010","1840","38830","38000"
"In post","2021","SEO/HEO","Female","Medicine","540","480","38460","37890"
"In post","2021","SEO/HEO","Female","Operational Delivery","15790","14830","35770","34510"
"In post","2021","SEO/HEO","Female","Operational Research","220","210","36130","37020"
"In post","2021","SEO/HEO","Female","Other","2610","2480","35860","35190"
"In post","2021","SEO/HEO","Female","Planning","50","40","38800","39800"
"In post","2021","SEO/HEO","Female","Policy","6930","6680","36990","36660"
"In post","2021","SEO/HEO","Female","Project Delivery","4320","4120","36370","36070"
"In post","2021","SEO/HEO","Female","Property","1190","1120","36470","35000"
"In post","2021","SEO/HEO","Female","Psychology","720","690","37380","32350"
"In post","2021","SEO/HEO","Female","Science and Engineering","2240","2060","36320","37080"
"In post","2021","SEO/HEO","Female","Security","470","460","38570","37320"
"In post","2021","SEO/HEO","Female","Social Research","550","520","37960","37020"
"In post","2021","SEO/HEO","Female","Statistics","490","460","36670","37020"
"In post","2021","SEO/HEO","Female","Tax","3340","3120","34440","31870"
"In post","2021","SEO/HEO","Female","Unknown","12260","11580","35280","34290"
"In post","2021","SEO/HEO","Female","Veterinarian","170","160","40310","37530"
"In post","2021","SEO/HEO","Male","Commercial","1390","1380","38550","38160"
"In post","2021","SEO/HEO","Male","Communications","830","820","38080","37410"
"In post","2021","SEO/HEO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Male","Counter Fraud","310","310","37770","38090"
"In post","2021","SEO/HEO","Male","Digital, Data and Technology","4530","4470","38210","38070"
"In post","2021","SEO/HEO","Male","Economics","600","590","35070","34000"
"In post","2021","SEO/HEO","Male","Finance","1740","1710","38220","37710"
"In post","2021","SEO/HEO","Male","Human Resources","1030","1000","37380","36780"
"In post","2021","SEO/HEO","Male","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Male","Intelligence Analysis","760","750","37440","36560"
"In post","2021","SEO/HEO","Male","Internal Audit","220","220","41090","40580"
"In post","2021","SEO/HEO","Male","International Trade","370","370","35590","34990"
"In post","2021","SEO/HEO","Male","Knowledge and Information Management","530","530","37340","37320"
"In post","2021","SEO/HEO","Male","Legal","1570","1520","37780","36240"
"In post","2021","SEO/HEO","Male","Medicine","190","190","39200","38490"
"In post","2021","SEO/HEO","Male","Operational Delivery","14880","14370","37970","36720"
"In post","2021","SEO/HEO","Male","Operational Research","340","340","37200","37320"
"In post","2021","SEO/HEO","Male","Other","2780","2720","36340","35720"
"In post","2021","SEO/HEO","Male","Planning","50","50","38580","38660"
"In post","2021","SEO/HEO","Male","Policy","5440","5380","37450","36800"
"In post","2021","SEO/HEO","Male","Project Delivery","4160","4090","37410","38080"
"In post","2021","SEO/HEO","Male","Property","1980","1920","37610","36460"
"In post","2021","SEO/HEO","Male","Psychology","80","80","36990","33710"
"In post","2021","SEO/HEO","Male","Science and Engineering","4370","4270","37420","37320"
"In post","2021","SEO/HEO","Male","Security","880","870","41520","38630"
"In post","2021","SEO/HEO","Male","Social Research","230","220","36090","36770"
"In post","2021","SEO/HEO","Male","Statistics","530","520","36980","36820"
"In post","2021","SEO/HEO","Male","Tax","3810","3660","34720","31940"
"In post","2021","SEO/HEO","Male","Unknown","9270","9070","36090","35110"
"In post","2021","SEO/HEO","Male","Veterinarian","120","110","40980","37910"
"In post","2021","SEO/HEO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","110","100","36870","33010"
"In post","2021","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Finance","80","80","41270","39860"
"In post","2021","Unknown","Female","Human Resources","30","30","[c]","[c]"
"In post","2021","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Operational Delivery","9420","8610","29650","28200"
"In post","2021","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Other","210","210","34760","33570"
"In post","2021","Unknown","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Project Delivery","170","160","38410","36480"
"In post","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Science and Engineering","80","80","38580","33740"
"In post","2021","Unknown","Female","Security","50","40","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","110","100","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","110","110","40320","38240"
"In post","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Digital, Data and Technology","50","50","37220","37440"
"In post","2021","Unknown","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Finance","60","50","41440","40410"
"In post","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Operational Delivery","2780","2680","30840","30210"
"In post","2021","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Other","1850","1850","38680","35380"
"In post","2021","Unknown","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Project Delivery","380","380","45260","41920"
"In post","2021","Unknown","Male","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Science and Engineering","730","720","39420","37190"
"In post","2021","Unknown","Male","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","150","140","[c]","[c]"
"In post","2022","AA/AO","Female","Commercial","170","150","22420","21640"
"In post","2022","AA/AO","Female","Communications","120","110","22280","21790"
"In post","2022","AA/AO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Counter Fraud","1000","810","22530","21260"
"In post","2022","AA/AO","Female","Digital, Data and Technology","280","260","21790","21280"
"In post","2022","AA/AO","Female","Economics","30","30","[c]","[c]"
"In post","2022","AA/AO","Female","Finance","660","570","21990","21380"
"In post","2022","AA/AO","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Human Resources","900","810","21960","21380"
"In post","2022","AA/AO","Female","Intelligence Analysis","70","60","23320","21960"
"In post","2022","AA/AO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Knowledge and Information Management","230","220","22240","21380"
"In post","2022","AA/AO","Female","Legal","160","130","22190","22080"
"In post","2022","AA/AO","Female","Medicine","310","290","22810","23280"
"In post","2022","AA/AO","Female","Operational Delivery","60250","51210","22300","21260"
"In post","2022","AA/AO","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Other","6460","5800","21510","21260"
"In post","2022","AA/AO","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Policy","420","390","23600","23720"
"In post","2022","AA/AO","Female","Project Delivery","330","260","22110","21260"
"In post","2022","AA/AO","Female","Property","450","390","20770","21250"
"In post","2022","AA/AO","Female","Psychology","80","70","21700","21550"
"In post","2022","AA/AO","Female","Science and Engineering","320","310","22060","21580"
"In post","2022","AA/AO","Female","Security","860","820","25220","21830"
"In post","2022","AA/AO","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Statistics","40","40","[c]","[c]"
"In post","2022","AA/AO","Female","Tax","1820","1660","21370","21250"
"In post","2022","AA/AO","Female","Unknown","2490","2280","22820","22140"
"In post","2022","AA/AO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Male","Commercial","150","140","22720","21640"
"In post","2022","AA/AO","Male","Communications","90","90","22350","21830"
"In post","2022","AA/AO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Male","Counter Fraud","490","460","22430","21260"
"In post","2022","AA/AO","Male","Digital, Data and Technology","390","380","21990","21380"
"In post","2022","AA/AO","Male","Economics","50","50","[c]","[c]"
"In post","2022","AA/AO","Male","Finance","330","310","22010","21380"
"In post","2022","AA/AO","Male","Geography","50","40","[c]","[c]"
"In post","2022","AA/AO","Male","Human Resources","330","320","22020","21410"
