"Status","Year","Ethnicity","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared non-disabled","Internal Audit","60","60","45850","44020"
"In post","2021","Asian","Declared non-disabled","Legal","840","790","43280","43090"
"In post","2021","Asian","Declared non-disabled","No function","7140","6700","32250","28220"
"In post","2021","Asian","Declared non-disabled","Project Delivery","890","870","41440","38340"
"In post","2021","Asian","Declared non-disabled","Property","240","230","33830","30680"
"In post","2021","Asian","Declared non-disabled","Security","160","160","31810","30230"
"In post","2021","Asian","Declared non-disabled","Unknown","10460","9570","29480","27570"
"In post","2021","Asian","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","No function","460","430","32650","29570"
"In post","2021","Asian","Undeclared","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Unknown","520","470","29110","27570"
"In post","2021","Asian","Unknown","Analysis","60","60","40460","35920"
"In post","2021","Asian","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","60","60","33410","31330"
"In post","2021","Asian","Unknown","Counter Fraud","90","90","30380","29570"
"In post","2021","Asian","Unknown","Debt","50","40","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data & Technology","130","130","39770","36500"
"In post","2021","Asian","Unknown","Finance","80","80","35720","33140"
"In post","2021","Asian","Unknown","Human Resources","50","50","34640","31680"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","170","160","37670","38000"
"In post","2021","Asian","Unknown","No function","920","860","36020","31810"
"In post","2021","Asian","Unknown","Project Delivery","110","110","44010","38630"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Security","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","350","340","37420","32140"
"In post","2021","Black","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Legal","60","60","40580","35020"
"In post","2021","Black","Declared disabled","No function","660","630","31660","29570"
"In post","2021","Black","Declared disabled","Project Delivery","60","60","36640","33260"
"In post","2021","Black","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Unknown","810","750","30180","29370"
"In post","2021","Black","Declared non-disabled","Analysis","130","130","40080","37400"
"In post","2021","Black","Declared non-disabled","Commercial","140","130","40490","36500"
"In post","2021","Black","Declared non-disabled","Communications","140","140","32920","29350"
"In post","2021","Black","Declared non-disabled","Counter Fraud","190","180","31710","30360"
"In post","2021","Black","Declared non-disabled","Debt","110","100","25030","24120"
"In post","2021","Black","Declared non-disabled","Digital, Data & Technology","290","290","38780","34560"
"In post","2021","Black","Declared non-disabled","Finance","290","290","39830","36800"
"In post","2021","Black","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Human Resources","230","220","37170","33870"
"In post","2021","Black","Declared non-disabled","Internal Audit","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Legal","490","470","42390","36240"
"In post","2021","Black","Declared non-disabled","No function","4340","4190","31850","29570"
"In post","2021","Black","Declared non-disabled","Project Delivery","510","510","39010","36530"
"In post","2021","Black","Declared non-disabled","Property","110","100","36190","33300"
"In post","2021","Black","Declared non-disabled","Security","80","80","31840","28000"
"In post","2021","Black","Declared non-disabled","Unknown","4990","4740","30470","29290"
"In post","2021","Black","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","No function","430","400","32300","31650"
"In post","2021","Black","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Unknown","220","210","28970","29290"
"In post","2021","Black","Unknown","Analysis","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Communications","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Legal","80","80","35500","27760"
"In post","2021","Black","Unknown","No function","400","380","36350","32260"
"In post","2021","Black","Unknown","Project Delivery","60","60","43450","40900"
"In post","2021","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","140","140","34150","31060"
"In post","2021","Chinese","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Analysis","50","50","46870","42890"
"In post","2021","Chinese","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Legal","50","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","No function","350","330","36070","32300"
"In post","2021","Chinese","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Unknown","310","290","32310","28160"
"In post","2021","Chinese","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","No function","60","60","43580","39720"
"In post","2021","Chinese","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Legal","40","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","No function","450","430","32140","30170"
"In post","2021","Mixed","Declared disabled","Project Delivery","60","50","38890","36800"
"In post","2021","Mixed","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Unknown","480","440","29510","27570"
"In post","2021","Mixed","Declared non-disabled","Analysis","130","130","43290","40180"
"In post","2021","Mixed","Declared non-disabled","Commercial","70","60","41050","34800"
"In post","2021","Mixed","Declared non-disabled","Communications","130","120","36870","33120"
"In post","2021","Mixed","Declared non-disabled","Counter Fraud","100","100","34760","31810"
"In post","2021","Mixed","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Digital, Data & Technology","170","170","43250","39780"
"In post","2021","Mixed","Declared non-disabled","Finance","120","120","42360","39750"
"In post","2021","Mixed","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Human Resources","120","110","39560","35060"
"In post","2021","Mixed","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Legal","250","230","48030","50880"
"In post","2021","Mixed","Declared non-disabled","No function","2330","2240","35270","31650"
"In post","2021","Mixed","Declared non-disabled","Project Delivery","340","340","42030","38570"
"In post","2021","Mixed","Declared non-disabled","Property","90","90","33200","32480"
"In post","2021","Mixed","Declared non-disabled","Security","60","60","36830","34080"
"In post","2021","Mixed","Declared non-disabled","Unknown","2080","1960","31160","27570"
"In post","2021","Mixed","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","No function","210","200","33250","31650"
"In post","2021","Mixed","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Unknown","130","120","30020","27570"
"In post","2021","Mixed","Unknown","Analysis","40","40","[c]","[c]"
"In post","2021","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Legal","50","50","[c]","[c]"
"In post","2021","Mixed","Unknown","No function","280","270","37000","32910"
"In post","2021","Mixed","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Mixed","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","100","100","37660","34560"
"In post","2021","Other ethnicity","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","No function","140","140","34900","32650"
"In post","2021","Other ethnicity","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared disabled","Unknown","130","130","30140","27570"
"In post","2021","Other ethnicity","Declared non-disabled","Analysis","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Digital, Data & Technology","70","70","43970","39650"
"In post","2021","Other ethnicity","Declared non-disabled","Finance","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Legal","100","90","51230","52660"
"In post","2021","Other ethnicity","Declared non-disabled","No function","660","630","36550","32690"
"In post","2021","Other ethnicity","Declared non-disabled","Project Delivery","100","100","43550","39830"
"In post","2021","Other ethnicity","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Security","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Declared non-disabled","Unknown","630","590","31320","28670"
"In post","2021","Other ethnicity","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","No function","70","60","34280","31650"
"In post","2021","Other ethnicity","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","No function","110","110","39930","33610"
"In post","2021","Other ethnicity","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","50","50","47020","42180"
"In post","2021","Undeclared","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Finance","30","30","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","No function","610","560","31920","29270"
"In post","2021","Undeclared","Declared disabled","Project Delivery","140","130","40690","39980"
"In post","2021","Undeclared","Declared disabled","Property","40","40","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Security","40","40","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Unknown","970","860","28210","27570"
"In post","2021","Undeclared","Declared non-disabled","Analysis","90","90","47460","42250"
"In post","2021","Undeclared","Declared non-disabled","Commercial","100","100","41690","36760"
"In post","2021","Undeclared","Declared non-disabled","Communications","80","80","34770","31810"
"In post","2021","Undeclared","Declared non-disabled","Counter Fraud","110","100","36620","32520"
"In post","2021","Undeclared","Declared non-disabled","Debt","40","30","[c]","[c]"
"In post","2021","Undeclared","Declared non-disabled","Digital, Data & Technology","270","260","42950","40450"
"In post","2021","Undeclared","Declared non-disabled","Finance","130","120","40750","37050"
"In post","2021","Undeclared","Declared non-disabled","Grants Management","60","50","27590","26370"
"In post","2021","Undeclared","Declared non-disabled","Human Resources","100","90","34860","33300"
"In post","2021","Undeclared","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared non-disabled","Legal","180","170","46570","47100"
"In post","2021","Undeclared","Declared non-disabled","No function","2390","2250","34280","30780"
"In post","2021","Undeclared","Declared non-disabled","Project Delivery","500","480","41820","39980"
"In post","2021","Undeclared","Declared non-disabled","Property","150","150","36640","33300"
"In post","2021","Undeclared","Declared non-disabled","Security","140","140","33380","33300"
"In post","2021","Undeclared","Declared non-disabled","Unknown","4590","4090","29690","27570"
"In post","2021","Undeclared","Undeclared","Analysis","100","100","43390","41780"
"In post","2021","Undeclared","Undeclared","Commercial","110","110","40040","37530"
"In post","2021","Undeclared","Undeclared","Communications","100","100","32800","30980"
"In post","2021","Undeclared","Undeclared","Counter Fraud","350","330","36680","32100"
"In post","2021","Undeclared","Undeclared","Debt","80","70","25130","21440"
"In post","2021","Undeclared","Undeclared","Digital, Data & Technology","260","250","41130","38630"
"In post","2021","Undeclared","Undeclared","Finance","170","160","39420","35330"
"In post","2021","Undeclared","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Human Resources","120","110","37410","31820"
"In post","2021","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Legal","100","100","49150","46530"
"In post","2021","Undeclared","Undeclared","No function","2630","2470","35270","31810"
"In post","2021","Undeclared","Undeclared","Project Delivery","680","660","42210","40300"
"In post","2021","Undeclared","Undeclared","Property","220","210","37990","33630"
"In post","2021","Undeclared","Undeclared","Security","230","220","35330","35670"
"In post","2021","Undeclared","Undeclared","Unknown","2210","2090","32750","28650"
"In post","2021","Undeclared","Unknown","Analysis","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Commercial","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Counter Fraud","90","80","34970","32520"
"In post","2021","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Digital, Data & Technology","80","80","40280","38630"
"In post","2021","Undeclared","Unknown","Finance","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Legal","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","No function","1290","1200","37420","33650"
"In post","2021","Undeclared","Unknown","Project Delivery","200","200","42710","40050"
"In post","2021","Undeclared","Unknown","Property","50","50","[c]","[c]"
