"Status","Year","Region_ITL1","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","East Anglia","Project Delivery","490","470","37080","33740"
"In post","2021","East of England","East Anglia","Property","390","370","33660","33300"
"In post","2021","East of England","East Anglia","Security","240","240","29420","26710"
"In post","2021","East of England","East Anglia","Unknown","3960","3600","26520","27370"
"In post","2021","East of England","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Counter Fraud","40","40","[c]","[c]"
"In post","2021","East of England","Essex","Debt","60","50","23200","21440"
"In post","2021","East of England","Essex","Digital, Data & Technology","300","280","37520","34620"
"In post","2021","East of England","Essex","Finance","220","200","30550","28130"
"In post","2021","East of England","Essex","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Human Resources","30","30","[c]","[c]"
"In post","2021","East of England","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Legal","220","200","40800","36240"
"In post","2021","East of England","Essex","No function","1400","1290","29910","28030"
"In post","2021","East of England","Essex","Project Delivery","190","180","39330","38630"
"In post","2021","East of England","Essex","Property","120","120","28670","26500"
"In post","2021","East of England","Essex","Security","220","220","40170","40070"
"In post","2021","East of England","Essex","Unknown","2710","2470","28470","29290"
"In post","2021","London","Inner London - East","Analysis","690","670","50740","46820"
"In post","2021","London","Inner London - East","Commercial","200","200","53290","51900"
"In post","2021","London","Inner London - East","Communications","230","220","46870","41010"
"In post","2021","London","Inner London - East","Counter Fraud","180","170","40800","38510"
"In post","2021","London","Inner London - East","Debt","250","230","27810","25630"
"In post","2021","London","Inner London - East","Digital, Data & Technology","1290","1270","51010","54700"
"In post","2021","London","Inner London - East","Finance","410","400","48310","43300"
"In post","2021","London","Inner London - East","Human Resources","430","420","48100","41990"
"In post","2021","London","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Legal","480","460","57720","59160"
"In post","2021","London","Inner London - East","No function","7330","6960","40720","36200"
"In post","2021","London","Inner London - East","Project Delivery","1010","970","53590","52580"
"In post","2021","London","Inner London - East","Property","370","360","43580","37450"
"In post","2021","London","Inner London - East","Security","70","70","38400","36580"
"In post","2021","London","Inner London - East","Unknown","4240","3980","34470","31060"
"In post","2021","London","Inner London - West","Analysis","2720","2650","48450","44500"
"In post","2021","London","Inner London - West","Commercial","1460","1430","61930","54700"
"In post","2021","London","Inner London - West","Communications","1980","1940","46530","42330"
"In post","2021","London","Inner London - West","Counter Fraud","1480","1430","39750","36160"
"In post","2021","London","Inner London - West","Debt","40","30","[c]","[c]"
"In post","2021","London","Inner London - West","Digital, Data & Technology","1880","1850","48760","45470"
"In post","2021","London","Inner London - West","Finance","1970","1920","49230","44510"
"In post","2021","London","Inner London - West","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Human Resources","2080","2020","46200","41220"
"In post","2021","London","Inner London - West","Internal Audit","190","180","54500","53070"
"In post","2021","London","Inner London - West","Legal","4630","4340","52280","51940"
"In post","2021","London","Inner London - West","No function","27980","27350","45170","40050"
"In post","2021","London","Inner London - West","Project Delivery","3850","3750","52400","53000"
"In post","2021","London","Inner London - West","Property","540","530","48290","44880"
"In post","2021","London","Inner London - West","Security","950","940","42170","38330"
"In post","2021","London","Inner London - West","Unknown","9410","9110","45970","41950"
"In post","2021","London","Outer London - East and North East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Legal","40","40","[c]","[c]"
"In post","2021","London","Outer London - East and North East","No function","1650","1570","30710","30700"
"In post","2021","London","Outer London - East and North East","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Unknown","2030","1870","30270","31060"
"In post","2021","London","Outer London - South","Analysis","40","40","[c]","[c]"
"In post","2021","London","Outer London - South","Commercial","120","120","48470","46600"
"In post","2021","London","Outer London - South","Communications","30","30","[c]","[c]"
"In post","2021","London","Outer London - South","Counter Fraud","630","610","37780","36160"
"In post","2021","London","Outer London - South","Debt","250","220","27110","24670"
"In post","2021","London","Outer London - South","Digital, Data & Technology","70","60","44550","41760"
"In post","2021","London","Outer London - South","Finance","110","100","46360","37290"
"In post","2021","London","Outer London - South","Human Resources","100","100","51970","52570"
"In post","2021","London","Outer London - South","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Legal","180","170","44650","37730"
"In post","2021","London","Outer London - South","No function","2600","2460","35030","32000"
"In post","2021","London","Outer London - South","Project Delivery","190","180","54190","59160"
"In post","2021","London","Outer London - South","Property","220","210","37720","35100"
"In post","2021","London","Outer London - South","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Unknown","6170","5840","37430","31880"
"In post","2021","London","Outer London - West and North West","Commercial","90","80","35590","30450"
"In post","2021","London","Outer London - West and North West","Communications","210","200","25840","22070"
"In post","2021","London","Outer London - West and North West","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Digital, Data & Technology","150","140","41650","41170"
"In post","2021","London","Outer London - West and North West","Finance","60","60","41790","39500"
"In post","2021","London","Outer London - West and North West","Human Resources","50","40","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Legal","70","70","42830","41440"
"In post","2021","London","Outer London - West and North West","No function","3000","2840","35450","32330"
"In post","2021","London","Outer London - West and North West","Project Delivery","50","50","40520","37890"
"In post","2021","London","Outer London - West and North West","Property","180","160","36730","34570"
"In post","2021","London","Outer London - West and North West","Security","40","40","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Unknown","5120","4680","31600","31060"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Commercial","50","50","42260","41090"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Communications","1510","1430","27930","25560"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Counter Fraud","530","510","32100","31810"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Debt","570","530","21520","20140"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Digital, Data & Technology","670","650","39010","37410"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Finance","350","330","36310","31810"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Grants Management","260","240","25390","21050"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Human Resources","560","510","27990","25170"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Internal Audit","40","30","[c]","[c]"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Legal","320","290","37440","31810"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","No function","7530","6480","25580","21440"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Project Delivery","1070","1010","39730","38630"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Property","240","220","33360","30880"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Security","50","40","[c]","[c]"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Unknown","7590","6780","27740","27570"
"In post","2021","North East (England)","Tees Valley and Durham","Analysis","30","30","[c]","[c]"
"In post","2021","North East (England)","Tees Valley and Durham","Commercial","50","50","51870","50760"
"In post","2021","North East (England)","Tees Valley and Durham","Communications","30","30","[c]","[c]"
"In post","2021","North East (England)","Tees Valley and Durham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Tees Valley and Durham","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Tees Valley and Durham","Digital, Data & Technology","100","100","37020","36960"
"In post","2021","North East (England)","Tees Valley and Durham","Finance","80","80","40060","36780"
"In post","2021","North East (England)","Tees Valley and Durham","Human Resources","60","50","33810","30640"
"In post","2021","North East (England)","Tees Valley and Durham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Tees Valley and Durham","Legal","180","160","40830","41250"
"In post","2021","North East (England)","Tees Valley and Durham","No function","4840","4460","28550","27130"
"In post","2021","North East (England)","Tees Valley and Durham","Project Delivery","50","50","39380","36780"
"In post","2021","North East (England)","Tees Valley and Durham","Property","320","300","26030","21100"
"In post","2021","North East (England)","Tees Valley and Durham","Security","50","50","34820","32700"
"In post","2021","North East (England)","Tees Valley and Durham","Unknown","3420","2980","24970","24880"
"In post","2021","North West (England)","Cheshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Digital, Data & Technology","140","130","41990","41700"
"In post","2021","North West (England)","Cheshire","Finance","30","30","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Grants Management","100","90","24740","24920"
"In post","2021","North West (England)","Cheshire","Human Resources","70","60","42030","40080"
"In post","2021","North West (England)","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Legal","50","40","[c]","[c]"
"In post","2021","North West (England)","Cheshire","No function","2410","2310","32220","31650"
"In post","2021","North West (England)","Cheshire","Project Delivery","50","50","37710","36460"
"In post","2021","North West (England)","Cheshire","Property","30","30","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cheshire","Unknown","980","890","25520","27570"
"In post","2021","North West (England)","Cumbria","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Communications","70","60","28090","25880"
"In post","2021","North West (England)","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Grants Management","650","570","24000","21050"
"In post","2021","North West (England)","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Legal","50","40","[c]","[c]"
"In post","2021","North West (England)","Cumbria","No function","610","560","27700","24920"
"In post","2021","North West (England)","Cumbria","Project Delivery","280","270","35460","33170"
"In post","2021","North West (England)","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Cumbria","Security","90","90","27810","23540"
"In post","2021","North West (England)","Cumbria","Unknown","280","240","26440","27570"
"In post","2021","North West (England)","Greater Manchester","Analysis","230","220","38120","33270"
"In post","2021","North West (England)","Greater Manchester","Commercial","340","330","43500","38630"
"In post","2021","North West (England)","Greater Manchester","Communications","500","490","29520","25560"
"In post","2021","North West (England)","Greater Manchester","Counter Fraud","1100","1040","33120","31810"
"In post","2021","North West (England)","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Greater Manchester","Digital, Data & Technology","370","360","40120","38630"
"In post","2021","North West (England)","Greater Manchester","Finance","300","290","39840","36970"
"In post","2021","North West (England)","Greater Manchester","Human Resources","670","640","34140","31810"
"In post","2021","North West (England)","Greater Manchester","Internal Audit","30","30","[c]","[c]"
"In post","2021","North West (England)","Greater Manchester","Legal","640","590","41200","38630"
"In post","2021","North West (England)","Greater Manchester","No function","7670","7190","29410","25560"
"In post","2021","North West (England)","Greater Manchester","Project Delivery","570","550","41320","38630"
"In post","2021","North West (England)","Greater Manchester","Property","230","220","37590","33250"
"In post","2021","North West (England)","Greater Manchester","Security","80","80","33960","33300"
"In post","2021","North West (England)","Greater Manchester","Unknown","6960","6450","28300","27570"
"In post","2021","North West (England)","Lancashire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Commercial","70","60","49010","49700"
"In post","2021","North West (England)","Lancashire","Communications","30","30","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Digital, Data & Technology","60","60","33420","31810"
"In post","2021","North West (England)","Lancashire","Finance","100","90","36650","32180"
"In post","2021","North West (England)","Lancashire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Human Resources","230","210","27750","26670"
"In post","2021","North West (England)","Lancashire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Lancashire","Legal","310","290","37070","31810"
"In post","2021","North West (England)","Lancashire","No function","4750","4300","27500","25560"
"In post","2021","North West (England)","Lancashire","Project Delivery","460","430","37420","33840"
"In post","2021","North West (England)","Lancashire","Property","100","90","34070","32550"
"In post","2021","North West (England)","Lancashire","Security","60","60","28580","23350"
"In post","2021","North West (England)","Lancashire","Unknown","7890","7150","27370","27570"
"In post","2021","North West (England)","Merseyside","Analysis","120","110","40300","38630"
"In post","2021","North West (England)","Merseyside","Commercial","330","320","41850","35420"
"In post","2021","North West (England)","Merseyside","Communications","100","90","38120","35030"
"In post","2021","North West (England)","Merseyside","Counter Fraud","560","520","32730","31810"
"In post","2021","North West (England)","Merseyside","Debt","310","290","22960","21440"
"In post","2021","North West (England)","Merseyside","Digital, Data & Technology","290","280","37170","33300"
"In post","2021","North West (England)","Merseyside","Finance","230","220","34310","31810"
"In post","2021","North West (England)","Merseyside","Human Resources","330","310","33890","30190"
"In post","2021","North West (England)","Merseyside","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Merseyside","Legal","410","390","39010","34480"
"In post","2021","North West (England)","Merseyside","No function","6240","5680","28890","25560"
"In post","2021","North West (England)","Merseyside","Project Delivery","620","600","39090","38630"
"In post","2021","North West (England)","Merseyside","Property","160","150","31840","28130"
"In post","2021","North West (England)","Merseyside","Security","60","60","25400","20920"
"In post","2021","North West (England)","Merseyside","Unknown","9700","8730","26070","25040"
"In post","2021","Northern Ireland","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Communications","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Counter Fraud","400","370","31180","28130"
"In post","2021","Northern Ireland","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Finance","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Legal","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","No function","1770","1650","28890","25560"
"In post","2021","Northern Ireland","Northern Ireland","Project Delivery","80","70","39170","35000"
"In post","2021","Northern Ireland","Northern Ireland","Property","100","100","28950","27680"
"In post","2021","Northern Ireland","Northern Ireland","Security","400","390","21460","20310"
"In post","2021","Northern Ireland","Northern Ireland","Unknown","920","850","25440","22330"
"In post","2021","Overseas","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Commercial","40","40","[c]","[c]"
"In post","2021","Overseas","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Finance","30","30","[c]","[c]"
"In post","2021","Overseas","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","No function","1800","1790","53100","53750"
"In post","2021","Overseas","Overseas","Project Delivery","640","640","55550","55620"
"In post","2021","Overseas","Overseas","Property","190","190","38980","36460"
"In post","2021","Overseas","Overseas","Security","130","130","39930","34450"
"In post","2021","Overseas","Overseas","Unknown","850","840","42540","40580"
"In post","2021","Scotland","Eastern Scotland","Analysis","50","50","[c]","[c]"
"In post","2021","Scotland","Eastern Scotland","Commercial","110","100","34090","29340"
"In post","2021","Scotland","Eastern Scotland","Communications","150","140","33200","31810"
"In post","2021","Scotland","Eastern Scotland","Counter Fraud","230","220","31460","29570"
"In post","2021","Scotland","Eastern Scotland","Debt","620","580","21510","20140"
"In post","2021","Scotland","Eastern Scotland","Digital, Data & Technology","270","260","38870","35230"
"In post","2021","Scotland","Eastern Scotland","Finance","170","170","35540","33650"
"In post","2021","Scotland","Eastern Scotland","Human Resources","280","270","35200","33650"
"In post","2021","Scotland","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Eastern Scotland","Legal","1230","1140","33570","29350"
"In post","2021","Scotland","Eastern Scotland","No function","4800","4510","30460","30080"
"In post","2021","Scotland","Eastern Scotland","Project Delivery","420","400","39820","36780"
"In post","2021","Scotland","Eastern Scotland","Property","520","500","32590","30080"
"In post","2021","Scotland","Eastern Scotland","Security","90","90","27780","20060"
"In post","2021","Scotland","Eastern Scotland","Unknown","10900","10220","36600","30650"
"In post","2021","Scotland","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Human Resources","30","30","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Legal","110","90","32520","29350"
"In post","2021","Scotland","Highlands and Islands","No function","290","270","30230","29040"
"In post","2021","Scotland","Highlands and Islands","Project Delivery","100","100","32980","30160"
"In post","2021","Scotland","Highlands and Islands","Property","330","320","29890","28120"
"In post","2021","Scotland","Highlands and Islands","Security","40","40","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Unknown","1000","930","27160","27570"
"In post","2021","Scotland","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Legal","110","90","31560","22820"
"In post","2021","Scotland","North Eastern Scotland","No function","670","640","40860","33650"
"In post","2021","Scotland","North Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Property","90","90","30750","28870"
"In post","2021","Scotland","North Eastern Scotland","Security","90","90","40950","44070"
"In post","2021","Scotland","North Eastern Scotland","Unknown","870","810","33340","29190"
"In post","2021","Scotland","Southern Scotland","Commercial","100","90","44820","43110"
"In post","2021","Scotland","Southern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Southern Scotland","Counter Fraud","90","80","29310","28130"
"In post","2021","Scotland","Southern Scotland","Debt","300","280","21760","20140"
"In post","2021","Scotland","Southern Scotland","Digital, Data & Technology","260","250","39070","34230"
"In post","2021","Scotland","Southern Scotland","Finance","150","140","36150","33930"
"In post","2021","Scotland","Southern Scotland","Human Resources","90","90","36980","33930"
"In post","2021","Scotland","Southern Scotland","Internal Audit","40","40","[c]","[c]"
"In post","2021","Scotland","Southern Scotland","Legal","260","240","34600","29350"
"In post","2021","Scotland","Southern Scotland","No function","2060","1780","25460","21440"
"In post","2021","Scotland","Southern Scotland","Project Delivery","850","810","35640","33920"
"In post","2021","Scotland","Southern Scotland","Property","220","210","30080","28120"
"In post","2021","Scotland","Southern Scotland","Security","50","50","25330","19810"
"In post","2021","Scotland","Southern Scotland","Unknown","1520","1360","27950","27570"
"In post","2021","Scotland","West Central Scotland","Analysis","[c]","[c]","[c]","[c]"
