"Status","Year","Region_ITL1","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","East Midlands (England)","No function","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Operational Delivery","8910","8230","27210","25380"
"In post","2021","East Midlands (England)","No function","Other","80","70","39580","26780"
"In post","2021","East Midlands (England)","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Policy","180","170","41140","36960"
"In post","2021","East Midlands (England)","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Psychology","180","170","34580","30450"
"In post","2021","East Midlands (England)","No function","Science and Engineering","350","330","42900","39390"
"In post","2021","East Midlands (England)","No function","Tax","920","870","34340","31810"
"In post","2021","East Midlands (England)","No function","Unknown","150","150","30870","31810"
"In post","2021","East Midlands (England)","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Other","60","60","32370","29620"
"In post","2021","East Midlands (England)","Project Delivery","Policy","60","50","39660","37100"
"In post","2021","East Midlands (England)","Project Delivery","Project Delivery","350","340","38970","35640"
"In post","2021","East Midlands (England)","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Science and Engineering","120","110","37110","35590"
"In post","2021","East Midlands (England)","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Operational Delivery","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Property","460","430","33250","31810"
"In post","2021","East Midlands (England)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Security","160","150","29070","26180"
"In post","2021","East Midlands (England)","Unknown","Intelligence Analysis","80","80","29400","27370"
"In post","2021","East Midlands (England)","Unknown","Medicine","180","160","41560","37890"
"In post","2021","East Midlands (England)","Unknown","Operational Delivery","210","200","27790","26160"
"In post","2021","East Midlands (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other","700","670","22760","20920"
"In post","2021","East Midlands (England)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Science and Engineering","60","60","24850","22500"
"In post","2021","East Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","4520","4000","25920","27570"
"In post","2021","East of England","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Science and Engineering","350","330","34330","30220"
"In post","2021","East of England","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Commercial","230","220","39160","35760"
"In post","2021","East of England","Commercial","Knowledge and Information Management","90","90","34150","33000"
"In post","2021","East of England","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","70","60","57360","54800"
"In post","2021","East of England","Communications","Communications","90","90","34140","31810"
"In post","2021","East of England","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Legal","320","300","26850","25560"
"In post","2021","East of England","Counter Fraud","Operational Delivery","60","60","28030","25560"
"In post","2021","East of England","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Operational Delivery","140","120","24890","24670"
"In post","2021","East of England","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Digital, Data and Technology","490","470","36260","33300"
"In post","2021","East of England","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Finance","390","360","36720","33300"
"In post","2021","East of England","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Operational Delivery","70","60","24750","21440"
"In post","2021","East of England","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Operational Delivery","50","50","26230","25190"
"In post","2021","East of England","Human Resources","Human Resources","190","170","35680","32910"
"In post","2021","East of England","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Legal","350","320","49770","50520"
"In post","2021","East of England","Legal","Operational Delivery","230","210","27250","25820"
"In post","2021","East of England","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Inspector of Education and Training","90","90","65420","75500"
"In post","2021","East of England","No function","Intelligence Analysis","50","50","31480","27970"
"In post","2021","East of England","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Knowledge and Information Management","60","60","38510","36890"
"In post","2021","East of England","No function","Medicine","30","30","[c]","[c]"
"In post","2021","East of England","No function","Operational Delivery","7570","7070","28820","27380"
"In post","2021","East of England","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Policy","80","80","43000","41020"
"In post","2021","East of England","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Psychology","170","160","35150","30450"
"In post","2021","East of England","No function","Science and Engineering","170","160","36970","34820"
"In post","2021","East of England","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Tax","220","190","34140","31810"
"In post","2021","East of England","No function","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Operational Delivery","60","60","34250","29750"
"In post","2021","East of England","Project Delivery","Other","60","60","32060","30000"
"In post","2021","East of England","Project Delivery","Policy","60","60","41010","38630"
"In post","2021","East of England","Project Delivery","Project Delivery","550","530","39450","38390"
"In post","2021","East of England","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Science and Engineering","90","80","35870","33740"
"In post","2021","East of England","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East of England","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Property","500","480","32470","33000"
"In post","2021","East of England","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Security","540","530","33210","28890"
"In post","2021","East of England","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Intelligence Analysis","360","350","32310","33300"
"In post","2021","East of England","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Medicine","140","120","45210","37890"
"In post","2021","East of England","Unknown","Operational Delivery","1940","1760","26600","25220"
"In post","2021","East of England","Unknown","Other","1080","1020","23950","21130"
"In post","2021","East of England","Unknown","Policy","60","60","45930","45200"
"In post","2021","East of England","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Science and Engineering","300","290","39800","33460"
"In post","2021","East of England","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Unknown","4770","4290","28380","27570"
"In post","2021","London","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Digital, Data and Technology","80","80","47300","44740"
"In post","2021","London","Analysis","Economics","1070","1050","47760","42020"
"In post","2021","London","Analysis","Finance","30","30","[c]","[c]"
"In post","2021","London","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Intelligence Analysis","210","210","54010","53360"
"In post","2021","London","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Operational Delivery","80","80","39530","32540"
"In post","2021","London","Analysis","Operational Research","280","270","49340","48170"
"In post","2021","London","Analysis","Other","210","200","64030","57250"
"In post","2021","London","Analysis","Policy","220","210","50490","46030"
"In post","2021","London","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Social Research","330","320","46450","42470"
"In post","2021","London","Analysis","Statistics","790","760","46960","42470"
"In post","2021","London","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Unknown","70","70","46050","41760"
"In post","2021","London","Commercial","Commercial","700","680","47510","42470"
"In post","2021","London","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Knowledge and Information Management","130","120","37250","32040"
"In post","2021","London","Commercial","Operational Delivery","240","240","52260","46550"
"In post","2021","London","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Unknown","760","750","75670","67770"
"In post","2021","London","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Communications","1790","1750","46170","42130"
"In post","2021","London","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Operational Delivery","80","70","46090","35290"
"In post","2021","London","Communications","Other","190","180","25630","21800"
"In post","2021","London","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Unknown","350","350","48230","43120"
"In post","2021","London","Counter Fraud","Counter Fraud","330","330","44300","40000"
"In post","2021","London","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Intelligence Analysis","60","60","43950","39800"
"In post","2021","London","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Legal","920","900","36170","36160"
"In post","2021","London","Counter Fraud","Operational Delivery","390","370","34840","32520"
"In post","2021","London","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Other","80","70","40070","36160"
"In post","2021","London","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Tax","390","370","43620","36780"
"In post","2021","London","Counter Fraud","Unknown","120","120","45330","36160"
"In post","2021","London","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt","Operational Delivery","510","450","28170","25630"
"In post","2021","London","Debt","Tax","40","40","[c]","[c]"
"In post","2021","London","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Digital, Data and Technology","2250","2210","48410","44030"
"In post","2021","London","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Operational Delivery","90","90","43730","40000"
"In post","2021","London","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Unknown","930","920","52310","54700"
"In post","2021","London","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Corporate Finance","50","50","54740","52230"
"In post","2021","London","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Economics","70","70","44860","40650"
"In post","2021","London","Finance","Finance","2060","2020","49200","44900"
"In post","2021","London","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Operational Delivery","130","130","40590","36800"
"In post","2021","London","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Unknown","150","150","49550","41820"
"In post","2021","London","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Human Resources","1930","1880","46890","42200"
"In post","2021","London","Human Resources","Operational Delivery","80","80","39370","36160"
"In post","2021","London","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Policy","40","40","[c]","[c]"
"In post","2021","London","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Unknown","550","530","47450","41820"
"In post","2021","London","Internal Audit","Internal Audit","210","200","53870","51710"
"In post","2021","London","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Legal","3840","3590","59280","59160"
"In post","2021","London","Legal","Operational Delivery","950","890","30010","27440"
"In post","2021","London","Legal","Other","350","330","30770","27580"
"In post","2021","London","Legal","Policy","60","60","52110","51250"
"In post","2021","London","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Tax","40","40","[c]","[c]"
"In post","2021","London","Legal","Unknown","140","130","66320","60180"
"In post","2021","London","No function","Commercial","110","110","52220","54110"
"In post","2021","London","No function","Communications","90","90","43740","40220"
"In post","2021","London","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Counter Fraud","40","40","[c]","[c]"
"In post","2021","London","No function","Digital, Data and Technology","80","80","47230","42340"
"In post","2021","London","No function","Economics","410","400","48850","52290"
"In post","2021","London","No function","Finance","180","170","48110","42890"
"In post","2021","London","No function","Human Resources","40","40","[c]","[c]"
"In post","2021","London","No function","Inspector of Education and Training","230","230","66190","64500"
"In post","2021","London","No function","Intelligence Analysis","80","80","37550","34710"
"In post","2021","London","No function","International Trade","1070","1060","47390","42470"
"In post","2021","London","No function","Knowledge and Information Management","440","410","41920","37780"
"In post","2021","London","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Medicine","170","140","102700","99580"
"In post","2021","London","No function","Operational Delivery","16150","15450","34990","32180"
"In post","2021","London","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Other","1140","1110","43350","35180"
"In post","2021","London","No function","Planning","90","90","46190","42140"
"In post","2021","London","No function","Policy","15060","14730","48140","44480"
"In post","2021","London","No function","Project Delivery","110","110","44650","40050"
"In post","2021","London","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Psychology","60","60","41370","35950"
"In post","2021","London","No function","Science and Engineering","1040","970","45120","41030"
"In post","2021","London","No function","Security","190","180","45860","43360"
"In post","2021","London","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","London","No function","Tax","1750","1650","43310","37900"
"In post","2021","London","No function","Unknown","3890","3840","43650","35060"
"In post","2021","London","No function","Veterinarian","40","40","[c]","[c]"
"In post","2021","London","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Economics","60","60","52580","55340"
"In post","2021","London","Project Delivery","Finance","30","30","[c]","[c]"
"In post","2021","London","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Operational Delivery","380","370","40820","38600"
