"Status","Year","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North East (England)","Analysis","60","60","42160","42220"
"In post","2021","North East (England)","Commercial","110","110","47070","44850"
"In post","2021","North East (England)","Communications","1540","1460","28000","25560"
"In post","2021","North East (England)","Counter Fraud","540","510","32110","31810"
"In post","2021","North East (England)","Debt","590","540","21620","20140"
"In post","2021","North East (England)","Digital, Data & Technology","780","750","38740","37100"
"In post","2021","North East (England)","Finance","430","400","37020","31990"
"In post","2021","North East (England)","Grants Management","260","240","25390","21050"
"In post","2021","North East (England)","Human Resources","610","570","28520","25550"
"In post","2021","North East (England)","Internal Audit","50","40","[c]","[c]"
"In post","2021","North East (England)","Legal","490","450","38660","37050"
"In post","2021","North East (England)","No function","12370","10940","26740","22850"
"In post","2021","North East (England)","Project Delivery","1120","1060","39710","38630"
"In post","2021","North East (England)","Property","560","520","29220","25000"
"In post","2021","North East (England)","Security","100","100","33710","31810"
"In post","2021","North East (England)","Unknown","11020","9760","26880","26120"
"In post","2021","North West (England)","Analysis","370","350","38490","38630"
"In post","2021","North West (England)","Commercial","780","750","43120","38630"
"In post","2021","North West (England)","Communications","710","690","30860","27770"
"In post","2021","North West (England)","Counter Fraud","1690","1590","33010","31810"
"In post","2021","North West (England)","Debt","340","310","23550","21440"
"In post","2021","North West (England)","Digital, Data & Technology","880","860","38780","36500"
"In post","2021","North West (England)","Finance","670","640","37560","33310"
"In post","2021","North West (England)","Grants Management","750","670","24100","21050"
"In post","2021","North West (England)","Human Resources","1310","1240","33440","30610"
"In post","2021","North West (England)","Internal Audit","70","60","43260","40790"
"In post","2021","North West (England)","Legal","1460","1350","39650","35000"
"In post","2021","North West (England)","No function","21680","20040","29100","25560"
"In post","2021","North West (England)","Project Delivery","1980","1900","38800","37100"
"In post","2021","North West (England)","Property","540","510","34830","31100"
"In post","2021","North West (England)","Security","300","290","29360","24620"
"In post","2021","North West (England)","Unknown","25820","23470","27050","27120"
"In post","2021","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Communications","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","400","370","31180","28130"
"In post","2021","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","30","30","[c]","[c]"
"In post","2021","Northern Ireland","No function","1770","1650","28890","25560"
"In post","2021","Northern Ireland","Project Delivery","80","70","39170","35000"
"In post","2021","Northern Ireland","Property","100","100","28950","27680"
"In post","2021","Northern Ireland","Security","400","390","21460","20310"
"In post","2021","Northern Ireland","Unknown","920","850","25440","22330"
"In post","2021","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Commercial","40","40","[c]","[c]"
"In post","2021","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Finance","30","30","[c]","[c]"
"In post","2021","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","No function","1800","1790","53100","53750"
"In post","2021","Overseas","Project Delivery","640","640","55550","55620"
"In post","2021","Overseas","Property","190","190","38980","36460"
"In post","2021","Overseas","Security","130","130","39930","34450"
"In post","2021","Overseas","Unknown","850","840","42540","40580"
"In post","2021","Scotland","Analysis","70","70","46870","41060"
"In post","2021","Scotland","Commercial","390","380","38010","34800"
"In post","2021","Scotland","Communications","220","200","33030","31810"
"In post","2021","Scotland","Counter Fraud","850","780","30650","28130"
"In post","2021","Scotland","Debt","1440","1300","21870","20140"
"In post","2021","Scotland","Digital, Data & Technology","680","660","38400","34190"
"In post","2021","Scotland","Finance","940","820","28760","24130"
"In post","2021","Scotland","Human Resources","1060","990","29380","25560"
"In post","2021","Scotland","Internal Audit","70","70","39890","36460"
"In post","2021","Scotland","Legal","2360","2160","34950","29350"
"In post","2021","Scotland","No function","12440","11520","30060","27680"
"In post","2021","Scotland","Project Delivery","1790","1710","36690","33930"
"In post","2021","Scotland","Property","1340","1300","30940","28870"
"In post","2021","Scotland","Security","1360","1320","30640","28210"
"In post","2021","Scotland","Unknown","22600","20940","33440","27570"
"In post","2021","South East (England)","Analysis","870","830","38950","37320"
"In post","2021","South East (England)","Commercial","670","650","38950","34800"
"In post","2021","South East (England)","Communications","330","310","33090","31200"
"In post","2021","South East (England)","Counter Fraud","440","410","31330","29570"
"In post","2021","South East (England)","Debt","110","90","27770","28130"
"In post","2021","South East (England)","Digital, Data & Technology","910","880","38200","35350"
"In post","2021","South East (England)","Finance","1010","960","36240","33300"
"In post","2021","South East (England)","Grants Management","180","170","28960","25500"
"In post","2021","South East (England)","Human Resources","590","560","35310","31180"
"In post","2021","South East (England)","Internal Audit","70","70","37480","34710"
"In post","2021","South East (England)","Legal","900","820","42740","40700"
"In post","2021","South East (England)","No function","16260","14960","30860","28880"
"In post","2021","South East (England)","Project Delivery","2290","2220","37970","35480"
"In post","2021","South East (England)","Property","1020","990","34680","33300"
"In post","2021","South East (England)","Security","1900","1870","31840","28750"
"In post","2021","South East (England)","Unknown","14220","13080","28390","27570"
"In post","2021","South West (England)","Analysis","460","440","37040","35900"
"In post","2021","South West (England)","Commercial","1360","1310","42290","39650"
"In post","2021","South West (England)","Communications","360","340","35930","33300"
"In post","2021","South West (England)","Counter Fraud","400","370","35390","31810"
"In post","2021","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Digital, Data & Technology","2340","2250","39100","38450"
"In post","2021","South West (England)","Finance","1230","1170","39480","35130"
"In post","2021","South West (England)","Grants Management","240","220","26670","25190"
"In post","2021","South West (England)","Human Resources","1100","1020","36090","32730"
"In post","2021","South West (England)","Internal Audit","90","90","43970","42200"
"In post","2021","South West (England)","Legal","570","530","42710","41940"
"In post","2021","South West (England)","No function","13080","12190","33030","29180"
"In post","2021","South West (England)","Project Delivery","11320","10940","38720","37320"
"In post","2021","South West (England)","Property","1380","1300","33120","32400"
"In post","2021","South West (England)","Security","1130","1100","27370","20920"
"In post","2021","South West (England)","Unknown","10120","9160","28270","27570"
"In post","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","600","590","36290","32000"
"In post","2021","Unknown","Project Delivery","40","30","[c]","[c]"
"In post","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","70","70","33800","33300"
"In post","2021","Unknown","Unknown","2910","2840","35100","32210"
"In post","2021","Wales","Analysis","1080","1030","36250","36030"
"In post","2021","Wales","Commercial","360","340","35620","31940"
"In post","2021","Wales","Communications","960","920","29430","25560"
"In post","2021","Wales","Counter Fraud","400","370","31290","31810"
"In post","2021","Wales","Debt","330","310","23140","20140"
"In post","2021","Wales","Digital, Data & Technology","1870","1830","39760","37240"
"In post","2021","Wales","Finance","390","370","34740","31040"
"In post","2021","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Human Resources","650","610","35120","31320"
"In post","2021","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Legal","540","500","41650","40590"
"In post","2021","Wales","No function","15360","13890","26950","22490"
"In post","2021","Wales","Project Delivery","820","780","35300","31040"
"In post","2021","Wales","Property","490","460","32600","30000"
"In post","2021","Wales","Security","320","310","27670","25390"
"In post","2021","Wales","Unknown","12480","11500","32880","27570"
"In post","2021","West Midlands (England)","Analysis","60","60","41250","38650"
"In post","2021","West Midlands (England)","Commercial","350","340","40330","36780"
"In post","2021","West Midlands (England)","Communications","350","340","32890","31810"
"In post","2021","West Midlands (England)","Counter Fraud","730","680","32160","31810"
"In post","2021","West Midlands (England)","Debt","440","400","22560","20140"
"In post","2021","West Midlands (England)","Digital, Data & Technology","980","950","40600","37100"
"In post","2021","West Midlands (England)","Finance","470","450","39550","36800"
"In post","2021","West Midlands (England)","Grants Management","140","130","25150","24920"
"In post","2021","West Midlands (England)","Human Resources","350","330","38530","35000"
"In post","2021","West Midlands (England)","Internal Audit","50","50","50790","45390"
"In post","2021","West Midlands (England)","Legal","800","750","40310","38180"
"In post","2021","West Midlands (England)","No function","13820","12980","29870","26370"
"In post","2021","West Midlands (England)","Project Delivery","1030","990","37080","33300"
"In post","2021","West Midlands (England)","Property","550","510","34940","32480"
"In post","2021","West Midlands (England)","Security","370","360","30420","26750"
"In post","2021","West Midlands (England)","Unknown","10010","8960","26740","27570"
"In post","2021","Yorkshire and The Humber","Analysis","350","330","41430","41990"
"In post","2021","Yorkshire and The Humber","Commercial","460","450","45450","40470"
"In post","2021","Yorkshire and The Humber","Communications","640","620","30540","25560"
"In post","2021","Yorkshire and The Humber","Counter Fraud","870","810","32420","31810"
"In post","2021","Yorkshire and The Humber","Debt","420","380","23540","20640"
"In post","2021","Yorkshire and The Humber","Digital, Data & Technology","850","830","39290","36500"
"In post","2021","Yorkshire and The Humber","Finance","930","850","33170","28410"
"In post","2021","Yorkshire and The Humber","Grants Management","200","190","26510","24920"
"In post","2021","Yorkshire and The Humber","Human Resources","470","450","38980","36820"
"In post","2021","Yorkshire and The Humber","Internal Audit","60","50","47490","45390"
"In post","2021","Yorkshire and The Humber","Legal","1070","980","41690","38760"
"In post","2021","Yorkshire and The Humber","No function","13640","12680","30910","27680"
"In post","2021","Yorkshire and The Humber","Project Delivery","660","640","38590","35770"
"In post","2021","Yorkshire and The Humber","Property","770","720","33240","30200"
"In post","2021","Yorkshire and The Humber","Security","900","870","31300","29200"
"In post","2021","Yorkshire and The Humber","Unknown","14330","12990","28880","27570"
"In post","2022","East Midlands (England)","Analysis","80","70","38180","33840"
"In post","2022","East Midlands (England)","Commercial","120","120","42560","38550"
"In post","2022","East Midlands (England)","Communications","660","650","30240","26820"
"In post","2022","East Midlands (England)","Counter Fraud","920","840","33100","30350"
"In post","2022","East Midlands (England)","Debt","510","440","22710","21260"
"In post","2022","East Midlands (England)","Digital, Data & Technology","460","450","36280","33080"
"In post","2022","East Midlands (England)","Finance","310","290","36470","33370"
"In post","2022","East Midlands (England)","Grants Management","100","90","24700","21300"
"In post","2022","East Midlands (England)","Human Resources","590","560","36780","33370"
"In post","2022","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Legal","580","530","38890","33840"
"In post","2022","East Midlands (England)","No function","15900","14660","29380","27570"
"In post","2022","East Midlands (England)","Project Delivery","600","580","39360","36990"
"In post","2022","East Midlands (England)","Property","540","510","36100","33300"
"In post","2022","East Midlands (England)","Security","250","240","30690","28890"
"In post","2022","East Midlands (England)","Unknown","1390","1320","28400","24880"
"In post","2022","East of England","Analysis","380","360","35590","33370"
"In post","2022","East of England","Commercial","220","210","43480","38980"
"In post","2022","East of England","Communications","70","70","33690","31450"
"In post","2022","East of England","Counter Fraud","730","670","29520","28880"
"In post","2022","East of England","Debt","160","140","25480","24390"
"In post","2022","East of England","Digital, Data & Technology","820","790","35750","33370"
"In post","2022","East of England","Finance","330","310","37260","33370"
"In post","2022","East of England","Grants Management","60","60","25030","22430"
"In post","2022","East of England","Human Resources","320","300","35770","32250"
"In post","2022","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Legal","530","480","41500","36240"
"In post","2022","East of England","No function","13640","12610","30340","28140"
"In post","2022","East of England","Project Delivery","680","640","40260","38600"
"In post","2022","East of England","Property","600","580","34340","33000"
"In post","2022","East of England","Security","900","880","33840","33300"
"In post","2022","East of England","Unknown","3470","3240","28110","25220"
"In post","2022","London","Analysis","3750","3640","49680","45870"
"In post","2022","London","Commercial","1860","1830","59180","54700"
"In post","2022","London","Communications","2420","2370","47230","42890"
"In post","2022","London","Counter Fraud","3600","3400","37620","33440"
"In post","2022","London","Debt","500","450","29910","26400"
"In post","2022","London","Digital, Data & Technology","4310","4230","48710","45250"
"In post","2022","London","Finance","3000","2930","48490","43810"
"In post","2022","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","London","Human Resources","2900","2810","46270","41520"
"In post","2022","London","Internal Audit","230","220","51900","49570"
"In post","2022","London","Legal","5150","4840","52580","53050"
"In post","2022","London","No function","52920","51010","41850","35900"
"In post","2022","London","Project Delivery","4420","4260","53120","52430"
"In post","2022","London","Property","1690","1630","43160","38000"
"In post","2022","London","Security","1950","1910","41300","37980"
"In post","2022","London","Unknown","16130","15420","41090","35200"
"In post","2022","North East (England)","Analysis","190","180","39500","36010"
"In post","2022","North East (England)","Commercial","110","110","44020","36780"
"In post","2022","North East (England)","Communications","1520","1440","29720","26820"
"In post","2022","North East (England)","Counter Fraud","1140","1060","30950","27570"
"In post","2022","North East (England)","Debt","960","850","22560","21260"
"In post","2022","North East (England)","Digital, Data & Technology","2340","2250","41630","37900"
"In post","2022","North East (England)","Finance","880","830","38570","35310"
"In post","2022","North East (England)","Grants Management","400","370","24520","21300"
"In post","2022","North East (England)","Human Resources","920","860","31060","27570"
"In post","2022","North East (England)","Internal Audit","40","40","[c]","[c]"
"In post","2022","North East (England)","Legal","430","390","39520","33560"
"In post","2022","North East (England)","No function","20360","18130","27340","25210"
"In post","2022","North East (England)","Project Delivery","1250","1190","41580","40180"
"In post","2022","North East (England)","Property","770","730","30640","26030"
"In post","2022","North East (England)","Security","120","110","34390","31990"
"In post","2022","North East (England)","Unknown","1680","1520","26790","24880"
"In post","2022","North West (England)","Analysis","480","460","39620","35900"
"In post","2022","North West (England)","Commercial","670","650","44950","39360"
"In post","2022","North West (England)","Communications","810","790","31740","26820"
"In post","2022","North West (England)","Counter Fraud","2580","2410","32930","28920"
"In post","2022","North West (England)","Debt","750","680","23530","21260"
"In post","2022","North West (England)","Digital, Data & Technology","2910","2820","41230","36560"
"In post","2022","North West (England)","Finance","1390","1310","36960","34110"
"In post","2022","North West (England)","Grants Management","890","800","24180","21300"
"In post","2022","North West (England)","Human Resources","1770","1670","34390","31990"
"In post","2022","North West (England)","Internal Audit","60","60","42090","40580"
"In post","2022","North West (England)","Legal","1350","1250","40280","34250"
"In post","2022","North West (England)","No function","39270","36080","28470","27130"
"In post","2022","North West (England)","Project Delivery","2180","2080","40000","37880"
"In post","2022","North West (England)","Property","710","690","37940","33370"
"In post","2022","North West (England)","Security","360","340","30760","28430"
"In post","2022","North West (England)","Unknown","8150","7630","28380","24890"
"In post","2022","Northern Ireland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Communications","30","30","[c]","[c]"
"In post","2022","Northern Ireland","Counter Fraud","450","430","32900","33080"
"In post","2022","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Digital, Data & Technology","70","70","33630","33080"
"In post","2022","Northern Ireland","Finance","40","40","[c]","[c]"
"In post","2022","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Legal","40","30","[c]","[c]"
"In post","2022","Northern Ireland","No function","2040","1920","30640","26820"
"In post","2022","Northern Ireland","Project Delivery","100","90","42260","40180"
"In post","2022","Northern Ireland","Property","90","80","29660","27680"
"In post","2022","Northern Ireland","Security","410","400","22040","20560"
"In post","2022","Northern Ireland","Unknown","940","890","26280","24880"
"In post","2022","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Commercial","40","40","[c]","[c]"
"In post","2022","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Digital, Data & Technology","70","70","32450","33170"
"In post","2022","Overseas","Finance","40","40","[c]","[c]"
"In post","2022","Overseas","Human Resources","40","40","[c]","[c]"
"In post","2022","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","No function","1750","1750","53070","53580"
"In post","2022","Overseas","Project Delivery","600","600","55210","55510"
"In post","2022","Overseas","Property","180","180","39220","37950"
"In post","2022","Overseas","Security","160","160","40030","34450"
"In post","2022","Overseas","Unknown","790","780","42010","40120"
"In post","2022","Scotland","Analysis","150","140","43730","38150"
"In post","2022","Scotland","Commercial","380","370","39520","34850"
"In post","2022","Scotland","Communications","90","90","37470","36360"
"In post","2022","Scotland","Counter Fraud","1830","1670","29080","27570"
"In post","2022","Scotland","Debt","1350","1220","23200","21250"
"In post","2022","Scotland","Digital, Data & Technology","940","920","38080","33930"
"In post","2022","Scotland","Finance","1030","910","29590","24250"
"In post","2022","Scotland","Human Resources","1120","1050","30430","26900"
"In post","2022","Scotland","Internal Audit","60","60","42520","38500"
"In post","2022","Scotland","Legal","890","840","52590","53490"
"In post","2022","Scotland","No function","21860","19970","29110","27570"
"In post","2022","Scotland","Project Delivery","1500","1440","38570","33930"
"In post","2022","Scotland","Property","590","570","33040","31270"
"In post","2022","Scotland","Security","1460","1410","30820","26750"
"In post","2022","Scotland","Unknown","17780","17040","38570","33070"
"In post","2022","South East (England)","Analysis","1000","950","39460","38070"
"In post","2022","South East (England)","Commercial","520","500","41610","38070"
"In post","2022","South East (England)","Communications","290","270","34560","33300"
"In post","2022","South East (England)","Counter Fraud","1210","1100","29460","27570"
"In post","2022","South East (England)","Debt","70","60","28800","28920"
"In post","2022","South East (England)","Digital, Data & Technology","1400","1350","37560","33370"
"In post","2022","South East (England)","Finance","1030","970","36780","33300"
"In post","2022","South East (England)","Grants Management","180","170","28650","25210"
"In post","2022","South East (England)","Human Resources","680","640","35590","31740"
"In post","2022","South East (England)","Internal Audit","70","70","38360","38650"
"In post","2022","South East (England)","Legal","810","740","42810","40000"
"In post","2022","South East (England)","No function","22450","20560","30800","28140"
"In post","2022","South East (England)","Project Delivery","2010","1900","37970","36150"
"In post","2022","South East (England)","Property","1000","960","36870","33300"
"In post","2022","South East (England)","Security","1970","1930","32150","29890"
"In post","2022","South East (England)","Unknown","7970","7490","30340","26720"
"In post","2022","South West (England)","Analysis","510","490","37180","35900"
"In post","2022","South West (England)","Commercial","1440","1390","42990","40000"
"In post","2022","South West (England)","Communications","310","290","36230","33350"
"In post","2022","South West (England)","Counter Fraud","790","710","32540","27570"
"In post","2022","South West (England)","Debt","150","130","22710","21260"
"In post","2022","South West (England)","Digital, Data & Technology","3730","3590","38580","37420"
"In post","2022","South West (England)","Finance","1250","1190","38910","34290"
"In post","2022","South West (England)","Grants Management","260","240","26540","25190"
"In post","2022","South West (England)","Human Resources","1130","1050","36070","33080"
"In post","2022","South West (England)","Internal Audit","110","100","43400","42160"
"In post","2022","South West (England)","Legal","520","480","44290","48080"
"In post","2022","South West (England)","No function","18830","17300","31450","27570"
"In post","2022","South West (England)","Project Delivery","10960","10580","39390","38000"
"In post","2022","South West (England)","Property","1260","1210","33460","31900"
"In post","2022","South West (England)","Security","1300","1270","29140","26000"
"In post","2022","South West (England)","Unknown","4160","3940","31270","26670"
"In post","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","70","70","52900","49700"
"In post","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","70","60","25610","25110"
"In post","2022","Unknown","Digital, Data & Technology","60","60","40530","37300"
"In post","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","890","850","31540","29250"
"In post","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Security","110","110","30230","27370"
"In post","2022","Unknown","Unknown","1940","1930","37440","34020"
"In post","2022","Wales","Analysis","1310","1260","37320","36840"
"In post","2022","Wales","Commercial","360","340","35340","31250"
"In post","2022","Wales","Communications","940","900","31210","26820"
"In post","2022","Wales","Counter Fraud","1050","960","29210","27570"
"In post","2022","Wales","Debt","460","420","23740","21250"
"In post","2022","Wales","Digital, Data & Technology","2100","2050","40330","38000"
"In post","2022","Wales","Finance","450","430","35530","31990"
"In post","2022","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Human Resources","770","720","35010","31040"
"In post","2022","Wales","Internal Audit","30","30","[c]","[c]"
"In post","2022","Wales","Legal","490","450","41820","41420"
"In post","2022","Wales","No function","21350","19410","27490","25190"
"In post","2022","Wales","Project Delivery","640","610","43700","39040"
"In post","2022","Wales","Property","510","490","34390","31660"
"In post","2022","Wales","Security","320","310","27990","24720"
"In post","2022","Wales","Unknown","7120","6720","39490","38160"
"In post","2022","West Midlands (England)","Analysis","110","100","39200","37450"
"In post","2022","West Midlands (England)","Commercial","320","310","43240","36610"
"In post","2022","West Midlands (England)","Communications","630","610","30720","26820"
"In post","2022","West Midlands (England)","Counter Fraud","1300","1190","31220","27570"
"In post","2022","West Midlands (England)","Debt","860","760","22940","21260"
"In post","2022","West Midlands (England)","Digital, Data & Technology","1310","1280","39550","36050"
"In post","2022","West Midlands (England)","Finance","860","830","38390","36500"
"In post","2022","West Midlands (England)","Grants Management","170","160","25120","24920"
"In post","2022","West Midlands (England)","Human Resources","550","520","38130","33300"
"In post","2022","West Midlands (England)","Internal Audit","50","40","[c]","[c]"
"In post","2022","West Midlands (England)","Legal","690","640","41550","40180"
"In post","2022","West Midlands (England)","No function","21820","20120","29430","27570"
"In post","2022","West Midlands (England)","Project Delivery","910","880","38510","36570"
"In post","2022","West Midlands (England)","Property","700","660","37950","33370"
"In post","2022","West Midlands (England)","Security","400","390","31450","28890"
"In post","2022","West Midlands (England)","Unknown","2500","2370","29490","26590"
"In post","2022","Yorkshire and The Humber","Analysis","500","470","42010","37380"
"In post","2022","Yorkshire and The Humber","Commercial","510","490","46300","39330"
"In post","2022","Yorkshire and The Humber","Communications","750","730","33070","26820"
"In post","2022","Yorkshire and The Humber","Counter Fraud","1420","1310","31900","27570"
"In post","2022","Yorkshire and The Humber","Debt","970","840","23560","21260"
"In post","2022","Yorkshire and The Humber","Digital, Data & Technology","1550","1500","41880","38180"
"In post","2022","Yorkshire and The Humber","Finance","1770","1630","35910","32300"
"In post","2022","Yorkshire and The Humber","Grants Management","250","230","25930","24920"
"In post","2022","Yorkshire and The Humber","Human Resources","880","830","39210","35310"
"In post","2022","Yorkshire and The Humber","Internal Audit","60","50","47150","45660"
"In post","2022","Yorkshire and The Humber","Legal","940","870","41060","35980"
"In post","2022","Yorkshire and The Humber","No function","21440","19690","30380","27570"
"In post","2022","Yorkshire and The Humber","Project Delivery","700","660","40500","36500"
"In post","2022","Yorkshire and The Humber","Property","870","830","37820","33970"
"In post","2022","Yorkshire and The Humber","Security","1000","960","31980","32000"
"In post","2022","Yorkshire and The Humber","Unknown","5650","5320","29270","25310"
"Leaver CS","2021","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Legal","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","No function","670","600","24440","21160"
"Leaver CS","2021","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Property","60","50","26430","25500"
"Leaver CS","2021","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
