"Status","Year","Region_ITL3","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ards and North Down","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","AA/AO","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","EO","70","60","30750","31060"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","AA/AO","80","70","23450","23210"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","EO","290","260","31030","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","AA/AO","30","30","[c]","[c]"
"In post","2021","Barnet","Declared disabled","EO","50","40","[c]","[c]"
"In post","2021","Barnet","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","AA/AO","180","150","23840","23530"
"In post","2021","Barnet","Declared non-disabled","EO","320","300","29740","31060"
"In post","2021","Barnet","Declared non-disabled","G6/G7","160","150","59580","55130"
"In post","2021","Barnet","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","SEO/HEO","380","370","38000","38200"
"In post","2021","Barnet","Declared non-disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Barnet","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","AA/AO","50","50","23680","23600"
"In post","2021","Barnet","Unknown","EO","50","50","30960","32090"
"In post","2021","Barnet","Unknown","G6/G7","130","120","60430","56730"
"In post","2021","Barnet","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","SEO/HEO","140","140","41610","41480"
"In post","2021","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","AA/AO","180","160","22010","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","EO","140","120","27470","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Unknown","60","50","31160","30880"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","AA/AO","1050","920","23040","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","EO","700","610","28230","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","SEO/HEO","230","220","37220","35310"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Unknown","130","120","28890","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","AA/AO","130","120","25490","23610"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","EO","70","70","30940","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","AA/AO","140","140","22940","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","AA/AO","70","60","22740","21010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","EO","290","270","24380","25730"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","G6/G7","160","150","57160","55140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","SEO/HEO","660","640","36670","37000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Unknown","160","160","38990","36530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","AA/AO","500","460","23020","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","EO","1810","1710","24470","25500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","G6/G7","1420","1380","57360","55220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","SCS","110","110","101130","93640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","SEO/HEO","4620","4460","36340","36000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Unknown","1100","1060","40860","38250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","AA/AO","90","80","25640","23330"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","EO","110","110","26380","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","G6/G7","130","130","57520","55560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","SEO/HEO","420","400","37610","38250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Unknown","100","100","44740","42250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","AA/AO","110","100","21820","20800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","EO","410","390","26140","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","G6/G7","220","210","57740","55150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","SEO/HEO","680","660","37240","37370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","170","170","44200","41860"
"In post","2021","Bedford","Declared disabled","AA/AO","30","30","[c]","[c]"
"In post","2021","Bedford","Declared disabled","EO","40","30","[c]","[c]"
"In post","2021","Bedford","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","AA/AO","180","170","26280","27850"
"In post","2021","Bedford","Declared non-disabled","EO","210","190","27700","27570"
"In post","2021","Bedford","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","SEO/HEO","120","110","37730","37170"
"In post","2021","Bedford","Declared non-disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Bedford","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","AA/AO","60","60","24210","21500"
"In post","2021","Bedford","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","AA/AO","90","80","20810","21400"
"In post","2021","Belfast","Declared disabled","EO","70","60","26290","25560"
"In post","2021","Belfast","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","SEO/HEO","70","70","33710","31810"
"In post","2021","Belfast","Declared non-disabled","AA/AO","520","460","20770","21430"
"In post","2021","Belfast","Declared non-disabled","EO","490","450","26140","25560"
"In post","2021","Belfast","Declared non-disabled","G6/G7","160","150","54720","52580"
"In post","2021","Belfast","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","SEO/HEO","480","460","34020","31810"
"In post","2021","Belfast","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Belfast","Undeclared","EO","40","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","SEO/HEO","60","60","34300","32280"
"In post","2021","Belfast","Unknown","AA/AO","360","330","20450","20140"
"In post","2021","Belfast","Unknown","EO","230","220","26610","25560"
"In post","2021","Belfast","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2021","Belfast","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","SEO/HEO","160","150","35310","31810"
"In post","2021","Berkshire","Declared disabled","AA/AO","100","90","27240","25110"
"In post","2021","Berkshire","Declared disabled","EO","100","90","30390","29290"
"In post","2021","Berkshire","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","SEO/HEO","70","70","37810","38100"
"In post","2021","Berkshire","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","AA/AO","580","550","26500","24180"
"In post","2021","Berkshire","Declared non-disabled","EO","510","480","30250","29290"
"In post","2021","Berkshire","Declared non-disabled","G6/G7","210","200","57370","54540"
"In post","2021","Berkshire","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","SEO/HEO","430","410","37700","36460"
"In post","2021","Berkshire","Declared non-disabled","Unknown","120","120","31610","31650"
"In post","2021","Berkshire","Undeclared","AA/AO","60","60","30580","27680"
"In post","2021","Berkshire","Undeclared","EO","50","50","31820","29290"
"In post","2021","Berkshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Berkshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","AA/AO","260","250","29290","26610"
"In post","2021","Berkshire","Unknown","EO","130","130","33650","32520"
"In post","2021","Berkshire","Unknown","G6/G7","50","50","[c]","[c]"
"In post","2021","Berkshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","SEO/HEO","120","110","38230","38680"
"In post","2021","Berkshire","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","AA/AO","70","60","26750","24440"
"In post","2021","Bexley and Greenwich","Declared disabled","EO","70","70","32120","31060"
"In post","2021","Bexley and Greenwich","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared non-disabled","AA/AO","520","500","28430","28590"
"In post","2021","Bexley and Greenwich","Declared non-disabled","EO","400","370","31960","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared non-disabled","SEO/HEO","140","140","41790","39690"
"In post","2021","Bexley and Greenwich","Declared non-disabled","Unknown","80","70","34120","34100"
"In post","2021","Bexley and Greenwich","Undeclared","AA/AO","120","110","29360","28720"
"In post","2021","Bexley and Greenwich","Undeclared","EO","60","50","33260","31880"
"In post","2021","Bexley and Greenwich","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","AA/AO","170","170","28640","30150"
"In post","2021","Bexley and Greenwich","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Declared disabled","AA/AO","400","350","20950","20230"
"In post","2021","Birmingham","Declared disabled","EO","410","370","26750","27570"
"In post","2021","Birmingham","Declared disabled","G6/G7","80","80","56350","53350"
"In post","2021","Birmingham","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Declared disabled","SEO/HEO","300","280","34920","32610"
"In post","2021","Birmingham","Declared disabled","Unknown","80","80","30500","29200"
"In post","2021","Birmingham","Declared non-disabled","AA/AO","2180","1950","21030","20180"
"In post","2021","Birmingham","Declared non-disabled","EO","2100","1930","26450","27570"
"In post","2021","Birmingham","Declared non-disabled","G6/G7","790","760","58170","54540"
"In post","2021","Birmingham","Declared non-disabled","SCS","80","70","96140","89810"
"In post","2021","Birmingham","Declared non-disabled","SEO/HEO","1940","1860","35790","33310"
"In post","2021","Birmingham","Declared non-disabled","Unknown","320","290","30460","28200"
"In post","2021","Birmingham","Undeclared","AA/AO","180","160","21300","20140"
"In post","2021","Birmingham","Undeclared","EO","170","160","26140","27230"
"In post","2021","Birmingham","Undeclared","G6/G7","70","70","56270","52850"
"In post","2021","Birmingham","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Undeclared","SEO/HEO","170","170","34850","32750"
"In post","2021","Birmingham","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Unknown","AA/AO","820","760","20910","20140"
"In post","2021","Birmingham","Unknown","EO","630","600","27260","25560"
"In post","2021","Birmingham","Unknown","G6/G7","210","200","56520","53500"
"In post","2021","Birmingham","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Unknown","SEO/HEO","610","590","36000","34530"
"In post","2021","Birmingham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","EO","40","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared non-disabled","AA/AO","120","100","21240","21010"
"In post","2021","Blackburn with Darwen","Declared non-disabled","EO","160","140","27530","27570"
"In post","2021","Blackburn with Darwen","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared non-disabled","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Declared non-disabled","Unknown","50","50","27900","26500"
"In post","2021","Blackburn with Darwen","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared disabled","AA/AO","300","260","20840","21010"
"In post","2021","Blackpool","Declared disabled","EO","270","240","27450","27570"
"In post","2021","Blackpool","Declared disabled","G6/G7","40","40","[c]","[c]"
"In post","2021","Blackpool","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared disabled","SEO/HEO","140","130","34410","34290"
"In post","2021","Blackpool","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared non-disabled","AA/AO","1300","1170","20840","21010"
"In post","2021","Blackpool","Declared non-disabled","EO","1430","1290","27430","27570"
"In post","2021","Blackpool","Declared non-disabled","G6/G7","340","320","55850","52750"
"In post","2021","Blackpool","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared non-disabled","SEO/HEO","800","760","34520","34290"
"In post","2021","Blackpool","Declared non-disabled","Unknown","50","50","[c]","[c]"
"In post","2021","Blackpool","Undeclared","AA/AO","80","70","20760","21010"
"In post","2021","Blackpool","Undeclared","EO","110","110","27440","27570"
"In post","2021","Blackpool","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Undeclared","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Blackpool","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","AA/AO","80","70","20970","21010"
"In post","2021","Blackpool","Unknown","EO","40","40","[c]","[c]"
"In post","2021","Blackpool","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Blackpool","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Declared disabled","AA/AO","30","30","[c]","[c]"
