"Status","Year","Parent_department","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Legal","Black","490","470","41190","33310"
"In post","2021","Attorney General's Departments","Legal","Chinese","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Mixed","260","240","47180","50520"
"In post","2021","Attorney General's Departments","Legal","Other ethnicity","120","120","51440","52730"
"In post","2021","Attorney General's Departments","Legal","Undeclared","140","130","44930","48830"
"In post","2021","Attorney General's Departments","Legal","Unknown","1010","940","47270","51250"
"In post","2021","Attorney General's Departments","Legal","White","5860","5420","45670","49580"
"In post","2021","Attorney General's Departments","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","White","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","White","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Unknown","1020","1000","71010","64500"
"In post","2021","Cabinet Office","Commercial","White","320","320","71570","62730"
"In post","2021","Cabinet Office","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Unknown","120","120","46650","42280"
"In post","2021","Cabinet Office","Communications","White","170","170","48030","42210"
"In post","2021","Cabinet Office","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","White","70","70","48650","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Asian","100","100","48370","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Black","60","60","45240","40600"
"In post","2021","Cabinet Office","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Mixed","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Unknown","130","130","50020","53600"
"In post","2021","Cabinet Office","Digital, Data & Technology","White","580","570","52710","54700"
"In post","2021","Cabinet Office","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","White","50","50","50510","54700"
"In post","2021","Cabinet Office","Human Resources","Asian","80","80","38270","35440"
"In post","2021","Cabinet Office","Human Resources","Black","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Mixed","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Undeclared","40","30","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Unknown","120","120","37500","34550"
"In post","2021","Cabinet Office","Human Resources","White","800","760","39000","35590"
"In post","2021","Cabinet Office","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","White","40","40","[c]","[c]"
"In post","2021","Cabinet Office","No function","Asian","160","160","44910","38580"
"In post","2021","Cabinet Office","No function","Black","90","90","38230","34550"
"In post","2021","Cabinet Office","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Mixed","90","80","44590","38580"
"In post","2021","Cabinet Office","No function","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Cabinet Office","No function","Undeclared","60","60","46030","41570"
"In post","2021","Cabinet Office","No function","Unknown","2280","2280","35500","29250"
"In post","2021","Cabinet Office","No function","White","1450","1430","48080","43890"
"In post","2021","Cabinet Office","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","White","130","130","70420","64500"
"In post","2021","Cabinet Office","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","White","70","70","52720","53830"
"In post","2021","Cabinet Office","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Security","Unknown","310","290","29470","26670"
"In post","2021","Cabinet Office","Security","White","470","450","35190","33300"
"In post","2021","Cabinet Office","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","White","120","110","76630","72110"
"In post","2021","Chancellor's other departments","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","White","80","80","55710","45080"
"In post","2021","Chancellor's other departments","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","White","30","30","[c]","[c]"
"In post","2021","Charity Commission","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Asian","[c]","[c]","[c]","[c]"
