"Status","Year","Sexual_orientation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Debt","Declared non-disabled","110","110","22990","20140"
"In post","2021","LGBO","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Declared disabled","100","100","38380","35880"
"In post","2021","LGBO","Digital, Data & Technology","Declared non-disabled","330","330","43240","38650"
"In post","2021","LGBO","Digital, Data & Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Unknown","50","50","39400","36030"
"In post","2021","LGBO","Finance","Declared disabled","40","30","[c]","[c]"
"In post","2021","LGBO","Finance","Declared non-disabled","190","180","40810","36960"
"In post","2021","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","LGBO","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Declared disabled","120","110","40280","35000"
"In post","2021","LGBO","Human Resources","Declared non-disabled","290","280","40830","37000"
"In post","2021","LGBO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Declared disabled","100","100","46720","43920"
"In post","2021","LGBO","Legal","Declared non-disabled","390","380","48420","50990"
"In post","2021","LGBO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Unknown","60","60","31810","26970"
"In post","2021","LGBO","No function","Declared disabled","1560","1520","32200","28990"
"In post","2021","LGBO","No function","Declared non-disabled","5320","5180","34850","30850"
"In post","2021","LGBO","No function","Undeclared","490","480","32290","30990"
"In post","2021","LGBO","No function","Unknown","580","570","34640","31810"
"In post","2021","LGBO","Project Delivery","Declared disabled","180","180","39030","34570"
"In post","2021","LGBO","Project Delivery","Declared non-disabled","640","630","42250","38610"
"In post","2021","LGBO","Project Delivery","Undeclared","60","60","40370","40030"
"In post","2021","LGBO","Project Delivery","Unknown","60","60","44360","40760"
"In post","2021","LGBO","Property","Declared disabled","50","40","[c]","[c]"
"In post","2021","LGBO","Property","Declared non-disabled","160","150","35330","32060"
"In post","2021","LGBO","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Declared disabled","30","30","[c]","[c]"
"In post","2021","LGBO","Security","Declared non-disabled","160","160","31510","28780"
"In post","2021","LGBO","Security","Undeclared","30","30","[c]","[c]"
"In post","2021","LGBO","Security","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Declared disabled","1570","1490","29880","27570"
"In post","2021","LGBO","Unknown","Declared non-disabled","4090","3950","31190","27570"
"In post","2021","LGBO","Unknown","Undeclared","280","270","28740","27570"
"In post","2021","LGBO","Unknown","Unknown","180","180","36010","31640"
"In post","2021","Undeclared","Analysis","Declared disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Analysis","Declared non-disabled","260","250","45140","39260"
"In post","2021","Undeclared","Analysis","Undeclared","120","120","42580","40400"
"In post","2021","Undeclared","Analysis","Unknown","70","70","46940","39940"
"In post","2021","Undeclared","Commercial","Declared disabled","70","60","38960","36400"
"In post","2021","Undeclared","Commercial","Declared non-disabled","290","270","40290","34810"
"In post","2021","Undeclared","Commercial","Undeclared","160","160","40050","36520"
"In post","2021","Undeclared","Commercial","Unknown","60","50","41200","40000"
"In post","2021","Undeclared","Communications","Declared disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Communications","Declared non-disabled","260","250","33980","31810"
"In post","2021","Undeclared","Communications","Undeclared","140","130","33490","29780"
"In post","2021","Undeclared","Communications","Unknown","60","50","40010","33300"
"In post","2021","Undeclared","Counter Fraud","Declared disabled","90","80","34040","31470"
"In post","2021","Undeclared","Counter Fraud","Declared non-disabled","370","340","34920","31810"
"In post","2021","Undeclared","Counter Fraud","Undeclared","420","390","36570","31870"
"In post","2021","Undeclared","Counter Fraud","Unknown","60","50","35200","32100"
"In post","2021","Undeclared","Debt","Declared disabled","40","30","[c]","[c]"
"In post","2021","Undeclared","Debt","Declared non-disabled","160","140","23920","21440"
"In post","2021","Undeclared","Debt","Undeclared","100","90","24760","21440"
"In post","2021","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Declared disabled","120","110","39370","35310"
"In post","2021","Undeclared","Digital, Data & Technology","Declared non-disabled","600","580","42340","39110"
"In post","2021","Undeclared","Digital, Data & Technology","Undeclared","350","340","40460","38450"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","160","160","38090","35230"
"In post","2021","Undeclared","Finance","Declared disabled","80","70","37930","31780"
"In post","2021","Undeclared","Finance","Declared non-disabled","470","440","39070","35850"
"In post","2021","Undeclared","Finance","Undeclared","230","220","39350","34460"
"In post","2021","Undeclared","Finance","Unknown","90","90","39620","38930"
"In post","2021","Undeclared","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Declared disabled","90","90","37760","33300"
"In post","2021","Undeclared","Human Resources","Declared non-disabled","330","310","35770","32290"
"In post","2021","Undeclared","Human Resources","Undeclared","180","170","36810","31820"
"In post","2021","Undeclared","Human Resources","Unknown","80","70","31990","29350"
"In post","2021","Undeclared","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Declared disabled","110","100","45850","45050"
"In post","2021","Undeclared","Legal","Declared non-disabled","500","460","48540","47100"
"In post","2021","Undeclared","Legal","Undeclared","160","150","51380","51250"
"In post","2021","Undeclared","Legal","Unknown","1610","1450","27640","22820"
"In post","2021","Undeclared","No function","Declared disabled","1790","1610","30460","27130"
"In post","2021","Undeclared","No function","Declared non-disabled","8520","7750","32860","28400"
"In post","2021","Undeclared","No function","Undeclared","4550","4240","33800","31630"
"In post","2021","Undeclared","No function","Unknown","1030","960","37040","33610"
"In post","2021","Undeclared","Project Delivery","Declared disabled","300","280","39040","37680"
"In post","2021","Undeclared","Project Delivery","Declared non-disabled","1350","1300","42210","39100"
"In post","2021","Undeclared","Project Delivery","Undeclared","970","930","39700","37320"
"In post","2021","Undeclared","Project Delivery","Unknown","300","290","42450","40080"
"In post","2021","Undeclared","Property","Declared disabled","80","80","36770","33460"
"In post","2021","Undeclared","Property","Declared non-disabled","440","410","36080","33300"
"In post","2021","Undeclared","Property","Undeclared","280","260","37740","33300"
"In post","2021","Undeclared","Property","Unknown","70","70","34040","33000"
"In post","2021","Undeclared","Security","Declared disabled","90","90","34180","34550"
"In post","2021","Undeclared","Security","Declared non-disabled","420","410","34450","36470"
"In post","2021","Undeclared","Security","Undeclared","330","320","35850","38630"
"In post","2021","Undeclared","Security","Unknown","120","120","33920","39070"
"In post","2021","Undeclared","Unknown","Declared disabled","2370","2100","28460","27570"
"In post","2021","Undeclared","Unknown","Declared non-disabled","9170","8320","30730","27570"
"In post","2021","Undeclared","Unknown","Undeclared","2880","2720","32310","27570"
"In post","2021","Undeclared","Unknown","Unknown","500","480","36590","32980"
"In post","2021","Unknown","Analysis","Declared disabled","50","40","[c]","[c]"
"In post","2021","Unknown","Analysis","Declared non-disabled","440","420","40780","36580"
"In post","2021","Unknown","Analysis","Undeclared","110","100","41740","41090"
"In post","2021","Unknown","Analysis","Unknown","1050","1010","41150","36780"
"In post","2021","Unknown","Commercial","Declared disabled","30","30","[c]","[c]"
"In post","2021","Unknown","Commercial","Declared non-disabled","380","370","47890","40060"
"In post","2021","Unknown","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Unknown","1590","1550","58810","54700"
"In post","2021","Unknown","Communications","Declared disabled","30","30","[c]","[c]"
"In post","2021","Unknown","Communications","Declared non-disabled","340","320","35580","31810"
"In post","2021","Unknown","Communications","Undeclared","60","60","46710","42890"
"In post","2021","Unknown","Communications","Unknown","2140","2090","32730","25560"
"In post","2021","Unknown","Counter Fraud","Declared disabled","100","90","30740","28130"
"In post","2021","Unknown","Counter Fraud","Declared non-disabled","520","480","33200","31810"
"In post","2021","Unknown","Counter Fraud","Undeclared","40","30","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Unknown","1860","1770","31390","29570"
"In post","2021","Unknown","Debt","Declared disabled","50","40","22770","21440"
"In post","2021","Unknown","Debt","Declared non-disabled","310","260","24500","21440"
"In post","2021","Unknown","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt","Unknown","1660","1550","21940","20140"
"In post","2021","Unknown","Digital, Data & Technology","Declared disabled","100","90","35710","33730"
"In post","2021","Unknown","Digital, Data & Technology","Declared non-disabled","1400","1330","40790","39650"
"In post","2021","Unknown","Digital, Data & Technology","Undeclared","50","50","38840","35060"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","2370","2330","40750","37730"
"In post","2021","Unknown","Finance","Declared disabled","60","50","31580","27420"
"In post","2021","Unknown","Finance","Declared non-disabled","510","470","34910","30730"
"In post","2021","Unknown","Finance","Undeclared","60","60","40260","38630"
"In post","2021","Unknown","Finance","Unknown","1220","1150","35470","31810"
"In post","2021","Unknown","Grants Management","Declared disabled","50","40","[c]","[c]"
"In post","2021","Unknown","Grants Management","Declared non-disabled","910","840","24450","21050"
"In post","2021","Unknown","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Declared disabled","60","50","34540","30920"
"In post","2021","Unknown","Human Resources","Declared non-disabled","360","330","35150","31810"
"In post","2021","Unknown","Human Resources","Undeclared","50","50","39250","34710"
"In post","2021","Unknown","Human Resources","Unknown","880","830","34030","31380"
"In post","2021","Unknown","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Unknown","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Declared disabled","120","110","40850","34480"
"In post","2021","Unknown","Legal","Declared non-disabled","1460","1300","48300","52060"
"In post","2021","Unknown","Legal","Undeclared","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Unknown","1440","1350","45650","48080"
"In post","2021","Unknown","No function","Declared disabled","1270","1120","30580","28130"
"In post","2021","Unknown","No function","Declared non-disabled","9450","8400","32950","30620"
"In post","2021","Unknown","No function","Undeclared","3230","2920","32920","31650"
"In post","2021","Unknown","No function","Unknown","30220","28520","30260","25950"
"In post","2021","Unknown","Project Delivery","Declared disabled","150","140","38670","35000"
"In post","2021","Unknown","Project Delivery","Declared non-disabled","1350","1300","40570","38630"
"In post","2021","Unknown","Project Delivery","Undeclared","170","170","44550","40580"
"In post","2021","Unknown","Project Delivery","Unknown","2620","2530","42220","38630"
"In post","2021","Unknown","Property","Declared disabled","70","70","31310","26670"
"In post","2021","Unknown","Property","Declared non-disabled","940","890","31880","29440"
"In post","2021","Unknown","Property","Undeclared","120","110","34840","31100"
"In post","2021","Unknown","Property","Unknown","1190","1140","29410","25860"
"In post","2021","Unknown","Security","Declared disabled","40","40","[c]","[c]"
"In post","2021","Unknown","Security","Declared non-disabled","230","220","35660","35440"
"In post","2021","Unknown","Security","Undeclared","30","30","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","1220","1200","30580","27130"
"In post","2021","Unknown","Unknown","Declared disabled","1720","1460","27300","27570"
"In post","2021","Unknown","Unknown","Declared non-disabled","17690","15150","27980","27570"
"In post","2021","Unknown","Unknown","Undeclared","890","800","28040","27570"
"In post","2021","Unknown","Unknown","Unknown","10790","10430","34550","29290"
"In post","2022","Heterosexual / straight","Analysis","Declared disabled","480","460","42380","38340"
"In post","2022","Heterosexual / straight","Analysis","Declared non-disabled","4200","4030","45240","40270"
"In post","2022","Heterosexual / straight","Analysis","Undeclared","140","140","44730","40720"
"In post","2022","Heterosexual / straight","Analysis","Unknown","660","640","41710","38340"
"In post","2022","Heterosexual / straight","Commercial","Declared disabled","340","330","39970","37850"
"In post","2022","Heterosexual / straight","Commercial","Declared non-disabled","2920","2830","43690","39450"
"In post","2022","Heterosexual / straight","Commercial","Undeclared","140","140","42900","37350"
"In post","2022","Heterosexual / straight","Commercial","Unknown","460","450","38890","36780"
"In post","2022","Heterosexual / straight","Communications","Declared disabled","440","420","34760","33080"
"In post","2022","Heterosexual / straight","Communications","Declared non-disabled","4200","4050","36820","33080"
"In post","2022","Heterosexual / straight","Communications","Undeclared","150","140","36070","33080"
"In post","2022","Heterosexual / straight","Communications","Unknown","350","340","39590","36660"
"In post","2022","Heterosexual / straight","Counter Fraud","Declared disabled","1410","1270","31240","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","Declared non-disabled","8660","8070","33070","30750"
"In post","2022","Heterosexual / straight","Counter Fraud","Undeclared","320","300","31630","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","Unknown","320","300","34430","33080"
"In post","2022","Heterosexual / straight","Debt","Declared disabled","590","500","23490","21260"
"In post","2022","Heterosexual / straight","Debt","Declared non-disabled","3180","2820","24020","21260"
"In post","2022","Heterosexual / straight","Debt","Undeclared","160","140","23300","21260"
"In post","2022","Heterosexual / straight","Debt","Unknown","80","70","25010","22080"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Declared disabled","1450","1390","39130","35110"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Declared non-disabled","11760","11430","41990","38880"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Undeclared","500","480","40110","37040"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Unknown","1070","1050","40780","37100"
"In post","2022","Heterosexual / straight","Finance","Declared disabled","880","820","38210","34220"
"In post","2022","Heterosexual / straight","Finance","Declared non-disabled","6760","6430","40330","36500"
"In post","2022","Heterosexual / straight","Finance","Undeclared","280","270","39420","35310"
"In post","2022","Heterosexual / straight","Finance","Unknown","620","600","39090","36500"
"In post","2022","Heterosexual / straight","Grants Management","Declared disabled","110","100","26230","24920"
"In post","2022","Heterosexual / straight","Grants Management","Declared non-disabled","920","830","26130","24920"
"In post","2022","Heterosexual / straight","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Human Resources","Declared disabled","1240","1170","38560","34160"
"In post","2022","Heterosexual / straight","Human Resources","Declared non-disabled","6700","6340","38490","33530"
"In post","2022","Heterosexual / straight","Human Resources","Undeclared","350","330","36570","33370"
"In post","2022","Heterosexual / straight","Human Resources","Unknown","530","510","35600","32330"
"In post","2022","Heterosexual / straight","Internal Audit","Declared disabled","70","70","44630","39980"
"In post","2022","Heterosexual / straight","Internal Audit","Declared non-disabled","480","450","46300","43710"
"In post","2022","Heterosexual / straight","Internal Audit","Undeclared","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Legal","Declared disabled","910","840","44040","41750"
"In post","2022","Heterosexual / straight","Legal","Declared non-disabled","6510","6090","47340","50500"
"In post","2022","Heterosexual / straight","Legal","Undeclared","140","130","50510","52980"
"In post","2022","Heterosexual / straight","Legal","Unknown","980","940","39840","38090"
"In post","2022","Heterosexual / straight","No function","Declared disabled","24450","22120","30080","27570"
"In post","2022","Heterosexual / straight","No function","Declared non-disabled","136780","127410","32420","27570"
"In post","2022","Heterosexual / straight","No function","Undeclared","7640","7060","31150","27570"
"In post","2022","Heterosexual / straight","No function","Unknown","9680","9110","36240","33370"
"In post","2022","Heterosexual / straight","Project Delivery","Declared disabled","1980","1890","39740","37300"
"In post","2022","Heterosexual / straight","Project Delivery","Declared non-disabled","15290","14730","42450","40000"
"In post","2022","Heterosexual / straight","Project Delivery","Undeclared","590","560","40510","39140"
"In post","2022","Heterosexual / straight","Project Delivery","Unknown","1060","1020","42770","40220"
"In post","2022","Heterosexual / straight","Property","Declared disabled","600","570","36710","33300"
"In post","2022","Heterosexual / straight","Property","Declared non-disabled","5250","5040","37900","33370"
"In post","2022","Heterosexual / straight","Property","Undeclared","270","260","37090","33680"
"In post","2022","Heterosexual / straight","Property","Unknown","430","420","34820","32650"
"In post","2022","Heterosexual / straight","Security","Declared disabled","670","650","32710","30730"
"In post","2022","Heterosexual / straight","Security","Declared non-disabled","5690","5550","32450","29890"
"In post","2022","Heterosexual / straight","Security","Undeclared","390","380","32380","29960"
"In post","2022","Heterosexual / straight","Security","Unknown","770","750","32160","30890"
"In post","2022","Heterosexual / straight","Unknown","Declared disabled","5020","4720","33370","29080"
"In post","2022","Heterosexual / straight","Unknown","Declared non-disabled","45340","42840","34740","29430"
"In post","2022","Heterosexual / straight","Unknown","Undeclared","1480","1400","31970","27400"
"In post","2022","Heterosexual / straight","Unknown","Unknown","4360","4200","37820","32390"
"In post","2022","LGBO","Analysis","Declared disabled","110","110","39530","37930"
"In post","2022","LGBO","Analysis","Declared non-disabled","360","360","42170","37930"
"In post","2022","LGBO","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Unknown","70","60","37840","33210"
"In post","2022","LGBO","Commercial","Declared disabled","30","30","[c]","[c]"
"In post","2022","LGBO","Commercial","Declared non-disabled","130","130","39160","34710"
"In post","2022","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Unknown","40","30","[c]","[c]"
"In post","2022","LGBO","Communications","Declared disabled","80","80","35610","33370"
"In post","2022","LGBO","Communications","Declared non-disabled","310","310","36390","33080"
"In post","2022","LGBO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Unknown","50","40","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Declared disabled","150","140","31860","28840"
"In post","2022","LGBO","Counter Fraud","Declared non-disabled","410","390","32480","28920"
"In post","2022","LGBO","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Debt","Declared disabled","70","60","23380","21260"
"In post","2022","LGBO","Debt","Declared non-disabled","210","200","23720","21260"
"In post","2022","LGBO","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Declared disabled","230","220","38600","36050"
"In post","2022","LGBO","Digital, Data & Technology","Declared non-disabled","640","630","41330","37970"
"In post","2022","LGBO","Digital, Data & Technology","Undeclared","60","60","39320","33370"
"In post","2022","LGBO","Digital, Data & Technology","Unknown","80","80","39610","36500"
"In post","2022","LGBO","Finance","Declared disabled","70","70","37300","31990"
"In post","2022","LGBO","Finance","Declared non-disabled","290","280","40590","36500"
"In post","2022","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Grants Management","Declared non-disabled","70","60","25820","24920"
"In post","2022","LGBO","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Declared disabled","190","180","38210","33370"
"In post","2022","LGBO","Human Resources","Declared non-disabled","390","380","39830","34550"
"In post","2022","LGBO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Declared disabled","110","100","45280","49650"
"In post","2022","LGBO","Legal","Declared non-disabled","380","370","48710","50500"
"In post","2022","LGBO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Unknown","50","50","34020","26970"
"In post","2022","LGBO","No function","Declared disabled","2940","2820","30880","27570"
"In post","2022","LGBO","No function","Declared non-disabled","8400","8160","33390","28140"
