"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","20-29","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Legal","50","50","[c]","[c]"
"In post","2021","Declared disabled","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Operational Delivery","1460","1420","25270","24020"
"In post","2021","Declared disabled","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Other","130","130","25600","24890"
"In post","2021","Declared disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Policy","570","570","37550","34020"
"In post","2021","Declared disabled","20-29","Project Delivery","140","140","32110","32540"
"In post","2021","Declared disabled","20-29","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Science and Engineering","220","220","28330","28590"
"In post","2021","Declared disabled","20-29","Security","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Statistics","50","50","[c]","[c]"
"In post","2021","Declared disabled","20-29","Tax","140","130","28440","25560"
"In post","2021","Declared disabled","20-29","Unknown","1550","1520","27760","27570"
"In post","2021","Declared disabled","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Commercial","120","120","36300","34800"
"In post","2021","Declared disabled","30-39","Communications","60","50","39460","37400"
"In post","2021","Declared disabled","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Digital, Data and Technology","220","210","37760","34410"
"In post","2021","Declared disabled","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Finance","110","110","37820","36420"
"In post","2021","Declared disabled","30-39","Human Resources","160","160","38720","33300"
"In post","2021","Declared disabled","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Intelligence Analysis","60","60","35250","32090"
"In post","2021","Declared disabled","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Declared disabled","30-39","Legal","170","160","45830","49650"
"In post","2021","Declared disabled","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Operational Delivery","2780","2610","27320","25310"
"In post","2021","Declared disabled","30-39","Operational Research","40","40","[c]","[c]"
"In post","2021","Declared disabled","30-39","Other","260","250","29490","26670"
"In post","2021","Declared disabled","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Policy","650","640","46870","48370"
"In post","2021","Declared disabled","30-39","Project Delivery","280","270","39560","37640"
"In post","2021","Declared disabled","30-39","Property","70","70","34670","33000"
"In post","2021","Declared disabled","30-39","Psychology","50","50","[c]","[c]"
"In post","2021","Declared disabled","30-39","Science and Engineering","200","200","35930","35950"
"In post","2021","Declared disabled","30-39","Security","100","90","33170","32690"
"In post","2021","Declared disabled","30-39","Social Research","40","30","[c]","[c]"
"In post","2021","Declared disabled","30-39","Statistics","50","40","[c]","[c]"
"In post","2021","Declared disabled","30-39","Tax","250","240","35700","31810"
"In post","2021","Declared disabled","30-39","Unknown","2340","2170","29980","27570"
"In post","2021","Declared disabled","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Commercial","140","130","41530","39860"
"In post","2021","Declared disabled","40-49","Communications","80","70","38710","36880"
"In post","2021","Declared disabled","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Digital, Data and Technology","270","260","40700","37010"
"In post","2021","Declared disabled","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Finance","220","210","39710","35500"
"In post","2021","Declared disabled","40-49","Human Resources","260","250","43090","38590"
"In post","2021","Declared disabled","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Intelligence Analysis","70","70","34410","29880"
"In post","2021","Declared disabled","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Knowledge and Information Management","70","70","35790","33300"
"In post","2021","Declared disabled","40-49","Legal","280","260","48280","49930"
"In post","2021","Declared disabled","40-49","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Operational Delivery","3980","3680","28850","26000"
"In post","2021","Declared disabled","40-49","Operational Research","30","30","[c]","[c]"
"In post","2021","Declared disabled","40-49","Other","360","340","30360","26590"
"In post","2021","Declared disabled","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Policy","530","520","49330","47000"
"In post","2021","Declared disabled","40-49","Project Delivery","370","360","42390","38700"
"In post","2021","Declared disabled","40-49","Property","140","140","35200","33300"
"In post","2021","Declared disabled","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Science and Engineering","220","210","40420","39420"
"In post","2021","Declared disabled","40-49","Security","130","120","36330","39070"
"In post","2021","Declared disabled","40-49","Social Research","30","30","[c]","[c]"
"In post","2021","Declared disabled","40-49","Statistics","40","40","[c]","[c]"
"In post","2021","Declared disabled","40-49","Tax","300","290","34650","31810"
"In post","2021","Declared disabled","40-49","Unknown","4130","3710","29200","27570"
"In post","2021","Declared disabled","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Commercial","160","160","42260","40580"
"In post","2021","Declared disabled","50-59","Communications","70","60","38920","33840"
"In post","2021","Declared disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Digital, Data and Technology","380","360","41430","38150"
"In post","2021","Declared disabled","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Finance","280","260","38760","35000"
"In post","2021","Declared disabled","50-59","Human Resources","370","350","40900","37410"
"In post","2021","Declared disabled","50-59","Inspector of Education and Training","40","30","[c]","[c]"
"In post","2021","Declared disabled","50-59","Intelligence Analysis","110","100","33480","31520"
"In post","2021","Declared disabled","50-59","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared disabled","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Knowledge and Information Management","110","100","35080","33320"
"In post","2021","Declared disabled","50-59","Legal","360","340","50980","52730"
"In post","2021","Declared disabled","50-59","Medicine","50","50","55720","44500"
"In post","2021","Declared disabled","50-59","Operational Delivery","6360","5840","29010","26750"
"In post","2021","Declared disabled","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Other","760","730","28350","23610"
"In post","2021","Declared disabled","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Policy","560","540","46790","41100"
"In post","2021","Declared disabled","50-59","Project Delivery","550","530","41660","38640"
"In post","2021","Declared disabled","50-59","Property","230","220","37420","33300"
"In post","2021","Declared disabled","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Science and Engineering","310","300","39690","38750"
"In post","2021","Declared disabled","50-59","Security","240","230","31600","28080"
"In post","2021","Declared disabled","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Tax","490","460","36580","32520"
"In post","2021","Declared disabled","50-59","Unknown","6840","6140","28650","27570"
"In post","2021","Declared disabled","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Commercial","40","30","[c]","[c]"
"In post","2021","Declared disabled","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Digital, Data and Technology","60","50","39170","35550"
"In post","2021","Declared disabled","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Finance","70","60","35790","30420"
"In post","2021","Declared disabled","60-64","Human Resources","80","60","37870","33300"
"In post","2021","Declared disabled","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Legal","90","70","52110","55610"
"In post","2021","Declared disabled","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Operational Delivery","2120","1700","26950","24860"
"In post","2021","Declared disabled","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Other","270","250","27440","25140"
"In post","2021","Declared disabled","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Policy","110","100","42690","38140"
"In post","2021","Declared disabled","60-64","Project Delivery","110","100","41530","39700"
"In post","2021","Declared disabled","60-64","Property","80","70","33980","33250"
"In post","2021","Declared disabled","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Science and Engineering","110","100","40180","38300"
"In post","2021","Declared disabled","60-64","Security","80","70","28570","21600"
"In post","2021","Declared disabled","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Tax","140","110","37020","34090"
"In post","2021","Declared disabled","60-64","Unknown","2050","1590","26950","27570"
"In post","2021","Declared disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Finance","30","30","[c]","[c]"
"In post","2021","Declared disabled","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Operational Delivery","630","470","25840","22260"
"In post","2021","Declared disabled","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Other","110","100","26130","22150"
"In post","2021","Declared disabled","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Science and Engineering","50","40","38130","35620"
"In post","2021","Declared disabled","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Tax","50","40","36820","35000"
"In post","2021","Declared disabled","65+","Unknown","560","390","26140","27570"
"In post","2021","Declared disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Operational Delivery","190","170","21480","21430"
"In post","2021","Declared non-disabled","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Science and Engineering","70","70","18090","17780"
"In post","2021","Declared non-disabled","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Tax","50","50","20440","20140"
"In post","2021","Declared non-disabled","16-19","Unknown","230","220","22430","21010"
"In post","2021","Declared non-disabled","20-29","Commercial","540","530","30240","29550"
"In post","2021","Declared non-disabled","20-29","Communications","460","460","34560","33210"
"In post","2021","Declared non-disabled","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","Digital, Data and Technology","1010","1010","33970","31810"
"In post","2021","Declared non-disabled","20-29","Economics","730","720","38280","34340"
"In post","2021","Declared non-disabled","20-29","Finance","770","760","33020","30420"
"In post","2021","Declared non-disabled","20-29","Human Resources","690","680","31490","29250"
"In post","2021","Declared non-disabled","20-29","Intelligence Analysis","360","360","32040","29250"
"In post","2021","Declared non-disabled","20-29","Internal Audit","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","International Trade","200","200","37400","33640"
"In post","2021","Declared non-disabled","20-29","Knowledge and Information Management","220","220","28460","27650"
"In post","2021","Declared non-disabled","20-29","Legal","740","730","34820","31810"
"In post","2021","Declared non-disabled","20-29","Medicine","90","90","28860","27190"
"In post","2021","Declared non-disabled","20-29","Operational Delivery","16500","16120","25410","24890"
"In post","2021","Declared non-disabled","20-29","Operational Research","230","220","34290","33330"
"In post","2021","Declared non-disabled","20-29","Other","1500","1480","27760","25750"
"In post","2021","Declared non-disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","Policy","4520","4500","38780","35200"
"In post","2021","Declared non-disabled","20-29","Project Delivery","1440","1430","32660","31790"
"In post","2021","Declared non-disabled","20-29","Property","370","370","28530","27630"
"In post","2021","Declared non-disabled","20-29","Psychology","270","270","27880","27380"
"In post","2021","Declared non-disabled","20-29","Science and Engineering","2000","1980","29080","28650"
"In post","2021","Declared non-disabled","20-29","Security","630","630","26860","25680"
"In post","2021","Declared non-disabled","20-29","Social Research","230","220","37320","35620"
"In post","2021","Declared non-disabled","20-29","Statistics","390","380","35490","33930"
"In post","2021","Declared non-disabled","20-29","Tax","1680","1640","29610","25560"
"In post","2021","Declared non-disabled","20-29","Unknown","10850","10690","28040","27570"
"In post","2021","Declared non-disabled","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","30-39","Commercial","830","800","38530","37240"
"In post","2021","Declared non-disabled","30-39","Communications","770","740","42990","40050"
"In post","2021","Declared non-disabled","30-39","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","30-39","Counter Fraud","120","120","36070","34050"
"In post","2021","Declared non-disabled","30-39","Digital, Data and Technology","2040","2000","41090","38580"
"In post","2021","Declared non-disabled","30-39","Economics","370","350","57920","57970"
"In post","2021","Declared non-disabled","30-39","Finance","1360","1290","42040","38630"
"In post","2021","Declared non-disabled","30-39","Human Resources","1190","1120","37600","33870"
"In post","2021","Declared non-disabled","30-39","Inspector of Education and Training","70","70","62310","57930"
"In post","2021","Declared non-disabled","30-39","Intelligence Analysis","670","640","33760","30980"
"In post","2021","Declared non-disabled","30-39","Internal Audit","110","100","41960","39980"
"In post","2021","Declared non-disabled","30-39","International Trade","220","220","50890","51970"
"In post","2021","Declared non-disabled","30-39","Knowledge and Information Management","350","340","36580","34490"
"In post","2021","Declared non-disabled","30-39","Legal","2030","1940","47440","51120"
"In post","2021","Declared non-disabled","30-39","Medicine","360","320","43250","37650"
"In post","2021","Declared non-disabled","30-39","Operational Delivery","25260","23550","28310","25760"
"In post","2021","Declared non-disabled","30-39","Operational Research","240","230","46460","46080"
"In post","2021","Declared non-disabled","30-39","Other","2330","2230","33300","28720"
"In post","2021","Declared non-disabled","30-39","Planning","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","30-39","Planning Inspectors","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","30-39","Policy","5590","5430","49250","52160"
"In post","2021","Declared non-disabled","30-39","Project Delivery","2670","2590","41050","38630"
"In post","2021","Declared non-disabled","30-39","Property","690","670","36680","33300"
"In post","2021","Declared non-disabled","30-39","Psychology","430","400","35770","31180"
"In post","2021","Declared non-disabled","30-39","Science and Engineering","2100","2030","38400","37700"
"In post","2021","Declared non-disabled","30-39","Security","940","930","32120","30260"
"In post","2021","Declared non-disabled","30-39","Social Research","220","210","45860","47000"
"In post","2021","Declared non-disabled","30-39","Statistics","410","390","45580","43360"
"In post","2021","Declared non-disabled","30-39","Tax","2450","2370","34910","31810"
"In post","2021","Declared non-disabled","30-39","Unknown","15250","14160","31180","27570"
"In post","2021","Declared non-disabled","30-39","Veterinarian","80","70","39780","37480"
"In post","2021","Declared non-disabled","40-49","Commercial","890","860","43660","40470"
"In post","2021","Declared non-disabled","40-49","Communications","690","650","45840","41770"
"In post","2021","Declared non-disabled","40-49","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","40-49","Counter Fraud","160","150","37430","36060"
"In post","2021","Declared non-disabled","40-49","Digital, Data and Technology","2430","2380","45510","42410"
"In post","2021","Declared non-disabled","40-49","Economics","180","170","65780","62890"
"In post","2021","Declared non-disabled","40-49","Finance","1760","1690","44660","40580"
"In post","2021","Declared non-disabled","40-49","Human Resources","1430","1360","42470","38630"
"In post","2021","Declared non-disabled","40-49","Inspector of Education and Training","240","240","66140","70500"
"In post","2021","Declared non-disabled","40-49","Intelligence Analysis","610","580","34730","30820"
"In post","2021","Declared non-disabled","40-49","Internal Audit","140","130","47520","44020"
"In post","2021","Declared non-disabled","40-49","International Trade","160","150","52730","51970"
"In post","2021","Declared non-disabled","40-49","Knowledge and Information Management","390","370","39850","37410"
"In post","2021","Declared non-disabled","40-49","Legal","2390","2190","52110","52580"
"In post","2021","Declared non-disabled","40-49","Medicine","460","410","55760","45500"
"In post","2021","Declared non-disabled","40-49","Operational Delivery","26510","24580","30620","27260"
"In post","2021","Declared non-disabled","40-49","Operational Research","160","150","50470","46920"
"In post","2021","Declared non-disabled","40-49","Other","3000","2880","34810","28460"
"In post","2021","Declared non-disabled","40-49","Planning","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","40-49","Planning Inspectors","70","70","54800","58810"
"In post","2021","Declared non-disabled","40-49","Policy","4750","4520","53580","53600"
"In post","2021","Declared non-disabled","40-49","Project Delivery","3050","2960","45280","40580"
"In post","2021","Declared non-disabled","40-49","Property","1100","1050","38520","33440"
"In post","2021","Declared non-disabled","40-49","Psychology","210","190","45490","47320"
"In post","2021","Declared non-disabled","40-49","Science and Engineering","2040","1940","43640","41720"
"In post","2021","Declared non-disabled","40-49","Security","1040","1030","32860","31180"
"In post","2021","Declared non-disabled","40-49","Social Research","160","150","50690","49100"
"In post","2021","Declared non-disabled","40-49","Statistics","300","290","50910","51640"
"In post","2021","Declared non-disabled","40-49","Tax","1950","1860","36780","31810"
"In post","2021","Declared non-disabled","40-49","Unknown","20380","18550","31850","27570"
"In post","2021","Declared non-disabled","40-49","Veterinarian","130","130","44220","38390"
"In post","2021","Declared non-disabled","50-59","Commercial","1010","990","45200","42080"
"In post","2021","Declared non-disabled","50-59","Communications","510","500","42450","37840"
"In post","2021","Declared non-disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","50-59","Counter Fraud","210","210","40770","39490"
"In post","2021","Declared non-disabled","50-59","Digital, Data and Technology","2260","2210","44470","41140"
"In post","2021","Declared non-disabled","50-59","Economics","100","100","65810","64710"
"In post","2021","Declared non-disabled","50-59","Finance","2000","1920","42200","38140"
"In post","2021","Declared non-disabled","50-59","Human Resources","1600","1530","41290","37410"
"In post","2021","Declared non-disabled","50-59","Inspector of Education and Training","320","320","68870","75500"
"In post","2021","Declared non-disabled","50-59","Intelligence Analysis","600","580","34550","31000"
"In post","2021","Declared non-disabled","50-59","Internal Audit","250","240","49120","45960"
"In post","2021","Declared non-disabled","50-59","International Trade","170","170","50520","48100"
"In post","2021","Declared non-disabled","50-59","Knowledge and Information Management","490","470","38110","34710"
"In post","2021","Declared non-disabled","50-59","Legal","2400","2250","52470","53910"
"In post","2021","Declared non-disabled","50-59","Medicine","450","410","61390","47000"
"In post","2021","Declared non-disabled","50-59","Operational Delivery","32530","30090","30620","27370"
"In post","2021","Declared non-disabled","50-59","Operational Research","130","120","51480","47420"
"In post","2021","Declared non-disabled","50-59","Other","4920","4760","31070","26670"
"In post","2021","Declared non-disabled","50-59","Planning","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","50-59","Planning Inspectors","90","80","59090","58810"
"In post","2021","Declared non-disabled","50-59","Policy","3970","3880","50890","47000"
"In post","2021","Declared non-disabled","50-59","Project Delivery","3420","3350","46090","41000"
"In post","2021","Declared non-disabled","50-59","Property","1860","1800","38780","34480"
"In post","2021","Declared non-disabled","50-59","Psychology","90","90","39370","29750"
"In post","2021","Declared non-disabled","50-59","Science and Engineering","2400","2330","42700","41140"
"In post","2021","Declared non-disabled","50-59","Security","1960","1930","32670","29140"
"In post","2021","Declared non-disabled","50-59","Social Research","100","100","50790","47000"
"In post","2021","Declared non-disabled","50-59","Statistics","210","200","49110","47710"
"In post","2021","Declared non-disabled","50-59","Tax","2700","2580","38690","35000"
"In post","2021","Declared non-disabled","50-59","Unknown","27900","25490","30650","27570"
"In post","2021","Declared non-disabled","50-59","Veterinarian","80","80","52400","51760"
"In post","2021","Declared non-disabled","60-64","Commercial","210","180","44660","42000"
"In post","2021","Declared non-disabled","60-64","Communications","100","90","37890","35000"
"In post","2021","Declared non-disabled","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Counter Fraud","70","60","38380","36060"
"In post","2021","Declared non-disabled","60-64","Digital, Data and Technology","490","440","42310","38630"
"In post","2021","Declared non-disabled","60-64","Economics","[c]","[c]","[c]","[c]"
