"Status","Year","Profession_of_post","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Female","70","70","38750","34790"
"In post","2021","Counter Fraud","Unknown","Male","100","100","42610","39490"
"In post","2021","Counter Fraud","White","Female","270","250","35180","33100"
"In post","2021","Counter Fraud","White","Male","320","310","40170","37430"
"In post","2021","Digital, Data and Technology","Asian","Female","330","320","42430","38180"
"In post","2021","Digital, Data and Technology","Asian","Male","540","540","42330","39070"
"In post","2021","Digital, Data and Technology","Black","Female","160","150","40320","38630"
"In post","2021","Digital, Data and Technology","Black","Male","250","250","40270","36750"
"In post","2021","Digital, Data and Technology","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Male","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Female","90","80","41240","39980"
"In post","2021","Digital, Data and Technology","Mixed","Male","130","130","43770","39190"
"In post","2021","Digital, Data and Technology","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Male","50","50","43190","39930"
"In post","2021","Digital, Data and Technology","Undeclared","Female","160","150","41920","38630"
"In post","2021","Digital, Data and Technology","Undeclared","Male","530","520","42140","39820"
"In post","2021","Digital, Data and Technology","Unknown","Female","660","640","40400","36500"
"In post","2021","Digital, Data and Technology","Unknown","Male","1550","1540","40510","37100"
"In post","2021","Digital, Data and Technology","White","Female","3190","3000","40430","37450"
"In post","2021","Digital, Data and Technology","White","Male","5570","5490","42990","39050"
"In post","2021","Digital, Data and Technology","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Female","70","70","46210","52360"
"In post","2021","Economics","Asian","Male","110","110","43430","36250"
"In post","2021","Economics","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Male","40","40","[c]","[c]"
"In post","2021","Economics","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Female","40","40","[c]","[c]"
"In post","2021","Economics","Mixed","Male","50","50","46350","46410"
"In post","2021","Economics","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Male","60","60","49910","52280"
"In post","2021","Economics","Unknown","Female","130","130","42980","36820"
"In post","2021","Economics","Unknown","Male","280","280","43260","36160"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","White","Female","490","470","48410","49600"
"In post","2021","Economics","White","Male","810","800","49480","49110"
"In post","2021","Economics","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","Female","370","350","38240","35200"
"In post","2021","Finance","Asian","Male","380","380","41590","38060"
"In post","2021","Finance","Black","Female","230","220","38420","35200"
"In post","2021","Finance","Black","Male","140","140","41900","39980"
"In post","2021","Finance","Chinese","Female","30","30","[c]","[c]"
"In post","2021","Finance","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Female","80","80","40710","38140"
"In post","2021","Finance","Mixed","Male","70","70","41640","39010"
"In post","2021","Finance","Other ethnicity","Female","40","30","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Female","160","150","38770","35140"
"In post","2021","Finance","Undeclared","Male","230","230","42590","38630"
"In post","2021","Finance","Unknown","Female","510","480","36360","32790"
"In post","2021","Finance","Unknown","Male","450","430","39140","35000"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","White","Female","3710","3410","38090","33300"
"In post","2021","Finance","White","Male","2720","2670","44480","40500"
"In post","2021","Human Resources","Asian","Female","300","290","37340","34640"
"In post","2021","Human Resources","Asian","Male","110","110","37510","33000"
"In post","2021","Human Resources","Black","Female","240","230","37720","34500"
"In post","2021","Human Resources","Black","Male","50","50","38890","35900"
"In post","2021","Human Resources","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Female","110","110","40660","37640"
"In post","2021","Human Resources","Mixed","Male","50","50","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Female","30","30","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Female","140","130","36310","33300"
"In post","2021","Human Resources","Undeclared","Male","80","80","37150","33350"
"In post","2021","Human Resources","Unknown","Female","460","430","35610","31810"
"In post","2021","Human Resources","Unknown","Male","210","210","36490","32730"
"In post","2021","Human Resources","White","Female","4260","3960","38590","33350"
"In post","2021","Human Resources","White","Male","1790","1750","40390","36520"
"In post","2021","Human Resources","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","White","Female","540","530","63680","64500"
"In post","2021","Inspector of Education and Training","White","Male","240","230","73840","75500"
"In post","2021","Intelligence Analysis","Asian","Female","110","100","32960","29480"
"In post","2021","Intelligence Analysis","Asian","Male","80","80","32560","29080"
"In post","2021","Intelligence Analysis","Black","Female","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","Female","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Female","60","60","33160","31360"
"In post","2021","Intelligence Analysis","Undeclared","Male","150","140","36110","32100"
"In post","2021","Intelligence Analysis","Unknown","Female","120","110","44540","44830"
"In post","2021","Intelligence Analysis","Unknown","Male","180","180","42830","40190"
"In post","2021","Intelligence Analysis","White","Female","1170","1090","32610","29250"
"In post","2021","Intelligence Analysis","White","Male","1370","1340","35760","32670"
"In post","2021","Internal Audit","Asian","Female","40","40","[c]","[c]"
"In post","2021","Internal Audit","Asian","Male","40","40","[c]","[c]"
"In post","2021","Internal Audit","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Female","290","270","43810","41300"
"In post","2021","Internal Audit","White","Male","280","270","48210","45390"
"In post","2021","International Trade","Asian","Female","60","60","43650","38540"
"In post","2021","International Trade","Asian","Male","50","50","42010","37160"
"In post","2021","International Trade","Black","Female","30","30","[c]","[c]"
"In post","2021","International Trade","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Female","190","190","44120","39370"
"In post","2021","International Trade","Unknown","Male","240","240","46570","39070"
"In post","2021","International Trade","White","Female","310","300","47880","48220"
"In post","2021","International Trade","White","Male","450","440","49220","51710"
"In post","2021","Knowledge and Information Management","Asian","Female","70","70","34010","32330"
"In post","2021","Knowledge and Information Management","Asian","Male","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","Black","Female","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Black","Male","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Female","90","80","35910","33300"
"In post","2021","Knowledge and Information Management","Undeclared","Male","100","90","40350","36460"
"In post","2021","Knowledge and Information Management","Unknown","Female","80","70","35640","33040"
"In post","2021","Knowledge and Information Management","Unknown","Male","90","80","37500","33550"
"In post","2021","Knowledge and Information Management","White","Female","970","910","35600","32780"
"In post","2021","Knowledge and Information Management","White","Male","810","790","38390","36360"
"In post","2021","Legal","Asian","Female","570","520","48370","50520"
"In post","2021","Legal","Asian","Male","320","310","45680","46020"
"In post","2021","Legal","Black","Female","310","300","47850","50500"
"In post","2021","Legal","Black","Male","110","110","50720","51190"
"In post","2021","Legal","Chinese","Female","30","30","[c]","[c]"
"In post","2021","Legal","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Female","180","160","51550","51830"
"In post","2021","Legal","Mixed","Male","110","110","49310","50110"
"In post","2021","Legal","Other ethnicity","Female","80","70","56180","55310"
"In post","2021","Legal","Other ethnicity","Male","50","50","58840","63830"
"In post","2021","Legal","Undeclared","Female","200","180","46160","43460"
"In post","2021","Legal","Undeclared","Male","270","260","42690","38630"
"In post","2021","Legal","Unknown","Female","950","870","46100","46790"
"In post","2021","Legal","Unknown","Male","790","770","43570","37830"
"In post","2021","Legal","White","Female","4730","4270","49200","51250"
"In post","2021","Legal","White","Male","3450","3340","48180","48830"
"In post","2021","Medicine","Asian","Female","130","110","69750","71460"
"In post","2021","Medicine","Asian","Male","70","60","77760","78890"
"In post","2021","Medicine","Black","Female","40","40","[c]","[c]"
"In post","2021","Medicine","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Undeclared","Female","50","40","[c]","[c]"
"In post","2021","Medicine","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Medicine","Unknown","Female","250","220","43520","37890"
"In post","2021","Medicine","Unknown","Male","110","100","53110","38490"
"In post","2021","Medicine","White","Female","1210","1070","50880","37890"
"In post","2021","Medicine","White","Male","500","460","65430","60830"
"In post","2021","Operational Delivery","Asian","Female","5730","5070","27360","25630"
"In post","2021","Operational Delivery","Asian","Male","4350","4150","28670","25630"
"In post","2021","Operational Delivery","Black","Female","3660","3410","28960","26810"
"In post","2021","Operational Delivery","Black","Male","2200","2140","29910","28670"
"In post","2021","Operational Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Chinese","Female","210","190","28880","25560"
"In post","2021","Operational Delivery","Chinese","Male","150","140","27690","25560"
"In post","2021","Operational Delivery","Mixed","Female","1610","1480","29010","26160"
"In post","2021","Operational Delivery","Mixed","Male","1120","1080","30870","28210"
"In post","2021","Operational Delivery","Other ethnicity","Female","440","400","29240","26550"
"In post","2021","Operational Delivery","Other ethnicity","Male","350","340","31900","28670"
"In post","2021","Operational Delivery","Undeclared","Female","2900","2580","28840","26470"
"In post","2021","Operational Delivery","Undeclared","Male","3950","3750","30980","28220"
"In post","2021","Operational Delivery","Unknown","Female","13410","12090","25490","22820"
"In post","2021","Operational Delivery","Unknown","Male","12450","11980","27180","25400"
"In post","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","White","Female","68940","61070","27930","25310"
"In post","2021","Operational Delivery","White","Male","54640","52130","30570","27460"
"In post","2021","Operational Delivery","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Male","60","60","43680","46080"
"In post","2021","Operational Research","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Operational Research","Unknown","Male","70","70","40860","38630"
"In post","2021","Operational Research","White","Female","340","320","43850","40650"
"In post","2021","Operational Research","White","Male","570","550","45600","46080"
"In post","2021","Operational Research","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Asian","Female","480","450","32940","29060"
"In post","2021","Other","Asian","Male","370","360","32740","28670"
"In post","2021","Other","Black","Female","340","340","30280","28310"
"In post","2021","Other","Black","Male","180","170","32090","28810"
"In post","2021","Other","Chinese","Female","40","30","[c]","[c]"
"In post","2021","Other","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","Mixed","Female","150","140","33140","28660"
"In post","2021","Other","Mixed","Male","120","120","34400","31380"
"In post","2021","Other","Other ethnicity","Female","70","60","31820","26950"
"In post","2021","Other","Other ethnicity","Male","50","50","39890","33150"
"In post","2021","Other","Undeclared","Female","380","360","29750","26130"
"In post","2021","Other","Undeclared","Male","620","600","33480","29200"
"In post","2021","Other","Unknown","Female","1100","1050","33430","29390"
"In post","2021","Other","Unknown","Male","2710","2670","36530","33270"
"In post","2021","Other","White","Female","8200","7690","29300","23830"
"In post","2021","Other","White","Male","7850","7670","32480","26930"
"In post","2021","Planning","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","White","Female","80","70","46730","41270"
"In post","2021","Planning","White","Male","90","80","48700","42980"
"In post","2021","Planning Inspectors","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","White","Female","110","100","57820","58810"
"In post","2021","Planning Inspectors","White","Male","180","160","58610","58810"
"In post","2021","Policy","Asian","Female","1160","1120","42580","38800"
"In post","2021","Policy","Asian","Male","760","760","43510","38650"
"In post","2021","Policy","Black","Female","760","750","38960","34890"
"In post","2021","Policy","Black","Male","340","340","39460","36300"
"In post","2021","Policy","Chinese","Female","80","80","46980","42430"
"In post","2021","Policy","Chinese","Male","50","50","41100","37230"
"In post","2021","Policy","Mixed","Female","520","510","43600","39310"
"In post","2021","Policy","Mixed","Male","370","370","46390","44230"
"In post","2021","Policy","Other ethnicity","Female","150","140","44790","38000"
"In post","2021","Policy","Other ethnicity","Male","120","120","46620","45960"
"In post","2021","Policy","Undeclared","Female","460","440","45320","40950"
"In post","2021","Policy","Undeclared","Male","730","720","49880","50400"
"In post","2021","Policy","Unknown","Female","2300","2220","45080","40580"
"In post","2021","Policy","Unknown","Male","1880","1860","46800","42470"
"In post","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","White","Female","10300","9820","47180","42900"
"In post","2021","Policy","White","Male","9110","9000","50500","51060"
"In post","2021","Project Delivery","Asian","Female","440","420","40080","36800"
"In post","2021","Project Delivery","Asian","Male","380","380","41580","38630"
"In post","2021","Project Delivery","Black","Female","320","310","40130","37660"
"In post","2021","Project Delivery","Black","Male","170","170","39510","37390"
"In post","2021","Project Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Mixed","Female","140","130","40250","36800"
"In post","2021","Project Delivery","Mixed","Male","120","120","44730","40110"
"In post","2021","Project Delivery","Other ethnicity","Female","40","40","[c]","[c]"
"In post","2021","Project Delivery","Other ethnicity","Male","40","40","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Female","300","290","40700","38630"
"In post","2021","Project Delivery","Undeclared","Male","530","510","44820","41720"
"In post","2021","Project Delivery","Unknown","Female","690","670","41150","38630"
"In post","2021","Project Delivery","Unknown","Male","710","710","42610","38630"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","White","Female","6110","5820","40560","37640"
"In post","2021","Project Delivery","White","Male","5990","5890","44810","40580"
"In post","2021","Property","Asian","Female","110","100","35700","31660"
"In post","2021","Property","Asian","Male","130","130","37880","33750"
"In post","2021","Property","Black","Female","80","70","34630","31620"
"In post","2021","Property","Black","Male","50","50","39720","38420"
"In post","2021","Property","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Mixed","Female","50","40","[c]","[c]"
"In post","2021","Property","Mixed","Male","40","40","[c]","[c]"
"In post","2021","Property","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Undeclared","Female","120","110","36460","33300"
"In post","2021","Property","Undeclared","Male","270","260","39140","36460"
"In post","2021","Property","Unknown","Female","380","350","32080","29450"
"In post","2021","Property","Unknown","Male","540","520","36040","31810"
"In post","2021","Property","White","Female","2020","1880","34600","32820"
"In post","2021","Property","White","Male","3130","3060","37780","33570"
"In post","2021","Psychology","Asian","Female","30","30","[c]","[c]"
"In post","2021","Psychology","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","Female","150","140","32370","30450"
"In post","2021","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
