"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","National Savings and Investments","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Government Actuary's Department","180","170","68710","65470"
"In post","2021","Chancellor's other departments","Other","National Savings and Investments","100","90","53850","45130"
"In post","2021","Chancellor's other departments","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Charity Commission","50","40","[c]","[c]"
"In post","2021","Charity Commission","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Charity Commission","60","50","32020","29160"
"In post","2021","Charity Commission","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Charity Commission","220","210","32970","29160"
"In post","2021","Competition and Markets Authority","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Competition and Markets Authority","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Competition and Markets Authority","380","360","60680","56360"
"In post","2021","Competition and Markets Authority","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Met Office","190","180","42990","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Met Office","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Insolvency Service","260","250","39230","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","60","60","45550","43750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Companies House","260","250","38840","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","45390","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Insolvency Service","50","50","42440","41060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Met Office","350","340","37300","34170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","UK Intellectual Property Office","190","190","44760","42860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","300","290","46610","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Companies House","60","50","30930","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","170","170","52940","54880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Companies House","90","80","33040","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","140","140","48590","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Insolvency Service","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Met Office","70","70","38220","33350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","UK Intellectual Property Office","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","UK Intellectual Property Office","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Advisory, Conciliation and Arbitration Service","910","840","31520","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Companies House","580","520","24590","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","530","520","45020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Insolvency Service","1240","1180","28300","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Met Office","220","210","41080","39670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","UK Intellectual Property Office","640","600","26980","23320"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","3740","3660","49610","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","UK Intellectual Property Office","100","100","44040","39420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","UK Space Agency","150","140","48360","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","50870","49200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Met Office","200","190","40570","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","UK Intellectual Property Office","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","UK Space Agency","50","50","43640","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Met Office","950","900","40170","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","UK Intellectual Property Office","370","350","48340","43110"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Department for Digital, Culture, Media and Sport","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Department for Digital, Culture, Media and Sport","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Department for Digital, Culture, Media and Sport","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48690","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Commercial","Department for Education (excl. agencies)","190","180","39800","38000"
"In post","2021","Department for Education","Commercial","Education and Skills Funding Agency","190","180","41270","36960"
"In post","2021","Department for Education","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","Department for Education (excl. agencies)","240","230","37810","33510"
"In post","2021","Department for Education","Communications","Education and Skills Funding Agency","90","90","43280","40300"
"In post","2021","Department for Education","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","Department for Education (excl. agencies)","580","560","40690","37100"
"In post","2021","Department for Education","Digital, Data and Technology","Education and Skills Funding Agency","300","290","37910","36500"
"In post","2021","Department for Education","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","Department for Education (excl. agencies)","470","450","43130","40940"
"In post","2021","Department for Education","Finance","Education and Skills Funding Agency","320","310","41700","37100"
"In post","2021","Department for Education","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","Department for Education (excl. agencies)","140","130","34780","29730"
"In post","2021","Department for Education","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Intelligence Analysis","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","Department for Education (excl. agencies)","60","60","54720","57570"
"In post","2021","Department for Education","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","Department for Education (excl. agencies)","580","560","41110","36780"
"In post","2021","Department for Education","Operational Delivery","Education and Skills Funding Agency","700","680","41350","36960"
"In post","2021","Department for Education","Operational Delivery","Institute for Apprenticeships and Technical Education","150","150","48880","50360"
"In post","2021","Department for Education","Operational Delivery","Standards and Testing Agency","90","90","43790","42220"
"In post","2021","Department for Education","Operational Delivery","Teaching Regulation Agency","70","70","30610","27680"
"In post","2021","Department for Education","Other","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","Department for Education (excl. agencies)","2800","2680","45800","41190"
"In post","2021","Department for Education","Policy","Education and Skills Funding Agency","200","190","49660","49860"
"In post","2021","Department for Education","Policy","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2021","Department for Education","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","Department for Education (excl. agencies)","50","50","47790","49860"
"In post","2021","Department for Education","Project Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Property","Department for Education (excl. agencies)","560","550","51020","51910"
"In post","2021","Department for Education","Property","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","670","650","43890","47550"
