"Status","Year","Sexual_orientation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Charity Commission","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","90","80","33710","29160"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Digital, Data and Technology","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Economics","70","70","62960","59140"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Legal","100","100","69190","72430"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Project Delivery","310","290","59750","56360"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Commercial","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Communications","150","140","44350","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Counter Fraud","140","130","39590","39170"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","420","410","44060","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Economics","210","210","47990","44300"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Finance","230","220","45840","41870"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Human Resources","270","250","41640","39570"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Legal","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Operational Delivery","2180","2040","32470","28280"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Policy","2830","2760","49990","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Project Delivery","140","130","47270","43340"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Science and Engineering","210","190","48370","43110"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Statistics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Communications","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Economics","60","60","53530","59730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Finance","50","50","57180","55260"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Human Resources","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Other","70","60","40990","34330"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Policy","730","720","48940","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Project Delivery","150","150","49280","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Commercial","290","280","40890","37100"
"In post","2021","Heterosexual / straight","Department for Education","Communications","210","200","39970","36960"
"In post","2021","Heterosexual / straight","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Digital, Data and Technology","570","550","39700","36780"
"In post","2021","Heterosexual / straight","Department for Education","Finance","540","520","42460","38220"
"In post","2021","Heterosexual / straight","Department for Education","Human Resources","120","110","36930","32210"
"In post","2021","Heterosexual / straight","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Legal","60","60","53470","54450"
"In post","2021","Heterosexual / straight","Department for Education","Operational Delivery","1170","1130","41130","36960"
"In post","2021","Heterosexual / straight","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Policy","2040","1950","45900","40940"
"In post","2021","Heterosexual / straight","Department for Education","Project Delivery","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Property","430","420","51340","53420"
"In post","2021","Heterosexual / straight","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Commercial","120","110","38190","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Communications","180","180","40950","37300"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","500","490","44000","47550"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Economics","110","110","44590","47550"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Finance","330","320","43330","38060"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Human Resources","210","200","43060","38710"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Operational Delivery","2150","1990","27810","25190"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Policy","1630","1580","43010","38580"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Project Delivery","270","260","40500","36520"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Property","300","290","37470","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Science and Engineering","770","720","33980","29750"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Statistics","60","60","38470","32560"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Veterinarian","240","230","45360","44660"
"In post","2021","Heterosexual / straight","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Communications","70","70","43600","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Digital, Data and Technology","60","60","45480","43000"
"In post","2021","Heterosexual / straight","Department for International Trade","Economics","100","100","44500","51710"
"In post","2021","Heterosexual / straight","Department for International Trade","Finance","60","60","50940","51970"
"In post","2021","Heterosexual / straight","Department for International Trade","Human Resources","80","80","44470","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","International Trade","730","720","49200","51710"
"In post","2021","Heterosexual / straight","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Operational Delivery","60","60","38590","32120"
"In post","2021","Heterosexual / straight","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Other","90","90","39430","33420"
"In post","2021","Heterosexual / straight","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Policy","120","120","45570","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Project Delivery","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Statistics","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Commercial","190","190","40710","34710"
"In post","2021","Heterosexual / straight","Department for Transport","Communications","180","170","38040","34710"
"In post","2021","Heterosexual / straight","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Digital, Data and Technology","740","730","40190","37660"
"In post","2021","Heterosexual / straight","Department for Transport","Economics","110","100","48250","54110"
"In post","2021","Heterosexual / straight","Department for Transport","Finance","340","320","41160","37660"
"In post","2021","Heterosexual / straight","Department for Transport","Human Resources","320","300","37380","32930"
"In post","2021","Heterosexual / straight","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Medicine","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Operational Delivery","5520","5040","26720","26470"
"In post","2021","Heterosexual / straight","Department for Transport","Operational Research","50","50","37240","34710"
"In post","2021","Heterosexual / straight","Department for Transport","Other","310","290","43170","31860"
"In post","2021","Heterosexual / straight","Department for Transport","Policy","910","880","44820","42470"
"In post","2021","Heterosexual / straight","Department for Transport","Project Delivery","450","440","50330","44480"
"In post","2021","Heterosexual / straight","Department for Transport","Property","110","100","33100","31040"
"In post","2021","Heterosexual / straight","Department for Transport","Science and Engineering","130","120","44780","42890"
"In post","2021","Heterosexual / straight","Department for Transport","Security","180","180","41010","40810"
"In post","2021","Heterosexual / straight","Department for Transport","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Statistics","80","80","46240","42890"
"In post","2021","Heterosexual / straight","Department for Transport","Unknown","130","130","56400","54440"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Operational Delivery","1210","1130","43780","41480"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Policy","70","60","46940","43770"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Project Delivery","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Science and Engineering","320","290","39340","39330"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Unknown","58730","53040","27900","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Commercial","90","90","46130","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Communications","170","160","43580","40260"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Digital, Data and Technology","190","180","43750","40850"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Economics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Finance","260","260","42050","37930"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Human Resources","210","200","44630","40070"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Intelligence Analysis","90","90","51590","53360"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Knowledge and Information Management","350","320","39940","37470"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Medicine","330","290","89690","92370"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Operational Delivery","2340","2130","38350","33090"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Other","170","170","48210","41040"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Policy","660","640","49070","49530"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Science and Engineering","1670","1550","40400","37470"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Statistics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Unknown","140","140","38580","33090"
"In post","2021","Heterosexual / straight","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Inspector of Education and Training","60","50","74440","74730"
"In post","2021","Heterosexual / straight","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Counter Fraud","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Food Standards Agency","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Operational Delivery","350","340","32790","28940"
"In post","2021","Heterosexual / straight","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Policy","140","140","42360","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Science and Engineering","60","60","40300","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Veterinarian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Commercial","120","120","44570","40850"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Communications","90","90","47880","42330"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Digital, Data and Technology","200","200","43160","40330"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Economics","110","110","51030","54320"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Finance","170","170","43070","38600"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Human Resources","200","190","45750","39630"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Intelligence Analysis","140","140","44680","38860"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Internal Audit","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Knowledge and Information Management","110","100","44650","37780"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Legal","90","70","56230","57760"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Operational Delivery","450","430","33330","28000"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Operational Research","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Other","180","180","67210","70410"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Policy","2850","2820","50550","50430"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Project Delivery","300","290","41640","38600"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Property","320","320","41540","39260"
