"Status","Year","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","430","410","36850","33290"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","1220","1160","40080","36520"
"In post","2021","Department for International Trade","Declared disabled","200","200","45110","39200"
"In post","2021","Department for International Trade","Declared non-disabled","1410","1400","46700","41160"
"In post","2021","Department for International Trade","Undeclared","70","70","47320","51710"
"In post","2021","Department for International Trade","Unknown","1000","990","44640","38540"
"In post","2021","Department for Transport","Declared disabled","1390","1220","29370","26780"
"In post","2021","Department for Transport","Declared non-disabled","11030","10220","33620","27680"
"In post","2021","Department for Transport","Undeclared","1550","1460","35490","32180"
"In post","2021","Department for Transport","Unknown","2010","1910","29460","26520"
"In post","2021","Department for Work and Pensions","Declared disabled","15550","13660","27300","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","70540","63190","28210","27570"
"In post","2021","Department for Work and Pensions","Undeclared","4200","3890","28120","27570"
"In post","2021","Department for Work and Pensions","Unknown","3240","3090","28880","27570"
"In post","2021","Department of Health and Social Care","Declared disabled","530","490","41070","36330"
"In post","2021","Department of Health and Social Care","Declared non-disabled","5870","5430","43810","38870"
"In post","2021","Department of Health and Social Care","Undeclared","550","490","47040","40320"
"In post","2021","Department of Health and Social Care","Unknown","4810","4630","47180","40650"
"In post","2021","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","100","90","58270","74730"
"In post","2021","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","70","70","34990","30810"
"In post","2021","Food Standards Agency","Declared non-disabled","810","780","36740","31240"
"In post","2021","Food Standards Agency","Undeclared","430","420","38670","37350"
"In post","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","800","780","43620","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","5900","5780","47520","42540"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","350","340","48560","43550"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","1590","1550","48670","49370"
"In post","2021","HM Land Registry","Declared disabled","490","420","30520","27130"
"In post","2021","HM Land Registry","Declared non-disabled","3690","3260","33100","30600"
"In post","2021","HM Land Registry","Undeclared","230","210","32430","31740"
"In post","2021","HM Land Registry","Unknown","1950","1880","27260","22350"
"In post","2021","HM Revenue and Customs","Declared disabled","5740","5130","31030","27810"
"In post","2021","HM Revenue and Customs","Declared non-disabled","37410","34470","32870","30510"
"In post","2021","HM Revenue and Customs","Undeclared","3280","3010","33470","31810"
"In post","2021","HM Revenue and Customs","Unknown","20060","18480","28140","25560"
"In post","2021","HM Treasury","Declared disabled","250","240","46050","42900"
"In post","2021","HM Treasury","Declared non-disabled","1830","1780","48440","49870"
"In post","2021","HM Treasury","Undeclared","390","380","44400","38000"
"In post","2021","HM Treasury","Unknown","210","200","54740","52500"
"In post","2021","Home Office","Declared disabled","3060","2810","31320","27370"
"In post","2021","Home Office","Declared non-disabled","28490","26420","32000","27370"
"In post","2021","Home Office","Undeclared","1810","1680","32620","28930"
"In post","2021","Home Office","Unknown","2010","1970","32040","25770"
"In post","2021","Ministry of Defence","Declared disabled","5280","5070","33320","31700"
"In post","2021","Ministry of Defence","Declared non-disabled","38140","36890","34020","32150"
"In post","2021","Ministry of Defence","Undeclared","4190","4070","34360","33300"
"In post","2021","Ministry of Defence","Unknown","10070","9770","34570","32700"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","340","330","41470","37310"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","2510","2410","45990","42900"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","170","160","45110","42980"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","380","370","44010","40720"
"In post","2021","Ministry of Justice","Declared disabled","8960","8350","29350","26810"
"In post","2021","Ministry of Justice","Declared non-disabled","53190","49830","29950","26810"
"In post","2021","Ministry of Justice","Undeclared","9090","8370","30850","31650"
"In post","2021","Ministry of Justice","Unknown","7660","7410","26780","24440"
"In post","2021","National Crime Agency","Declared disabled","200","190","38020","36410"
"In post","2021","National Crime Agency","Declared non-disabled","1750","1700","43290","40210"
"In post","2021","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","3520","3450","38560","36720"
"In post","2021","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","80","80","45530","38980"
"In post","2021","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","60","60","40830","37030"
"In post","2021","Office for Standards in Education","Declared disabled","140","130","45350","42850"
"In post","2021","Office for Standards in Education","Declared non-disabled","1480","1420","50470","51360"
"In post","2021","Office for Standards in Education","Unknown","170","160","42510","42850"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","50","50","39210","31720"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","1020","1010","44860","38550"
"In post","2021","Office of Gas and Electricity Markets","Unknown","110","100","46990","41320"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","160","150","44400","38760"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","70","60","50580","46660"
"In post","2021","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","290","280","54650","55430"
"In post","2021","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Declared disabled","70","60","42190","37140"
"In post","2021","Other Cabinet Office Agencies","Declared non-disabled","360","350","45090","38770"
"In post","2021","Other Cabinet Office Agencies","Undeclared","40","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","530","520","36550","34800"
"In post","2021","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","60","60","46210","43960"
"In post","2021","Scottish Government","Declared disabled","1740","1640","36000","33650"
"In post","2021","Scottish Government","Declared non-disabled","9830","9370","39210","34190"
"In post","2021","Scottish Government","Undeclared","310","300","39090","34150"
"In post","2021","Scottish Government","Unknown","10350","9730","34110","30930"
"In post","2021","The National Archives","Declared disabled","30","30","[c]","[c]"
"In post","2021","The National Archives","Declared non-disabled","340","330","35890","34260"
"In post","2021","The National Archives","Unknown","170","160","36230","32200"
"In post","2021","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Declared non-disabled","380","370","54030","49200"
"In post","2021","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared non-disabled","50","50","37580","32770"
"In post","2021","United Kingdom Statistics Authority","Declared disabled","530","460","31630","29540"
"In post","2021","United Kingdom Statistics Authority","Declared non-disabled","2600","2300","34340","30660"
"In post","2021","United Kingdom Statistics Authority","Undeclared","130","100","29030","25550"
"In post","2021","United Kingdom Statistics Authority","Unknown","2290","2090","30870","29540"
"In post","2021","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Declared non-disabled","170","160","57080","51120"
"In post","2021","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","70","70","54170","47860"
"In post","2021","Welsh Government","Declared disabled","320","300","38660","37410"
"In post","2021","Welsh Government","Declared non-disabled","4920","4660","41290","37410"
"In post","2021","Welsh Government","Undeclared","180","170","42290","37410"
"In post","2021","Welsh Government","Unknown","350","330","39240","34490"
"In post","2022","Attorney General's Departments","Declared disabled","1070","990","43890","43390"
"In post","2022","Attorney General's Departments","Declared non-disabled","6980","6500","45640","48830"
"In post","2022","Attorney General's Departments","Undeclared","160","150","51930","51980"
"In post","2022","Attorney General's Departments","Unknown","1990","1890","43050","40800"
"In post","2022","Cabinet Office","Declared disabled","910","880","44220","38930"
"In post","2022","Cabinet Office","Declared non-disabled","5210","5090","48360","41460"
"In post","2022","Cabinet Office","Undeclared","320","310","44480","40600"
"In post","2022","Cabinet Office","Unknown","4610","4560","45710","34550"
"In post","2022","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Declared non-disabled","340","330","59730","49480"
"In post","2022","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","50","50","[c]","[c]"
"In post","2022","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Declared non-disabled","230","220","35650","29160"
"In post","2022","Charity Commission","Unknown","210","200","32270","29160"
"In post","2022","Competition and Markets Authority","Declared disabled","50","50","[c]","[c]"
"In post","2022","Competition and Markets Authority","Declared non-disabled","730","700","60380","56360"
"In post","2022","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","70","70","73200","74650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared disabled","1260","1210","39930","36740"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared non-disabled","9970","9560","42860","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","470","460","44430","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","2370","2280","36290","33570"
"In post","2022","Department for Digital, Culture, Media and Sport","Declared disabled","170","170","46210","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Declared non-disabled","1560","1530","47220","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","90","90","45140","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","190","180","46480","47540"
"In post","2022","Department for Education","Declared disabled","780","740","41570","37030"
"In post","2022","Department for Education","Declared non-disabled","5350","5140","45740","42750"
"In post","2022","Department for Education","Undeclared","360","350","44000","40230"
"In post","2022","Department for Education","Unknown","2210","2170","38920","36500"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","1420","1350","35080","30730"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","9600","9130","35410","31900"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","520","500","37300","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","1250","1190","38990","35900"
"In post","2022","Department for International Trade","Declared disabled","240","240","46100","41760"
"In post","2022","Department for International Trade","Declared non-disabled","1530","1520","47150","44000"
"In post","2022","Department for International Trade","Undeclared","60","60","47740","51710"
"In post","2022","Department for International Trade","Unknown","1040","1040","45810","40300"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","430","420","41110","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","2920","2810","45920","42900"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","200","190","44430","39990"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","610","580","44450","40600"
"In post","2022","Department for Transport","Declared disabled","1390","1220","30030","26780"
"In post","2022","Department for Transport","Declared non-disabled","11280","10490","34040","27930"
"In post","2022","Department for Transport","Undeclared","1100","1030","33750","29970"
"In post","2022","Department for Transport","Unknown","2630","2510","31200","26700"
"In post","2022","Department for Work and Pensions","Declared disabled","16130","14190","27570","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","70360","63260","28640","27570"
"In post","2022","Department for Work and Pensions","Undeclared","4300","3970","28640","27570"
"In post","2022","Department for Work and Pensions","Unknown","3370","3230","29930","27570"
"In post","2022","Department of Health and Social Care","Declared disabled","600","570","41710","36820"
"In post","2022","Department of Health and Social Care","Declared non-disabled","5160","4800","42990","37830"
"In post","2022","Department of Health and Social Care","Undeclared","120","110","45010","40830"
"In post","2022","Department of Health and Social Care","Unknown","5930","5700","47480","41020"
"In post","2022","Estyn","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Declared non-disabled","100","90","58880","75480"
"In post","2022","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared disabled","110","100","37940","33400"
"In post","2022","Food Standards Agency","Declared non-disabled","920","890","37630","32400"
"In post","2022","Food Standards Agency","Undeclared","350","340","37950","37350"
"In post","2022","Food Standards Agency","Unknown","80","80","35290","32640"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","790","760","44390","38860"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","5670","5530","47970","43590"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","330","320","49020","43970"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","1460","1430","49210","51500"
"In post","2022","HM Land Registry","Declared disabled","670","590","29970","27130"
"In post","2022","HM Land Registry","Declared non-disabled","4150","3720","32730","27130"
"In post","2022","HM Land Registry","Undeclared","300","260","33470","33840"
"In post","2022","HM Land Registry","Unknown","1530","1470","27610","22600"
"In post","2022","HM Revenue and Customs","Declared disabled","6400","5790","32990","28920"
"In post","2022","HM Revenue and Customs","Declared non-disabled","41850","39030","34770","33080"
"In post","2022","HM Revenue and Customs","Undeclared","3450","3190","35290","33370"
"In post","2022","HM Revenue and Customs","Unknown","19670","18310","30290","26820"
"In post","2022","HM Treasury","Declared disabled","280","270","45760","41250"
"In post","2022","HM Treasury","Declared non-disabled","1910","1850","48540","49510"
"In post","2022","HM Treasury","Undeclared","410","400","45650","42070"
"In post","2022","HM Treasury","Unknown","180","180","55520","52500"
"In post","2022","Home Office","Declared disabled","3030","2810","32180","28650"
"In post","2022","Home Office","Declared non-disabled","26120","24320","32690","28650"
"In post","2022","Home Office","Undeclared","1660","1540","33300","29160"
"In post","2022","Home Office","Unknown","5720","5560","32590","27370"
"In post","2022","Ministry of Defence","Declared disabled","4930","4740","33710","32480"
"In post","2022","Ministry of Defence","Declared non-disabled","39530","38200","34980","33000"
"In post","2022","Ministry of Defence","Undeclared","3970","3840","34120","33000"
"In post","2022","Ministry of Defence","Unknown","9400","9130","34400","32670"
"In post","2022","Ministry of Justice","Declared disabled","10350","9640","30270","28140"
"In post","2022","Ministry of Justice","Declared non-disabled","57240","53760","30800","28010"
"In post","2022","Ministry of Justice","Undeclared","8530","7830","31560","31650"
"In post","2022","Ministry of Justice","Unknown","10780","10250","27950","25210"
"In post","2022","National Crime Agency","Declared disabled","250","240","38600","36740"
"In post","2022","National Crime Agency","Declared non-disabled","1630","1570","43870","41530"
"In post","2022","National Crime Agency","Unknown","3670","3590","39420","36740"
"In post","2022","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared non-disabled","100","100","46450","41750"
"In post","2022","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","60","50","46160","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","150","140","46630","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","1520","1470","51440","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","160","150","42760","42660"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","80","80","36830","32560"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","1180","1160","43790","37230"
"In post","2022","Office of Gas and Electricity Markets","Unknown","90","90","45270","42810"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","30","30","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","190","180","44130","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","60","60","49000","46660"
"In post","2022","Office of Rail and Road","Declared disabled","30","30","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared non-disabled","320","310","54480","54890"
"In post","2022","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared non-disabled","50","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","60","60","46020","42200"
"In post","2022","Office of the Secretary of State for Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","1980","1880","36660","34040"
"In post","2022","Scottish Government","Declared non-disabled","11980","11480","39350","34600"
"In post","2022","Scottish Government","Undeclared","380","360","40120","36130"
"In post","2022","Scottish Government","Unknown","10990","10370","35190","31670"
"In post","2022","The National Archives","Declared disabled","40","40","[c]","[c]"
"In post","2022","The National Archives","Declared non-disabled","360","350","36680","34480"
"In post","2022","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","170","170","35120","30820"
"In post","2022","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared non-disabled","430","420","52710","47650"
"In post","2022","UK Export Finance","Undeclared","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Declared disabled","590","520","33030","30760"
"In post","2022","UK Statistics Authority","Declared non-disabled","2930","2620","35120","30810"
"In post","2022","UK Statistics Authority","Undeclared","140","120","30180","27570"
"In post","2022","UK Statistics Authority","Unknown","2220","2010","32450","30210"
"In post","2022","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","210","200","54540","49160"
"In post","2022","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","40","30","[c]","[c]"
"In post","2022","Welsh Government","Declared disabled","350","330","39710","38160"
"In post","2022","Welsh Government","Declared non-disabled","5040","4770","42250","38160"
"In post","2022","Welsh Government","Undeclared","190","180","42680","40100"
"In post","2022","Welsh Government","Unknown","390","370","39770","35180"
"Leaver CS","2021","Attorney General's Departments","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Declared non-disabled","270","240","48080","51250"
"Leaver CS","2021","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Unknown","100","90","44000","50880"
"Leaver CS","2021","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Declared non-disabled","150","140","52750","41860"
"Leaver CS","2021","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Unknown","200","190","44840","32910"
"Leaver CS","2021","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Declared non-disabled","70","70","51800","46140"
"Leaver CS","2021","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","290","270","43800","39340"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","170","160","35430","28830"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Department for Education","Declared non-disabled","240","230","44920","40510"
"Leaver CS","2021","Department for Education","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Unknown","520","490","33790","28170"
"Leaver CS","2021","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Unknown","100","100","31430","24410"
"Leaver CS","2021","Department for Transport","Declared disabled","80","60","24930","21590"
"Leaver CS","2021","Department for Transport","Declared non-disabled","430","360","31360","26380"
"Leaver CS","2021","Department for Transport","Undeclared","80","70","33720","30130"
"Leaver CS","2021","Department for Transport","Unknown","130","120","26770","21590"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","670","540","26730","26890"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","3010","2500","26860","25490"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","140","120","27650","26890"
"Leaver CS","2021","Department for Work and Pensions","Unknown","700","670","27240","27570"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","540","470","40140","33190"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","80","70","35310","33180"
"Leaver CS","2021","Department of Health and Social Care","Unknown","370","190","46700","40020"
"Leaver CS","2021","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","30","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","170","90","43800","39190"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","70","40","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","150","120","33290","27130"
"Leaver CS","2021","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","90","80","29090","22350"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","640","520","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","2830","2350","31010","26350"
"Leaver CS","2021","HM Revenue and Customs","Undeclared","360","310","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","1860","1610","25840","24500"
"Leaver CS","2021","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","80","70","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
