"Status","Year","Function_of_post","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Debt","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","20-29","390","380","21630","20140"
"In post","2021","Debt","Declared non-disabled","30-39","410","370","22730","20140"
"In post","2021","Debt","Declared non-disabled","40-49","450","400","24730","21440"
"In post","2021","Debt","Declared non-disabled","50-59","720","640","25530","24630"
"In post","2021","Debt","Declared non-disabled","60-64","250","190","25030","24120"
"In post","2021","Debt","Declared non-disabled","65+","80","60","26260","25630"
"In post","2021","Debt","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","40-49","50","50","24300","24120"
"In post","2021","Debt","Undeclared","50-59","70","60","25720","24120"
"In post","2021","Debt","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","16-19","40","30","[c]","[c]"
"In post","2021","Debt","Unknown","20-29","630","610","20990","20140"
"In post","2021","Debt","Unknown","30-39","370","350","21300","20140"
"In post","2021","Debt","Unknown","40-49","270","250","22750","20140"
"In post","2021","Debt","Unknown","50-59","340","310","23970","21440"
"In post","2021","Debt","Unknown","60-64","100","80","23730","21440"
"In post","2021","Debt","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","20-29","120","120","31820","29320"
"In post","2021","Digital, Data & Technology","Declared disabled","30-39","230","230","38750","35430"
"In post","2021","Digital, Data & Technology","Declared disabled","40-49","280","270","41220","37040"
"In post","2021","Digital, Data & Technology","Declared disabled","50-59","380","360","40290","36980"
"In post","2021","Digital, Data & Technology","Declared disabled","60-64","60","50","39330","33970"
"In post","2021","Digital, Data & Technology","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","20-29","1060","1050","34180","31810"
"In post","2021","Digital, Data & Technology","Declared non-disabled","30-39","2150","2110","41550","38630"
"In post","2021","Digital, Data & Technology","Declared non-disabled","40-49","2520","2450","45500","41630"
"In post","2021","Digital, Data & Technology","Declared non-disabled","50-59","2190","2130","43730","40150"
"In post","2021","Digital, Data & Technology","Declared non-disabled","60-64","460","410","40500","38450"
"In post","2021","Digital, Data & Technology","Declared non-disabled","65+","130","100","42800","36320"
"In post","2021","Digital, Data & Technology","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","20-29","70","70","33610","31890"
"In post","2021","Digital, Data & Technology","Undeclared","30-39","160","150","43510","40120"
"In post","2021","Digital, Data & Technology","Undeclared","40-49","200","190","42470","38760"
"In post","2021","Digital, Data & Technology","Undeclared","50-59","200","200","40170","38450"
"In post","2021","Digital, Data & Technology","Undeclared","60-64","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","20-29","810","810","32620","31800"
"In post","2021","Digital, Data & Technology","Unknown","30-39","920","900","41100","38500"
"In post","2021","Digital, Data & Technology","Unknown","40-49","840","830","44100","40210"
"In post","2021","Digital, Data & Technology","Unknown","50-59","570","560","45360","40250"
"In post","2021","Digital, Data & Technology","Unknown","60-64","110","100","43900","36160"
"In post","2021","Digital, Data & Technology","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","20-29","70","70","32060","30200"
"In post","2021","Finance","Declared disabled","30-39","120","120","38440","34320"
"In post","2021","Finance","Declared disabled","40-49","220","210","39320","34370"
"In post","2021","Finance","Declared disabled","50-59","290","270","38290","33700"
"In post","2021","Finance","Declared disabled","60-64","80","70","35570","31810"
"In post","2021","Finance","Declared disabled","65+","30","20","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","20-29","770","760","32670","30360"
"In post","2021","Finance","Declared non-disabled","30-39","1290","1230","41140","38020"
"In post","2021","Finance","Declared non-disabled","40-49","1720","1650","43480","38650"
"In post","2021","Finance","Declared non-disabled","50-59","1970","1870","40680","36190"
"In post","2021","Finance","Declared non-disabled","60-64","430","370","37380","32350"
"In post","2021","Finance","Declared non-disabled","65+","130","100","30800","27970"
"In post","2021","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","20-29","50","50","[c]","[c]"
"In post","2021","Finance","Undeclared","30-39","100","90","43440","40730"
"In post","2021","Finance","Undeclared","40-49","130","130","42090","36780"
"In post","2021","Finance","Undeclared","50-59","180","170","35960","31810"
"In post","2021","Finance","Undeclared","60-64","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","20-29","430","420","30760","29070"
"In post","2021","Finance","Unknown","30-39","400","390","39250","36250"
"In post","2021","Finance","Unknown","40-49","390","370","39720","36400"
"In post","2021","Finance","Unknown","50-59","380","360","38880","33580"
"In post","2021","Finance","Unknown","60-64","100","80","34700","29630"
"In post","2021","Finance","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","40-49","50","50","24830","21050"
"In post","2021","Grants Management","Declared disabled","50-59","60","60","27700","25560"
"In post","2021","Grants Management","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","20-29","230","230","22390","21050"
"In post","2021","Grants Management","Declared non-disabled","30-39","350","310","24120","21050"
"In post","2021","Grants Management","Declared non-disabled","40-49","520","460","26010","24920"
"In post","2021","Grants Management","Declared non-disabled","50-59","420","390","27670","25190"
"In post","2021","Grants Management","Declared non-disabled","60-64","140","120","25200","21050"
"In post","2021","Grants Management","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Grants Management","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","20-29","140","130","31430","28520"
"In post","2021","Human Resources","Declared disabled","30-39","210","200","37010","31990"
"In post","2021","Human Resources","Declared disabled","40-49","320","300","42050","37640"
"In post","2021","Human Resources","Declared disabled","50-59","440","420","40360","36460"
"In post","2021","Human Resources","Declared disabled","60-64","100","80","34440","31640"
"In post","2021","Human Resources","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","20-29","900","880","30820","28480"
"In post","2021","Human Resources","Declared non-disabled","30-39","1500","1420","36620","32960"
"In post","2021","Human Resources","Declared non-disabled","40-49","1630","1550","41590","37850"
"In post","2021","Human Resources","Declared non-disabled","50-59","1840","1770","40540","36030"
"In post","2021","Human Resources","Declared non-disabled","60-64","360","300","37310","32250"
"In post","2021","Human Resources","Declared non-disabled","65+","90","70","34180","28240"
"In post","2021","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","30-39","100","90","36520","31810"
"In post","2021","Human Resources","Undeclared","40-49","130","130","37840","35790"
"In post","2021","Human Resources","Undeclared","50-59","190","180","39480","33630"
"In post","2021","Human Resources","Undeclared","60-64","40","30","[c]","[c]"
"In post","2021","Human Resources","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","20-29","350","350","29380","27500"
"In post","2021","Human Resources","Unknown","30-39","410","390","34830","31560"
"In post","2021","Human Resources","Unknown","40-49","360","340","36730","32990"
"In post","2021","Human Resources","Unknown","50-59","320","310","36850","33300"
"In post","2021","Human Resources","Unknown","60-64","60","50","31980","27360"
"In post","2021","Human Resources","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","50-59","40","40","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","20-29","30","30","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","30-39","100","100","42310","40040"
"In post","2021","Internal Audit","Declared non-disabled","40-49","130","130","47860","44570"
"In post","2021","Internal Audit","Declared non-disabled","50-59","250","240","49140","45960"
"In post","2021","Internal Audit","Declared non-disabled","60-64","50","40","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","20-29","80","80","31120","29280"
"In post","2021","Legal","Declared disabled","30-39","190","180","43390","43380"
"In post","2021","Legal","Declared disabled","40-49","350","320","44520","41760"
"In post","2021","Legal","Declared disabled","50-59","490","460","44720","43160"
"In post","2021","Legal","Declared disabled","60-64","110","90","46970","50300"
"In post","2021","Legal","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","20-29","940","930","33120","29350"
"In post","2021","Legal","Declared non-disabled","30-39","2090","1970","46940","50520"
"In post","2021","Legal","Declared non-disabled","40-49","2640","2390","49870","51470"
"In post","2021","Legal","Declared non-disabled","50-59","2780","2590","49200","50520"
"In post","2021","Legal","Declared non-disabled","60-64","540","450","48270","50570"
"In post","2021","Legal","Declared non-disabled","65+","160","130","48060","52220"
"In post","2021","Legal","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","30-39","80","80","46980","50500"
"In post","2021","Legal","Undeclared","40-49","110","100","53980","53440"
"In post","2021","Legal","Undeclared","50-59","130","120","51290","46530"
"In post","2021","Legal","Undeclared","60-64","30","30","[c]","[c]"
"In post","2021","Legal","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","20-29","820","810","26980","24590"
"In post","2021","Legal","Unknown","30-39","1020","970","38490","33840"
"In post","2021","Legal","Unknown","40-49","920","840","42290","38290"
"In post","2021","Legal","Unknown","50-59","930","860","38190","29350"
"In post","2021","Legal","Unknown","60-64","270","220","33370","24120"
"In post","2021","Legal","Unknown","65+","100","70","33800","23250"
"In post","2021","No function","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Declared disabled","20-29","2090","2050","28970","27500"
"In post","2021","No function","Declared disabled","30-39","3160","3000","32370","29750"
"In post","2021","No function","Declared disabled","40-49","3880","3630","32410","29300"
"In post","2021","No function","Declared disabled","50-59","5910","5480","31530","28130"
"In post","2021","No function","Declared disabled","60-64","1910","1550","28860","26150"
"In post","2021","No function","Declared disabled","65+","550","410","27880","24370"
"In post","2021","No function","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Declared non-disabled","16-19","230","220","21410","20600"
"In post","2021","No function","Declared non-disabled","20-29","20020","19720","29230","26810"
"In post","2021","No function","Declared non-disabled","30-39","26830","25360","33930","30880"
"In post","2021","No function","Declared non-disabled","40-49","25550","23900","36430","31810"
"In post","2021","No function","Declared non-disabled","50-59","29830","27910","34850","31180"
"In post","2021","No function","Declared non-disabled","60-64","8190","6680","31640","27130"
"In post","2021","No function","Declared non-disabled","65+","2720","2000","30440","26120"
"In post","2021","No function","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","20-29","1400","1380","31020","29970"
"In post","2021","No function","Undeclared","30-39","2580","2460","33960","31650"
"In post","2021","No function","Undeclared","40-49","3160","2980","33770","31650"
"In post","2021","No function","Undeclared","50-59","4960","4650","32950","31650"
"In post","2021","No function","Undeclared","60-64","1290","1000","30110","27680"
"In post","2021","No function","Undeclared","65+","440","310","28820","26140"
"In post","2021","No function","Unknown","16-19","230","220","20650","20140"
"In post","2021","No function","Unknown","20-29","12510","12320","27880","26410"
"In post","2021","No function","Unknown","30-39","9460","9030","32160","28840"
"In post","2021","No function","Unknown","40-49","7050","6620","34330","29460"
"In post","2021","No function","Unknown","50-59","8080","7480","34090","30080"
"In post","2021","No function","Unknown","60-64","2160","1700","31010","25560"
"In post","2021","No function","Unknown","65+","670","500","32270","25630"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","20-29","300","300","31100","28950"
"In post","2021","Project Delivery","Declared disabled","30-39","500","490","38810","36890"
"In post","2021","Project Delivery","Declared disabled","40-49","580","560","41940","38630"
"In post","2021","Project Delivery","Declared disabled","50-59","950","920","40730","38630"
"In post","2021","Project Delivery","Declared disabled","60-64","230","200","39330","37510"
"In post","2021","Project Delivery","Declared disabled","65+","70","50","36790","36310"
"In post","2021","Project Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","16-19","70","70","18570","17780"
"In post","2021","Project Delivery","Declared non-disabled","20-29","2910","2890","30610","29540"
"In post","2021","Project Delivery","Declared non-disabled","30-39","4380","4250","40640","38630"
"In post","2021","Project Delivery","Declared non-disabled","40-49","4770","4610","45130","40900"
"In post","2021","Project Delivery","Declared non-disabled","50-59","5880","5740","44750","40580"
"In post","2021","Project Delivery","Declared non-disabled","60-64","1340","1200","42120","38640"
"In post","2021","Project Delivery","Declared non-disabled","65+","360","300","39590","36460"
"In post","2021","Project Delivery","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","20-29","170","170","31100","30270"
"In post","2021","Project Delivery","Undeclared","30-39","310","300","41640","39980"
"In post","2021","Project Delivery","Undeclared","40-49","390","380","43210","40580"
"In post","2021","Project Delivery","Undeclared","50-59","690","670","40780","38630"
"In post","2021","Project Delivery","Undeclared","60-64","190","170","37940","36460"
"In post","2021","Project Delivery","Undeclared","65+","50","40","35850","32490"
"In post","2021","Project Delivery","Unknown","16-19","60","60","17450","16780"
"In post","2021","Project Delivery","Unknown","20-29","820","820","32300","31440"
"In post","2021","Project Delivery","Unknown","30-39","1120","1080","42720","40000"
"In post","2021","Project Delivery","Unknown","40-49","1000","960","47130","43700"
"In post","2021","Project Delivery","Unknown","50-59","960","930","46150","41760"
"In post","2021","Project Delivery","Unknown","60-64","220","190","39670","38630"
"In post","2021","Project Delivery","Unknown","65+","60","50","42310","35970"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared disabled","20-29","50","40","[c]","[c]"
"In post","2021","Property","Declared disabled","30-39","110","100","33090","30040"
"In post","2021","Property","Declared disabled","40-49","180","170","33900","33000"
"In post","2021","Property","Declared disabled","50-59","280","270","38100","33300"
"In post","2021","Property","Declared disabled","60-64","100","80","32160","30900"
"In post","2021","Property","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared non-disabled","20-29","530","530","27850","26350"
"In post","2021","Property","Declared non-disabled","30-39","1040","990","34490","32320"
"In post","2021","Property","Declared non-disabled","40-49","1440","1370","36340","33300"
