"Status","Year","Sex","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","30-39","Other","2020","1870","32270","27850"
"In post","2021","Female","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Policy","4450","4260","48520","51500"
"In post","2021","Female","30-39","Project Delivery","1980","1880","39960","37640"
"In post","2021","Female","30-39","Property","460","430","35480","33300"
"In post","2021","Female","30-39","Psychology","520","500","35200","31180"
"In post","2021","Female","30-39","Science and Engineering","1220","1130","37120","37240"
"In post","2021","Female","30-39","Security","400","390","33760","32690"
"In post","2021","Female","30-39","Social Research","230","210","43860","42590"
"In post","2021","Female","30-39","Statistics","290","270","44790","42950"
"In post","2021","Female","30-39","Tax","1860","1740","31480","31810"
"In post","2021","Female","30-39","Unknown","12860","11480","31440","27570"
"In post","2021","Female","30-39","Veterinarian","70","70","40370","37410"
"In post","2021","Female","40-49","Commercial","790","750","42240","39420"
"In post","2021","Female","40-49","Communications","600","540","46210","42420"
"In post","2021","Female","40-49","Corporate Finance","30","30","[c]","[c]"
"In post","2021","Female","40-49","Counter Fraud","110","100","35530","34500"
"In post","2021","Female","40-49","Digital, Data and Technology","1270","1200","43380","39560"
"In post","2021","Female","40-49","Economics","90","80","64320","60150"
"In post","2021","Female","40-49","Finance","1370","1270","41390","37740"
"In post","2021","Female","40-49","Human Resources","1520","1410","41360","37610"
"In post","2021","Female","40-49","Inspector of Education and Training","190","180","62490","64500"
"In post","2021","Female","40-49","Intelligence Analysis","410","380","34850","30150"
"In post","2021","Female","40-49","Internal Audit","100","90","45590","42840"
"In post","2021","Female","40-49","International Trade","120","110","50160","51970"
"In post","2021","Female","40-49","Knowledge and Information Management","330","310","39140","37340"
"In post","2021","Female","40-49","Legal","2170","1920","51910","52490"
"In post","2021","Female","40-49","Medicine","520","450","53590","44500"
"In post","2021","Female","40-49","Operational Delivery","22240","19680","29450","25990"
"In post","2021","Female","40-49","Operational Research","100","80","48580","46650"
"In post","2021","Female","40-49","Other","2450","2290","32750","26670"
"In post","2021","Female","40-49","Planning","30","30","[c]","[c]"
"In post","2021","Female","40-49","Planning Inspectors","40","40","[c]","[c]"
"In post","2021","Female","40-49","Policy","3550","3290","51690","52070"
"In post","2021","Female","40-49","Project Delivery","2170","2060","43400","39960"
"In post","2021","Female","40-49","Property","720","660","36660","33300"
"In post","2021","Female","40-49","Psychology","260","240","44970","46370"
"In post","2021","Female","40-49","Science and Engineering","1200","1070","43200","40650"
"In post","2021","Female","40-49","Security","390","370","34800","33300"
"In post","2021","Female","40-49","Social Research","180","160","49270","47000"
"In post","2021","Female","40-49","Statistics","200","180","51020","50090"
"In post","2021","Female","40-49","Tax","1640","1510","33680","31810"
"In post","2021","Female","40-49","Unknown","17830","15560","31270","27570"
"In post","2021","Female","40-49","Veterinarian","100","90","44260","38390"
"In post","2021","Female","50-59","Commercial","730","700","40930","37920"
"In post","2021","Female","50-59","Communications","390","380","42710","38630"
"In post","2021","Female","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Counter Fraud","120","120","37090","34050"
"In post","2021","Female","50-59","Digital, Data and Technology","1200","1140","42370","38630"
"In post","2021","Female","50-59","Economics","40","40","[c]","[c]"
"In post","2021","Female","50-59","Finance","1640","1520","37720","33530"
"In post","2021","Female","50-59","Human Resources","1630","1540","40120","35950"
"In post","2021","Female","50-59","Inspector of Education and Training","290","280","64840","64500"
"In post","2021","Female","50-59","Intelligence Analysis","380","350","33010","29450"
"In post","2021","Female","50-59","Internal Audit","160","150","46740","43120"
"In post","2021","Female","50-59","International Trade","100","100","50450","46010"
"In post","2021","Female","50-59","Knowledge and Information Management","420","390","36300","33300"
"In post","2021","Female","50-59","Legal","1900","1720","51400","52490"
"In post","2021","Female","50-59","Medicine","500","450","61950","45750"
"In post","2021","Female","50-59","Operational Delivery","27800","24850","28410","25560"
"In post","2021","Female","50-59","Operational Research","50","50","49850","46130"
"In post","2021","Female","50-59","Other","3530","3360","29110","23130"
"In post","2021","Female","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Planning Inspectors","50","50","59190","58810"
"In post","2021","Female","50-59","Policy","2840","2730","47540","42200"
"In post","2021","Female","50-59","Project Delivery","2340","2260","42740","38630"
"In post","2021","Female","50-59","Property","1000","950","35250","33000"
"In post","2021","Female","50-59","Psychology","110","100","39200","31180"
"In post","2021","Female","50-59","Science and Engineering","850","780","43510","40760"
"In post","2021","Female","50-59","Security","540","520","32600","28840"
"In post","2021","Female","50-59","Social Research","90","80","48840","47000"
"In post","2021","Female","50-59","Statistics","110","100","47930","47270"
"In post","2021","Female","50-59","Tax","2360","2200","35530","31870"
"In post","2021","Female","50-59","Unknown","25240","22360","29600","27570"
"In post","2021","Female","50-59","Veterinarian","60","60","51010","51540"
"In post","2021","Female","60-64","Commercial","150","130","40990","37570"
"In post","2021","Female","60-64","Communications","60","50","39910","36310"
"In post","2021","Female","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Digital, Data and Technology","230","190","38420","34170"
"In post","2021","Female","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Finance","350","280","33480","28130"
"In post","2021","Female","60-64","Human Resources","300","250","36010","32630"
"In post","2021","Female","60-64","Inspector of Education and Training","60","60","64720","51360"
"In post","2021","Female","60-64","Intelligence Analysis","60","50","30970","29760"
"In post","2021","Female","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Knowledge and Information Management","110","90","32820","27570"
"In post","2021","Female","60-64","Legal","330","270","51410","54080"
"In post","2021","Female","60-64","Medicine","140","120","59760","37890"
"In post","2021","Female","60-64","Operational Delivery","8040","6260","25730","22430"
"In post","2021","Female","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Other","1080","970","27160","22080"
"In post","2021","Female","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Policy","470","430","43250","37660"
"In post","2021","Female","60-64","Project Delivery","370","330","37490","35000"
"In post","2021","Female","60-64","Property","230","190","32070","29720"
"In post","2021","Female","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Science and Engineering","160","140","40690","37380"
"In post","2021","Female","60-64","Security","80","70","28020","22650"
"In post","2021","Female","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Tax","580","440","34360","31810"
"In post","2021","Female","60-64","Unknown","6950","5250","27290","27570"
"In post","2021","Female","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Digital, Data and Technology","50","50","35520","31670"
"In post","2021","Female","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Finance","90","80","28970","26780"
"In post","2021","Female","65+","Human Resources","70","50","33420","28240"
"In post","2021","Female","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Female","65+","Legal","70","50","48110","51950"
"In post","2021","Female","65+","Medicine","40","30","[c]","[c]"
"In post","2021","Female","65+","Operational Delivery","2350","1690","24960","22350"
"In post","2021","Female","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Other","320","270","25000","21580"
"In post","2021","Female","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Policy","120","100","39110","34320"
"In post","2021","Female","65+","Project Delivery","80","70","37340","34350"
"In post","2021","Female","65+","Property","70","50","26660","26350"
"In post","2021","Female","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Science and Engineering","60","50","40290","34190"
"In post","2021","Female","65+","Security","30","30","[c]","[c]"
"In post","2021","Female","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Tax","120","80","33290","31470"
"In post","2021","Female","65+","Unknown","1810","1270","26480","26240"
"In post","2021","Female","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Operational Delivery","160","150","21210","20960"
"In post","2021","Male","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Other","60","60","18980","17060"
"In post","2021","Male","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Science and Engineering","100","100","17560","16990"
"In post","2021","Male","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Tax","70","70","20460","20140"
"In post","2021","Male","16-19","Unknown","130","130","22270","21010"
"In post","2021","Male","20-29","Commercial","400","400","30700","29550"
"In post","2021","Male","20-29","Communications","290","290","35250","33610"
"In post","2021","Male","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Male","20-29","Digital, Data and Technology","1260","1250","33130","31810"
"In post","2021","Male","20-29","Economics","760","760","37240","34090"
"In post","2021","Male","20-29","Finance","600","590","33030","30750"
"In post","2021","Male","20-29","Human Resources","300","290","31380","28840"
"In post","2021","Male","20-29","Intelligence Analysis","280","280","33860","31060"
"In post","2021","Male","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","International Trade","240","230","37570","34240"
"In post","2021","Male","20-29","Knowledge and Information Management","140","140","28200","28000"
"In post","2021","Male","20-29","Legal","500","500","32690","29570"
"In post","2021","Male","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Operational Delivery","11810","11670","25370","24880"
"In post","2021","Male","20-29","Operational Research","200","200","34610","33930"
"In post","2021","Male","20-29","Other","1280","1270","28200","26950"
"In post","2021","Male","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Policy","3290","3290","38940","35070"
"In post","2021","Male","20-29","Project Delivery","950","940","32740","31810"
"In post","2021","Male","20-29","Property","330","330","28790","28080"
"In post","2021","Male","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Science and Engineering","1770","1760","28720","28650"
"In post","2021","Male","20-29","Security","760","760","26510","25680"
"In post","2021","Male","20-29","Social Research","120","120","36170","34770"
"In post","2021","Male","20-29","Statistics","310","310","34840","33210"
"In post","2021","Male","20-29","Tax","1960","1930","27440","25560"
"In post","2021","Male","20-29","Unknown","7740","7700","28460","27570"
"In post","2021","Male","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Commercial","570","570","39750","38260"
"In post","2021","Male","30-39","Communications","450","450","43370","40650"
"In post","2021","Male","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Counter Fraud","90","90","37960","35620"
"In post","2021","Male","30-39","Digital, Data and Technology","2120","2110","41190","38450"
"In post","2021","Male","30-39","Economics","330","330","57100","57130"
"In post","2021","Male","30-39","Finance","840","840","43330","39780"
"In post","2021","Male","30-39","Human Resources","500","500","37900","35000"
"In post","2021","Male","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Intelligence Analysis","470","470","36840","33300"
"In post","2021","Male","30-39","Internal Audit","60","60","44680","40580"
"In post","2021","Male","30-39","International Trade","250","250","49430","51970"
"In post","2021","Male","30-39","Knowledge and Information Management","230","230","37840","36360"
"In post","2021","Male","30-39","Legal","1160","1150","44190","46080"
"In post","2021","Male","30-39","Medicine","140","130","50300","40890"
"In post","2021","Male","30-39","Operational Delivery","17170","16960","28580","26300"
"In post","2021","Male","30-39","Operational Research","220","220","45400","46080"
"In post","2021","Male","30-39","Other","1780","1770","35170","31850"
"In post","2021","Male","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","Male","30-39","Policy","3760","3730","49560","52500"
"In post","2021","Male","30-39","Project Delivery","1720","1720","42320","39860"
"In post","2021","Male","30-39","Property","560","550","36360","33300"
"In post","2021","Male","30-39","Psychology","60","60","34670","31180"
"In post","2021","Male","30-39","Science and Engineering","1750","1730","39100","38560"
"In post","2021","Male","30-39","Security","1130","1130","32270","30700"
"In post","2021","Male","30-39","Social Research","120","120","43060","40320"
"In post","2021","Male","30-39","Statistics","310","300","44120","41500"
"In post","2021","Male","30-39","Tax","2510","2490","33760","31810"
"In post","2021","Male","30-39","Unknown","9430","9320","32890","27570"
"In post","2021","Male","30-39","Veterinarian","30","30","[c]","[c]"
"In post","2021","Male","40-49","Commercial","540","540","45090","41550"
"In post","2021","Male","40-49","Communications","450","450","45440","40850"
"In post","2021","Male","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","40-49","Counter Fraud","110","110","41050","39150"
"In post","2021","Male","40-49","Digital, Data and Technology","2440","2440","45590","42420"
"In post","2021","Male","40-49","Economics","150","140","64650","63470"
"In post","2021","Male","40-49","Finance","1080","1070","46550","42580"
"In post","2021","Male","40-49","Human Resources","570","560","42510","38630"
"In post","2021","Male","40-49","Inspector of Education and Training","80","80","73370","75500"
"In post","2021","Male","40-49","Intelligence Analysis","440","430","37370","33300"
"In post","2021","Male","40-49","Internal Audit","90","80","49290","48780"
"In post","2021","Male","40-49","International Trade","140","140","53400","52400"
"In post","2021","Male","40-49","Knowledge and Information Management","270","270","41360","37840"
"In post","2021","Male","40-49","Legal","1320","1310","49070","50500"
"In post","2021","Male","40-49","Medicine","210","200","63890","60830"
"In post","2021","Male","40-49","Operational Delivery","17360","17060","31230","28410"
"In post","2021","Male","40-49","Operational Research","140","130","50790","47880"
"In post","2021","Male","40-49","Other","2300","2280","37430","32670"
"In post","2021","Male","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","40-49","Planning Inspectors","60","50","53230","47660"
"In post","2021","Male","40-49","Policy","3000","2980","54870","54400"
"In post","2021","Male","40-49","Project Delivery","2030","2020","46790","42000"
"In post","2021","Male","40-49","Property","820","810","38750","34270"
"In post","2021","Male","40-49","Psychology","50","40","[c]","[c]"
"In post","2021","Male","40-49","Science and Engineering","1890","1870","43500","42000"
"In post","2021","Male","40-49","Security","1300","1300","33190","34220"
"In post","2021","Male","40-49","Social Research","60","60","46310","44930"
"In post","2021","Male","40-49","Statistics","220","220","49500","49440"
"In post","2021","Male","40-49","Tax","1740","1720","35610","31810"
"In post","2021","Male","40-49","Unknown","10630","10450","34760","27570"
"In post","2021","Male","40-49","Veterinarian","70","70","43910","38260"
"In post","2021","Male","50-59","Commercial","780","780","47670","43580"
"In post","2021","Male","50-59","Communications","340","340","41940","36780"
"In post","2021","Male","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","50-59","Counter Fraud","180","170","43210","39980"
"In post","2021","Male","50-59","Digital, Data and Technology","2200","2170","45050","41340"
"In post","2021","Male","50-59","Economics","90","90","66000","64630"
"In post","2021","Male","50-59","Finance","1140","1120","46530","41980"
"In post","2021","Male","50-59","Human Resources","740","730","42230","38390"
"In post","2021","Male","50-59","Inspector of Education and Training","100","100","73990","75500"
"In post","2021","Male","50-59","Intelligence Analysis","490","480","36440","32850"
"In post","2021","Male","50-59","Internal Audit","160","160","50430","47240"
"In post","2021","Male","50-59","International Trade","160","160","51900","48220"
"In post","2021","Male","50-59","Knowledge and Information Management","350","340","40390","37410"
"In post","2021","Male","50-59","Legal","1610","1580","51020","51120"
"In post","2021","Male","50-59","Medicine","250","230","72160","73760"
"In post","2021","Male","50-59","Operational Delivery","23650","22660","32470","30830"
"In post","2021","Male","50-59","Operational Research","140","140","50720","47310"
"In post","2021","Male","50-59","Other","4290","4220","33810","29670"
"In post","2021","Male","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","50-59","Planning Inspectors","70","60","59240","58810"
"In post","2021","Male","50-59","Policy","2680","2660","53680","53130"
"In post","2021","Male","50-59","Project Delivery","2480","2450","48020","42540"
"In post","2021","Male","50-59","Property","1620","1600","40070","36520"
"In post","2021","Male","50-59","Psychology","30","30","[c]","[c]"
"In post","2021","Male","50-59","Science and Engineering","2800","2760","42540","41480"
"In post","2021","Male","50-59","Security","2470","2450","32840","33000"
"In post","2021","Male","50-59","Social Research","40","40","[c]","[c]"
"In post","2021","Male","50-59","Statistics","180","180","49380","46000"
"In post","2021","Male","50-59","Tax","2210","2160","38800","35000"
"In post","2021","Male","50-59","Unknown","13190","12800","33920","27570"
"In post","2021","Male","50-59","Veterinarian","50","50","53750","52640"
"In post","2021","Male","60-64","Commercial","160","150","46150","42550"
"In post","2021","Male","60-64","Communications","70","60","36610","33300"
"In post","2021","Male","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Counter Fraud","70","60","40700","38510"
"In post","2021","Male","60-64","Digital, Data and Technology","470","430","44070","40420"
"In post","2021","Male","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Finance","260","230","43520","41930"
"In post","2021","Male","60-64","Human Resources","160","140","40410","35000"
"In post","2021","Male","60-64","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Male","60-64","Intelligence Analysis","130","110","36000","32670"
"In post","2021","Male","60-64","Internal Audit","40","30","[c]","[c]"
"In post","2021","Male","60-64","International Trade","30","30","[c]","[c]"
"In post","2021","Male","60-64","Knowledge and Information Management","80","80","38240","35790"
"In post","2021","Male","60-64","Legal","370","300","50840","52290"
"In post","2021","Male","60-64","Medicine","90","80","81130","80570"
"In post","2021","Male","60-64","Operational Delivery","6640","5420","30050","27380"
"In post","2021","Male","60-64","Operational Research","40","30","[c]","[c]"
"In post","2021","Male","60-64","Other","1610","1520","31320","26930"
"In post","2021","Male","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Policy","470","430","53550","48080"
"In post","2021","Male","60-64","Project Delivery","610","550","45690","41070"
"In post","2021","Male","60-64","Property","590","540","37950","34620"
"In post","2021","Male","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Science and Engineering","910","840","40380","38580"
"In post","2021","Male","60-64","Security","690","630","27830","20920"
"In post","2021","Male","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","60-64","Statistics","40","30","[c]","[c]"
"In post","2021","Male","60-64","Tax","650","500","40090","35000"
"In post","2021","Male","60-64","Unknown","3560","3030","30980","27570"
"In post","2021","Male","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Commercial","40","40","[c]","[c]"
"In post","2021","Male","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Digital, Data and Technology","150","120","43050","38830"
"In post","2021","Male","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Finance","90","80","39110","37460"
"In post","2021","Male","65+","Human Resources","50","40","[c]","[c]"
"In post","2021","Male","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","Male","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Male","65+","Legal","150","110","52890","55610"
"In post","2021","Male","65+","Medicine","50","40","[c]","[c]"
"In post","2021","Male","65+","Operational Delivery","2410","1800","28090","25800"
"In post","2021","Male","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Other","590","530","29840","26670"
"In post","2021","Male","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Planning Inspectors","40","20","[c]","[c]"
"In post","2021","Male","65+","Policy","130","110","52560","50780"
"In post","2021","Male","65+","Project Delivery","170","140","42630","39800"
"In post","2021","Male","65+","Property","250","220","33460","33300"
"In post","2021","Male","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Science and Engineering","390","310","39390","36330"
"In post","2021","Male","65+","Security","200","180","26020","21130"
"In post","2021","Male","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","65+","Tax","230","160","39580","35000"
"In post","2021","Male","65+","Unknown","1110","860","29340","27570"
"In post","2021","Male","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Human Resources","[c]","[c]","[c]","[c]"
