"Status","Year","Parent_department","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Communications","Heterosexual / straight","190","180","47440","42210"
"In post","2021","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Unknown","120","120","47830","42320"
"In post","2021","Cabinet Office","Counter Fraud","Heterosexual / straight","70","70","48510","50730"
"In post","2021","Cabinet Office","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Heterosexual / straight","660","650","51890","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","LGBO","90","90","49320","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Undeclared","100","90","52380","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Unknown","130","130","49140","49700"
"In post","2021","Cabinet Office","Finance","Heterosexual / straight","60","60","48280","43090"
"In post","2021","Cabinet Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Heterosexual / straight","870","820","39480","35590"
"In post","2021","Cabinet Office","Human Resources","LGBO","70","70","38240","35820"
"In post","2021","Cabinet Office","Human Resources","Undeclared","50","50","41150","35670"
"In post","2021","Cabinet Office","Human Resources","Unknown","130","120","36850","34550"
"In post","2021","Cabinet Office","Legal","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Heterosexual / straight","1520","1500","47360","41760"
"In post","2021","Cabinet Office","No function","LGBO","180","170","46130","40600"
"In post","2021","Cabinet Office","No function","Undeclared","190","180","45420","40600"
"In post","2021","Cabinet Office","No function","Unknown","2280","2280","35460","29250"
"In post","2021","Cabinet Office","Project Delivery","Heterosexual / straight","150","150","70290","64500"
"In post","2021","Cabinet Office","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Heterosexual / straight","80","80","50370","53000"
"In post","2021","Cabinet Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Heterosexual / straight","470","450","34980","33300"
"In post","2021","Cabinet Office","Security","LGBO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Security","Undeclared","60","60","35870","33300"
"In post","2021","Cabinet Office","Security","Unknown","310","300","29810","26670"
"In post","2021","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Heterosexual / straight","140","130","70300","65470"
"In post","2021","Chancellor's other departments","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Heterosexual / straight","80","70","53230","45080"
"In post","2021","Chancellor's other departments","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Undeclared","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Heterosexual / straight","120","110","32660","29160"
"In post","2021","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","120","110","32430","29160"
"In post","2021","Competition and Markets Authority","Analysis","Heterosexual / straight","100","100","59350","56360"
"In post","2021","Competition and Markets Authority","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Heterosexual / straight","60","60","56130","51270"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Heterosexual / straight","130","130","68500","72430"
"In post","2021","Competition and Markets Authority","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Heterosexual / straight","310","290","59990","56360"
"In post","2021","Competition and Markets Authority","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Heterosexual / straight","220","220","45240","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Unknown","50","50","36650","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Unknown","200","190","43040","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Heterosexual / straight","130","120","44230","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Unknown","80","80","41580","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Heterosexual / straight","150","140","39500","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Unknown","120","110","39210","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Heterosexual / straight","450","440","44020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","LGBO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Undeclared","70","70","45750","42500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Unknown","1040","990","40090","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Heterosexual / straight","210","200","45330","41580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Unknown","70","70","40310","40040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Heterosexual / straight","260","250","40970","39210"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Unknown","110","100","37630","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Unknown","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Heterosexual / straight","5140","4910","42760","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","LGBO","510","510","43450","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Undeclared","650","620","44310","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Unknown","2310","2210","33650","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Heterosexual / straight","310","300","46850","43440"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","LGBO","60","50","48610","48050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Undeclared","90","80","46700","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Unknown","460","440","41250","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Heterosexual / straight","110","100","52430","50400"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Heterosexual / straight","60","60","57990","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Heterosexual / straight","810","790","48360","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","LGBO","130","130","46240","39000"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Undeclared","80","80","47880","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Unknown","170","170","47620","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Heterosexual / straight","150","150","49030","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Heterosexual / straight","290","270","43830","42420"
"In post","2021","Department for Education","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Unknown","70","60","47960","49860"
"In post","2021","Department for Education","Commercial","Heterosexual / straight","170","160","41260","38140"
