"Status","Year","Ethnicity","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Sussex CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Sussex CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Sussex CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Enfield","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Enfield","Declared non-disabled","60","50","30160","31060"
"In post","2021","Asian","Enfield","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex Haven Gateway","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex Haven Gateway","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex Thames Gateway","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex Thames Gateway","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Asian","Essex Thames Gateway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Falkirk","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Falkirk","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Falkirk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Fermanagh and Omagh","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Fermanagh and Omagh","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Flintshire and Wrexham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Flintshire and Wrexham","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Glasgow City","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Glasgow City","Declared non-disabled","160","150","28140","24970"
"In post","2021","Asian","Glasgow City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Glasgow City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester North East","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester North East","Declared non-disabled","90","90","26780","27570"
"In post","2021","Asian","Greater Manchester North East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester North West","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester North West","Declared non-disabled","60","50","24220","21010"
"In post","2021","Asian","Greater Manchester North West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester South East","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester South East","Declared non-disabled","70","60","24480","21130"
"In post","2021","Asian","Greater Manchester South East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester South East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester South West","Declared disabled","40","30","[c]","[c]"
"In post","2021","Asian","Greater Manchester South West","Declared non-disabled","360","340","28410","25560"
"In post","2021","Asian","Greater Manchester South West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester South West","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Gwent Valleys","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gwent Valleys","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gwynedd","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gwynedd","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hackney and Newham","Declared disabled","90","80","30300","31060"
"In post","2021","Asian","Hackney and Newham","Declared non-disabled","530","470","31320","31060"
"In post","2021","Asian","Hackney and Newham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hackney and Newham","Unknown","50","40","[c]","[c]"
"In post","2021","Asian","Haringey and Islington","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Haringey and Islington","Declared non-disabled","120","110","28730","31060"
"In post","2021","Asian","Haringey and Islington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Harrow and Hillingdon","Declared disabled","130","110","30570","29970"
"In post","2021","Asian","Harrow and Hillingdon","Declared non-disabled","1060","970","29800","29080"
"In post","2021","Asian","Harrow and Hillingdon","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Harrow and Hillingdon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hartlepool and Stockton-on-Tees","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hartlepool and Stockton-on-Tees","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hartlepool and Stockton-on-Tees","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heart of Essex","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heart of Essex","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heart of Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heart of Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, County of","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, County of","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hertfordshire","Declared disabled","40","40","[c]","[c]"
"In post","2021","Asian","Hertfordshire","Declared non-disabled","250","230","33040","29290"
"In post","2021","Asian","Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hertfordshire","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Hounslow and Richmond upon Thames","Declared disabled","60","50","30520","29080"
"In post","2021","Asian","Hounslow and Richmond upon Thames","Declared non-disabled","550","510","29740","29080"
"In post","2021","Asian","Hounslow and Richmond upon Thames","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hounslow and Richmond upon Thames","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverclyde, East Renfrewshire and Renfrewshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverclyde, East Renfrewshire and Renfrewshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverclyde, East Renfrewshire and Renfrewshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Isle of Anglesey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Isle of Anglesey","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Isle of Wight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Isle of Wight","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kensington & Chelsea and Hammersmith & Fulham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kensington & Chelsea and Hammersmith & Fulham","Declared non-disabled","100","90","32930","31060"
"In post","2021","Asian","Kensington & Chelsea and Hammersmith & Fulham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kensington & Chelsea and Hammersmith & Fulham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent Thames Gateway","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent Thames Gateway","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Asian","Kent Thames Gateway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kingston upon Hull, City of","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kingston upon Hull, City of","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kingston upon Hull, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kingston upon Hull, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lambeth","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lambeth","Declared non-disabled","250","230","41690","34640"
"In post","2021","Asian","Lambeth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lambeth","Unknown","90","90","40900","36830"
"In post","2021","Asian","Lancaster and Wyre","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancaster and Wyre","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancaster and Wyre","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancaster and Wyre","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leeds","Declared disabled","80","70","30550","27570"
"In post","2021","Asian","Leeds","Declared non-disabled","740","700","29430","27570"
"In post","2021","Asian","Leeds","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Leeds","Unknown","70","70","33910","31810"
"In post","2021","Asian","Leicester","Declared disabled","100","90","23650","21440"
"In post","2021","Asian","Leicester","Declared non-disabled","620","550","24900","21440"
"In post","2021","Asian","Leicester","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","Leicester","Unknown","60","50","26870","22350"
"In post","2021","Asian","Leicestershire CC and Rutland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire CC and Rutland","Declared non-disabled","110","90","25910","24920"
"In post","2021","Asian","Leicestershire CC and Rutland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lewisham and Southwark","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lewisham and Southwark","Declared non-disabled","120","120","31900","30850"
