"Status","Year","Disability","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Security","70","60","36170","39070"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","220","190","28660","27570"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Operational Delivery","180","170","29310","28840"
"In post","2021","Declared disabled","Cheshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","170","150","25430","27570"
"In post","2021","Declared disabled","Cheshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Unknown","150","130","25690","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Operational Delivery","130","110","25120","21050"
"In post","2021","Declared disabled","Cumbria","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Legal","30","30","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Operational Delivery","670","620","27610","25560"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Tax","100","100","33480","31810"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Unknown","480","420","26410","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Digital, Data and Technology","60","60","35430","33860"
"In post","2021","Declared disabled","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Operational Delivery","310","280","28470","26030"
"In post","2021","Declared disabled","Devon","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Other","40","40","[c]","[c]"
"In post","2021","Declared disabled","Devon","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Science and Engineering","50","50","33930","32730"
"In post","2021","Declared disabled","Devon","Security","40","40","[c]","[c]"
"In post","2021","Declared disabled","Devon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Unknown","350","300","25210","27570"
"In post","2021","Declared disabled","Devon","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Operational Delivery","240","220","28000","27130"
"In post","2021","Declared disabled","Dorset and Somerset","Other","60","60","25930","23770"
"In post","2021","Declared disabled","Dorset and Somerset","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Unknown","170","140","26330","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Operational Delivery","560","510","27900","26780"
"In post","2021","Declared disabled","East Anglia","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Other","80","70","22530","20920"
"In post","2021","Declared disabled","East Anglia","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Unknown","370","330","27120","27570"
"In post","2021","Declared disabled","East Anglia","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Digital, Data and Technology","60","60","39890","37030"
"In post","2021","Declared disabled","East Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Human Resources","60","50","37170","31500"
"In post","2021","Declared disabled","East Wales","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Legal","40","30","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Operational Delivery","760","690","27790","24250"
"In post","2021","Declared disabled","East Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Other","50","40","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Policy","60","60","42290","37410"
"In post","2021","Declared disabled","East Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Science and Engineering","50","50","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Statistics","30","30","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Tax","120","120","34080","31810"
"In post","2021","Declared disabled","East Wales","Unknown","370","330","26370","27570"
"In post","2021","Declared disabled","East Wales","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Operational Delivery","230","210","27230","26370"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Other","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","200","170","25560","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Operational Delivery","430","400","29820","30080"
"In post","2021","Declared disabled","Eastern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Other","70","60","29410","25870"
"In post","2021","Declared disabled","Eastern Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Tax","70","60","33300","31810"
"In post","2021","Declared disabled","Eastern Scotland","Unknown","1220","1120","33020","27570"
"In post","2021","Declared disabled","Eastern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Legal","[c]","[c]","[c]","[c]"
