"Status","Year","Organisation","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","20-29","340","340","25320","24920"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","30-39","390","370","29660","28270"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","40-49","530","500","32720","30140"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","50-59","530","500","33590","29550"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","60-64","160","140","33480","29280"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","50-59","60","50","31700","28960"
"In post","2021","Animal and Plant Health Agency","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","20-29","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","30-39","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","40-49","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","20-29","170","170","34290","32000"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","30-39","170","170","46610","53710"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","40-49","150","150","48170","51190"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","50-59","180","170","48240","39750"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","20-29","1150","1150","37040","34550"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","30-39","1350","1320","49030","54700"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","40-49","1030","1000","57050","54700"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","50-59","770","760","55610","49700"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","60-64","160","140","51550","36460"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","65+","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","20-29","60","60","39440","37300"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","30-39","80","80","45350","46790"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","40-49","60","60","47570","38890"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","50-59","70","70","45760","39580"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","20-29","2020","2020","32010","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","30-39","770","760","50080","51560"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","40-49","610","590","63670","60700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","50-59","490","480","63500","56720"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","60-64","60","60","53470","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","20-29","70","70","25230","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","30-39","120","120","31280","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","40-49","90","80","34160","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","50-59","90","90","39320","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","40-49","80","70","36630","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","30-39","70","60","33810","29160"
"In post","2021","Charity Commission","Declared non-disabled","40-49","70","70","37500","29420"
"In post","2021","Charity Commission","Declared non-disabled","50-59","40","40","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","40-49","60","50","37350","32810"
"In post","2021","Charity Commission","Unknown","50-59","70","70","34690","30000"
"In post","2021","Charity Commission","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","20-29","80","80","26510","24500"
"In post","2021","Companies House","Declared non-disabled","30-39","150","140","32000","30660"
"In post","2021","Companies House","Declared non-disabled","40-49","170","160","36090","31460"
"In post","2021","Companies House","Declared non-disabled","50-59","190","180","31890","27460"
"In post","2021","Companies House","Declared non-disabled","60-64","50","40","29740","24500"
"In post","2021","Companies House","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","20-29","40","40","[c]","[c]"
"In post","2021","Companies House","Unknown","30-39","70","70","28640","24780"
"In post","2021","Companies House","Unknown","40-49","50","50","29430","25000"
"In post","2021","Companies House","Unknown","50-59","80","70","28490","22490"
"In post","2021","Companies House","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","20-29","140","140","39120","34570"
"In post","2021","Competition and Markets Authority","Declared non-disabled","30-39","270","260","59600","56360"
"In post","2021","Competition and Markets Authority","Declared non-disabled","40-49","180","170","69980","71000"
"In post","2021","Competition and Markets Authority","Declared non-disabled","50-59","120","110","67220","59260"
"In post","2021","Competition and Markets Authority","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","30-39","50","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","40-49","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","50-59","50","50","30640","25760"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","30-39","70","60","36370","34800"
"In post","2021","Crown Commercial Service","Declared non-disabled","40-49","50","50","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","50-59","50","50","47410","40820"
"In post","2021","Crown Commercial Service","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","20-29","100","100","27680","27770"
"In post","2021","Crown Commercial Service","Unknown","30-39","150","150","35250","34800"
"In post","2021","Crown Commercial Service","Unknown","40-49","130","130","40140","35760"
"In post","2021","Crown Commercial Service","Unknown","50-59","110","110","39190","36500"
"In post","2021","Crown Commercial Service","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","50-59","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","20-29","350","330","26070","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","30-39","460","440","36690","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","40-49","400","370","42240","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","50-59","450","410","36770","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","60-64","100","90","34640","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","50-59","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","20-29","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","30-39","70","70","38080","38090"
"In post","2021","Crown Prosecution Service","Declared disabled","40-49","200","180","40710","38180"
"In post","2021","Crown Prosecution Service","Declared disabled","50-59","340","310","44100","38180"
"In post","2021","Crown Prosecution Service","Declared disabled","60-64","80","60","45540","51730"
"In post","2021","Crown Prosecution Service","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared non-disabled","20-29","390","380","29010","25920"
"In post","2021","Crown Prosecution Service","Declared non-disabled","30-39","770","710","41000","40800"
"In post","2021","Crown Prosecution Service","Declared non-disabled","40-49","1380","1260","43730","48080"
"In post","2021","Crown Prosecution Service","Declared non-disabled","50-59","1640","1530","45440","45530"
"In post","2021","Crown Prosecution Service","Declared non-disabled","60-64","300","250","44610","48830"
"In post","2021","Crown Prosecution Service","Declared non-disabled","65+","70","50","43000","30110"
"In post","2021","Crown Prosecution Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","20-29","470","460","26110","23520"
"In post","2021","Crown Prosecution Service","Unknown","30-39","320","310","38030","38090"
"In post","2021","Crown Prosecution Service","Unknown","40-49","340","310","44860","48080"
"In post","2021","Crown Prosecution Service","Unknown","50-59","260","240","45370","48080"
"In post","2021","Crown Prosecution Service","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","65+","[c]","[c]","[c]","[c]"
