"Status","Year","Organisation","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","280","270","29050","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Declared disabled","90","80","31410","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Declared non-disabled","190","180","34490","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Unknown","370","330","35650","34500"
"In post","2021","Animal and Plant Health Agency","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Declared non-disabled","50","50","28200","27960"
"In post","2021","Animal and Plant Health Agency","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Declared non-disabled","80","80","32570","30320"
"In post","2021","Animal and Plant Health Agency","Undeclared","Undeclared","50","50","33150","29450"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared non-disabled","50","50","31240","25710"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","170","160","28920","25330"
"In post","2021","Animal and Plant Health Agency","White","Declared disabled","320","300","28220","25100"
"In post","2021","Animal and Plant Health Agency","White","Declared non-disabled","1750","1660","31120","28030"
"In post","2021","Animal and Plant Health Agency","White","Undeclared","70","70","29540","26520"
"In post","2021","Animal and Plant Health Agency","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Declared disabled","60","50","41990","35590"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Declared non-disabled","380","370","46900","40600"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Declared non-disabled","200","200","42270","35590"
"In post","2021","Cabinet Office (excl. agencies)","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Declared non-disabled","150","140","47330","38580"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Declared non-disabled","60","60","46960","40030"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Declared non-disabled","100","100","49490","42200"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Undeclared","90","90","45350","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared non-disabled","160","160","61320","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3860","3810","44440","32000"
"In post","2021","Cabinet Office (excl. agencies)","White","Declared disabled","530","510","44160","38420"
"In post","2021","Cabinet Office (excl. agencies)","White","Declared non-disabled","3420","3330","49150","43060"
"In post","2021","Cabinet Office (excl. agencies)","White","Undeclared","150","140","44800","38580"
"In post","2021","Cabinet Office (excl. agencies)","White","Unknown","70","70","56400","54890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Declared non-disabled","370","360","32890","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Unknown","160","150","37620","35900"
"In post","2021","Charity Commission","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","70","70","36220","29270"
"In post","2021","Charity Commission","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Declared non-disabled","180","180","34650","29160"
"In post","2021","Charity Commission","White","Unknown","120","110","33800","29540"
"In post","2021","Companies House","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Unknown","90","90","29430","24500"
"In post","2021","Companies House","White","Declared disabled","60","60","31560","25100"
"In post","2021","Companies House","White","Declared non-disabled","610","570","32310","27460"
"In post","2021","Companies House","White","Undeclared","40","40","[c]","[c]"
"In post","2021","Companies House","White","Unknown","160","140","27070","22490"
"In post","2021","Competition and Markets Authority","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Declared non-disabled","90","90","45560","37650"
"In post","2021","Competition and Markets Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Declared non-disabled","510","490","63790","59450"
"In post","2021","Competition and Markets Authority","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Declared disabled","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Declared non-disabled","140","130","28560","23250"
"In post","2021","Criminal Injuries Compensation Authority","White","Undeclared","50","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","120","110","32630","28070"
"In post","2021","Crown Commercial Service","White","Declared disabled","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","White","Declared non-disabled","190","180","41110","35420"
"In post","2021","Crown Commercial Service","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","White","Unknown","340","330","36890","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Declared disabled","100","90","37740","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Declared non-disabled","1690","1570","35420","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Undeclared","50","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Asian","Declared disabled","50","50","40240","34480"
"In post","2021","Crown Prosecution Service","Asian","Declared non-disabled","410","380","40370","34200"
"In post","2021","Crown Prosecution Service","Asian","Unknown","140","130","36200","32760"
"In post","2021","Crown Prosecution Service","Black","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Black","Declared non-disabled","260","250","41730","33900"
"In post","2021","Crown Prosecution Service","Black","Unknown","60","60","32920","26970"
"In post","2021","Crown Prosecution Service","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
