"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","HM Land Registry","60","50","21740","22350"
"In post","2021","AA/AO","Digital, Data & Technology","HM Revenue and Customs","60","60","20820","20140"
"In post","2021","AA/AO","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Defence","120","120","21390","20920"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Transport","50","50","20790","21590"
"In post","2021","AA/AO","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Revenue and Customs","920","740","20690","20140"
"In post","2021","AA/AO","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Defence","230","210","21500","21130"
"In post","2021","AA/AO","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","AA/AO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Government","70","60","23200","22920"
"In post","2021","AA/AO","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Department for Environment, Food and Rural Affairs","950","860","21010","21050"
"In post","2021","AA/AO","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cabinet Office","170","150","21010","20800"
"In post","2021","AA/AO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Transport","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Revenue and Customs","300","260","20960","21170"
"In post","2021","AA/AO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Defence","770","700","21250","21130"
"In post","2021","AA/AO","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Government","80","80","21870","20850"
"In post","2021","AA/AO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Attorney General's Departments","1480","1360","22300","21950"
"In post","2021","AA/AO","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Revenue and Customs","150","130","22110","21440"
"In post","2021","AA/AO","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Scottish Government","900","790","21690","22820"
"In post","2021","AA/AO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Cabinet Office","110","110","24160","24490"
"In post","2021","AA/AO","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Department for Business, Energy and Industrial Strategy","1340","1230","21570","20880"
"In post","2021","AA/AO","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Department for Education","60","50","22120","21000"
"In post","2021","AA/AO","No function","Department for Environment, Food and Rural Affairs","840","790","22050","21050"
"In post","2021","AA/AO","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Department for Transport","5360","4640","21780","21590"
"In post","2021","AA/AO","No function","Department for Work and Pensions","240","210","22150","22160"
"In post","2021","AA/AO","No function","Department of Health and Social Care","880","770","21170","20230"
"In post","2021","AA/AO","No function","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Foreign, Commonwealth and Development Office","300","290","26240","24750"
"In post","2021","AA/AO","No function","HM Land Registry","1770","1670","22490","22350"
"In post","2021","AA/AO","No function","HM Revenue and Customs","14690","12660","20630","20140"
"In post","2021","AA/AO","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Ministry of Defence","160","160","19250","20170"
"In post","2021","AA/AO","No function","Ministry of Housing, Communities and Local Government","190","180","22230","22560"
"In post","2021","AA/AO","No function","Ministry of Justice","40270","37350","24440","23240"
"In post","2021","AA/AO","No function","National Crime Agency","250","230","23950","24220"
"In post","2021","AA/AO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Office for Standards in Education","200","180","21240","21160"
"In post","2021","AA/AO","No function","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","AA/AO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Scottish Government","2250","2100","23110","22220"
"In post","2021","AA/AO","No function","The National Archives","60","60","20970","20650"
"In post","2021","AA/AO","No function","United Kingdom Statistics Authority","1380","960","19640","19520"
"In post","2021","AA/AO","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","HM Revenue and Customs","90","70","21780","21440"
"In post","2021","AA/AO","Project Delivery","Ministry of Defence","280","270","20550","20920"
"In post","2021","AA/AO","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Scottish Government","80","80","23030","22920"
"In post","2021","AA/AO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Environment, Food and Rural Affairs","60","50","21330","21050"
"In post","2021","AA/AO","Property","Department for Transport","30","30","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","HM Revenue and Customs","860","770","21260","21100"
"In post","2021","AA/AO","Property","Ministry of Defence","740","710","18570","17980"
"In post","2021","AA/AO","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Scottish Government","580","560","25520","26530"
"In post","2021","AA/AO","Security","Cabinet Office","240","220","20930","20920"
"In post","2021","AA/AO","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Department for Transport","60","60","25220","25390"
"In post","2021","AA/AO","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Foreign, Commonwealth and Development Office","100","90","26040","24110"
"In post","2021","AA/AO","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Ministry of Defence","5030","4930","27010","21670"
"In post","2021","AA/AO","Security","Ministry of Justice","60","60","29130","27510"
"In post","2021","AA/AO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Work and Pensions","29320","25100","21170","21010"
"In post","2021","AA/AO","Unknown","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Home Office","8330","7380","21990","21430"
"In post","2021","AA/AO","Unknown","Ministry of Defence","8240","7870","21030","20920"
"In post","2021","AA/AO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scottish Government","2070","1960","22800","22230"
"In post","2021","AA/AO","Unknown","Welsh Government","970","890","23340","23830"
"In post","2021","EO","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","EO","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Department for Education","30","30","[c]","[c]"
"In post","2021","EO","Analysis","Department for Environment, Food and Rural Affairs","120","110","25210","24920"
"In post","2021","EO","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Department for Transport","70","60","28170","26780"
"In post","2021","EO","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","EO","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Ministry of Defence","50","50","28140","27850"
"In post","2021","EO","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Ministry of Justice","50","50","26110","26410"
"In post","2021","EO","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","United Kingdom Statistics Authority","190","170","24160","23050"
"In post","2021","EO","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department for Transport","50","40","[c]","[c]"
"In post","2021","EO","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Ministry of Defence","400","380","27190","26670"
"In post","2021","EO","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
