"Status","Year","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","Unknown","170","160","36580","33550"
"In post","2021","Knowledge and Information Management","White","1780","1700","36870","33380"
"In post","2021","Legal","Asian","880","830","47400","48830"
"In post","2021","Legal","Black","420","410","48610","50520"
"In post","2021","Legal","Chinese","50","50","[c]","[c]"
"In post","2021","Legal","Mixed","290","270","50690","51250"
"In post","2021","Legal","Other ethnicity","130","120","57240","57080"
"In post","2021","Legal","Undeclared","460","440","44170","39800"
"In post","2021","Legal","Unknown","1730","1640","44950","40800"
"In post","2021","Legal","White","8190","7610","48770","50520"
"In post","2021","Medicine","Asian","190","180","72500","77320"
"In post","2021","Medicine","Black","60","60","71280","68120"
"In post","2021","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Mixed","40","40","[c]","[c]"
"In post","2021","Medicine","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Medicine","Undeclared","80","70","64590","48580"
"In post","2021","Medicine","Unknown","360","320","46350","37890"
"In post","2021","Medicine","White","1710","1540","55140","40580"
"In post","2021","Operational Delivery","Asian","10070","9220","27920","25630"
"In post","2021","Operational Delivery","Black","5860","5550","29320","27490"
"In post","2021","Operational Delivery","Chinese","360","330","28390","25560"
"In post","2021","Operational Delivery","Mixed","2730","2560","29770","26810"
"In post","2021","Operational Delivery","Other ethnicity","790","740","30430","27270"
"In post","2021","Operational Delivery","Undeclared","6850","6340","30080","27370"
"In post","2021","Operational Delivery","Unknown","25860","24070","26300","23970"
"In post","2021","Operational Delivery","White","123590","113210","29100","26300"
"In post","2021","Operational Research","Asian","50","50","[c]","[c]"
"In post","2021","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","80","70","43110","44870"
"In post","2021","Operational Research","Unknown","100","100","40900","37320"
"In post","2021","Operational Research","White","910","870","44890","46080"
"In post","2021","Other","Asian","850","810","32850","28850"
"In post","2021","Other","Black","520","510","30900","28660"
"In post","2021","Other","Chinese","50","50","35320","27710"
"In post","2021","Other","Mixed","270","260","33710","29080"
"In post","2021","Other","Other ethnicity","120","110","35210","28670"
"In post","2021","Other","Undeclared","1000","960","32060","27500"
"In post","2021","Other","Unknown","3810","3720","35630","32700"
"In post","2021","Other","White","16050","15350","30860","26350"
"In post","2021","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","White","170","160","47750","42140"
"In post","2021","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","White","300","260","58310","58810"
"In post","2021","Policy","Asian","1920","1870","42950","38740"
"In post","2021","Policy","Black","1090","1080","39120","35070"
"In post","2021","Policy","Chinese","130","130","44620","40220"
"In post","2021","Policy","Mixed","890","870","44760","40260"
"In post","2021","Policy","Other ethnicity","270","260","45630","40050"
"In post","2021","Policy","Undeclared","1190","1160","48120","46070"
"In post","2021","Policy","Unknown","4190","4090","45870","41090"
"In post","2021","Policy","White","19410","18820","48740","47000"
"In post","2021","Project Delivery","Asian","820","800","40780","38060"
"In post","2021","Project Delivery","Black","490","490","39910","37570"
"In post","2021","Project Delivery","Chinese","30","30","[c]","[c]"
"In post","2021","Project Delivery","Mixed","260","250","42320","38630"
"In post","2021","Project Delivery","Other ethnicity","80","80","42040","40000"
"In post","2021","Project Delivery","Undeclared","820","800","43330","40580"
"In post","2021","Project Delivery","Unknown","1410","1380","41880","38630"
"In post","2021","Project Delivery","White","12100","11710","42660","39450"
"In post","2021","Property","Asian","240","240","36900","33150"
"In post","2021","Property","Black","130","120","36660","33680"
"In post","2021","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Property","Mixed","90","80","35100","32780"
"In post","2021","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Property","Undeclared","390","370","38290","35290"
"In post","2021","Property","Unknown","920","870","34410","30500"
"In post","2021","Property","White","5160","4940","36530","33300"
"In post","2021","Psychology","Asian","40","40","[c]","[c]"
"In post","2021","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Mixed","30","30","[c]","[c]"
"In post","2021","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","170","160","33110","30450"
"In post","2021","Psychology","White","1130","1070","35990","31180"
"In post","2021","Science and Engineering","Asian","570","550","36520","33480"
"In post","2021","Science and Engineering","Black","280","270","36910","34830"
"In post","2021","Science and Engineering","Chinese","50","50","43810","40070"
"In post","2021","Science and Engineering","Mixed","200","200","37140","34530"
"In post","2021","Science and Engineering","Other ethnicity","100","90","41840","39650"
"In post","2021","Science and Engineering","Undeclared","1090","1050","41300","39840"
"In post","2021","Science and Engineering","Unknown","1000","970","35720","32790"
"In post","2021","Science and Engineering","White","10790","10350","38940","37320"
"In post","2021","Security","Asian","290","280","30660","27720"
"In post","2021","Security","Black","120","120","30590","25630"
"In post","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Security","Mixed","90","90","34580","31490"
"In post","2021","Security","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Security","Undeclared","430","430","34550","37650"
"In post","2021","Security","Unknown","1010","1000","31120","28530"
"In post","2021","Security","White","6330","6180","31340","27420"
"In post","2021","Social Research","Asian","30","30","[c]","[c]"
"In post","2021","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","130","120","37900","36770"
"In post","2021","Social Research","White","920","880","43280","41110"
"In post","2021","Statistics","Asian","140","130","41890","39100"
"In post","2021","Statistics","Black","60","60","40310","38630"
"In post","2021","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Mixed","40","40","[c]","[c]"
"In post","2021","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Undeclared","50","50","42240","39850"
"In post","2021","Statistics","Unknown","260","250","39150","36160"
"In post","2021","Statistics","White","1460","1400","44280","40480"
"In post","2021","Tax","Asian","1390","1320","32640","31810"
"In post","2021","Tax","Black","430","420","32230","31810"
"In post","2021","Tax","Chinese","50","50","38390","31870"
"In post","2021","Tax","Mixed","210","200","35610","31810"
"In post","2021","Tax","Other ethnicity","60","60","36050","31810"
"In post","2021","Tax","Undeclared","760","700","39090","35000"
"In post","2021","Tax","Unknown","4930","4720","27190","25560"
"In post","2021","Tax","White","9970","9330","36000","31810"
"In post","2021","Unknown","Asian","8470","7710","29230","27570"
"In post","2021","Unknown","Black","4360","4140","30180","30330"
"In post","2021","Unknown","Chinese","210","190","31350","27570"
"In post","2021","Unknown","Mixed","2090","1970","31180","27570"
"In post","2021","Unknown","Other ethnicity","590","550","31860","29290"
"In post","2021","Unknown","Undeclared","5000","4470","29400","27570"
"In post","2021","Unknown","Unknown","14450","13760","34890","28000"
"In post","2021","Unknown","White","85480","77350","30500","27570"
"In post","2021","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Undeclared","30","30","[c]","[c]"
"In post","2021","Veterinarian","Unknown","60","50","45790","37910"
"In post","2021","Veterinarian","White","340","330","46020","45170"
"In post","2022","Commercial","Asian","300","290","38690","36500"
"In post","2022","Commercial","Black","200","190","37410","36340"
"In post","2022","Commercial","Mixed","110","110","38200","36500"
"In post","2022","Commercial","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Commercial","Undeclared","250","240","40490","38090"
"In post","2022","Commercial","Unknown","690","670","39190","36820"
"In post","2022","Commercial","White","4610","4430","40200","37400"
"In post","2022","Communications","Asian","190","190","39820","37760"
"In post","2022","Communications","Black","110","110","38650","35010"
"In post","2022","Communications","Mixed","110","110","43140","38640"
"In post","2022","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Undeclared","110","110","41610","39660"
"In post","2022","Communications","Unknown","720","710","43500","39630"
"In post","2022","Communications","White","2900","2790","42500","39240"
"In post","2022","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","White","100","100","48930","47010"
"In post","2022","Counter Fraud","Asian","620","560","28180","27570"
"In post","2022","Counter Fraud","Black","320","290","29170","27570"
"In post","2022","Counter Fraud","Mixed","110","100","29430","27570"
"In post","2022","Counter Fraud","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","390","350","28890","27570"
"In post","2022","Counter Fraud","Unknown","430","410","33160","29290"
"In post","2022","Counter Fraud","White","4680","4200","29020","27570"
"In post","2022","Digital, Data and Technology","Asian","1400","1390","42920","40000"
"In post","2022","Digital, Data and Technology","Black","600","600","40270","37290"
"In post","2022","Digital, Data and Technology","Mixed","290","280","41970","39780"
"In post","2022","Digital, Data and Technology","Other ethnicity","100","100","43530","39470"
"In post","2022","Digital, Data and Technology","Undeclared","1060","1030","42210","39700"
"In post","2022","Digital, Data and Technology","Unknown","2970","2930","41960","38110"
"In post","2022","Digital, Data and Technology","White","13590","13180","42130","38550"
"In post","2022","Economics","Asian","220","220","43750","38020"
"In post","2022","Economics","Black","70","70","40480","34840"
"In post","2022","Economics","Mixed","90","80","43360","41060"
"In post","2022","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Undeclared","50","50","52730","57010"
"In post","2022","Economics","Unknown","320","310","43160","35070"
"In post","2022","Economics","White","1330","1290","49550","51210"
"In post","2022","Finance","Asian","1000","970","40580","37100"
"In post","2022","Finance","Black","450","440","39770","36880"
"In post","2022","Finance","Mixed","200","190","40590","36990"
"In post","2022","Finance","Other ethnicity","50","50","[c]","[c]"
"In post","2022","Finance","Undeclared","530","510","40200","36930"
"In post","2022","Finance","Unknown","1200","1160","39910","36820"
"In post","2022","Finance","White","8900","8520","40550","36050"
"In post","2022","Geography","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","130","120","30560","29290"
"In post","2022","Geography","White","330","320","31520","33290"
"In post","2022","Human Resources","Asian","560","540","37920","34910"
"In post","2022","Human Resources","Black","350","340","37130","34440"
"In post","2022","Human Resources","Mixed","220","220","40620","37580"
"In post","2022","Human Resources","Other ethnicity","50","50","35720","30470"
"In post","2022","Human Resources","Undeclared","290","270","37240","33380"
"In post","2022","Human Resources","Unknown","820","790","37360","32910"
"In post","2022","Human Resources","White","7330","6930","39320","35000"
"In post","2022","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","White","840","810","66220","70500"
"In post","2022","Intelligence Analysis","Asian","200","190","32270","29080"
"In post","2022","Intelligence Analysis","Black","50","50","31970","30530"
"In post","2022","Intelligence Analysis","Mixed","60","60","38180","33280"
"In post","2022","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Undeclared","200","190","36190","33300"
"In post","2022","Intelligence Analysis","Unknown","260","260","33810","30930"
"In post","2022","Intelligence Analysis","White","2450","2350","33760","30820"
"In post","2022","Internal Audit","Asian","90","80","46470","43440"
"In post","2022","Internal Audit","Black","30","30","[c]","[c]"
"In post","2022","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","40","30","[c]","[c]"
"In post","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","570","540","46530","43200"
"In post","2022","International Trade","Asian","140","140","44960","38540"
"In post","2022","International Trade","Black","70","70","41810","38540"
"In post","2022","International Trade","Mixed","50","50","49480","51710"
"In post","2022","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Undeclared","70","70","51850","51970"
"In post","2022","International Trade","Unknown","430","420","45130","40020"
"In post","2022","International Trade","White","870","860","48730","50560"
"In post","2022","Knowledge and Information Management","Asian","120","110","34430","31910"
"In post","2022","Knowledge and Information Management","Black","60","60","33130","31000"
"In post","2022","Knowledge and Information Management","Mixed","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","160","150","35630","33140"
"In post","2022","Knowledge and Information Management","Unknown","200","200","35950","32580"
"In post","2022","Knowledge and Information Management","White","1790","1710","35590","32690"
"In post","2022","Legal","Asian","1040","980","48780","50500"
"In post","2022","Legal","Black","480","470","48950","50500"
"In post","2022","Legal","Mixed","300","280","50920","51830"
"In post","2022","Legal","Other ethnicity","90","80","53060","52730"
"In post","2022","Legal","Undeclared","500","470","47490","44780"
"In post","2022","Legal","Unknown","1740","1660","45310","40520"
"In post","2022","Legal","White","8520","7930","49570","50500"
"In post","2022","Medicine","Asian","190","170","70180","70890"
"In post","2022","Medicine","Black","60","60","59440","45140"
"In post","2022","Medicine","Mixed","40","40","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","80","70","67390","65750"
"In post","2022","Medicine","Unknown","400","340","49440","39030"
"In post","2022","Medicine","White","1730","1540","54410","41100"
"In post","2022","Operational Delivery","Asian","17430","15940","28210","27570"
"In post","2022","Operational Delivery","Black","9600","9090","29610","28650"
"In post","2022","Operational Delivery","Mixed","4370","4110","29390","27570"
"In post","2022","Operational Delivery","Other ethnicity","1260","1180","30180","28140"
"In post","2022","Operational Delivery","Undeclared","9720","8840","29440","27570"
"In post","2022","Operational Delivery","Unknown","34800","32390","27540","25110"
"In post","2022","Operational Delivery","White","177820","161850","28870","27370"
"In post","2022","Operational Research","Asian","60","60","44150","40180"
"In post","2022","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Undeclared","60","60","43560","45430"
"In post","2022","Operational Research","Unknown","120","120","39990","37930"
"In post","2022","Operational Research","White","860","820","45990","47010"
"In post","2022","Other","Asian","1680","1560","30200","27570"
"In post","2022","Other","Black","810","780","30250","29200"
"In post","2022","Other","Mixed","450","430","31370","27570"
"In post","2022","Other","Other ethnicity","120","120","37350","31060"
"In post","2022","Other","Undeclared","1240","1160","29910","27570"
"In post","2022","Other","Unknown","4180","4080","34700","32120"
"In post","2022","Other","White","21910","20680","30110","26670"
"In post","2022","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","White","190","180","46030","42140"
"In post","2022","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","40","30","[c]","[c]"
"In post","2022","Planning Inspectors","White","320","280","56690","58810"
"In post","2022","Policy","Asian","2410","2360","43750","40050"
"In post","2022","Policy","Black","1300","1280","40240","36650"
"In post","2022","Policy","Mixed","1080","1060","45820","41950"
"In post","2022","Policy","Other ethnicity","320","310","45840","41950"
"In post","2022","Policy","Undeclared","1210","1180","48410","46730"
"In post","2022","Policy","Unknown","3970","3880","45930","41950"
"In post","2022","Policy","White","22660","21940","48400","47470"
"In post","2022","Project Delivery","Asian","970","930","41340","38550"
"In post","2022","Project Delivery","Black","560","550","40110","37770"
"In post","2022","Project Delivery","Mixed","280","270","42380","40100"
"In post","2022","Project Delivery","Other ethnicity","70","70","43030","40030"
"In post","2022","Project Delivery","Undeclared","710","680","44360","40910"
"In post","2022","Project Delivery","Unknown","1500","1460","42760","40180"
"In post","2022","Project Delivery","White","11800","11310","43870","40520"
"In post","2022","Property","Asian","330","320","38030","34150"
"In post","2022","Property","Black","170","160","38350","34960"
"In post","2022","Property","Mixed","90","90","36070","33300"
"In post","2022","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","580","540","38400","34000"
"In post","2022","Property","Unknown","840","820","34720","30730"
"In post","2022","Property","White","5560","5330","38470","34000"
"In post","2022","Psychology","Asian","40","40","[c]","[c]"
"In post","2022","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Mixed","40","40","[c]","[c]"
"In post","2022","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","180","170","32550","30450"
"In post","2022","Psychology","White","1210","1160","36180","31180"
"In post","2022","Science and Engineering","Asian","600","580","38100","36330"
"In post","2022","Science and Engineering","Black","280","270","38120","37700"
"In post","2022","Science and Engineering","Mixed","230","220","37740","36330"
"In post","2022","Science and Engineering","Other ethnicity","90","90","41320","39650"
"In post","2022","Science and Engineering","Undeclared","990","950","41810","40200"
"In post","2022","Science and Engineering","Unknown","910","880","36330","32790"
"In post","2022","Science and Engineering","White","10850","10430","39330","38070"
"In post","2022","Security","Asian","350","340","31970","29060"
"In post","2022","Security","Black","140","140","32260","28990"
"In post","2022","Security","Mixed","100","100","36080","35980"
"In post","2022","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","450","440","36060","37710"
"In post","2022","Security","Unknown","1130","1120","32000","28650"
"In post","2022","Security","White","7100","6930","32230","29200"
"In post","2022","Social Research","Asian","50","50","42220","38340"
"In post","2022","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Mixed","30","30","[c]","[c]"
"In post","2022","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","150","150","39980","38340"
"In post","2022","Social Research","White","1050","1000","42850","38340"
"In post","2022","Statistics","Asian","180","170","43140","40270"
"In post","2022","Statistics","Black","60","60","40390","39580"
"In post","2022","Statistics","Mixed","40","40","[c]","[c]"
"In post","2022","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
