"Status","Year","Region_ITL3","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barnet","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Declared non-disabled","380","370","38000","38200"
"In post","2021","Barnet","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Unknown","140","140","41610","41480"
"In post","2021","Barnet","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Barnet","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Declared disabled","180","160","22010","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Declared non-disabled","1050","920","23040","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Undeclared","130","120","25490","23610"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","140","140","22940","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Declared disabled","140","120","27470","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Declared non-disabled","700","610","28230","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Undeclared","70","70","30940","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Declared non-disabled","230","220","37220","35310"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Declared disabled","60","50","31160","30880"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Declared non-disabled","130","120","28890","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Declared disabled","70","60","22740","21010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Declared non-disabled","500","460","23020","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Undeclared","90","80","25640","23330"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Unknown","110","100","21820","20800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Declared disabled","290","270","24380","25730"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Declared non-disabled","1810","1710","24470","25500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Undeclared","110","110","26380","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Unknown","410","390","26140","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Declared disabled","160","150","57160","55140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Declared non-disabled","1420","1380","57360","55220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Undeclared","130","130","57520","55560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Unknown","220","210","57740","55150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Declared non-disabled","110","110","101130","93640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Declared disabled","660","640","36670","37000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Declared non-disabled","4620","4460","36340","36000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Undeclared","420","400","37610","38250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Unknown","680","660","37240","37370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Declared disabled","160","160","38990","36530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Declared non-disabled","1100","1060","40860","38250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Undeclared","100","100","44740","42250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","170","170","44200","41860"
"In post","2021","Bedford","AA/AO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Bedford","AA/AO","Declared non-disabled","180","170","26280","27850"
"In post","2021","Bedford","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","AA/AO","Unknown","60","60","24210","21500"
"In post","2021","Bedford","EO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Bedford","EO","Declared non-disabled","210","190","27700","27570"
"In post","2021","Bedford","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Declared non-disabled","120","110","37730","37170"
"In post","2021","Bedford","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Bedford","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Declared disabled","90","80","20810","21400"
"In post","2021","Belfast","AA/AO","Declared non-disabled","520","460","20770","21430"
"In post","2021","Belfast","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Belfast","AA/AO","Unknown","360","330","20450","20140"
"In post","2021","Belfast","EO","Declared disabled","70","60","26290","25560"
"In post","2021","Belfast","EO","Declared non-disabled","490","450","26140","25560"
"In post","2021","Belfast","EO","Undeclared","40","40","[c]","[c]"
"In post","2021","Belfast","EO","Unknown","230","220","26610","25560"
"In post","2021","Belfast","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Declared non-disabled","160","150","54720","52580"
"In post","2021","Belfast","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Belfast","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SEO/HEO","Declared disabled","70","70","33710","31810"
"In post","2021","Belfast","SEO/HEO","Declared non-disabled","480","460","34020","31810"
"In post","2021","Belfast","SEO/HEO","Undeclared","60","60","34300","32280"
"In post","2021","Belfast","SEO/HEO","Unknown","160","150","35310","31810"
"In post","2021","Berkshire","AA/AO","Declared disabled","100","90","27240","25110"
"In post","2021","Berkshire","AA/AO","Declared non-disabled","580","550","26500","24180"
"In post","2021","Berkshire","AA/AO","Undeclared","60","60","30580","27680"
"In post","2021","Berkshire","AA/AO","Unknown","260","250","29290","26610"
"In post","2021","Berkshire","EO","Declared disabled","100","90","30390","29290"
"In post","2021","Berkshire","EO","Declared non-disabled","510","480","30250","29290"
"In post","2021","Berkshire","EO","Undeclared","50","50","31820","29290"
"In post","2021","Berkshire","EO","Unknown","130","130","33650","32520"
"In post","2021","Berkshire","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","G6/G7","Declared non-disabled","210","200","57370","54540"
"In post","2021","Berkshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","G6/G7","Unknown","50","50","[c]","[c]"
"In post","2021","Berkshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SEO/HEO","Declared disabled","70","70","37810","38100"
"In post","2021","Berkshire","SEO/HEO","Declared non-disabled","430","410","37700","36460"
"In post","2021","Berkshire","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2021","Berkshire","SEO/HEO","Unknown","120","110","38230","38680"
"In post","2021","Berkshire","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Berkshire","Unknown","Declared non-disabled","120","120","31610","31650"
"In post","2021","Berkshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","AA/AO","Declared disabled","70","60","26750","24440"
"In post","2021","Bexley and Greenwich","AA/AO","Declared non-disabled","520","500","28430","28590"
"In post","2021","Bexley and Greenwich","AA/AO","Undeclared","120","110","29360","28720"
"In post","2021","Bexley and Greenwich","AA/AO","Unknown","170","170","28640","30150"
"In post","2021","Bexley and Greenwich","EO","Declared disabled","70","70","32120","31060"
"In post","2021","Bexley and Greenwich","EO","Declared non-disabled","400","370","31960","31060"
"In post","2021","Bexley and Greenwich","EO","Undeclared","60","50","33260","31880"
"In post","2021","Bexley and Greenwich","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO/HEO","Declared non-disabled","140","140","41790","39690"
"In post","2021","Bexley and Greenwich","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Declared non-disabled","80","70","34120","34100"
"In post","2021","Bexley and Greenwich","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","AA/AO","Declared disabled","400","350","20950","20230"
"In post","2021","Birmingham","AA/AO","Declared non-disabled","2180","1950","21030","20180"
"In post","2021","Birmingham","AA/AO","Undeclared","180","160","21300","20140"
"In post","2021","Birmingham","AA/AO","Unknown","820","760","20910","20140"
"In post","2021","Birmingham","EO","Declared disabled","410","370","26750","27570"
"In post","2021","Birmingham","EO","Declared non-disabled","2100","1930","26450","27570"
"In post","2021","Birmingham","EO","Undeclared","170","160","26140","27230"
"In post","2021","Birmingham","EO","Unknown","630","600","27260","25560"
"In post","2021","Birmingham","G6/G7","Declared disabled","80","80","56350","53350"
"In post","2021","Birmingham","G6/G7","Declared non-disabled","790","760","58170","54540"
"In post","2021","Birmingham","G6/G7","Undeclared","70","70","56270","52850"
"In post","2021","Birmingham","G6/G7","Unknown","210","200","56520","53500"
"In post","2021","Birmingham","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","SCS","Declared non-disabled","80","70","96140","89810"
"In post","2021","Birmingham","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","SEO/HEO","Declared disabled","300","280","34920","32610"
"In post","2021","Birmingham","SEO/HEO","Declared non-disabled","1940","1860","35790","33310"
"In post","2021","Birmingham","SEO/HEO","Undeclared","170","170","34850","32750"
"In post","2021","Birmingham","SEO/HEO","Unknown","610","590","36000","34530"
"In post","2021","Birmingham","Unknown","Declared disabled","80","80","30500","29200"
"In post","2021","Birmingham","Unknown","Declared non-disabled","320","290","30460","28200"
"In post","2021","Birmingham","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","AA/AO","Declared non-disabled","120","100","21240","21010"
"In post","2021","Blackburn with Darwen","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","EO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","EO","Declared non-disabled","160","140","27530","27570"
"In post","2021","Blackburn with Darwen","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Declared non-disabled","50","50","27900","26500"
"In post","2021","Blackburn with Darwen","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","AA/AO","Declared disabled","300","260","20840","21010"
"In post","2021","Blackpool","AA/AO","Declared non-disabled","1300","1170","20840","21010"
"In post","2021","Blackpool","AA/AO","Undeclared","80","70","20760","21010"
"In post","2021","Blackpool","AA/AO","Unknown","80","70","20970","21010"
"In post","2021","Blackpool","EO","Declared disabled","270","240","27450","27570"
"In post","2021","Blackpool","EO","Declared non-disabled","1430","1290","27430","27570"
"In post","2021","Blackpool","EO","Undeclared","110","110","27440","27570"
"In post","2021","Blackpool","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Blackpool","G6/G7","Declared disabled","40","40","[c]","[c]"
"In post","2021","Blackpool","G6/G7","Declared non-disabled","340","320","55850","52750"
"In post","2021","Blackpool","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SEO/HEO","Declared disabled","140","130","34410","34290"
"In post","2021","Blackpool","SEO/HEO","Declared non-disabled","800","760","34520","34290"
"In post","2021","Blackpool","SEO/HEO","Undeclared","50","40","[c]","[c]"
"In post","2021","Blackpool","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Blackpool","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Blackpool","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","AA/AO","Declared disabled","30","30","[c]","[c]"
