"Status","Year","Ethnicity","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Finance","Declared non-disabled","600","580","40190","36460"
"In post","2021","Asian","Finance","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","70","60","38810","36490"
"In post","2021","Asian","Human Resources","Declared disabled","50","40","[c]","[c]"
"In post","2021","Asian","Human Resources","Declared non-disabled","300","280","37830","35050"
"In post","2021","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","50","50","34960","31470"
"In post","2021","Asian","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Declared non-disabled","170","160","31970","29080"
"In post","2021","Asian","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Declared non-disabled","60","50","46240","44310"
"In post","2021","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Declared non-disabled","80","80","42500","38160"
"In post","2021","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Declared non-disabled","90","90","35160","32800"
"In post","2021","Asian","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Declared disabled","70","60","50620","50130"
"In post","2021","Asian","Legal","Declared non-disabled","680","640","47520","50500"
"In post","2021","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","120","110","44180","48080"
"In post","2021","Asian","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Declared non-disabled","120","110","66020","74070"
"In post","2021","Asian","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","60","50","87150","85730"
"In post","2021","Asian","Operational Delivery","Declared disabled","880","800","27910","25630"
"In post","2021","Asian","Operational Delivery","Declared non-disabled","8010","7340","27870","25630"
"In post","2021","Asian","Operational Delivery","Undeclared","440","390","28280","25630"
"In post","2021","Asian","Operational Delivery","Unknown","740","690","28370","25560"
"In post","2021","Asian","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Declared disabled","50","50","28390","26270"
"In post","2021","Asian","Other","Declared non-disabled","650","630","32790","28880"
"In post","2021","Asian","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","120","110","35450","28880"
"In post","2021","Asian","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Declared disabled","170","160","41540","36300"
"In post","2021","Asian","Policy","Declared non-disabled","1490","1450","43230","39540"
"In post","2021","Asian","Policy","Undeclared","90","90","41210","35200"
"In post","2021","Asian","Policy","Unknown","180","180","42810","37640"
"In post","2021","Asian","Project Delivery","Declared disabled","80","70","40480","38600"
"In post","2021","Asian","Project Delivery","Declared non-disabled","640","630","40550","37640"
"In post","2021","Asian","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","70","70","43670","38630"
"In post","2021","Asian","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Declared non-disabled","200","190","36820","33510"
"In post","2021","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Declared non-disabled","430","410","36240","33330"
"In post","2021","Asian","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Unknown","90","90","38310","35560"
"In post","2021","Asian","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Declared non-disabled","220","220","29970","26750"
"In post","2021","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Declared non-disabled","110","100","41160","38650"
"In post","2021","Asian","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Declared disabled","100","100","34580","31880"
"In post","2021","Asian","Tax","Declared non-disabled","1080","1030","32130","31810"
"In post","2021","Asian","Tax","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Tax","Unknown","170","160","34040","32520"
"In post","2021","Asian","Unknown","Declared disabled","1090","980","28680","27570"
"In post","2021","Asian","Unknown","Declared non-disabled","6840","6230","29210","27570"
"In post","2021","Asian","Unknown","Undeclared","390","360","28890","27570"
"In post","2021","Asian","Unknown","Unknown","150","150","35120","31060"
"In post","2021","Asian","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Declared non-disabled","140","140","38040","35050"
"In post","2021","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Declared non-disabled","80","80","39140","36300"
"In post","2021","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Declared disabled","30","30","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Declared non-disabled","320","320","39930","36780"
"In post","2021","Black","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Black","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Declared non-disabled","310","300","40430","37150"
"In post","2021","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Declared disabled","40","40","[c]","[c]"
"In post","2021","Black","Human Resources","Declared non-disabled","210","210","37770","35000"
"In post","2021","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Declared non-disabled","60","60","34430","31870"
"In post","2021","Black","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Declared disabled","40","40","[c]","[c]"
"In post","2021","Black","Legal","Declared non-disabled","320","320","49550","51120"
"In post","2021","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","50","50","[c]","[c]"
"In post","2021","Black","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Black","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","Declared disabled","650","610","29480","27490"
"In post","2021","Black","Operational Delivery","Declared non-disabled","4480","4260","29200","27380"
"In post","2021","Black","Operational Delivery","Undeclared","400","370","30340","28920"
"In post","2021","Black","Operational Delivery","Unknown","330","310","29430","26810"
"In post","2021","Black","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","Declared disabled","60","50","30710","28880"
"In post","2021","Black","Other","Declared non-disabled","400","390","30750","28650"
"In post","2021","Black","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","Unknown","50","50","[c]","[c]"
"In post","2021","Black","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","Declared disabled","130","130","37110","34080"
"In post","2021","Black","Policy","Declared non-disabled","820","810","39360","35070"
"In post","2021","Black","Policy","Undeclared","50","40","[c]","[c]"
"In post","2021","Black","Policy","Unknown","100","100","41970","39110"
"In post","2021","Black","Project Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2021","Black","Project Delivery","Declared non-disabled","400","390","39860","37650"
"In post","2021","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Declared non-disabled","100","90","36520","33300"
"In post","2021","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","Declared non-disabled","210","200","35630","33350"
"In post","2021","Black","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Declared non-disabled","90","90","31460","25680"
"In post","2021","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","Declared disabled","50","40","[c]","[c]"
"In post","2021","Black","Tax","Declared non-disabled","320","310","31860","31810"
"In post","2021","Black","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","Unknown","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Declared disabled","630","590","30050","30330"
"In post","2021","Black","Unknown","Declared non-disabled","3470","3310","30150","30330"
"In post","2021","Black","Unknown","Undeclared","180","170","30030","31060"
"In post","2021","Black","Unknown","Unknown","70","70","33330","31060"
"In post","2021","Black","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","Declared disabled","30","30","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","Declared non-disabled","280","260","28470","25410"
"In post","2021","Chinese","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","Declared non-disabled","100","100","45070","40500"
"In post","2021","Chinese","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared non-disabled","170","160","31390","27570"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Declared non-disabled","60","60","36970","33300"
"In post","2021","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Declared non-disabled","90","80","42420","39270"
"In post","2021","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","Declared non-disabled","160","160","42110","39460"
"In post","2021","Mixed","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","Declared non-disabled","70","70","45320","44030"
"In post","2021","Mixed","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Declared non-disabled","120","110","42420","40000"
"In post","2021","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Declared non-disabled","120","110","40180","37000"
"In post","2021","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
