"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Finance","80","70","43860","40800"
"In post","2021","Corporate Finance","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Finance","60","60","49560","46080"
"In post","2021","Corporate Finance","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Counter Fraud","270","260","38820","36030"
"In post","2021","Counter Fraud","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Unknown","110","100","25620","25310"
"In post","2021","Counter Fraud","Male","Counter Fraud","400","390","42080","39490"
"In post","2021","Counter Fraud","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Unknown","70","60","29190","25580"
"In post","2021","Digital, Data and Technology","Female","Analysis","100","100","41970","41990"
"In post","2021","Digital, Data and Technology","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Digital, Data & Technology","3840","3660","39970","36780"
"In post","2021","Digital, Data and Technology","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","No function","100","90","37500","32140"
"In post","2021","Digital, Data and Technology","Female","Project Delivery","110","100","37820","37320"
"In post","2021","Digital, Data and Technology","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Unknown","450","430","47490","44100"
"In post","2021","Digital, Data and Technology","Male","Analysis","140","130","42370","42220"
"In post","2021","Digital, Data and Technology","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Digital, Data & Technology","7000","6900","41480","38450"
"In post","2021","Digital, Data and Technology","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","No function","130","130","41090","36960"
"In post","2021","Digital, Data and Technology","Male","Project Delivery","330","320","44380","44400"
"In post","2021","Digital, Data and Technology","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Unknown","1000","990","48490","44970"
"In post","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Analysis","430","420","46270","37950"
"In post","2021","Economics","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Finance","50","50","44150","36820"
"In post","2021","Economics","Female","No function","190","180","47630","51610"
"In post","2021","Economics","Female","Project Delivery","40","40","[c]","[c]"
"In post","2021","Economics","Female","Unknown","80","70","45870","40870"
"In post","2021","Economics","Male","Analysis","840","830","46560","40480"
"In post","2021","Economics","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Finance","50","50","[c]","[c]"
"In post","2021","Economics","Male","No function","280","280","48310","48410"
"In post","2021","Economics","Male","Project Delivery","70","60","56830","56610"
"In post","2021","Economics","Male","Unknown","130","130","46740","35910"
"In post","2021","Economics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Commercial","40","40","[c]","[c]"
"In post","2021","Finance","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Finance","4270","3940","37290","33300"
"In post","2021","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","No function","210","200","41040","37100"
"In post","2021","Finance","Female","Project Delivery","230","210","42330","39860"
"In post","2021","Finance","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Unknown","350","330","42040","37410"
"In post","2021","Finance","Male","Analysis","30","30","[c]","[c]"
"In post","2021","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Finance","3290","3220","43000","39000"
"In post","2021","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","No function","200","200","45380","40230"
"In post","2021","Finance","Male","Project Delivery","180","180","44040","41000"
"In post","2021","Finance","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Unknown","280","280","45730","41970"
"In post","2021","Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Human Resources","4940","4620","37860","33300"
"In post","2021","Human Resources","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","No function","50","50","42190","38390"
"In post","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Unknown","510","470","40730","37180"
"In post","2021","Human Resources","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Human Resources","1990","1950","39350","35000"
"In post","2021","Human Resources","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Unknown","270","260","41400","36620"
"In post","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","No function","600","590","63550","64500"
"In post","2021","Inspector of Education and Training","Male","No function","260","250","73380","75500"
"In post","2021","Intelligence Analysis","Female","Analysis","140","130","51920","53360"
"In post","2021","Intelligence Analysis","Female","Counter Fraud","90","80","36840","31960"
"In post","2021","Intelligence Analysis","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","No function","310","290","29880","27380"
"In post","2021","Intelligence Analysis","Female","Security","100","100","43680","38860"
"In post","2021","Intelligence Analysis","Female","Unknown","930","860","30970","29080"
"In post","2021","Intelligence Analysis","Male","Analysis","150","150","52390","53360"
"In post","2021","Intelligence Analysis","Male","Counter Fraud","110","110","38700","36160"
"In post","2021","Intelligence Analysis","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","No function","180","170","34130","32040"
"In post","2021","Intelligence Analysis","Male","Security","100","100","47960","39770"
"In post","2021","Intelligence Analysis","Male","Unknown","1310","1270","33680","30980"
"In post","2021","Internal Audit","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Internal Audit","380","360","43830","41340"
"In post","2021","Internal Audit","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Internal Audit","360","350","48160","45390"
"In post","2021","Internal Audit","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","No function","640","630","45850","39590"
"In post","2021","International Trade","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","No function","820","820","47820","42470"
"In post","2021","International Trade","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Commercial","330","310","30720","26670"
"In post","2021","Knowledge and Information Management","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Digital, Data & Technology","70","60","35040","33640"
"In post","2021","Knowledge and Information Management","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","No function","640","580","37380","34010"
"In post","2021","Knowledge and Information Management","Female","Project Delivery","70","60","37270","37320"
"In post","2021","Knowledge and Information Management","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Unknown","110","100","36590","34490"
"In post","2021","Knowledge and Information Management","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Commercial","360","350","36140","33300"
"In post","2021","Knowledge and Information Management","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Digital, Data & Technology","80","80","40350","39120"
"In post","2021","Knowledge and Information Management","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","No function","340","330","40320","36800"
"In post","2021","Knowledge and Information Management","Male","Project Delivery","130","120","37230","35790"
"In post","2021","Knowledge and Information Management","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Unknown","100","100","38240","37410"
"In post","2021","Legal","Female","Counter Fraud","1400","1310","30010","28130"
"In post","2021","Legal","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Legal","5520","4990","53330","52490"
"In post","2021","Legal","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Unknown","100","90","56140","60830"
"In post","2021","Legal","Male","Counter Fraud","1930","1880","32370","31810"
"In post","2021","Legal","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Legal","3120","3020","56240","55610"
"In post","2021","Legal","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Unknown","50","50","57450","60830"
"In post","2021","Medicine","Female","No function","280","240","96970","96860"
"In post","2021","Medicine","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Unknown","1430","1270","42870","37890"
"In post","2021","Medicine","Male","No function","170","150","106540","105470"
"In post","2021","Medicine","Male","Project Delivery","30","30","[c]","[c]"
"In post","2021","Medicine","Male","Unknown","560","530","55420","46290"
"In post","2021","Operational Delivery","Female","Analysis","320","290","31620","29540"
"In post","2021","Operational Delivery","Female","Commercial","180","170","36510","33790"
"In post","2021","Operational Delivery","Female","Communications","760","690","29930","26520"
"In post","2021","Operational Delivery","Female","Counter Fraud","1630","1440","29530","28130"
"In post","2021","Operational Delivery","Female","Debt","2080","1740","23890","21440"
"In post","2021","Operational Delivery","Female","Digital, Data & Technology","250","240","33760","31810"
"In post","2021","Operational Delivery","Female","Finance","490","430","28080","25560"
"In post","2021","Operational Delivery","Female","Grants Management","1090","950","25060","21050"
"In post","2021","Operational Delivery","Female","Human Resources","650","590","29380","25560"
"In post","2021","Operational Delivery","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Legal","3610","3240","26990","25480"
"In post","2021","Operational Delivery","Female","No function","69120","61620","27500","24360"
"In post","2021","Operational Delivery","Female","Project Delivery","1120","1030","33650","30630"
"In post","2021","Operational Delivery","Female","Property","870","790","27390","21250"
"In post","2021","Operational Delivery","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Unknown","14720","13080","28100","25630"
"In post","2021","Operational Delivery","Male","Analysis","260","260","33270","30130"
"In post","2021","Operational Delivery","Male","Commercial","230","220","48070","41100"
"In post","2021","Operational Delivery","Male","Communications","760","750","29870","25980"
"In post","2021","Operational Delivery","Male","Counter Fraud","1260","1220","30940","28130"
"In post","2021","Operational Delivery","Male","Debt","1500","1420","24020","21440"
"In post","2021","Operational Delivery","Male","Digital, Data & Technology","220","220","36820","31810"
"In post","2021","Operational Delivery","Male","Finance","370","360","29810","25560"
"In post","2021","Operational Delivery","Male","Grants Management","800","780","25980","24920"
"In post","2021","Operational Delivery","Male","Human Resources","290","280","30260","25560"
"In post","2021","Operational Delivery","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Legal","1560","1510","28070","25560"
"In post","2021","Operational Delivery","Male","No function","57670","55090","30130","27460"
"In post","2021","Operational Delivery","Male","Project Delivery","780","760","38550","36110"
"In post","2021","Operational Delivery","Male","Property","580","560","31080","24500"
"In post","2021","Operational Delivery","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Unknown","12910","12280","29070","25990"
"In post","2021","Operational Delivery","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Analysis","230","210","43040","39000"
"In post","2021","Operational Research","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","No function","130","120","42950","46080"
"In post","2021","Operational Research","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Unknown","50","50","[c]","[c]"
"In post","2021","Operational Research","Male","Analysis","430","420","44750","46080"
"In post","2021","Operational Research","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","No function","170","170","45790","46090"
"In post","2021","Operational Research","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Unknown","130","120","45650","41700"
"In post","2021","Operational Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Analysis","80","70","60160","58760"
"In post","2021","Other","Female","Commercial","30","30","[c]","[c]"
"In post","2021","Other","Female","Communications","80","80","30500","27290"
"In post","2021","Other","Female","Counter Fraud","180","150","36950","31810"
"In post","2021","Other","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Finance","110","100","39790","33110"
"In post","2021","Other","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Legal","240","230","31110","27580"
"In post","2021","Other","Female","No function","1260","1190","35760","30850"
"In post","2021","Other","Female","Project Delivery","1350","1260","33570","28520"
"In post","2021","Other","Female","Property","80","70","32840","25900"
"In post","2021","Other","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Unknown","7300","6900","27600","22080"
"In post","2021","Other","Male","Analysis","140","130","66740","57250"
"In post","2021","Other","Male","Commercial","30","30","[c]","[c]"
"In post","2021","Other","Male","Communications","170","170","23790","20410"
"In post","2021","Other","Male","Counter Fraud","160","150","40580","35000"
"In post","2021","Other","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Male","Finance","50","40","[c]","[c]"
"In post","2021","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other","Male","Legal","120","120","30770","27350"
"In post","2021","Other","Male","No function","1060","1010","44550","35740"
"In post","2021","Other","Male","Project Delivery","2000","1960","35000","30810"
"In post","2021","Other","Male","Property","250","240","31640","28870"
"In post","2021","Other","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other","Male","Unknown","7900","7760","31000","28650"
"In post","2021","Planning","Female","No function","80","70","46620","42140"
"In post","2021","Planning","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","No function","70","70","46190","40590"
"In post","2021","Planning","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","No function","130","110","57850","58810"
"In post","2021","Planning Inspectors","Male","No function","220","190","57960","58810"
"In post","2021","Policy","Female","Analysis","180","170","47430","45250"
"In post","2021","Policy","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Human Resources","60","60","36150","36030"
"In post","2021","Policy","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Legal","40","40","[c]","[c]"
"In post","2021","Policy","Female","No function","11040","10630","45570","40220"
"In post","2021","Policy","Female","Project Delivery","1320","1250","50600","52580"
"In post","2021","Policy","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","Unknown","3010","2870","45460","41970"
"In post","2021","Policy","Male","Analysis","170","160","47630","45540"
"In post","2021","Policy","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Legal","40","30","[c]","[c]"
"In post","2021","Policy","Male","No function","9600","9520","48450","46660"
"In post","2021","Policy","Male","Project Delivery","1130","1100","53870","54400"
"In post","2021","Policy","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","Unknown","2330","2300","49410","45200"
"In post","2021","Policy","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Finance","40","30","[c]","[c]"
"In post","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","No function","110","110","41030","36770"
"In post","2021","Project Delivery","Female","Project Delivery","7020","6700","40120","37320"
"In post","2021","Project Delivery","Female","Property","30","30","[c]","[c]"
"In post","2021","Project Delivery","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Unknown","800","770","44020","41140"
"In post","2021","Project Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Commercial","50","50","47750","43600"
"In post","2021","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Finance","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","No function","110","100","42660","36800"
"In post","2021","Project Delivery","Male","Project Delivery","7020","6910","44120","40580"
"In post","2021","Project Delivery","Male","Property","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Unknown","650","640","46130","41970"
"In post","2021","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Project Delivery","120","120","49760","50630"
"In post","2021","Property","Female","Property","2570","2390","33560","31810"
"In post","2021","Property","Female","Unknown","70","60","40800","34600"
"In post","2021","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Communications","[c]","[c]","[c]","[c]"
