"Status","Year","Responsibility_level","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Declared disabled","Finance","150","140","26490","26670"
"In post","2021","EO","Declared disabled","Human Resources","160","150","27380","26780"
"In post","2021","EO","Declared disabled","Intelligence Analysis","160","150","28340","27380"
"In post","2021","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Knowledge and Information Management","60","60","26980","26670"
"In post","2021","EO","Declared disabled","Legal","130","120","27560","27130"
"In post","2021","EO","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Operational Delivery","4010","3680","27630","27130"
"In post","2021","EO","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Other","510","480","26210","26670"
"In post","2021","EO","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Policy","300","290","28460","28400"
"In post","2021","EO","Declared disabled","Project Delivery","210","200","26390","26670"
"In post","2021","EO","Declared disabled","Property","130","120","27010","26670"
"In post","2021","EO","Declared disabled","Psychology","40","40","[c]","[c]"
"In post","2021","EO","Declared disabled","Science and Engineering","160","160","26340","26930"
"In post","2021","EO","Declared disabled","Security","100","100","32400","28480"
"In post","2021","EO","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Tax","310","280","27030","25560"
"In post","2021","EO","Declared disabled","Unknown","8790","7830","28040","27570"
"In post","2021","EO","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Commercial","480","460","25990","26510"
"In post","2021","EO","Declared non-disabled","Communications","370","350","27540","26930"
"In post","2021","EO","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Counter Fraud","130","120","26470","25580"
"In post","2021","EO","Declared non-disabled","Digital, Data and Technology","1260","1210","27500","26670"
"In post","2021","EO","Declared non-disabled","Economics","60","60","27390","27680"
"In post","2021","EO","Declared non-disabled","Finance","1150","1080","26570","26670"
"In post","2021","EO","Declared non-disabled","Human Resources","860","800","26960","26670"
"In post","2021","EO","Declared non-disabled","Intelligence Analysis","1170","1110","27700","27370"
"In post","2021","EO","Declared non-disabled","Internal Audit","40","40","[c]","[c]"
"In post","2021","EO","Declared non-disabled","International Trade","50","50","26990","26510"
"In post","2021","EO","Declared non-disabled","Knowledge and Information Management","340","320","26960","26670"
"In post","2021","EO","Declared non-disabled","Legal","1130","1090","27470","26030"
"In post","2021","EO","Declared non-disabled","Medicine","220","200","30570","30620"
"In post","2021","EO","Declared non-disabled","Operational Delivery","29280","27030","27300","26750"
"In post","2021","EO","Declared non-disabled","Operational Research","40","40","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Other","3420","3250","26200","26670"
"In post","2021","EO","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Policy","1700","1650","28460","28680"
"In post","2021","EO","Declared non-disabled","Project Delivery","1320","1270","26510","26670"
"In post","2021","EO","Declared non-disabled","Property","1000","940","27090","26670"
"In post","2021","EO","Declared non-disabled","Psychology","290","280","26380","26330"
"In post","2021","EO","Declared non-disabled","Science and Engineering","1350","1310","25900","26370"
"In post","2021","EO","Declared non-disabled","Security","720","700","32780","28960"
"In post","2021","EO","Declared non-disabled","Social Research","30","30","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Statistics","170","160","27950","27850"
"In post","2021","EO","Declared non-disabled","Tax","2060","1900","26620","25560"
"In post","2021","EO","Declared non-disabled","Unknown","38760","35210","28090","27570"
"In post","2021","EO","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Commercial","50","40","[c]","[c]"
"In post","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Digital, Data and Technology","120","110","28230","26780"
"In post","2021","EO","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Finance","100","90","26940","26670"
"In post","2021","EO","Undeclared","Human Resources","60","60","27870","27380"
"In post","2021","EO","Undeclared","Intelligence Analysis","150","140","28330","27380"
"In post","2021","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Legal","100","90","27590","27130"
"In post","2021","EO","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Operational Delivery","2970","2760","28960","27380"
"In post","2021","EO","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Other","340","330","26890","26670"
"In post","2021","EO","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Policy","140","140","28650","28770"
"In post","2021","EO","Undeclared","Project Delivery","120","110","27030","26670"
"In post","2021","EO","Undeclared","Property","120","110","27400","26670"
"In post","2021","EO","Undeclared","Psychology","30","30","[c]","[c]"
"In post","2021","EO","Undeclared","Science and Engineering","160","150","27050","27460"
"In post","2021","EO","Undeclared","Security","110","110","36090","40190"
"In post","2021","EO","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Tax","190","170","27170","25560"
"In post","2021","EO","Undeclared","Unknown","2340","2190","28100","27570"
"In post","2021","EO","Unknown","Commercial","120","120","25460","25000"
"In post","2021","EO","Unknown","Communications","190","180","27230","27270"
"In post","2021","EO","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Digital, Data and Technology","600","580","27440","26740"
"In post","2021","EO","Unknown","Economics","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Finance","240","230","26460","26350"
"In post","2021","EO","Unknown","Human Resources","300","290","27280","27130"
"In post","2021","EO","Unknown","Intelligence Analysis","90","80","27100","26350"
"In post","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","International Trade","30","30","[c]","[c]"
"In post","2021","EO","Unknown","Knowledge and Information Management","80","70","26830","26650"
"In post","2021","EO","Unknown","Legal","590","570","27210","25560"
"In post","2021","EO","Unknown","Medicine","70","70","30120","30620"
"In post","2021","EO","Unknown","Operational Delivery","8820","8370","28930","28130"
"In post","2021","EO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Other","880","850","27130","27050"
"In post","2021","EO","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Policy","550","540","27630","27500"
"In post","2021","EO","Unknown","Project Delivery","250","240","26600","26670"
"In post","2021","EO","Unknown","Property","250","240","26580","25930"
"In post","2021","EO","Unknown","Psychology","60","60","29260","28930"
"In post","2021","EO","Unknown","Science and Engineering","340","320","24970","25750"
"In post","2021","EO","Unknown","Security","160","160","31170","28130"
"In post","2021","EO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Statistics","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Tax","1500","1430","26270","25560"
"In post","2021","EO","Unknown","Unknown","3330","3210","27880","27570"
"In post","2021","G6/G7","Declared disabled","Commercial","80","70","59320","56490"
"In post","2021","G6/G7","Declared disabled","Communications","40","40","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Digital, Data and Technology","210","210","58530","57580"
"In post","2021","G6/G7","Declared disabled","Economics","50","50","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Finance","150","140","57750","57400"
"In post","2021","G6/G7","Declared disabled","Human Resources","220","210","58390","57680"
"In post","2021","G6/G7","Declared disabled","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","International Trade","40","40","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Legal","480","440","59550","58040"
"In post","2021","G6/G7","Declared disabled","Medicine","40","30","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Operational Delivery","450","440","58480","56350"
"In post","2021","G6/G7","Declared disabled","Operational Research","50","50","53520","50880"
"In post","2021","G6/G7","Declared disabled","Other","100","90","60240","59420"
"In post","2021","G6/G7","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Policy","880","850","58200","57400"
"In post","2021","G6/G7","Declared disabled","Project Delivery","340","330","57160","55870"
"In post","2021","G6/G7","Declared disabled","Property","80","80","57350","55510"
"In post","2021","G6/G7","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Science and Engineering","190","180","54580","52860"
"In post","2021","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Statistics","50","50","59570","59160"
"In post","2021","G6/G7","Declared disabled","Tax","230","220","56270","52580"
"In post","2021","G6/G7","Declared disabled","Unknown","790","760","58310","56120"
"In post","2021","G6/G7","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared non-disabled","Commercial","700","680","59630","57200"
"In post","2021","G6/G7","Declared non-disabled","Communications","620","590","58160","57290"
"In post","2021","G6/G7","Declared non-disabled","Corporate Finance","60","50","57430","56350"
"In post","2021","G6/G7","Declared non-disabled","Counter Fraud","80","80","61800","58990"
"In post","2021","G6/G7","Declared non-disabled","Digital, Data and Technology","2290","2250","58440","57110"
"In post","2021","G6/G7","Declared non-disabled","Economics","660","640","60070","58960"
"In post","2021","G6/G7","Declared non-disabled","Finance","1580","1540","59390","58130"
"In post","2021","G6/G7","Declared non-disabled","Human Resources","1190","1150","58430","57460"
"In post","2021","G6/G7","Declared non-disabled","Inspector of Education and Training","460","450","75630","75500"
"In post","2021","G6/G7","Declared non-disabled","Intelligence Analysis","210","200","58480","58230"
"In post","2021","G6/G7","Declared non-disabled","Internal Audit","150","150","58570","56610"
"In post","2021","G6/G7","Declared non-disabled","International Trade","320","320","56150","53600"
"In post","2021","G6/G7","Declared non-disabled","Knowledge and Information Management","270","260","57580","55060"
"In post","2021","G6/G7","Declared non-disabled","Legal","4250","3930","59550","58470"
"In post","2021","G6/G7","Declared non-disabled","Medicine","430","380","73840","74470"
"In post","2021","G6/G7","Declared non-disabled","Operational Delivery","4740","4610","58690","56540"
"In post","2021","G6/G7","Declared non-disabled","Operational Research","350","330","54250","53810"
"In post","2021","G6/G7","Declared non-disabled","Other","1410","1370","62010","59420"
"In post","2021","G6/G7","Declared non-disabled","Planning","50","50","57950","57110"
"In post","2021","G6/G7","Declared non-disabled","Planning Inspectors","250","220","58050","58810"
"In post","2021","G6/G7","Declared non-disabled","Policy","7880","7640","58700","57460"
"In post","2021","G6/G7","Declared non-disabled","Project Delivery","3150","3080","56960","54880"
"In post","2021","G6/G7","Declared non-disabled","Property","870","850","58400","56540"
"In post","2021","G6/G7","Declared non-disabled","Psychology","90","80","65200","65520"
"In post","2021","G6/G7","Declared non-disabled","Science and Engineering","2020","1920","55880","54740"
"In post","2021","G6/G7","Declared non-disabled","Security","230","220","60360","57720"
"In post","2021","G6/G7","Declared non-disabled","Social Research","250","230","56850","57460"
"In post","2021","G6/G7","Declared non-disabled","Statistics","480","460","57230","57720"
"In post","2021","G6/G7","Declared non-disabled","Tax","1890","1810","56970","52580"
"In post","2021","G6/G7","Declared non-disabled","Unknown","6170","5960","59130","57530"
"In post","2021","G6/G7","Declared non-disabled","Veterinarian","110","110","55400","54320"
"In post","2021","G6/G7","Undeclared","Commercial","70","70","62400","58440"
"In post","2021","G6/G7","Undeclared","Communications","50","50","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Digital, Data and Technology","170","170","58280","57110"
"In post","2021","G6/G7","Undeclared","Economics","50","50","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Finance","120","120","58930","57460"
"In post","2021","G6/G7","Undeclared","Human Resources","70","70","59960","58700"
"In post","2021","G6/G7","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Legal","170","150","62900","64680"
"In post","2021","G6/G7","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Operational Delivery","380","360","60000","57660"
"In post","2021","G6/G7","Undeclared","Operational Research","50","50","53250","52580"
"In post","2021","G6/G7","Undeclared","Other","90","90","61540","60770"
"In post","2021","G6/G7","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Policy","620","600","58710","56590"
"In post","2021","G6/G7","Undeclared","Project Delivery","240","240","56640","54760"
"In post","2021","G6/G7","Undeclared","Property","80","80","58430","57130"
"In post","2021","G6/G7","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Science and Engineering","260","250","53270","49590"
"In post","2021","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Statistics","30","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Tax","210","200","57600","52580"
"In post","2021","G6/G7","Undeclared","Unknown","290","280","58740","57230"
"In post","2021","G6/G7","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Commercial","170","170","54810","53360"
"In post","2021","G6/G7","Unknown","Communications","240","240","57840","55390"
"In post","2021","G6/G7","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Digital, Data and Technology","790","780","57970","56420"
"In post","2021","G6/G7","Unknown","Economics","190","190","58430","56870"
"In post","2021","G6/G7","Unknown","Finance","290","290","58140","56330"
"In post","2021","G6/G7","Unknown","Human Resources","190","180","56840","54760"
"In post","2021","G6/G7","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Intelligence Analysis","170","160","58260","54540"
"In post","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","International Trade","210","210","54530","51970"
"In post","2021","G6/G7","Unknown","Knowledge and Information Management","80","80","57200","55790"
"In post","2021","G6/G7","Unknown","Legal","1030","950","58290","56620"
"In post","2021","G6/G7","Unknown","Medicine","180","150","74770","77970"
"In post","2021","G6/G7","Unknown","Operational Delivery","980","960","58780","55930"
"In post","2021","G6/G7","Unknown","Operational Research","60","50","56530","56350"
"In post","2021","G6/G7","Unknown","Other","360","340","60840","57430"
"In post","2021","G6/G7","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Planning Inspectors","60","60","56520","58810"
"In post","2021","G6/G7","Unknown","Policy","2010","1960","57650","55060"
"In post","2021","G6/G7","Unknown","Project Delivery","600","590","56480","54540"
"In post","2021","G6/G7","Unknown","Property","130","120","56410","54540"
"In post","2021","G6/G7","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Science and Engineering","660","630","56180","54240"
"In post","2021","G6/G7","Unknown","Security","60","60","55640","52580"
"In post","2021","G6/G7","Unknown","Social Research","30","30","[c]","[c]"
"In post","2021","G6/G7","Unknown","Statistics","100","90","54850","53360"
"In post","2021","G6/G7","Unknown","Tax","390","370","56720","52580"
"In post","2021","G6/G7","Unknown","Unknown","2390","2330","61330","59160"
"In post","2021","G6/G7","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","SCS","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Operational Delivery","40","40","[c]","[c]"
"In post","2021","SCS","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Planning","[c]","[c]","[c]","[c]"
