"Status","Year","Region_ITL3","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","30-39","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","40-49","60","60","24870","21440"
"In post","2021","Angus and Dundee City","Declared disabled","50-59","90","80","24560","21150"
"In post","2021","Angus and Dundee City","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","20-29","120","110","23390","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","30-39","280","260","26310","23340"
"In post","2021","Angus and Dundee City","Declared non-disabled","40-49","290","270","27080","25190"
"In post","2021","Angus and Dundee City","Declared non-disabled","50-59","330","300","28450","26160"
"In post","2021","Angus and Dundee City","Declared non-disabled","60-64","110","90","25680","21690"
"In post","2021","Angus and Dundee City","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","50-59","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","20-29","60","60","22210","20930"
"In post","2021","Angus and Dundee City","Unknown","30-39","90","80","26570","22230"
"In post","2021","Angus and Dundee City","Unknown","40-49","110","100","27220","21840"
"In post","2021","Angus and Dundee City","Unknown","50-59","90","90","28330","22520"
"In post","2021","Angus and Dundee City","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","40-49","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","50-59","60","60","26830","21670"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","40-49","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","50-59","70","60","25380","21250"
"In post","2021","Ards and North Down","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","50-59","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","20-29","70","60","30240","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","30-39","80","70","30090","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","40-49","100","90","30260","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","50-59","150","140","31080","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","60-64","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","50-59","40","30","[c]","[c]"
"In post","2021","Barnet","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","20-29","280","270","30610","31060"
"In post","2021","Barnet","Declared non-disabled","30-39","260","250","37940","33330"
"In post","2021","Barnet","Declared non-disabled","40-49","200","190","42910","39480"
"In post","2021","Barnet","Declared non-disabled","50-59","250","230","38600","32330"
"In post","2021","Barnet","Declared non-disabled","60-64","70","60","36760","31880"
"In post","2021","Barnet","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","30-39","50","40","[c]","[c]"
"In post","2021","Barnet","Unknown","40-49","120","120","50430","46000"
"In post","2021","Barnet","Unknown","50-59","140","140","48090","44950"
"In post","2021","Barnet","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Barnet","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","30-39","60","60","25050","24690"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","40-49","110","100","28040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","50-59","160","140","27660","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","60-64","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","20-29","280","270","24890","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","30-39","390","350","27290","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","40-49","500","440","27760","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","50-59","720","640","28040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","60-64","210","150","25940","26480"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","65+","50","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","20-29","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","30-39","50","50","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","40-49","60","50","30900","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","50-59","90","90","31370","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","20-29","80","80","23770","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","30-39","50","50","24400","24440"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","20-29","210","210","27830","27290"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","30-39","250","240","34700","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","40-49","300","290","39670","37990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","50-59","430","410","39790","39860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","60-64","120","110","36710","37170"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","65+","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","16-19","60","60","18610","18960"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","20-29","2080","2060","27690","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","30-39","2330","2220","36140","34800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","40-49","2030","1950","41730","40000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","50-59","2320","2260","44400","41480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","60-64","580","510","42670","40640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","65+","150","120","37140","33790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","20-29","90","90","28010","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","30-39","170","160","37390","37000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","40-49","210","200","41690","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","50-59","310","300","41350","39880"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","60-64","70","60","41600","40900"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","20-29","440","430","27810","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","30-39","410","390","38660","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40-49","340","330","44750","41270"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","50-59","310","300","44440","40790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","60-64","60","50","42210","41840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","40-49","30","30","[c]","[c]"
"In post","2021","Bedford","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","20-29","100","100","28130","29920"
"In post","2021","Bedford","Declared non-disabled","30-39","120","110","29410","27850"
"In post","2021","Bedford","Declared non-disabled","40-49","130","120","31350","28990"
"In post","2021","Bedford","Declared non-disabled","50-59","180","160","33710","29230"
"In post","2021","Bedford","Declared non-disabled","60-64","40","30","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","20-29","40","30","[c]","[c]"
"In post","2021","Bedford","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","30-39","30","30","[c]","[c]"
"In post","2021","Belfast","Declared disabled","40-49","70","70","26920","25440"
"In post","2021","Belfast","Declared disabled","50-59","90","90","30900","28130"
"In post","2021","Belfast","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","20-29","170","170","23980","21430"
"In post","2021","Belfast","Declared non-disabled","30-39","460","430","29150","25560"
"In post","2021","Belfast","Declared non-disabled","40-49","430","400","30570","25560"
"In post","2021","Belfast","Declared non-disabled","50-59","460","420","32280","28130"
"In post","2021","Belfast","Declared non-disabled","60-64","100","80","28400","25840"
"In post","2021","Belfast","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","30-39","40","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","40-49","40","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","50-59","40","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","20-29","190","180","22480","20140"
"In post","2021","Belfast","Unknown","30-39","210","200","26120","25560"
"In post","2021","Belfast","Unknown","40-49","180","170","27120","25560"
"In post","2021","Belfast","Unknown","50-59","160","150","32360","28130"
"In post","2021","Belfast","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","30-39","60","60","32500","29930"
"In post","2021","Berkshire","Declared disabled","40-49","70","60","34820","31430"
"In post","2021","Berkshire","Declared disabled","50-59","120","110","33180","31110"
"In post","2021","Berkshire","Declared disabled","60-64","40","40","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","20-29","240","240","29160","27680"
"In post","2021","Berkshire","Declared non-disabled","30-39","380","370","34750","31670"
"In post","2021","Berkshire","Declared non-disabled","40-49","450","420","35580","30280"
"In post","2021","Berkshire","Declared non-disabled","50-59","570","550","36400","32520"
"In post","2021","Berkshire","Declared non-disabled","60-64","160","150","32740","29290"
"In post","2021","Berkshire","Declared non-disabled","65+","60","50","33210","29290"
"In post","2021","Berkshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","30-39","40","30","[c]","[c]"
"In post","2021","Berkshire","Undeclared","40-49","40","40","[c]","[c]"
"In post","2021","Berkshire","Undeclared","50-59","70","70","33590","31810"
"In post","2021","Berkshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","20-29","140","140","28110","26610"
"In post","2021","Berkshire","Unknown","30-39","120","120","36160","37150"
"In post","2021","Berkshire","Unknown","40-49","120","110","37780","39070"
"In post","2021","Berkshire","Unknown","50-59","150","140","37410","37560"
"In post","2021","Berkshire","Unknown","60-64","30","30","[c]","[c]"
"In post","2021","Berkshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","40-49","40","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","50-59","80","80","31130","30780"
"In post","2021","Bexley and Greenwich","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared non-disabled","20-29","190","190","29820","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","30-39","280","270","32610","32600"
"In post","2021","Bexley and Greenwich","Declared non-disabled","40-49","230","220","32700","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","50-59","320","310","33160","31880"
"In post","2021","Bexley and Greenwich","Declared non-disabled","60-64","100","80","32340","31460"
"In post","2021","Bexley and Greenwich","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","30-39","30","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","40-49","50","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","50-59","80","80","33970","34750"
"In post","2021","Bexley and Greenwich","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","20-29","90","90","29180","30150"
