"Status","Year","Parent_department","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Digital, Data & Technology","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","220","210","32810","29160"
"In post","2021","Competition and Markets Authority","Analysis","Economics","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Analysis","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Digital, Data and Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Economics","210","210","41510","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Statistics","50","50","45030","42290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Commercial","240","230","43140","42290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Communications","230","220","43860","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Counter Fraud","260","250","39330","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Digital, Data and Technology","1000","980","40720","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Science and Engineering","530","490","42260","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Finance","310","300","44430","41580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Human Resources","380","360","39780","36580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Legal","90","80","51950","52960"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Economics","100","100","57750","57850"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Operational Delivery","3740","3500","30110","26000"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Policy","3770","3680","49450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Project Delivery","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Science and Engineering","800","770","42640","40800"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Operational Delivery","310","290","41560","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Policy","220","210","49580","52080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Project Delivery","360","350","42380","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Property","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Other","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Economics","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Finance","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Human Resources","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Other","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Policy","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Project Delivery","210","210","48530","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Digital, Data and Technology","150","140","44060","42420"
"In post","2021","Department for Education","Analysis","Policy","260","250","44540","45250"
"In post","2021","Department for Education","Commercial","Commercial","190","190","40230","38000"
"In post","2021","Department for Education","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","Communications","330","320","39370","36780"
"In post","2021","Department for Education","Digital, Data & Technology","Digital, Data and Technology","650","640","39650","36780"
"In post","2021","Department for Education","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","Finance","530","520","43160","41150"
"In post","2021","Department for Education","Human Resources","Human Resources","150","140","36260","30200"
"In post","2021","Department for Education","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","Legal","70","60","54640","55000"
"In post","2021","Department for Education","No function","Commercial","190","180","41350","36960"
"In post","2021","Department for Education","No function","Digital, Data and Technology","90","90","35400","30200"
"In post","2021","Department for Education","No function","Finance","230","230","40890","37100"
"In post","2021","Department for Education","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","No function","Operational Delivery","1520","1480","41910","37000"
"In post","2021","Department for Education","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","No function","Policy","2100","2010","44650","40510"
"In post","2021","Department for Education","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","Operational Delivery","60","50","33630","30200"
"In post","2021","Department for Education","Project Delivery","Policy","200","190","44380","40480"
"In post","2021","Department for Education","Project Delivery","Project Delivery","60","50","46840","49860"
"In post","2021","Department for Education","Project Delivery","Property","220","220","53970","61010"
"In post","2021","Department for Education","Property","Property","270","260","49500","50630"
"In post","2021","Department for Education","Security","Security","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Policy","470","460","53640","49860"
"In post","2021","Department for Education","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Property","70","70","47290","41450"
"In post","2021","Department for Education","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Science and Engineering","480","450","33720","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Statistics","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Commercial","170","160","38710","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Communications","270","260","41360","37560"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Operational Delivery","110","90","28870","26030"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","Digital, Data and Technology","710","690","43180","42440"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Finance","410","390","43010","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Grants Management","Operational Delivery","1880","1720","25450","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Human Resources","270","250","42740","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Economics","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Operational Delivery","1610","1530","27760","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Other","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Planning","[c]","[c]","[c]","[c]"
