"Status","Year","Profession_of_post","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","G6/G7","No function","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","80","80","60160","57680"
"In post","2021","Communications","SCS","Communications","100","100","87070","81760"
"In post","2021","Communications","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Communications","1740","1690","37720","37160"
"In post","2021","Communications","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","No function","50","40","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Unknown","200","190","40890","41320"
"In post","2021","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Finance","50","50","59160","59160"
"In post","2021","Corporate Finance","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Finance","50","50","36880","37320"
"In post","2021","Corporate Finance","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","Counter Fraud","80","80","27390","26780"
"In post","2021","Counter Fraud","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","100","90","25990","25310"
"In post","2021","Counter Fraud","G6/G7","Counter Fraud","110","110","61840","58940"
"In post","2021","Counter Fraud","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Counter Fraud","460","450","37700","38200"
"In post","2021","Counter Fraud","SEO/HEO","No function","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Digital, Data & Technology","400","380","21820","21440"
"In post","2021","Digital, Data and Technology","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Analysis","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Digital, Data & Technology","1950","1880","27620","26710"
"In post","2021","Digital, Data and Technology","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","No function","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Unknown","130","130","27910","28850"
"In post","2021","Digital, Data and Technology","G6/G7","Analysis","70","60","56590","54160"
"In post","2021","Digital, Data and Technology","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Digital, Data & Technology","2680","2630","57610","55190"
"In post","2021","Digital, Data and Technology","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","No function","50","50","59130","54710"
"In post","2021","Digital, Data and Technology","G6/G7","Project Delivery","140","130","56090","56350"
"In post","2021","Digital, Data and Technology","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","520","510","62900","61720"
"In post","2021","Digital, Data and Technology","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Digital, Data & Technology","190","180","88050","83030"
"In post","2021","Digital, Data and Technology","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Analysis","120","120","38880","39890"
"In post","2021","Digital, Data and Technology","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Digital, Data & Technology","5580","5430","37440","36960"
"In post","2021","Digital, Data and Technology","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","No function","120","110","35660","36370"
"In post","2021","Digital, Data and Technology","SEO/HEO","Project Delivery","260","250","38170","37320"
"In post","2021","Digital, Data and Technology","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","730","720","40250","40460"
"In post","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","60","60","36230","33950"
"In post","2021","Digital, Data and Technology","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Analysis","50","50","[c]","[c]"
"In post","2021","Economics","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Analysis","90","90","27180","27680"
"In post","2021","Economics","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Analysis","510","490","59910","58130"
"In post","2021","Economics","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Finance","30","30","[c]","[c]"
"In post","2021","Economics","G6/G7","No function","230","220","58380","57850"
"In post","2021","Economics","G6/G7","Project Delivery","90","90","58060","57880"
"In post","2021","Economics","G6/G7","Unknown","80","80","63850","62490"
"In post","2021","Economics","SCS","Analysis","60","60","90730","82810"
"In post","2021","Economics","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Analysis","580","570","34860","33930"
"In post","2021","Economics","SEO/HEO","Finance","50","50","[c]","[c]"
"In post","2021","Economics","SEO/HEO","No function","180","180","35220","34240"
"In post","2021","Economics","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Unknown","90","90","35420","35050"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Finance","1060","890","21310","21170"
"In post","2021","Finance","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Unknown","70","60","23210","23830"
"In post","2021","Finance","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Finance","1390","1320","26520","26670"
"In post","2021","Finance","EO","No function","40","40","[c]","[c]"
"In post","2021","Finance","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Finance","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Unknown","120","110","28460","28850"
"In post","2021","Finance","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Finance","1720","1680","58790","57620"
"In post","2021","Finance","G6/G7","No function","130","130","58430","54760"
"In post","2021","Finance","G6/G7","Project Delivery","110","110","59930","58030"
"In post","2021","Finance","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Unknown","140","140","62030","60830"
"In post","2021","Finance","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Finance","230","220","90180","83610"
"In post","2021","Finance","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Commercial","40","30","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Finance","3120","3010","37790","37130"
"In post","2021","Finance","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","No function","200","190","36330","36500"
"In post","2021","Finance","SEO/HEO","Project Delivery","160","150","36880","33930"
"In post","2021","Finance","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Unknown","270","260","39800","37490"
"In post","2021","Finance","Unknown","Finance","50","50","[c]","[c]"
"In post","2021","Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Project Delivery","90","80","38450","39860"
"In post","2021","Finance","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Human Resources","1120","1020","21530","21130"
"In post","2021","Human Resources","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Unknown","80","80","23520","23830"
"In post","2021","Human Resources","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Human Resources","1210","1140","26920","26670"
"In post","2021","Human Resources","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Unknown","150","140","28920","28850"
"In post","2021","Human Resources","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Human Resources","1450","1400","58030","56020"
"In post","2021","Human Resources","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Unknown","170","160","60450","57680"
"In post","2021","Human Resources","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Human Resources","170","160","89020","82330"
"In post","2021","Human Resources","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Human Resources","2950","2820","36700","36030"
"In post","2021","Human Resources","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Unknown","360","340","37960","37410"
"In post","2021","Human Resources","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","No function","510","500","75360","75500"
"In post","2021","Inspector of Education and Training","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","No function","340","330","51020","51360"
"In post","2021","Intelligence Analysis","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Unknown","100","90","23380","21860"
"In post","2021","Intelligence Analysis","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","No function","350","340","28700","27380"
"In post","2021","Intelligence Analysis","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Unknown","1150","1090","27470","27370"
"In post","2021","Intelligence Analysis","G6/G7","Analysis","200","200","57990","54320"
"In post","2021","Intelligence Analysis","G6/G7","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Security","60","60","60570","58600"
"In post","2021","Intelligence Analysis","G6/G7","Unknown","90","90","59560","59730"
"In post","2021","Intelligence Analysis","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Analysis","70","70","36850","36080"
"In post","2021","Intelligence Analysis","SEO/HEO","Counter Fraud","120","120","35230","36160"
"In post","2021","Intelligence Analysis","SEO/HEO","No function","90","90","37380","36480"
"In post","2021","Intelligence Analysis","SEO/HEO","Security","110","100","37310","36460"
"In post","2021","Intelligence Analysis","SEO/HEO","Unknown","880","850","37160","36210"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Internal Audit","50","50","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Internal Audit","190","190","58890","56670"
"In post","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Internal Audit","460","440","40570","40550"
"In post","2021","Internal Audit","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","No function","100","100","26890","26510"
"In post","2021","International Trade","G6/G7","No function","600","590","55600","53380"
"In post","2021","International Trade","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SCS","No function","110","110","85670","75570"
"In post","2021","International Trade","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","No function","650","650","35430","34980"
"In post","2021","International Trade","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Commercial","180","170","21700","21130"
"In post","2021","Knowledge and Information Management","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","No function","100","90","22100","22000"
"In post","2021","Knowledge and Information Management","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Commercial","180","170","27770","26670"
"In post","2021","Knowledge and Information Management","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","No function","210","200","26510","26210"
"In post","2021","Knowledge and Information Management","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Commercial","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","No function","240","220","57190","54230"
"In post","2021","Knowledge and Information Management","G6/G7","Project Delivery","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Commercial","260","260","37690","36460"
"In post","2021","Knowledge and Information Management","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Digital, Data & Technology","60","60","37640","37810"
"In post","2021","Knowledge and Information Management","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","No function","420","390","36450","36420"
"In post","2021","Knowledge and Information Management","SEO/HEO","Project Delivery","130","130","34870","35700"
"In post","2021","Knowledge and Information Management","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Security","[c]","[c]","[c]","[c]"
