"Status","Year","Sexual_orientation","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","White","670","650","66650","74730"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Asian","160","160","32700","29310"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Black","60","50","33700","30560"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Mixed","50","50","39300","35130"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","White","2140","2050","34240","30980"
"In post","2021","Heterosexual / straight","Internal Audit","Asian","70","60","46900","44310"
"In post","2021","Heterosexual / straight","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","White","480","460","45970","43230"
"In post","2021","Heterosexual / straight","International Trade","Asian","100","100","42310","38160"
"In post","2021","Heterosexual / straight","International Trade","Black","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Mixed","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","White","620","610","48670","50500"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Asian","100","100","35130","33100"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Black","70","60","34320","31000"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","White","1400","1340","36920","33300"
"In post","2021","Heterosexual / straight","Legal","Asian","720","680","46910","48360"
"In post","2021","Heterosexual / straight","Legal","Black","320","310","47870","50500"
"In post","2021","Heterosexual / straight","Legal","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Mixed","210","200","50440","51250"
"In post","2021","Heterosexual / straight","Legal","Other ethnicity","70","60","54680","53710"
"In post","2021","Heterosexual / straight","Legal","Undeclared","70","60","49190","49670"
"In post","2021","Heterosexual / straight","Legal","Unknown","130","120","48880","49210"
"In post","2021","Heterosexual / straight","Legal","White","6190","5760","48230","49780"
"In post","2021","Heterosexual / straight","Medicine","Asian","150","140","67330","73920"
"In post","2021","Heterosexual / straight","Medicine","Black","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Mixed","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","White","1430","1280","52080","38490"
"In post","2021","Heterosexual / straight","Operational Delivery","Asian","8440","7780","28070","25630"
"In post","2021","Heterosexual / straight","Operational Delivery","Black","4960","4720","29320","27510"
"In post","2021","Heterosexual / straight","Operational Delivery","Chinese","270","250","28020","25410"
"In post","2021","Heterosexual / straight","Operational Delivery","Mixed","2170","2040","29650","26810"
"In post","2021","Heterosexual / straight","Operational Delivery","Other ethnicity","590","560","30240","26810"
"In post","2021","Heterosexual / straight","Operational Delivery","Undeclared","1280","1200","28920","27260"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","1670","1520","27800","25910"
"In post","2021","Heterosexual / straight","Operational Delivery","White","96630","89010","29170","26160"
"In post","2021","Heterosexual / straight","Operational Research","Asian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","White","770","730","44980","46080"
"In post","2021","Heterosexual / straight","Other","Asian","700","670","32350","28670"
"In post","2021","Heterosexual / straight","Other","Black","450","430","30540","27750"
"In post","2021","Heterosexual / straight","Other","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Mixed","230","220","33060","28670"
"In post","2021","Heterosexual / straight","Other","Other ethnicity","80","70","31740","26950"
"In post","2021","Heterosexual / straight","Other","Undeclared","100","90","34220","30000"
"In post","2021","Heterosexual / straight","Other","Unknown","70","70","34180","31000"
"In post","2021","Heterosexual / straight","Other","White","13590","13010","30390","26090"
"In post","2021","Heterosexual / straight","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","White","140","130","48170","42980"
"In post","2021","Heterosexual / straight","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","White","260","230","57630","58810"
"In post","2021","Heterosexual / straight","Policy","Asian","1670","1630","42950","38880"
"In post","2021","Heterosexual / straight","Policy","Black","970","960","39190","35070"
"In post","2021","Heterosexual / straight","Policy","Chinese","100","100","44420","40220"
"In post","2021","Heterosexual / straight","Policy","Mixed","690","670","45300","41950"
"In post","2021","Heterosexual / straight","Policy","Other ethnicity","210","200","45070","39320"
"In post","2021","Heterosexual / straight","Policy","Undeclared","170","170","46430","39990"
"In post","2021","Heterosexual / straight","Policy","Unknown","190","180","46840","42830"
"In post","2021","Heterosexual / straight","Policy","White","15710","15220","48830","47000"
"In post","2021","Heterosexual / straight","Project Delivery","Asian","710","700","40710","37640"
"In post","2021","Heterosexual / straight","Project Delivery","Black","450","440","39740","37460"
"In post","2021","Heterosexual / straight","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Mixed","210","200","42210","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Other ethnicity","70","60","41410","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Undeclared","70","70","44370","43370"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","80","80","43700","39420"
"In post","2021","Heterosexual / straight","Project Delivery","White","10260","9930","42630","39370"
"In post","2021","Heterosexual / straight","Property","Asian","200","190","37860","33740"
"In post","2021","Heterosexual / straight","Property","Black","100","90","37030","33740"
"In post","2021","Heterosexual / straight","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Mixed","70","70","35160","32560"
"In post","2021","Heterosexual / straight","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Unknown","60","50","39530","35900"
"In post","2021","Heterosexual / straight","Property","White","4390","4210","36690","33300"
"In post","2021","Heterosexual / straight","Psychology","Asian","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","White","950","900","35790","31180"
"In post","2021","Heterosexual / straight","Science and Engineering","Asian","450","430","36250","33130"
"In post","2021","Heterosexual / straight","Science and Engineering","Black","230","220","35420","33550"
"In post","2021","Heterosexual / straight","Science and Engineering","Chinese","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Mixed","140","140","36440","33300"
"In post","2021","Heterosexual / straight","Science and Engineering","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Undeclared","70","60","41280","41250"
"In post","2021","Heterosexual / straight","Science and Engineering","Unknown","60","50","41330","38260"
"In post","2021","Heterosexual / straight","Science and Engineering","White","7860","7570","38550","37320"
"In post","2021","Heterosexual / straight","Security","Asian","250","250","30990","28670"
"In post","2021","Heterosexual / straight","Security","Black","100","100","30910","25630"
"In post","2021","Heterosexual / straight","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Mixed","70","70","34390","31490"
"In post","2021","Heterosexual / straight","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","White","5350","5230","30720","26670"
"In post","2021","Heterosexual / straight","Social Research","Asian","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","White","760","720","43560","42020"
"In post","2021","Heterosexual / straight","Statistics","Asian","120","120","41500","38840"
"In post","2021","Heterosexual / straight","Statistics","Black","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Mixed","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","White","1150","1100","44750","41160"
"In post","2021","Heterosexual / straight","Tax","Asian","1050","1000","32610","31810"
"In post","2021","Heterosexual / straight","Tax","Black","350","340","31960","31810"
"In post","2021","Heterosexual / straight","Tax","Chinese","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Mixed","160","150","35760","31810"
"In post","2021","Heterosexual / straight","Tax","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Undeclared","70","70","35180","31980"
"In post","2021","Heterosexual / straight","Tax","Unknown","130","110","36890","32100"
"In post","2021","Heterosexual / straight","Tax","White","7770","7300","36200","31810"
"In post","2021","Heterosexual / straight","Unknown","Asian","6420","5970","29790","27570"
"In post","2021","Heterosexual / straight","Unknown","Black","3390","3250","30430","31060"
"In post","2021","Heterosexual / straight","Unknown","Chinese","150","140","31760","27570"
"In post","2021","Heterosexual / straight","Unknown","Mixed","1530","1450","31160","27570"
"In post","2021","Heterosexual / straight","Unknown","Other ethnicity","390","370","32290","30130"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","690","630","29380","27570"
"In post","2021","Heterosexual / straight","Unknown","Unknown","460","420","32900","27570"
"In post","2021","Heterosexual / straight","Unknown","White","61970","56520","31050","27570"
"In post","2021","Heterosexual / straight","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","White","260","250","45820","44370"
"In post","2021","LGBO","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","White","150","150","36730","33350"
"In post","2021","LGBO","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","White","180","170","41630","39470"
"In post","2021","LGBO","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","White","420","420","41040","37550"
"In post","2021","LGBO","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","White","110","100","45220","36980"
"In post","2021","LGBO","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","White","210","200","43940","40580"
"In post","2021","LGBO","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","White","310","310","41350","36780"
"In post","2021","LGBO","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","White","50","50","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","White","110","110","35180","30500"
"In post","2021","LGBO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","White","30","30","[c]","[c]"
"In post","2021","LGBO","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","White","70","60","50730","51970"
"In post","2021","LGBO","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
