"Status","Year","Sex","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","North Yorkshire","Yorkshire and The Humber","2460","2270","33340","28590"
"In post","2021","Female","Northern Ireland","Northern Ireland","1760","1590","28400","25560"
"In post","2021","Female","Northumberland and Tyne and Wear","North East (England)","12670","10800","27240","25560"
"In post","2021","Female","Outer London - East and North East","London","2270","2060","29870","31060"
"In post","2021","Female","Outer London - South","London","6090","5620","35960","31060"
"In post","2021","Female","Outer London - West and North West","London","4950","4520","32730","31060"
"In post","2021","Female","Overseas","Overseas","1500","1490","49160","46620"
"In post","2021","Female","Shropshire and Staffordshire","West Midlands (England)","4540","4090","28900","27130"
"In post","2021","Female","South Yorkshire","Yorkshire and The Humber","5720","5010","30330","27570"
"In post","2021","Female","Southern Scotland","Scotland","3500","3040","28710","26120"
"In post","2021","Female","Surrey, East and West Sussex","South East (England)","4700","4190","29770","27570"
"In post","2021","Female","Tees Valley and Durham","North East (England)","5370","4710","27150","25310"
"In post","2021","Female","Unknown","Unknown","1200","1130","33020","29250"
"In post","2021","Female","West Central Scotland","Scotland","9500","8460","29630","26550"
"In post","2021","Female","West Midlands","West Midlands (England)","10820","9650","29870","27570"
"In post","2021","Female","West Wales and The Valleys","Wales","9680","8400","27380","23830"
"In post","2021","Female","West Yorkshire","Yorkshire and The Humber","9560","8550","30760","27570"
"In post","2021","Male","Bedfordshire and Hertfordshire","East of England","1960","1900","33820","30760"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","4810","4710","34270","31810"
"In post","2021","Male","Cheshire","North West (England)","1710","1670","32950","31650"
"In post","2021","Male","Cornwall and Isles of Scilly","South West (England)","730","700","27040","26670"
"In post","2021","Male","Cumbria","North West (England)","900","880","29940","26670"
"In post","2021","Male","Derbyshire and Nottinghamshire","East Midlands (England)","5370","5170","32040","27570"
"In post","2021","Male","Devon","South West (England)","4670","4490","33130","30810"
"In post","2021","Male","Dorset and Somerset","South West (England)","2710","2620","30840","28220"
"In post","2021","Male","East Anglia","East of England","6090","5880","31370","28430"
"In post","2021","Male","East Wales","Wales","9370","9080","33800","28850"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","2380","2280","29010","27130"
"In post","2021","Male","Eastern Scotland","Scotland","9120","8820","35140","31810"
"In post","2021","Male","Essex","East of England","2370","2260","32380","29290"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","15660","15290","38630","36010"
"In post","2021","Male","Greater Manchester","North West (England)","8960","8690","31880","27570"
"In post","2021","Male","Hampshire and Isle of Wight","South East (England)","7760","7390","33880","31070"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","1840","1790","29010","26930"
"In post","2021","Male","Highlands and Islands","Scotland","940","910","29740","27570"
"In post","2021","Male","Inner London - East","London","7560","7360","44310","37660"
"In post","2021","Male","Inner London - West","London","28810","28490","48390","43170"
"In post","2021","Male","Kent","South East (England)","4300","4130","30530","29290"
"In post","2021","Male","Lancashire","North West (England)","5840","5560","29060","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","2600","2510","28430","27130"
"In post","2021","Male","Lincolnshire","East Midlands (England)","1380","1340","29580","27570"
"In post","2021","Male","Merseyside","North West (England)","7800","7500","29930","26300"
"In post","2021","Male","North Eastern Scotland","Scotland","940","910","39900","33650"
"In post","2021","Male","North Yorkshire","Yorkshire and The Humber","2270","2210","33670","29930"
"In post","2021","Male","Northern Ireland","Northern Ireland","2060","2000","27630","24890"
"In post","2021","Male","Northumberland and Tyne and Wear","North East (England)","8700","8320","29850","25860"
"In post","2021","Male","Outer London - East and North East","London","1520","1480","31820","31060"
"In post","2021","Male","Outer London - South","London","4660","4560","39570","35200"
"In post","2021","Male","Outer London - West and North West","London","4110","3890","33920","31060"
"In post","2021","Male","Overseas","Overseas","2260","2250","50540","50430"
"In post","2021","Male","Shropshire and Staffordshire","West Midlands (England)","3770","3640","31030","27570"
"In post","2021","Male","South Yorkshire","Yorkshire and The Humber","4210","4060","32810","27670"
"In post","2021","Male","Southern Scotland","Scotland","2520","2400","30410","27570"
"In post","2021","Male","Surrey, East and West Sussex","South East (England)","3600","3420","31540","28350"
"In post","2021","Male","Tees Valley and Durham","North East (England)","3870","3660","28940","27150"
"In post","2021","Male","Unknown","Unknown","2530","2510","36930","32700"
"In post","2021","Male","West Central Scotland","Scotland","8420","8090","31770","27570"
"In post","2021","Male","West Midlands","West Midlands (England)","7390","7160","32190","27570"
"In post","2021","Male","West Wales and The Valleys","Wales","6030","5800","30720","26780"
"In post","2021","Male","West Yorkshire","Yorkshire and The Humber","7690","7420","32190","27570"
"In post","2021","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Female","Bedfordshire and Hertfordshire","East of England","2700","2480","32800","29290"
"In post","2022","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","4900","4520","32100","28780"
"In post","2022","Female","Cheshire","North West (England)","2500","2300","30820","27570"
"In post","2022","Female","Cornwall and Isles of Scilly","South West (England)","980","860","27320","27570"
"In post","2022","Female","Cumbria","North West (England)","1340","1170","27370","24920"
"In post","2022","Female","Derbyshire and Nottinghamshire","East Midlands (England)","7780","7030","31230","27570"
"In post","2022","Female","Devon","South West (England)","4520","3960","30210","27570"
"In post","2022","Female","Dorset and Somerset","South West (England)","2650","2370","29320","27570"
"In post","2022","Female","East Anglia","East of England","6630","5970","29250","27130"
"In post","2022","Female","East Wales","Wales","11290","10320","32850","28550"
"In post","2022","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","2540","2240","27590","27120"
"In post","2022","Female","Eastern Scotland","Scotland","11410","10530","35070","30040"
"In post","2022","Female","Essex","East of England","3150","2820","30510","29290"
"In post","2022","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","14190","13070","34410","31600"
"In post","2022","Female","Greater Manchester","North West (England)","11630","10690","31210","27570"
"In post","2022","Female","Hampshire and Isle of Wight","South East (England)","7790","6950","31410","27570"
"In post","2022","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","2340","2120","28470","26390"
"In post","2022","Female","Highlands and Islands","Scotland","1040","950","29240","27570"
"In post","2022","Female","Inner London - East","London","10360","9750","40580","34610"
"In post","2022","Female","Inner London - West","London","32680","31370","46430","41950"
"In post","2022","Female","Kent","South East (England)","4400","4010","29240","27380"
"In post","2022","Female","Lancashire","North West (England)","8650","7640","28500","27570"
"In post","2022","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","3700","3280","27470","25220"
"In post","2022","Female","Lincolnshire","East Midlands (England)","1570","1440","27690","26310"
"In post","2022","Female","Merseyside","North West (England)","12800","11440","28760","26370"
"In post","2022","Female","North Eastern Scotland","Scotland","970","880","32990","27940"
"In post","2022","Female","North Yorkshire","Yorkshire and The Humber","2410","2220","32510","28200"
"In post","2022","Female","Northern Ireland","Northern Ireland","1980","1820","30030","26820"
"In post","2022","Female","Northumberland, and Tyne and Wear","North East (England)","13490","11690","28660","26590"
"In post","2022","Female","Outer London - East and North East","London","2440","2220","30650","31060"
"In post","2022","Female","Outer London - South","London","6700","6230","37250","32550"
"In post","2022","Female","Outer London - West and North West","London","4990","4570","33350","31060"
"In post","2022","Female","Overseas","Overseas","1510","1500","48980","46600"
"In post","2022","Female","Shropshire and Staffordshire","West Midlands (England)","4930","4490","30070","27570"
"In post","2022","Female","South Yorkshire","Yorkshire and The Humber","6040","5330","31100","27570"
"In post","2022","Female","Southern Scotland","Scotland","3660","3220","29600","26900"
"In post","2022","Female","Surrey, East and West Sussex","South East (England)","5030","4500","30830","27570"
"In post","2022","Female","Tees Valley and Durham","North East (England)","5840","5190","28370","26330"
"In post","2022","Female","Unknown","Unknown","1030","970","33060","30150"
"In post","2022","Female","West Central Scotland","Scotland","10610","9600","31130","27570"
"In post","2022","Female","West Midlands","West Midlands (England)","11900","10730","30430","27570"
"In post","2022","Female","West Wales and The Valleys","Wales","10430","9140","27980","26130"
"In post","2022","Female","West Yorkshire","Yorkshire and The Humber","10600","9590","32050","27570"
"In post","2022","Male","Bedfordshire and Hertfordshire","East of England","2000","1950","34570","30750"
"In post","2022","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","4640","4520","35110","32120"
"In post","2022","Male","Cheshire","North West (England)","1890","1830","33510","31650"
"In post","2022","Male","Cornwall and Isles of Scilly","South West (England)","790","760","28360","26670"
"In post","2022","Male","Cumbria","North West (England)","980","950","30720","26890"
"In post","2022","Male","Derbyshire and Nottinghamshire","East Midlands (England)","5930","5730","32890","28550"
"In post","2022","Male","Devon","South West (England)","4790","4600","33810","31110"
"In post","2022","Male","Dorset and Somerset","South West (England)","2820","2720","31620","28700"
"In post","2022","Male","East Anglia","East of England","6290","6060","31890","29200"
"In post","2022","Male","East Wales","Wales","9560","9280","35160","30710"
"In post","2022","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","2410","2300","29440","27130"
"In post","2022","Male","Eastern Scotland","Scotland","9590","9280","36390","32950"
"In post","2022","Male","Essex","East of England","2170","2070","32350","29290"
"In post","2022","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","15970","15610","38830","36300"
"In post","2022","Male","Greater Manchester","North West (England)","9970","9690","33330","28920"
"In post","2022","Male","Hampshire and Isle of Wight","South East (England)","7770","7410","34740","31650"
"In post","2022","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","1860","1790","29960","27380"
"In post","2022","Male","Highlands and Islands","Scotland","970","930","30760","27570"
"In post","2022","Male","Inner London - East","London","8690","8500","44400","37930"
"In post","2022","Male","Inner London - West","London","28090","27770","49110","44500"
"In post","2022","Male","Kent","South East (England)","4360","4190","30780","29260"
"In post","2022","Male","Lancashire","North West (England)","6130","5850","30290","27570"
"In post","2022","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","2570","2490","29340","27380"
"In post","2022","Male","Lincolnshire","East Midlands (England)","1440","1390","30160","27570"
"In post","2022","Male","Merseyside","North West (England)","8420","8140","30800","27060"
"In post","2022","Male","North Eastern Scotland","Scotland","960","930","40580","35000"
"In post","2022","Male","North Yorkshire","Yorkshire and The Humber","2250","2190","33270","29740"
"In post","2022","Male","Northern Ireland","Northern Ireland","2280","2230","29290","26590"
"In post","2022","Male","Northumberland, and Tyne and Wear","North East (England)","9760","9380","31960","27570"
"In post","2022","Male","Outer London - East and North East","London","1630","1580","32680","31060"
"In post","2022","Male","Outer London - South","London","5120","5010","41060","37460"
"In post","2022","Male","Outer London - West and North West","London","4140","3960","34320","31060"
"In post","2022","Male","Overseas","Overseas","2180","2170","49750","49370"
"In post","2022","Male","Shropshire and Staffordshire","West Midlands (England)","3980","3830","32350","28040"
"In post","2022","Male","South Yorkshire","Yorkshire and The Humber","4440","4280","33690","29520"
"In post","2022","Male","Southern Scotland","Scotland","2580","2470","31190","27570"
"In post","2022","Male","Surrey, East and West Sussex","South East (England)","3740","3550","32570","28920"
"In post","2022","Male","Tees Valley and Durham","North East (England)","4020","3800","29860","27570"
"In post","2022","Male","Unknown","Unknown","2280","2270","37250","32900"
"In post","2022","Male","West Central Scotland","Scotland","9240","8890","32920","28810"
"In post","2022","Male","West Midlands","West Midlands (England)","8170","7910","32770","27570"
"In post","2022","Male","West Wales and The Valleys","Wales","6620","6360","31050","27570"
"In post","2022","Male","West Yorkshire","Yorkshire and The Humber","8550","8260","33480","28200"
"In post","2022","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Hampshire and Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Bedfordshire and Hertfordshire","East of England","250","210","26440","24570"
"Leaver CS","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","330","290","29980","24540"
"Leaver CS","2021","Female","Cheshire","North West (England)","110","100","25690","21010"
"Leaver CS","2021","Female","Cornwall and Isles of Scilly","South West (England)","50","40","[c]","[c]"
"Leaver CS","2021","Female","Cumbria","North West (England)","50","40","[c]","[c]"
"Leaver CS","2021","Female","Derbyshire and Nottinghamshire","East Midlands (England)","350","290","26060","21640"
"Leaver CS","2021","Female","Devon","South West (England)","270","230","25870","21100"
"Leaver CS","2021","Female","Dorset and Somerset","South West (England)","150","130","26090","25190"
"Leaver CS","2021","Female","East Anglia","East of England","510","440","28020","24920"
"Leaver CS","2021","Female","East Wales","Wales","620","510","30780","24500"
"Leaver CS","2021","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","230","190","25670","24620"
"Leaver CS","2021","Female","Eastern Scotland","Scotland","580","490","32590","26890"
"Leaver CS","2021","Female","Essex","East of England","200","170","28390","25260"
"Leaver CS","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","640","570","31070","27130"
"Leaver CS","2021","Female","Greater Manchester","North West (England)","530","460","29400","25100"
"Leaver CS","2021","Female","Hampshire and Isle of Wight","South East (England)","390","330","27170","23540"
"Leaver CS","2021","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","140","120","23910","21270"
"Leaver CS","2021","Female","Highlands and Islands","Scotland","40","40","[c]","[c]"
"Leaver CS","2021","Female","Inner London - East","London","500","450","39220","32200"
"Leaver CS","2021","Female","Inner London - West","London","1550","1360","42240","35000"
"Leaver CS","2021","Female","Kent","South East (England)","300","250","26420","24900"
"Leaver CS","2021","Female","Lancashire","North West (England)","390","320","25360","21010"
"Leaver CS","2021","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","390","330","25290","21010"
"Leaver CS","2021","Female","Lincolnshire","East Midlands (England)","140","120","27750","26500"
"Leaver CS","2021","Female","Merseyside","North West (England)","460","360","27040","23470"
"Leaver CS","2021","Female","North Eastern Scotland","Scotland","70","60","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire","Yorkshire and The Humber","140","120","31640","26220"
"Leaver CS","2021","Female","Northern Ireland","Northern Ireland","110","90","[c]","[c]"
"Leaver CS","2021","Female","Northumberland and Tyne and Wear","North East (England)","640","490","25990","21010"
"Leaver CS","2021","Female","Outer London - East and North East","London","130","120","28710","30330"
"Leaver CS","2021","Female","Outer London - South","London","230","200","32800","28810"
"Leaver CS","2021","Female","Outer London - West and North West","London","310","270","31930","31060"
"Leaver CS","2021","Female","Overseas","Overseas","70","60","38340","36960"
"Leaver CS","2021","Female","Shropshire and Staffordshire","West Midlands (England)","260","220","26880","23180"
"Leaver CS","2021","Female","South Yorkshire","Yorkshire and The Humber","380","300","27790","24890"
"Leaver CS","2021","Female","Southern Scotland","Scotland","140","110","29240","26550"
"Leaver CS","2021","Female","Surrey, East and West Sussex","South East (England)","290","250","29370","24510"
"Leaver CS","2021","Female","Tees Valley and Durham","North East (England)","360","290","25590","21430"
"Leaver CS","2021","Female","Unknown","Unknown","330","320","38110","28000"
"Leaver CS","2021","Female","West Central Scotland","Scotland","370","310","28780","24110"
"Leaver CS","2021","Female","West Midlands","West Midlands (England)","680","560","30690","26000"
"Leaver CS","2021","Female","West Wales and The Valleys","Wales","410","320","24950","21590"
"Leaver CS","2021","Female","West Yorkshire","Yorkshire and The Humber","550","440","28290","26120"
"Leaver CS","2021","Male","Bedfordshire and Hertfordshire","East of England","210","190","32030","26970"
"Leaver CS","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","390","360","33350","29930"
"Leaver CS","2021","Male","Cheshire","North West (England)","80","80","[c]","[c]"
"Leaver CS","2021","Male","Cornwall and Isles of Scilly","South West (England)","50","40","[c]","[c]"
"Leaver CS","2021","Male","Cumbria","North West (England)","70","60","26410","21050"
"Leaver CS","2021","Male","Derbyshire and Nottinghamshire","East Midlands (England)","280","260","28700","25500"
"Leaver CS","2021","Male","Devon","South West (England)","340","310","27100","24230"
"Leaver CS","2021","Male","Dorset and Somerset","South West (England)","200","190","31700","29280"
"Leaver CS","2021","Male","East Anglia","East of England","480","440","33860","27570"
"Leaver CS","2021","Male","East Wales","Wales","560","520","34310","28850"
"Leaver CS","2021","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","220","200","30000","26930"
"Leaver CS","2021","Male","Eastern Scotland","Scotland","540","500","35900","32430"
"Leaver CS","2021","Male","Essex","East of England","140","130","30550","27320"
"Leaver CS","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","770","720","37390","33300"
"Leaver CS","2021","Male","Greater Manchester","North West (England)","430","390","30940","26780"
"Leaver CS","2021","Male","Hampshire and Isle of Wight","South East (England)","480","430","31750","28530"
"Leaver CS","2021","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","130","120","25550","24730"
"Leaver CS","2021","Male","Highlands and Islands","Scotland","60","50","28430","26530"
"Leaver CS","2021","Male","Inner London - East","London","450","430","43280","34270"
"Leaver CS","2021","Male","Inner London - West","London","1520","1370","45970","39250"
"Leaver CS","2021","Male","Kent","South East (England)","260","240","27150","26210"
"Leaver CS","2021","Male","Lancashire","North West (England)","330","290","27590","21090"
"Leaver CS","2021","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","250","230","27090","26890"
"Leaver CS","2021","Male","Lincolnshire","East Midlands (England)","190","170","29650","29930"
"Leaver CS","2021","Male","Merseyside","North West (England)","310","270","28530","24980"
"Leaver CS","2021","Male","North Eastern Scotland","Scotland","90","80","38380","31400"
"Leaver CS","2021","Male","North Yorkshire","Yorkshire and The Humber","120","110","36310","32430"
"Leaver CS","2021","Male","Northern Ireland","Northern Ireland","90","80","[c]","[c]"
"Leaver CS","2021","Male","Northumberland and Tyne and Wear","North East (England)","430","380","27050","21010"
"Leaver CS","2021","Male","Outer London - East and North East","London","100","90","[c]","[c]"
"Leaver CS","2021","Male","Outer London - South","London","210","190","37780","31060"
"Leaver CS","2021","Male","Outer London - West and North West","London","250","220","34520","31060"
"Leaver CS","2021","Male","Overseas","Overseas","70","50","[c]","[c]"
"Leaver CS","2021","Male","Shropshire and Staffordshire","West Midlands (England)","250","230","29050","27130"
"Leaver CS","2021","Male","South Yorkshire","Yorkshire and The Humber","260","240","30780","25500"
"Leaver CS","2021","Male","Southern Scotland","Scotland","120","110","30300","27570"
"Leaver CS","2021","Male","Surrey, East and West Sussex","South East (England)","260","240","30320","27570"
"Leaver CS","2021","Male","Tees Valley and Durham","North East (England)","250","210","30000","22350"
"Leaver CS","2021","Male","Unknown","Unknown","360","360","41480","32700"
"Leaver CS","2021","Male","West Central Scotland","Scotland","340","300","32030","27570"
"Leaver CS","2021","Male","West Midlands","West Midlands (England)","420","380","34020","26120"
"Leaver CS","2021","Male","West Wales and The Valleys","Wales","370","340","27740","21590"
"Leaver CS","2021","Male","West Yorkshire","Yorkshire and The Humber","430","370","31590","27570"
"Leaver CS","2021","Unknown","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Greater Manchester","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Inner London - East","London","80","70","47320","40450"
"Leaver CS","2021","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Tees Valley and Durham","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bedfordshire and Hertfordshire","East of England","320","290","30490","27570"
"Leaver CS","2022","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","600","540","29670","27570"
"Leaver CS","2022","Female","Cheshire","North West (England)","180","160","29600","27570"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","South West (England)","110","90","26440","21260"
"Leaver CS","2022","Female","Cumbria","North West (England)","110","90","27830","25830"
"Leaver CS","2022","Female","Derbyshire and Nottinghamshire","East Midlands (England)","590","520","27470","26780"
"Leaver CS","2022","Female","Devon","South West (England)","340","290","27590","24650"
"Leaver CS","2022","Female","Dorset and Somerset","South West (England)","260","220","28190","26850"
"Leaver CS","2022","Female","East Anglia","East of England","720","630","30480","27570"
"Leaver CS","2022","Female","East Wales","Wales","750","640","29760","24250"
"Leaver CS","2022","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","180","150","26130","26240"
"Leaver CS","2022","Female","Eastern Scotland","Scotland","830","730","32530","27570"
"Leaver CS","2022","Female","Essex","East of England","350","300","30190","29290"
"Leaver CS","2022","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1200","1070","32430","27570"
"Leaver CS","2022","Female","Greater Manchester","North West (England)","830","730","29600","26000"
"Leaver CS","2022","Female","Hampshire and Isle of Wight","South East (England)","720","610","28350","26470"
"Leaver CS","2022","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","220","190","26380","25100"
"Leaver CS","2022","Female","Highlands and Islands","Scotland","100","90","26200","23780"
"Leaver CS","2022","Female","Inner London - East","London","1580","1460","41980","34870"
"Leaver CS","2022","Female","Inner London - West","London","2590","2190","42090","36660"
"Leaver CS","2022","Female","Kent","South East (England)","410","360","30050","27370"
"Leaver CS","2022","Female","Lancashire","North West (England)","640","530","26550","21260"
"Leaver CS","2022","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","550","480","26860","21480"
"Leaver CS","2022","Female","Lincolnshire","East Midlands (England)","130","120","26670","26670"
"Leaver CS","2022","Female","Merseyside","North West (England)","810","660","27790","25040"
"Leaver CS","2022","Female","North Eastern Scotland","Scotland","70","60","30360","27570"
"Leaver CS","2022","Female","North Yorkshire","Yorkshire and The Humber","200","170","29780","26670"
"Leaver CS","2022","Female","Northern Ireland","Northern Ireland","110","100","27510","22580"
"Leaver CS","2022","Female","Northumberland, and Tyne and Wear","North East (England)","1140","920","28110","22080"
"Leaver CS","2022","Female","Outer London - East and North East","London","230","210","29860","31060"
"Leaver CS","2022","Female","Outer London - South","London","430","390","33230","30600"
"Leaver CS","2022","Female","Outer London - West and North West","London","500","450","31590","31060"
"Leaver CS","2022","Female","Overseas","Overseas","60","60","[c]","[c]"
"Leaver CS","2022","Female","Shropshire and Staffordshire","West Midlands (England)","420","360","27690","26470"
"Leaver CS","2022","Female","South Yorkshire","Yorkshire and The Humber","400","340","28900","26160"
"Leaver CS","2022","Female","Southern Scotland","Scotland","300","240","28690","27570"
"Leaver CS","2022","Female","Surrey, East and West Sussex","South East (England)","530","460","30000","27570"
"Leaver CS","2022","Female","Tees Valley and Durham","North East (England)","390","320","26680","22600"
"Leaver CS","2022","Female","Unknown","Unknown","620","470","27360","21840"
"Leaver CS","2022","Female","West Central Scotland","Scotland","600","500","28370","24880"
"Leaver CS","2022","Female","West Midlands","West Midlands (England)","880","760","32230","27570"
"Leaver CS","2022","Female","West Wales and The Valleys","Wales","380","310","26970","22600"
"Leaver CS","2022","Female","West Yorkshire","Yorkshire and The Humber","1090","880","29490","27570"
"Leaver CS","2022","Male","Bedfordshire and Hertfordshire","East of England","280","270","33090","29290"
"Leaver CS","2022","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","700","680","30890","27570"
"Leaver CS","2022","Male","Cheshire","North West (England)","170","160","32510","27570"
"Leaver CS","2022","Male","Cornwall and Isles of Scilly","South West (England)","70","60","26200","21890"
"Leaver CS","2022","Male","Cumbria","North West (England)","90","90","31910","27170"
"Leaver CS","2022","Male","Derbyshire and Nottinghamshire","East Midlands (England)","480","430","30450","26780"
"Leaver CS","2022","Male","Devon","South West (England)","420","390","31700","27570"
"Leaver CS","2022","Male","Dorset and Somerset","South West (England)","270","260","31510","27570"
"Leaver CS","2022","Male","East Anglia","East of England","740","690","32590","27570"
"Leaver CS","2022","Male","East Wales","Wales","800","750","34160","28850"
"Leaver CS","2022","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","240","230","28370","26930"
"Leaver CS","2022","Male","Eastern Scotland","Scotland","810","750","35150","30450"
"Leaver CS","2022","Male","Essex","East of England","280","250","30470","28980"
"Leaver CS","2022","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1410","1350","35210","32920"
"Leaver CS","2022","Male","Greater Manchester","North West (England)","780","720","32670","27570"
"Leaver CS","2022","Male","Hampshire and Isle of Wight","South East (England)","810","730","32100","27570"
"Leaver CS","2022","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","250","240","27250","26320"
"Leaver CS","2022","Male","Highlands and Islands","Scotland","90","90","29540","27570"
"Leaver CS","2022","Male","Inner London - East","London","1030","990","46820","40070"
"Leaver CS","2022","Male","Inner London - West","London","2340","2030","46810","41750"
"Leaver CS","2022","Male","Kent","South East (England)","390","370","32110","27990"
"Leaver CS","2022","Male","Lancashire","North West (England)","500","460","26500","21260"
"Leaver CS","2022","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","370","350","29450","26670"
"Leaver CS","2022","Male","Lincolnshire","East Midlands (England)","160","150","30370","27570"
"Leaver CS","2022","Male","Merseyside","North West (England)","540","480","29040","25040"
"Leaver CS","2022","Male","North Eastern Scotland","Scotland","90","80","34330","27940"
"Leaver CS","2022","Male","North Yorkshire","Yorkshire and The Humber","210","200","33530","29200"
