"Status","Year","Region_ITL2","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Medicines and Healthcare Products Regulatory Agency","100","100","59650","53970"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Ministry of Defence (excl. agencies)","70","70","64270","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Defence Equipment and Support","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Department for Work and Pensions (excl. agencies)","90","90","36640","35960"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","HM Prison and Probation Service","90","90","39960","38160"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Home Office (incl. agencies)","60","60","34190","32740"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","150","150","38140","40450"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Ministry of Defence (excl. agencies)","300","290","40400","38300"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","National Crime Agency","50","50","43530","43710"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","HM Prison and Probation Service","290","270","27970","24020"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Department for Work and Pensions (excl. agencies)","200","170","22540","22160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","FCDO Services","100","100","23180","22850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","24800","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","HM Courts and Tribunals Service","200","170","20100","20100"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","HM Prison and Probation Service","1270","1220","28130","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","HM Revenue and Customs (excl. agencies)","130","120","20870","20140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Ministry of Defence (excl. agencies)","1310","1270","25670","21870"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Public Health England","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Rural Payments Agency","70","60","21050","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Department for Work and Pensions (excl. agencies)","850","790","28630","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Driver and Vehicle Standards Agency","70","60","27280","26700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","FCDO Services","170","160","27970","26920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","27890","27400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","HM Courts and Tribunals Service","60","50","23880","24440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","HM Prison and Probation Service","350","330","32010","32870"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","HM Revenue and Customs (excl. agencies)","130","120","27800","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Ministry of Defence (excl. agencies)","460","450","30740","28510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","National Crime Agency","70","70","36870","37560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Public Health England","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Crown Prosecution Service","60","50","59990","62120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","52580","49440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Department for International Trade","60","60","55130","51970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","FCDO Services","150","130","61500","57760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Ministry of Defence (excl. agencies)","140","130","64350","59540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Public Health England","130","120","58080","53160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Cabinet Office (excl. agencies)","60","50","34060","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Defence Equipment and Support","100","90","35570","34730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","35060","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Department for Work and Pensions (excl. agencies)","90","90","36010","35120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","FCDO Services","310","300","40300","40810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","39750","36520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HM Courts and Tribunals Service","60","50","36600","36150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HM Prison and Probation Service","280","260","40590","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HM Revenue and Customs (excl. agencies)","150","140","36180","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Met Office","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Ministry of Defence (excl. agencies)","670","650","38820","36460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Public Health England","140","130","37070","38310"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Rural Payments Agency","50","50","34020","31900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","FCDO Services","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Prison and Probation Service","370","340","28540","24940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Defence (excl. agencies)","80","80","40740","40660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Department for Work and Pensions (excl. agencies)","350","300","20800","21010"
"In post","2021","Cheshire","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","HM Courts and Tribunals Service","70","60","19190","19830"
"In post","2021","Cheshire","AA/AO","HM Prison and Probation Service","630","600","25330","24440"
"In post","2021","Cheshire","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","National Crime Agency","80","70","21780","20800"
"In post","2021","Cheshire","AA/AO","Rural Payments Agency","50","40","[c]","[c]"
"In post","2021","Cheshire","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Department for Work and Pensions (excl. agencies)","540","490","27470","27570"
"In post","2021","Cheshire","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","HM Prison and Probation Service","130","120","30610","31610"
"In post","2021","Cheshire","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","National Crime Agency","620","610","32030","32770"
"In post","2021","Cheshire","EO","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","51490","48990"
"In post","2021","Cheshire","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","National Crime Agency","50","50","61810","60610"
"In post","2021","Cheshire","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
