"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","40","40","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","EO","100","90","25200","24920"
"In post","2021","Analysis","Science and Engineering","G6/G7","150","140","52950","48080"
"In post","2021","Analysis","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","380","360","33190","30660"
"In post","2021","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","G6/G7","260","240","55560","54780"
"In post","2021","Analysis","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","SEO/HEO","590","560","35100","36030"
"In post","2021","Analysis","Statistics","AA/AO","30","30","[c]","[c]"
"In post","2021","Analysis","Statistics","EO","200","200","27320","27200"
"In post","2021","Analysis","Statistics","G6/G7","570","550","56830","57110"
"In post","2021","Analysis","Statistics","SCS","50","50","85140","78340"
"In post","2021","Analysis","Statistics","SEO/HEO","930","900","36540","36780"
"In post","2021","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","AA/AO","270","250","22510","21590"
"In post","2021","Commercial","Commercial","EO","540","520","26660","26670"
"In post","2021","Commercial","Commercial","G6/G7","720","700","59350","56950"
"In post","2021","Commercial","Commercial","SCS","80","80","88720","78560"
"In post","2021","Commercial","Commercial","SEO/HEO","2270","2190","38290","37940"
"In post","2021","Commercial","Commercial","Unknown","220","210","38620","37230"
"In post","2021","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AA/AO","180","170","21700","21130"
"In post","2021","Commercial","Knowledge and Information Management","EO","180","170","27770","26670"
"In post","2021","Commercial","Knowledge and Information Management","G6/G7","50","50","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","SEO/HEO","260","260","37690","36460"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","AA/AO","70","60","21460","20200"
"In post","2021","Commercial","Operational Delivery","EO","70","60","26710","26410"
"In post","2021","Commercial","Operational Delivery","G6/G7","90","90","64410","60930"
"In post","2021","Commercial","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","SEO/HEO","180","170","40170","39320"
"In post","2021","Commercial","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","SEO/HEO","80","80","37910","39860"
"In post","2021","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","790","780","63300","56860"
"In post","2021","Commercial","Unknown","SCS","480","470","93150","74000"
"In post","2021","Commercial","Unknown","SEO/HEO","140","130","37680","38220"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","AA/AO","210","200","22070","21580"
"In post","2021","Communications","Communications","EO","560","540","27400","26970"
"In post","2021","Communications","Communications","G6/G7","810","780","58100","56090"
"In post","2021","Communications","Communications","SCS","100","100","87070","81760"
"In post","2021","Communications","Communications","SEO/HEO","1740","1690","37720","37160"
"In post","2021","Communications","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","AA/AO","230","190","20790","20660"
"In post","2021","Communications","Operational Delivery","EO","590","560","25880","25560"
"In post","2021","Communications","Operational Delivery","G6/G7","60","60","55420","52580"
"In post","2021","Communications","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","SEO/HEO","630","620","33380","31810"
"In post","2021","Communications","Other","EO","170","160","20650","19600"
"In post","2021","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","SEO/HEO","70","70","29550","28060"
"In post","2021","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","AA/AO","50","40","[c]","[c]"
"In post","2021","Communications","Tax","EO","1590","1530","25660","25560"
"In post","2021","Communications","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","SEO/HEO","490","480","32510","31810"
"In post","2021","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","290","280","26000","25560"
"In post","2021","Communications","Unknown","G6/G7","150","150","59090","57670"
"In post","2021","Communications","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","320","320","36000","34640"
"In post","2021","Counter Fraud","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","EO","80","80","27390","26780"
"In post","2021","Counter Fraud","Counter Fraud","G6/G7","110","110","61840","58940"
"In post","2021","Counter Fraud","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","SEO/HEO","460","450","37700","38200"
"In post","2021","Counter Fraud","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","EO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","G6/G7","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","SEO/HEO","120","120","35230","36160"
"In post","2021","Counter Fraud","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Legal","AA/AO","260","230","21160","20360"
"In post","2021","Counter Fraud","Legal","EO","1560","1490","27190","25560"
"In post","2021","Counter Fraud","Legal","G6/G7","140","140","56640","59160"
"In post","2021","Counter Fraud","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Legal","SEO/HEO","1370","1320","35190","35000"
"In post","2021","Counter Fraud","Operational Delivery","AA/AO","530","460","21510","21440"
"In post","2021","Counter Fraud","Operational Delivery","EO","1120","1040","26560","25560"
"In post","2021","Counter Fraud","Operational Delivery","G6/G7","150","140","55780","52580"
"In post","2021","Counter Fraud","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Delivery","SEO/HEO","1090","1020","34260","31810"
"In post","2021","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","EO","100","90","27650","27310"
"In post","2021","Counter Fraud","Other","G6/G7","90","90","57560","55110"
"In post","2021","Counter Fraud","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","SEO/HEO","120","110","35140","35000"
"In post","2021","Counter Fraud","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","EO","440","410","27190","25560"
"In post","2021","Counter Fraud","Tax","G6/G7","510","490","57320","52580"
"In post","2021","Counter Fraud","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","SEO/HEO","930","870","35080","33150"
"In post","2021","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","EO","70","70","26750","25560"
"In post","2021","Counter Fraud","Unknown","G6/G7","50","50","58400","58120"
"In post","2021","Counter Fraud","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","90","90","34540","34550"
"In post","2021","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","AA/AO","2410","2100","21220","20140"
"In post","2021","Debt","Operational Delivery","EO","890","810","26900","25560"
"In post","2021","Debt","Operational Delivery","G6/G7","40","40","[c]","[c]"
"In post","2021","Debt","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","SEO/HEO","240","220","34310","31810"
"In post","2021","Debt","Tax","AA/AO","940","910","20280","20140"
"In post","2021","Debt","Tax","EO","50","50","[c]","[c]"
"In post","2021","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","AA/AO","70","60","20480","20140"
"In post","2021","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","AA/AO","400","380","21820","21440"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","EO","1950","1880","27620","26710"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","G6/G7","2680","2630","57610","55190"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","SCS","190","180","88050","83030"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","5580","5430","37440","36960"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","60","60","36230","33950"
"In post","2021","Digital, Data & Technology","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","60","60","37640","37810"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","EO","100","100","25910","25560"
"In post","2021","Digital, Data & Technology","Operational Delivery","G6/G7","60","60","56360","52850"
"In post","2021","Digital, Data & Technology","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","SEO/HEO","280","270","34030","31810"
"In post","2021","Digital, Data & Technology","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","G6/G7","180","160","52650","48840"
"In post","2021","Digital, Data & Technology","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","SEO/HEO","320","300","38000","39650"
"In post","2021","Digital, Data & Technology","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","EO","130","120","27100","27500"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","680","670","58080","56340"
"In post","2021","Digital, Data & Technology","Unknown","SCS","50","50","102590","96190"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","460","450","36480","36160"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","G6/G7","50","50","59160","59160"
"In post","2021","Finance","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","SEO/HEO","50","50","36880","37320"
"In post","2021","Finance","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","G6/G7","30","30","[c]","[c]"
"In post","2021","Finance","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Finance","Finance","AA/AO","1060","890","21310","21170"
"In post","2021","Finance","Finance","EO","1390","1320","26520","26670"
"In post","2021","Finance","Finance","G6/G7","1720","1680","58790","57620"
"In post","2021","Finance","Finance","SCS","230","220","90180","83610"
"In post","2021","Finance","Finance","SEO/HEO","3120","3010","37790","37130"
"In post","2021","Finance","Finance","Unknown","50","50","[c]","[c]"
"In post","2021","Finance","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","AA/AO","360","310","20570","20140"
"In post","2021","Finance","Operational Delivery","EO","180","170","26350","25560"
"In post","2021","Finance","Operational Delivery","G6/G7","60","60","56830","56230"
"In post","2021","Finance","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","SEO/HEO","260","260","34510","32300"
"In post","2021","Finance","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","EO","40","30","[c]","[c]"
"In post","2021","Finance","Other","G6/G7","40","40","[c]","[c]"
"In post","2021","Finance","Other","SCS","[c]","[c]","[c]","[c]"
