"Status","Year","Region_ITL1","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Male","Medicine","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Operational Delivery","4560","4380","28280","26630"
"In post","2021","East Midlands (England)","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Other","360","360","27660","20970"
"In post","2021","East Midlands (England)","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Policy","80","80","43510","38700"
"In post","2021","East Midlands (England)","Male","Project Delivery","170","160","40630","38930"
"In post","2021","East Midlands (England)","Male","Property","250","240","35620","33300"
"In post","2021","East Midlands (England)","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Science and Engineering","370","350","39750","37310"
"In post","2021","East Midlands (England)","Male","Security","120","120","29760","26750"
"In post","2021","East Midlands (England)","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Tax","760","740","33230","31810"
"In post","2021","East Midlands (England)","Male","Unknown","1690","1610","26900","27570"
"In post","2021","East Midlands (England)","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Commercial","140","130","36900","35630"
"In post","2021","East of England","Female","Communications","50","40","[c]","[c]"
"In post","2021","East of England","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Digital, Data and Technology","160","140","35850","33000"
"In post","2021","East of England","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Finance","240","220","34950","31810"
"In post","2021","East of England","Female","Human Resources","140","130","34570","31180"
"In post","2021","East of England","Female","Inspector of Education and Training","60","60","61880","51360"
"In post","2021","East of England","Female","Intelligence Analysis","160","150","31730","30450"
"In post","2021","East of England","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Knowledge and Information Management","90","90","34840","30610"
"In post","2021","East of England","Female","Legal","410","360","38150","33840"
"In post","2021","East of England","Female","Medicine","110","100","49180","37890"
"In post","2021","East of England","Female","Operational Delivery","5260","4730","27030","24920"
"In post","2021","East of England","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Other","620","590","23460","21130"
"In post","2021","East of England","Female","Policy","110","100","42590","38630"
"In post","2021","East of England","Female","Project Delivery","310","300","37920","34800"
"In post","2021","East of England","Female","Property","220","210","31630","31100"
"In post","2021","East of England","Female","Psychology","150","140","35180","30450"
"In post","2021","East of England","Female","Science and Engineering","380","350","37430","35900"
"In post","2021","East of England","Female","Security","150","140","29040","24620"
"In post","2021","East of England","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Tax","150","130","32220","29570"
"In post","2021","East of England","Female","Unknown","3220","2790","28450","27570"
"In post","2021","East of England","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Commercial","110","110","41660","37320"
"In post","2021","East of England","Male","Communications","50","40","[c]","[c]"
"In post","2021","East of England","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Digital, Data and Technology","350","340","36660","34620"
"In post","2021","East of England","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Finance","150","150","39830","36970"
"In post","2021","East of England","Male","Human Resources","60","50","36860","33300"
"In post","2021","East of England","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Intelligence Analysis","260","260","32860","33300"
"In post","2021","East of England","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Knowledge and Information Management","70","60","37440","37000"
"In post","2021","East of England","Male","Legal","270","260","39790","33610"
"In post","2021","East of England","Male","Medicine","60","60","75500","79870"
"In post","2021","East of England","Male","Operational Delivery","4950","4730","29680","28130"
"In post","2021","East of England","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Other","560","530","26060","21580"
"In post","2021","East of England","Male","Policy","90","90","44070","42200"
"In post","2021","East of England","Male","Project Delivery","280","280","40730","38630"
"In post","2021","East of England","Male","Property","290","280","33610","33300"
"In post","2021","East of England","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Science and Engineering","540","530","36310","33020"
"In post","2021","East of England","Male","Security","400","400","34720","33300"
"In post","2021","East of England","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Tax","110","110","36850","33120"
"In post","2021","East of England","Male","Unknown","1710","1650","29750","27570"
"In post","2021","East of England","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Female","Commercial","460","450","45900","41330"
"In post","2021","London","Female","Communications","1240","1190","45780","42200"
"In post","2021","London","Female","Corporate Finance","30","30","[c]","[c]"
"In post","2021","London","Female","Counter Fraud","160","150","40720","34980"
"In post","2021","London","Female","Digital, Data and Technology","1250","1210","47840","43960"
"In post","2021","London","Female","Economics","640","620","47810","45470"
"In post","2021","London","Female","Finance","1230","1190","46890","41980"
"In post","2021","London","Female","Human Resources","1640","1570","46480","41970"
"In post","2021","London","Female","Inspector of Education and Training","170","160","63060","51360"
"In post","2021","London","Female","Intelligence Analysis","600","560","39550","36140"
"In post","2021","London","Female","Internal Audit","90","90","51060","49600"
"In post","2021","London","Female","International Trade","500","490","46460","40780"
"In post","2021","London","Female","Knowledge and Information Management","410","380","40680","36140"
"In post","2021","London","Female","Legal","2780","2550","55510","54070"
"In post","2021","London","Female","Medicine","250","220","78970","78450"
"In post","2021","London","Female","Operational Delivery","14690","13630","33470","29570"
"In post","2021","London","Female","Operational Research","160","150","48000","42800"
"In post","2021","London","Female","Other","2270","2170","39100","32410"
"In post","2021","London","Female","Planning","40","40","[c]","[c]"
"In post","2021","London","Female","Policy","10450","10060","48000","44080"
"In post","2021","London","Female","Project Delivery","1910","1840","48690","42890"
"In post","2021","London","Female","Property","460","430","41360","35900"
"In post","2021","London","Female","Psychology","60","50","42440","40520"
"In post","2021","London","Female","Science and Engineering","850","790","45360","40960"
"In post","2021","London","Female","Security","440","420","40010","35990"
"In post","2021","London","Female","Social Research","330","310","46930","42890"
"In post","2021","London","Female","Statistics","410","390","46850","42890"
"In post","2021","London","Female","Tax","1030","960","41080","36160"
"In post","2021","London","Female","Unknown","10710","10050","38680","31060"
"In post","2021","London","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Male","Commercial","420","410","49660","45810"
"In post","2021","London","Male","Communications","860","850","46940","42700"
"In post","2021","London","Male","Corporate Finance","40","40","[c]","[c]"
"In post","2021","London","Male","Counter Fraud","240","240","45040","40590"
"In post","2021","London","Male","Digital, Data and Technology","2050","2040","50520","46140"
"In post","2021","London","Male","Economics","1130","1120","47900","42470"
"In post","2021","London","Male","Finance","1320","1310","51290","47250"
"In post","2021","London","Male","Human Resources","780","770","47410","42620"
"In post","2021","London","Male","Inspector of Education and Training","60","60","74370","75500"
"In post","2021","London","Male","Intelligence Analysis","820","800","41500","37640"
"In post","2021","London","Male","Internal Audit","120","110","56020","53690"
"In post","2021","London","Male","International Trade","580","570","48140","44030"
"In post","2021","London","Male","Knowledge and Information Management","340","330","42320","37920"
"In post","2021","London","Male","Legal","1990","1940","53810","52100"
"In post","2021","London","Male","Medicine","140","130","81820","82100"
"In post","2021","London","Male","Operational Delivery","11200","10880","36020","32520"
"In post","2021","London","Male","Operational Research","230","230","49680","47070"
"In post","2021","London","Male","Other","1920","1850","42240","34630"
"In post","2021","London","Male","Planning","60","60","47600","40290"
"In post","2021","London","Male","Policy","9240","9150","50540","52430"
"In post","2021","London","Male","Project Delivery","1740","1720","51900","45990"
"In post","2021","London","Male","Property","650","640","46250","42170"
"In post","2021","London","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Male","Science and Engineering","580","560","48380","43790"
"In post","2021","London","Male","Security","790","790","38280","35200"
"In post","2021","London","Male","Social Research","130","120","49090","46970"
"In post","2021","London","Male","Statistics","510","500","46790","42470"
"In post","2021","London","Male","Tax","1270","1220","44810","39800"
"In post","2021","London","Male","Unknown","7430","7320","43890","34550"
"In post","2021","London","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Commercial","60","50","40740","37030"
"In post","2021","North East (England)","Female","Communications","80","70","32660","30090"
"In post","2021","North East (England)","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Digital, Data and Technology","280","260","39080","37100"
"In post","2021","North East (England)","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Finance","200","190","36530","31810"
"In post","2021","North East (England)","Female","Human Resources","90","80","34850","32900"
"In post","2021","North East (England)","Female","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","North East (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Legal","240","220","41860","40590"
"In post","2021","North East (England)","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Operational Delivery","8180","6850","24970","21440"
"In post","2021","North East (England)","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Other","110","100","27660","21590"
"In post","2021","North East (England)","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Policy","230","220","39040","36780"
"In post","2021","North East (England)","Female","Project Delivery","460","430","39610","38630"
"In post","2021","North East (England)","Female","Property","120","110","31910","30000"
"In post","2021","North East (England)","Female","Psychology","80","80","37650","38150"
"In post","2021","North East (England)","Female","Science and Engineering","30","30","[c]","[c]"
"In post","2021","North East (England)","Female","Security","40","30","[c]","[c]"
"In post","2021","North East (England)","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Tax","1090","1020","28110","25560"
"In post","2021","North East (England)","Female","Unknown","6630","5650","26450","27570"
"In post","2021","North East (England)","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Commercial","60","60","45420","42630"
"In post","2021","North East (England)","Male","Communications","40","40","[c]","[c]"
"In post","2021","North East (England)","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Digital, Data and Technology","430","410","39130","38630"
"In post","2021","North East (England)","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Finance","170","170","41900","38630"
"In post","2021","North East (England)","Male","Human Resources","40","40","[c]","[c]"
"In post","2021","North East (England)","Male","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","North East (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Legal","180","180","40010","37780"
"In post","2021","North East (England)","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Operational Delivery","5520","5190","26880","25310"
"In post","2021","North East (England)","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Other","110","100","27910","21430"
"In post","2021","North East (England)","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Policy","130","130","42770","37330"
"In post","2021","North East (England)","Male","Project Delivery","420","410","41370","38630"
"In post","2021","North East (England)","Male","Property","170","160","36540","32700"
"In post","2021","North East (England)","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Science and Engineering","30","30","[c]","[c]"
"In post","2021","North East (England)","Male","Security","60","60","33430","31920"
"In post","2021","North East (England)","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Tax","1070","1040","29930","25560"
"In post","2021","North East (England)","Male","Unknown","4010","3840","28380","27570"
"In post","2021","North East (England)","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Commercial","290","270","37930","35760"
"In post","2021","North West (England)","Female","Communications","120","120","36400","33620"
"In post","2021","North West (England)","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Counter Fraud","50","50","33620","32390"
"In post","2021","North West (England)","Female","Digital, Data and Technology","360","340","38550","35820"
"In post","2021","North West (England)","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Finance","330","310","36990","33300"
"In post","2021","North West (England)","Female","Human Resources","720","660","33710","30530"
"In post","2021","North West (England)","Female","Inspector of Education and Training","80","80","63080","64500"
"In post","2021","North West (England)","Female","Intelligence Analysis","190","180","27660","25830"
"In post","2021","North West (England)","Female","Internal Audit","30","30","[c]","[c]"
"In post","2021","North West (England)","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Knowledge and Information Management","70","60","32840","29750"
"In post","2021","North West (England)","Female","Legal","670","610","43530","43460"
"In post","2021","North West (England)","Female","Medicine","50","40","[c]","[c]"
"In post","2021","North West (England)","Female","Operational Delivery","14790","13140","26550","24890"
"In post","2021","North West (England)","Female","Operational Research","30","30","[c]","[c]"
"In post","2021","North West (England)","Female","Other","470","440","27880","23490"
"In post","2021","North West (England)","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Policy","580","550","40070","36820"
"In post","2021","North West (England)","Female","Project Delivery","730","700","39250","37460"
"In post","2021","North West (England)","Female","Property","240","220","34660","30000"
"In post","2021","North West (England)","Female","Psychology","130","130","35130","30450"
"In post","2021","North West (England)","Female","Science and Engineering","230","210","33960","31710"
"In post","2021","North West (England)","Female","Security","80","80","31390","30820"
"In post","2021","North West (England)","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","Statistics","50","50","38500","32480"
"In post","2021","North West (England)","Female","Tax","1580","1460","30840","28130"
"In post","2021","North West (England)","Female","Unknown","12160","10580","26860","27570"
"In post","2021","North West (England)","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Commercial","230","220","39190","36500"
"In post","2021","North West (England)","Male","Communications","80","80","36330","35110"
"In post","2021","North West (England)","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Counter Fraud","50","50","38550","36060"
"In post","2021","North West (England)","Male","Digital, Data and Technology","690","680","39740","37460"
"In post","2021","North West (England)","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Finance","320","320","39530","36870"
"In post","2021","North West (England)","Male","Human Resources","320","310","33840","30830"
"In post","2021","North West (England)","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Intelligence Analysis","180","170","29240","26910"
"In post","2021","North West (England)","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","North West (England)","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Knowledge and Information Management","60","60","35800","36330"
"In post","2021","North West (England)","Male","Legal","550","530","41260","38280"
"In post","2021","North West (England)","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Operational Delivery","11340","10850","28310","25560"
"In post","2021","North West (England)","Male","Operational Research","60","50","43240","38630"
"In post","2021","North West (England)","Male","Other","360","340","28010","24260"
"In post","2021","North West (England)","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Policy","410","400","41970","38630"
"In post","2021","North West (England)","Male","Project Delivery","640","620","40840","38630"
"In post","2021","North West (England)","Male","Property","280","270","37550","32510"
"In post","2021","North West (England)","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Science and Engineering","270","260","37510","35110"
"In post","2021","North West (England)","Male","Security","220","220","28390","23540"
"In post","2021","North West (England)","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","Statistics","70","70","38890","38630"
"In post","2021","North West (England)","Male","Tax","1710","1640","32890","31810"
"In post","2021","North West (England)","Male","Unknown","7220","6970","28560","27570"
"In post","2021","North West (England)","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Legal","70","70","29610","27010"
"In post","2021","Northern Ireland","Female","Medicine","30","20","[c]","[c]"
"In post","2021","Northern Ireland","Female","Operational Delivery","880","760","26040","25040"
"In post","2021","Northern Ireland","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Other","170","170","23800","21980"
"In post","2021","Northern Ireland","Female","Policy","50","50","[c]","[c]"
"In post","2021","Northern Ireland","Female","Project Delivery","40","30","[c]","[c]"
"In post","2021","Northern Ireland","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Tax","310","280","31400","31810"
"In post","2021","Northern Ireland","Female","Unknown","70","60","29120","25560"
"In post","2021","Northern Ireland","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Legal","90","90","29350","26030"
"In post","2021","Northern Ireland","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Operational Delivery","820","780","26680","24890"
"In post","2021","Northern Ireland","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Other","150","150","23010","21040"
"In post","2021","Northern Ireland","Male","Policy","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Male","Property","80","70","30050","27720"
"In post","2021","Northern Ireland","Male","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Male","Security","360","360","21350","20310"
"In post","2021","Northern Ireland","Male","Tax","320","310","34130","31810"
"In post","2021","Northern Ireland","Male","Unknown","70","70","26390","25560"
"In post","2021","Northern Ireland","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Overseas","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","International Trade","40","40","[c]","[c]"
"In post","2021","Overseas","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Medicine","40","30","[c]","[c]"
"In post","2021","Overseas","Female","Operational Delivery","90","90","39940","31910"
"In post","2021","Overseas","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Other","240","230","49350","46620"
"In post","2021","Overseas","Female","Policy","750","750","51740","53370"
"In post","2021","Overseas","Female","Project Delivery","70","70","45750","45200"
"In post","2021","Overseas","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Unknown","120","120","[c]","[c]"
"In post","2021","Overseas","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Overseas","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","International Trade","110","110","57190","53750"
"In post","2021","Overseas","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Operational Delivery","200","200","52040","56340"
"In post","2021","Overseas","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Other","140","140","52290","46620"
"In post","2021","Overseas","Male","Policy","1000","1000","53460","54470"
"In post","2021","Overseas","Male","Project Delivery","90","90","47030","45340"
"In post","2021","Overseas","Male","Property","170","170","40000","39410"
"In post","2021","Overseas","Male","Science and Engineering","100","100","44150","42470"
"In post","2021","Overseas","Male","Security","70","70","37690","34350"
"In post","2021","Overseas","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Unknown","180","180","[c]","[c]"
"In post","2021","Scotland","Female","Commercial","140","130","35050","33930"
"In post","2021","Scotland","Female","Communications","40","40","[c]","[c]"
"In post","2021","Scotland","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Female","Counter Fraud","60","50","27920","25310"
