"Status","Year","Profession_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Intelligence Analysis","SEO/HEO","Undeclared","110","110","37130","36510"
"In post","2021","Intelligence Analysis","SEO/HEO","Unknown","140","140","37180","36160"
"In post","2021","Intelligence Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Declared non-disabled","150","150","58570","56610"
"In post","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Declared disabled","70","60","39570","39200"
"In post","2021","Internal Audit","SEO/HEO","Declared non-disabled","360","340","40800","40700"
"In post","2021","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Declared non-disabled","50","50","26990","26510"
"In post","2021","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Unknown","30","30","[c]","[c]"
"In post","2021","International Trade","G6/G7","Declared disabled","40","40","[c]","[c]"
"In post","2021","International Trade","G6/G7","Declared non-disabled","320","320","56150","53600"
"In post","2021","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","G6/G7","Unknown","210","210","54530","51970"
"In post","2021","International Trade","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SCS","Declared non-disabled","70","70","83590","75570"
"In post","2021","International Trade","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Declared non-disabled","330","320","35490","35040"
"In post","2021","International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Unknown","270","260","35250","34760"
"In post","2021","Knowledge and Information Management","AA/AO","Declared disabled","50","50","22140","21580"
"In post","2021","Knowledge and Information Management","AA/AO","Declared non-disabled","230","220","22130","21130"
"In post","2021","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Declared disabled","60","60","26980","26670"
"In post","2021","Knowledge and Information Management","EO","Declared non-disabled","340","320","26960","26670"
"In post","2021","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Unknown","80","70","26830","26650"
"In post","2021","Knowledge and Information Management","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Declared non-disabled","270","260","57580","55060"
"In post","2021","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Unknown","80","80","57200","55790"
"In post","2021","Knowledge and Information Management","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Declared disabled","120","110","36810","36240"
"In post","2021","Knowledge and Information Management","SEO/HEO","Declared non-disabled","720","690","36620","36500"
"In post","2021","Knowledge and Information Management","SEO/HEO","Undeclared","80","80","37360","36400"
"In post","2021","Knowledge and Information Management","SEO/HEO","Unknown","140","130","37720","38070"
"In post","2021","Knowledge and Information Management","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Legal","AA/AO","Declared non-disabled","170","150","21580","21440"
"In post","2021","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Unknown","80","70","21400","21260"
"In post","2021","Legal","EO","Declared disabled","130","120","27560","27130"
"In post","2021","Legal","EO","Declared non-disabled","1130","1090","27470","26030"
"In post","2021","Legal","EO","Undeclared","100","90","27590","27130"
"In post","2021","Legal","EO","Unknown","590","570","27210","25560"
"In post","2021","Legal","G6/G7","Declared disabled","480","440","59550","58040"
"In post","2021","Legal","G6/G7","Declared non-disabled","4250","3930","59550","58470"
"In post","2021","Legal","G6/G7","Undeclared","170","150","62900","64680"
"In post","2021","Legal","G6/G7","Unknown","1030","950","58290","56620"
"In post","2021","Legal","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Declared non-disabled","280","270","88550","83230"
"In post","2021","Legal","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Unknown","50","50","90890","80850"
"In post","2021","Legal","SEO/HEO","Declared disabled","290","270","39070","38430"
"In post","2021","Legal","SEO/HEO","Declared non-disabled","2320","2160","39040","38000"
"In post","2021","Legal","SEO/HEO","Undeclared","220","210","38430","37700"
"In post","2021","Legal","SEO/HEO","Unknown","740","720","35950","36160"
"In post","2021","Legal","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Declared non-disabled","220","210","22600","22640"
"In post","2021","Medicine","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Unknown","110","110","21020","21140"
"In post","2021","Medicine","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","EO","Declared non-disabled","220","200","30570","30620"
"In post","2021","Medicine","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","EO","Unknown","70","70","30120","30620"
"In post","2021","Medicine","G6/G7","Declared disabled","40","30","[c]","[c]"
"In post","2021","Medicine","G6/G7","Declared non-disabled","430","380","73840","74470"
"In post","2021","Medicine","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","G6/G7","Unknown","180","150","74770","77970"
"In post","2021","Medicine","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","SCS","Declared non-disabled","220","190","102310","97870"
"In post","2021","Medicine","SCS","Undeclared","40","30","[c]","[c]"
"In post","2021","Medicine","SCS","Unknown","140","130","116090","114770"
"In post","2021","Medicine","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Medicine","SEO/HEO","Declared non-disabled","460","420","38810","37890"
"In post","2021","Medicine","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","Medicine","SEO/HEO","Unknown","200","180","38440","37890"
"In post","2021","Medicine","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","Declared disabled","7900","6950","22410","21430"
"In post","2021","Operational Delivery","AA/AO","Declared non-disabled","48780","43770","23010","21440"
"In post","2021","Operational Delivery","AA/AO","Undeclared","6660","5910","25270","23240"
"In post","2021","Operational Delivery","AA/AO","Unknown","17600","16060","22190","21440"
"In post","2021","Operational Delivery","EO","Declared disabled","4010","3680","27630","27130"
"In post","2021","Operational Delivery","EO","Declared non-disabled","29280","27030","27300","26750"
"In post","2021","Operational Delivery","EO","Undeclared","2970","2760","28960","27380"
"In post","2021","Operational Delivery","EO","Unknown","8820","8370","28930","28130"
"In post","2021","Operational Delivery","G6/G7","Declared disabled","450","440","58480","56350"
"In post","2021","Operational Delivery","G6/G7","Declared non-disabled","4740","4610","58690","56540"
"In post","2021","Operational Delivery","G6/G7","Undeclared","380","360","60000","57660"
"In post","2021","Operational Delivery","G6/G7","Unknown","980","960","58780","55930"
"In post","2021","Operational Delivery","SCS","Declared disabled","40","40","[c]","[c]"
"In post","2021","Operational Delivery","SCS","Declared non-disabled","500","480","90960","83790"
"In post","2021","Operational Delivery","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SCS","Unknown","100","90","103110","95000"
"In post","2021","Operational Delivery","SEO/HEO","Declared disabled","2690","2550","36820","35280"
"In post","2021","Operational Delivery","SEO/HEO","Declared non-disabled","21100","20090","36650","35200"
"In post","2021","Operational Delivery","SEO/HEO","Undeclared","2180","2080","37800","36800"
"In post","2021","Operational Delivery","SEO/HEO","Unknown","4700","4490","37240","36500"
"In post","2021","Operational Delivery","Unknown","Declared disabled","2240","2080","30500","30210"
"In post","2021","Operational Delivery","Unknown","Declared non-disabled","8680","8030","30220","30210"
"In post","2021","Operational Delivery","Unknown","Undeclared","540","510","30400","30210"
"In post","2021","Operational Delivery","Unknown","Unknown","740","670","24380","22920"
"In post","2021","Operational Research","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","G6/G7","Declared disabled","50","50","53520","50880"
