"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","G6/G7","Operational Delivery","4600","4470","58750","56400"
"In post","2021","Heterosexual / straight","G6/G7","Operational Research","390","360","53910","52580"
"In post","2021","Heterosexual / straight","G6/G7","Other","1280","1250","62150","59650"
"In post","2021","Heterosexual / straight","G6/G7","Planning","50","50","58470","57110"
"In post","2021","Heterosexual / straight","G6/G7","Planning Inspectors","260","240","57660","58810"
"In post","2021","Heterosexual / straight","G6/G7","Policy","7660","7430","58610","57460"
"In post","2021","Heterosexual / straight","G6/G7","Project Delivery","3170","3100","56950","54940"
"In post","2021","Heterosexual / straight","G6/G7","Property","850","830","58040","55930"
"In post","2021","Heterosexual / straight","G6/G7","Psychology","90","90","64810","65520"
"In post","2021","Heterosexual / straight","G6/G7","Science and Engineering","1820","1740","55760","54540"
"In post","2021","Heterosexual / straight","G6/G7","Security","230","230","59920","57460"
"In post","2021","Heterosexual / straight","G6/G7","Social Research","250","240","56190","56530"
"In post","2021","Heterosexual / straight","G6/G7","Statistics","500","470","57310","57620"
"In post","2021","Heterosexual / straight","G6/G7","Tax","1830","1750","56810","52580"
"In post","2021","Heterosexual / straight","G6/G7","Unknown","5990","5790","59280","57580"
"In post","2021","Heterosexual / straight","G6/G7","Veterinarian","100","90","55610","54360"
"In post","2021","Heterosexual / straight","SCS","Commercial","70","70","90420","83090"
"In post","2021","Heterosexual / straight","SCS","Communications","80","80","86670","81370"
"In post","2021","Heterosexual / straight","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Digital, Data and Technology","170","160","92200","85350"
"In post","2021","Heterosexual / straight","SCS","Economics","70","70","87430","81750"
"In post","2021","Heterosexual / straight","SCS","Finance","220","220","90840","83860"
"In post","2021","Heterosexual / straight","SCS","Human Resources","160","150","89900","84030"
"In post","2021","Heterosexual / straight","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","International Trade","70","70","86960","75570"
"In post","2021","Heterosexual / straight","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Legal","240","230","89020","83230"
"In post","2021","Heterosexual / straight","SCS","Medicine","250","210","103980","98580"
"In post","2021","Heterosexual / straight","SCS","Operational Delivery","490","480","92090","84340"
"In post","2021","Heterosexual / straight","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Other","180","170","93080","83510"
"In post","2021","Heterosexual / straight","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Policy","1350","1300","85060","77580"
"In post","2021","Heterosexual / straight","SCS","Project Delivery","330","320","92450","86450"
"In post","2021","Heterosexual / straight","SCS","Property","60","50","87320","80000"
"In post","2021","Heterosexual / straight","SCS","Science and Engineering","90","80","95570","93820"
"In post","2021","Heterosexual / straight","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Statistics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Tax","70","60","81520","78000"
"In post","2021","Heterosexual / straight","SCS","Unknown","860","840","93500","83230"
"In post","2021","Heterosexual / straight","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SEO/HEO","Commercial","2170","2100","37790","37100"
"In post","2021","Heterosexual / straight","SEO/HEO","Communications","1340","1300","37870","37410"
"In post","2021","Heterosexual / straight","SEO/HEO","Corporate Finance","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","SEO/HEO","Counter Fraud","330","320","37400","37910"
"In post","2021","Heterosexual / straight","SEO/HEO","Digital, Data and Technology","4270","4140","37960","37740"
"In post","2021","Heterosexual / straight","SEO/HEO","Economics","580","570","34920","33930"
"In post","2021","Heterosexual / straight","SEO/HEO","Finance","2760","2660","37900","37410"
"In post","2021","Heterosexual / straight","SEO/HEO","Human Resources","2570","2450","36930","36460"
"In post","2021","Heterosexual / straight","SEO/HEO","Inspector of Education and Training","290","280","51060","51360"
"In post","2021","Heterosexual / straight","SEO/HEO","Intelligence Analysis","930","900","36980","36140"
"In post","2021","Heterosexual / straight","SEO/HEO","Internal Audit","370","350","40600","40530"
"In post","2021","Heterosexual / straight","SEO/HEO","International Trade","350","350","35450","35060"
"In post","2021","Heterosexual / straight","SEO/HEO","Knowledge and Information Management","720","690","36850","36520"
"In post","2021","Heterosexual / straight","SEO/HEO","Legal","2270","2120","38620","38000"
"In post","2021","Heterosexual / straight","SEO/HEO","Medicine","530","480","38690","37890"
"In post","2021","Heterosexual / straight","SEO/HEO","Operational Delivery","21800","20770","36870","35630"
"In post","2021","Heterosexual / straight","SEO/HEO","Operational Research","400","380","36550","37320"
"In post","2021","Heterosexual / straight","SEO/HEO","Other","3870","3740","35630","35070"
"In post","2021","Heterosexual / straight","SEO/HEO","Planning","80","70","39110","39600"
"In post","2021","Heterosexual / straight","SEO/HEO","Policy","8270","8070","37310","36800"
"In post","2021","Heterosexual / straight","SEO/HEO","Project Delivery","6260","6060","36830","37230"
"In post","2021","Heterosexual / straight","SEO/HEO","Property","2260","2180","37050","35910"
"In post","2021","Heterosexual / straight","SEO/HEO","Psychology","610","580","37180","31760"
"In post","2021","Heterosexual / straight","SEO/HEO","Science and Engineering","4150","3980","36950","37320"
"In post","2021","Heterosexual / straight","SEO/HEO","Security","920","910","40500","38160"
"In post","2021","Heterosexual / straight","SEO/HEO","Social Research","550","530","37920","37020"
"In post","2021","Heterosexual / straight","SEO/HEO","Statistics","690","670","37170","37020"
"In post","2021","Heterosexual / straight","SEO/HEO","Tax","4410","4180","34640","31870"
"In post","2021","Heterosexual / straight","SEO/HEO","Unknown","13080","12490","36060","35110"
"In post","2021","Heterosexual / straight","SEO/HEO","Veterinarian","190","180","40590","37910"
"In post","2021","Heterosexual / straight","Unknown","Commercial","170","160","38820","37400"
"In post","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Finance","120","110","41410","39860"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Operational Delivery","9690","8970","30090","30210"
"In post","2021","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Other","170","160","43620","40620"
"In post","2021","Heterosexual / straight","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","440","430","42780","40080"
"In post","2021","Heterosexual / straight","Unknown","Property","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Science and Engineering","600","600","39720","37730"
"In post","2021","Heterosexual / straight","Unknown","Security","60","60","36790","36330"
"In post","2021","Heterosexual / straight","Unknown","Unknown","190","190","[c]","[c]"
"In post","2021","LGBO","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Human Resources","40","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Operational Delivery","2890","2760","23490","21590"
"In post","2021","LGBO","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Other","180","170","20950","20920"
"In post","2021","LGBO","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Science and Engineering","50","50","21470","21720"
"In post","2021","LGBO","AA/AO","Security","150","150","27180","25540"
"In post","2021","LGBO","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Tax","140","130","20190","20140"
"In post","2021","LGBO","AA/AO","Unknown","1300","1230","21330","21010"
"In post","2021","LGBO","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Commercial","30","30","[c]","[c]"
"In post","2021","LGBO","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Digital, Data and Technology","90","80","26870","26350"
"In post","2021","LGBO","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Finance","40","40","[c]","[c]"
"In post","2021","LGBO","EO","Human Resources","50","50","[c]","[c]"
"In post","2021","LGBO","EO","Intelligence Analysis","60","60","27270","26880"
"In post","2021","LGBO","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Legal","80","80","28050","25560"
"In post","2021","LGBO","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Operational Delivery","1530","1480","27530","26410"
"In post","2021","LGBO","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Other","170","160","26070","26670"
"In post","2021","LGBO","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Policy","150","150","27860","27850"
"In post","2021","LGBO","EO","Project Delivery","80","70","25710","26350"
"In post","2021","LGBO","EO","Property","50","50","[c]","[c]"
"In post","2021","LGBO","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Science and Engineering","90","80","26060","26370"
"In post","2021","LGBO","EO","Security","40","40","[c]","[c]"
"In post","2021","LGBO","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Tax","150","140","26100","25560"
"In post","2021","LGBO","EO","Unknown","2270","2190","28070","27570"
"In post","2021","LGBO","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Communications","50","50","59100","57440"
"In post","2021","LGBO","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Digital, Data and Technology","130","130","58890","57430"
"In post","2021","LGBO","G6/G7","Economics","50","50","58760","57940"
"In post","2021","LGBO","G6/G7","Finance","80","80","58300","57460"
"In post","2021","LGBO","G6/G7","Human Resources","90","90","58520","58590"
"In post","2021","LGBO","G6/G7","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","International Trade","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Legal","230","220","60150","58040"
"In post","2021","LGBO","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Operational Delivery","260","250","59310","57430"
"In post","2021","LGBO","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Other","70","60","59290","57460"
"In post","2021","LGBO","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Policy","780","770","57600","55430"
"In post","2021","LGBO","G6/G7","Project Delivery","160","160","56850","54650"
"In post","2021","LGBO","G6/G7","Property","30","30","[c]","[c]"
"In post","2021","LGBO","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Science and Engineering","70","70","57610","55930"
"In post","2021","LGBO","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Statistics","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","Tax","120","110","55100","52580"
"In post","2021","LGBO","G6/G7","Unknown","430","420","58770","56870"
"In post","2021","LGBO","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Policy","110","110","86090","76290"
"In post","2021","LGBO","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Unknown","60","60","85330","78000"
"In post","2021","LGBO","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Commercial","90","90","35600","34710"
"In post","2021","LGBO","SEO/HEO","Communications","110","110","38550","38610"
"In post","2021","LGBO","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Digital, Data and Technology","240","240","36520","36780"
"In post","2021","LGBO","SEO/HEO","Economics","60","50","34780","33960"
"In post","2021","LGBO","SEO/HEO","Finance","90","90","37020","36960"
"In post","2021","LGBO","SEO/HEO","Human Resources","150","150","36590","36010"
"In post","2021","LGBO","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","International Trade","30","30","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Legal","110","110","38480","38000"
"In post","2021","LGBO","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Operational Delivery","1150","1120","36390","35070"
"In post","2021","LGBO","SEO/HEO","Operational Research","50","50","36820","37320"
"In post","2021","LGBO","SEO/HEO","Other","170","170","34740","34740"
"In post","2021","LGBO","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Policy","840","830","36520","35480"
"In post","2021","LGBO","SEO/HEO","Project Delivery","290","280","36070","35630"
"In post","2021","LGBO","SEO/HEO","Property","70","70","36560","36150"
"In post","2021","LGBO","SEO/HEO","Psychology","30","30","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Science and Engineering","190","180","34570","34490"
"In post","2021","LGBO","SEO/HEO","Security","50","50","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Social Research","50","50","35500","34700"
"In post","2021","LGBO","SEO/HEO","Statistics","80","80","36480","36160"
"In post","2021","LGBO","SEO/HEO","Tax","240","230","33990","31810"
"In post","2021","LGBO","SEO/HEO","Unknown","910","890","35530","34550"
"In post","2021","LGBO","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Operational Delivery","580","560","29120","26810"
"In post","2021","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Communications","40","30","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Finance","120","100","21530","21440"
"In post","2021","Undeclared","AA/AO","Human Resources","120","110","21490","21140"
"In post","2021","Undeclared","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
