"Status","Year","Parent_department","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Unknown","Asian","150","140","37080","38000"
"In post","2021","Attorney General's Departments","Unknown","Black","70","70","33190","26970"
"In post","2021","Attorney General's Departments","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Mixed","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","780","740","47980","51250"
"In post","2021","Attorney General's Departments","Unknown","White","910","870","38200","38000"
"In post","2021","Cabinet Office","Declared disabled","Asian","60","50","41990","35590"
"In post","2021","Cabinet Office","Declared disabled","Black","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Mixed","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","White","530","510","44160","38420"
"In post","2021","Cabinet Office","Declared non-disabled","Asian","380","370","46900","40600"
"In post","2021","Cabinet Office","Declared non-disabled","Black","200","200","42270","35590"
"In post","2021","Cabinet Office","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared non-disabled","Mixed","150","140","47330","38580"
"In post","2021","Cabinet Office","Declared non-disabled","Other ethnicity","60","60","46960","40030"
"In post","2021","Cabinet Office","Declared non-disabled","Undeclared","100","100","49490","42200"
"In post","2021","Cabinet Office","Declared non-disabled","Unknown","160","160","61320","54700"
"In post","2021","Cabinet Office","Declared non-disabled","White","3420","3330","49150","43060"
"In post","2021","Cabinet Office","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Undeclared","90","90","45350","40600"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","White","150","140","44800","38580"
"In post","2021","Cabinet Office","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3860","3810","44440","32000"
"In post","2021","Cabinet Office","Unknown","White","70","70","56400","54890"
"In post","2021","Chancellor's other departments","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Asian","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","White","240","230","62920","50050"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","White","180","180","34650","29160"
"In post","2021","Charity Commission","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","70","70","36220","29270"
"In post","2021","Charity Commission","Unknown","White","120","110","33800","29540"
"In post","2021","Competition and Markets Authority","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Asian","90","90","45560","37650"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Black","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Mixed","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","White","510","490","63790","59450"
"In post","2021","Competition and Markets Authority","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Asian","60","60","38480","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Black","60","50","39570","35460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Unknown","70","60","32740","29940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","White","770","730","40590","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Asian","520","510","39360","35950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Black","280","270","38300","33960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Chinese","50","50","41770","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Mixed","200","190","45410","41550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Other ethnicity","80","80","43850","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Undeclared","290","280","45230","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Unknown","640","600","38950","39460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","White","6750","6470","43610","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Asian","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","160","160","47270","46880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","White","190","180","44760","40110"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Asian","100","100","38900","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Black","60","60","38350","37230"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","140","130","41080","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","1590","1550","34230","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","White","970","900","36490","34390"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","White","90","90","48450","44740"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Asian","100","100","45190","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Black","70","70","40520","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Mixed","70","70","45550","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","White","1050","1030","50850","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","White","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","190","190","47720","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","White","40","40","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Asian","60","50","38230","36570"
"In post","2021","Department for Education","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","White","560","540","41860","37100"
"In post","2021","Department for Education","Declared non-disabled","Asian","550","530","40310","36960"
"In post","2021","Department for Education","Declared non-disabled","Black","220","220","39800","36780"
"In post","2021","Department for Education","Declared non-disabled","Chinese","30","30","[c]","[c]"
"In post","2021","Department for Education","Declared non-disabled","Mixed","130","130","43170","40840"
"In post","2021","Department for Education","Declared non-disabled","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Department for Education","Declared non-disabled","Undeclared","170","160","44030","40300"
"In post","2021","Department for Education","Declared non-disabled","Unknown","280","270","44840","42580"
"In post","2021","Department for Education","Declared non-disabled","White","4160","4000","46040","43230"
"In post","2021","Department for Education","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Undeclared","90","80","46010","42580"
"In post","2021","Department for Education","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","White","220","210","44440","37760"
"In post","2021","Department for Education","Unknown","Asian","80","80","37230","34020"
"In post","2021","Department for Education","Unknown","Black","40","40","[c]","[c]"
"In post","2021","Department for Education","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Mixed","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","600","590","41580","36500"
"In post","2021","Department for Education","Unknown","White","490","480","37440","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Asian","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Undeclared","60","50","33470","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","White","980","920","34240","30230"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Asian","280","270","35990","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Black","170","170","35360","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Mixed","150","140","38480","33740"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Undeclared","230","230","34700","31160"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Unknown","870","820","27180","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","White","6470","6120","36680","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","150","150","37390","33650"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","White","220","210","36220","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","980","930","40300","36590"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","White","210","190","38700","35900"
"In post","2021","Department for International Trade","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","White","130","130","46280","48220"
"In post","2021","Department for International Trade","Declared non-disabled","Asian","140","140","42310","38540"
"In post","2021","Department for International Trade","Declared non-disabled","Black","90","90","39150","33320"
"In post","2021","Department for International Trade","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Mixed","60","60","46900","43480"
"In post","2021","Department for International Trade","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Unknown","110","110","44970","38540"
"In post","2021","Department for International Trade","Declared non-disabled","White","950","940","48440","51710"
"In post","2021","Department for International Trade","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","White","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Asian","50","50","43850","38540"
"In post","2021","Department for International Trade","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","650","650","44450","38540"
"In post","2021","Department for International Trade","Unknown","White","240","230","45870","39230"
"In post","2021","Department for Transport","Declared disabled","Asian","30","30","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","Undeclared","60","50","30560","27230"
"In post","2021","Department for Transport","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Department for Transport","Declared disabled","White","1220","1060","29020","26700"
"In post","2021","Department for Transport","Declared non-disabled","Asian","450","430","40470","35060"
"In post","2021","Department for Transport","Declared non-disabled","Black","200","200","37530","35060"
"In post","2021","Department for Transport","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared non-disabled","Mixed","180","170","34940","32880"
"In post","2021","Department for Transport","Declared non-disabled","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Department for Transport","Declared non-disabled","Undeclared","510","480","32960","29170"
"In post","2021","Department for Transport","Declared non-disabled","Unknown","180","160","33800","26780"
"In post","2021","Department for Transport","Declared non-disabled","White","9440","8690","33160","26780"
"In post","2021","Department for Transport","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Undeclared","310","300","32060","29730"
"In post","2021","Department for Transport","Undeclared","Unknown","660","640","42730","37010"
"In post","2021","Department for Transport","Undeclared","White","530","480","28630","26470"
"In post","2021","Department for Transport","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Chinese","[c]","[c]","[c]","[c]"
