"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Policy","60","50","43920","40590"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Commercial","50","40","[c]","[c]"
"In post","2021","Asian","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Digital, Data and Technology","90","90","36580","35500"
"In post","2021","Asian","Department for Education","Finance","90","90","38220","36500"
"In post","2021","Asian","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Operational Delivery","170","170","36960","33780"
"In post","2021","Asian","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Policy","220","220","42100","37100"
"In post","2021","Asian","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Property","40","40","[c]","[c]"
"In post","2021","Asian","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Operational Delivery","70","60","26840","24370"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Policy","120","110","40200","34050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","International Trade","90","90","44900","38540"
"In post","2021","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Finance","50","50","[c]","[c]"
"In post","2021","Asian","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Operational Delivery","170","160","32980","27230"
"In post","2021","Asian","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Other","30","30","[c]","[c]"
"In post","2021","Asian","Department for Transport","Policy","80","70","44170","42470"
"In post","2021","Asian","Department for Transport","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","7340","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Digital, Data and Technology","60","60","44300","40860"
"In post","2021","Asian","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Finance","60","60","38720","36820"
"In post","2021","Asian","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Medicine","110","100","87850","92370"
"In post","2021","Asian","Department of Health and Social Care","Operational Delivery","350","320","34420","32090"
"In post","2021","Asian","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Other","50","50","41550","33100"
"In post","2021","Asian","Department of Health and Social Care","Policy","90","80","41680","34700"
"In post","2021","Asian","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Science and Engineering","280","270","35740","33090"
"In post","2021","Asian","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Policy","250","250","44530","38410"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Operational Delivery","160","150","27130","27130"
"In post","2021","Asian","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Digital, Data and Technology","100","100","39960","36160"
"In post","2021","Asian","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Finance","90","80","37330","32520"
"In post","2021","Asian","HM Revenue and Customs","Human Resources","40","30","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
