"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","60","60","42040","38630"
"In post","2021","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","50","50","40470","36310"
"In post","2021","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","50","50","[c]","[c]"
"In post","2021","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","360","330","28390","25560"
"In post","2021","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","50","50","35320","27710"
"In post","2021","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","130","130","44620","40220"
"In post","2021","Chinese","Project Delivery","30","30","[c]","[c]"
"In post","2021","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","50","50","43810","40070"
"In post","2021","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","50","50","38390","31870"
"In post","2021","Chinese","Unknown","210","190","31350","27570"
"In post","2021","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","90","80","38980","34800"
"In post","2021","Mixed","Communications","110","110","41630","39070"
"In post","2021","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","210","210","42750","39440"
"In post","2021","Mixed","Economics","90","90","45070","43840"
"In post","2021","Mixed","Finance","150","140","41130","38390"
"In post","2021","Mixed","Human Resources","160","150","40820","37460"
"In post","2021","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","60","60","39240","35450"
"In post","2021","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","40","40","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Mixed","Legal","290","270","50690","51250"
"In post","2021","Mixed","Medicine","40","40","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","2730","2560","29770","26810"
"In post","2021","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other","270","260","33710","29080"
"In post","2021","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Policy","890","870","44760","40260"
"In post","2021","Mixed","Project Delivery","260","250","42320","38630"
"In post","2021","Mixed","Property","90","80","35100","32780"
"In post","2021","Mixed","Psychology","30","30","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","200","200","37140","34530"
"In post","2021","Mixed","Security","90","90","34580","31490"
"In post","2021","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Statistics","40","40","[c]","[c]"
"In post","2021","Mixed","Tax","210","200","35610","31810"
"In post","2021","Mixed","Unknown","2090","1970","31180","27570"
"In post","2021","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data and Technology","80","80","41730","38900"
"In post","2021","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Finance","60","60","39270","36840"
"In post","2021","Other ethnicity","Human Resources","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","130","120","57240","57080"
"In post","2021","Other ethnicity","Medicine","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Operational Delivery","790","740","30430","27270"
"In post","2021","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Other","120","110","35210","28670"
"In post","2021","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Policy","270","260","45630","40050"
"In post","2021","Other ethnicity","Project Delivery","80","80","42040","40000"
"In post","2021","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Science and Engineering","100","90","41840","39650"
"In post","2021","Other ethnicity","Security","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Tax","60","60","36050","31810"
"In post","2021","Other ethnicity","Unknown","590","550","31860","29290"
"In post","2021","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","230","220","39830","38240"
"In post","2021","Undeclared","Communications","110","110","40850","39080"
"In post","2021","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","700","680","42090","39210"
"In post","2021","Undeclared","Economics","70","70","50370","54760"
"In post","2021","Undeclared","Finance","390","380","41030","37510"
"In post","2021","Undeclared","Human Resources","220","210","36620","33300"
"In post","2021","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","210","200","35250","31870"
"In post","2021","Undeclared","Internal Audit","40","40","[c]","[c]"
"In post","2021","Undeclared","International Trade","50","50","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","190","170","38180","34720"
"In post","2021","Undeclared","Legal","460","440","44170","39800"
"In post","2021","Undeclared","Medicine","80","70","64590","48580"
"In post","2021","Undeclared","Operational Delivery","6850","6340","30080","27370"
"In post","2021","Undeclared","Operational Research","80","70","43110","44870"
"In post","2021","Undeclared","Other","1000","960","32060","27500"
"In post","2021","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Policy","1190","1160","48120","46070"
"In post","2021","Undeclared","Project Delivery","820","800","43330","40580"
"In post","2021","Undeclared","Property","390","370","38290","35290"
"In post","2021","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","1090","1050","41300","39840"
"In post","2021","Undeclared","Security","430","430","34550","37650"
"In post","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","50","50","42240","39850"
"In post","2021","Undeclared","Tax","760","700","39090","35000"
"In post","2021","Undeclared","Unknown","5000","4470","29400","27570"
"In post","2021","Undeclared","Veterinarian","30","30","[c]","[c]"
"In post","2021","Unknown","Commercial","590","570","39310","36900"
"In post","2021","Unknown","Communications","700","680","42530","38750"
"In post","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","170","160","41000","38510"
"In post","2021","Unknown","Digital, Data and Technology","2210","2180","40470","36830"
"In post","2021","Unknown","Economics","420","410","43160","36190"
"In post","2021","Unknown","Finance","960","920","37650","33550"
"In post","2021","Unknown","Human Resources","670","640","35890","32000"
"In post","2021","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","290","290","43500","41460"
"In post","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","440","430","45480","39110"
"In post","2021","Unknown","Knowledge and Information Management","170","160","36580","33550"
"In post","2021","Unknown","Legal","1730","1640","44950","40800"
"In post","2021","Unknown","Medicine","360","320","46350","37890"
"In post","2021","Unknown","Operational Delivery","25860","24070","26300","23970"
"In post","2021","Unknown","Operational Research","100","100","40900","37320"
"In post","2021","Unknown","Other","3810","3720","35630","32700"
"In post","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","4190","4090","45870","41090"
"In post","2021","Unknown","Project Delivery","1410","1380","41880","38630"
"In post","2021","Unknown","Property","920","870","34410","30500"
"In post","2021","Unknown","Psychology","170","160","33110","30450"
"In post","2021","Unknown","Science and Engineering","1000","970","35720","32790"
"In post","2021","Unknown","Security","1010","1000","31120","28530"
"In post","2021","Unknown","Social Research","130","120","37900","36770"
"In post","2021","Unknown","Statistics","260","250","39150","36160"
"In post","2021","Unknown","Tax","4930","4720","27190","25560"
"In post","2021","Unknown","Unknown","14450","13760","34890","28000"
"In post","2021","Unknown","Veterinarian","60","50","45790","37910"
"In post","2021","White","Commercial","4010","3860","40840","37850"
"In post","2021","White","Communications","2720","2610","41600","38310"
"In post","2021","White","Corporate Finance","120","110","46920","46080"
"In post","2021","White","Counter Fraud","590","570","37870","34990"
"In post","2021","White","Digital, Data and Technology","8760","8500","42050","38630"
"In post","2021","White","Economics","1300","1270","49070","49120"
"In post","2021","White","Finance","6430","6080","40790","36960"
"In post","2021","White","Human Resources","6050","5710","39120","34150"
"In post","2021","White","Inspector of Education and Training","780","760","66770","74730"
"In post","2021","White","Intelligence Analysis","2540","2430","34310","30980"
"In post","2021","White","Internal Audit","570","550","45960","42890"
"In post","2021","White","International Trade","760","750","48670","50940"
"In post","2021","White","Knowledge and Information Management","1780","1700","36870","33380"
"In post","2021","White","Legal","8190","7610","48770","50520"
"In post","2021","White","Medicine","1710","1540","55140","40580"
"In post","2021","White","Operational Delivery","123590","113210","29100","26300"
"In post","2021","White","Operational Research","910","870","44890","46080"
"In post","2021","White","Other","16050","15350","30860","26350"
"In post","2021","White","Planning","170","160","47750","42140"
"In post","2021","White","Planning Inspectors","300","260","58310","58810"
"In post","2021","White","Policy","19410","18820","48740","47000"
"In post","2021","White","Project Delivery","12100","11710","42660","39450"
"In post","2021","White","Property","5160","4940","36530","33300"
"In post","2021","White","Psychology","1130","1070","35990","31180"
"In post","2021","White","Science and Engineering","10790","10350","38940","37320"
"In post","2021","White","Security","6330","6180","31340","27420"
"In post","2021","White","Social Research","920","880","43280","41110"
"In post","2021","White","Statistics","1460","1400","44280","40480"
"In post","2021","White","Tax","9970","9330","36000","31810"
"In post","2021","White","Unknown","85480","77350","30500","27570"
"In post","2021","White","Veterinarian","340","330","46020","45170"
"In post","2022","Asian","Commercial","300","290","38690","36500"
"In post","2022","Asian","Communications","190","190","39820","37760"
"In post","2022","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","620","560","28180","27570"
"In post","2022","Asian","Digital, Data and Technology","1400","1390","42920","40000"
"In post","2022","Asian","Economics","220","220","43750","38020"
"In post","2022","Asian","Finance","1000","970","40580","37100"
"In post","2022","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","560","540","37920","34910"
"In post","2022","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","200","190","32270","29080"
"In post","2022","Asian","Internal Audit","90","80","46470","43440"
"In post","2022","Asian","International Trade","140","140","44960","38540"
"In post","2022","Asian","Knowledge and Information Management","120","110","34430","31910"
"In post","2022","Asian","Legal","1040","980","48780","50500"
"In post","2022","Asian","Medicine","190","170","70180","70890"
"In post","2022","Asian","Operational Delivery","17430","15940","28210","27570"
"In post","2022","Asian","Operational Research","60","60","44150","40180"
"In post","2022","Asian","Other","1680","1560","30200","27570"
"In post","2022","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","2410","2360","43750","40050"
"In post","2022","Asian","Project Delivery","970","930","41340","38550"
"In post","2022","Asian","Property","330","320","38030","34150"
"In post","2022","Asian","Psychology","40","40","[c]","[c]"
"In post","2022","Asian","Science and Engineering","600","580","38100","36330"
"In post","2022","Asian","Security","350","340","31970","29060"
"In post","2022","Asian","Social Research","50","50","42220","38340"
"In post","2022","Asian","Statistics","180","170","43140","40270"
"In post","2022","Asian","Tax","1970","1900","33630","33080"
"In post","2022","Asian","Unknown","1450","1420","38860","34550"
"In post","2022","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","200","190","37410","36340"
"In post","2022","Black","Communications","110","110","38650","35010"
"In post","2022","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","320","290","29170","27570"
"In post","2022","Black","Digital, Data and Technology","600","600","40270","37290"
"In post","2022","Black","Economics","70","70","40480","34840"
"In post","2022","Black","Finance","450","440","39770","36880"
"In post","2022","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","350","340","37130","34440"
"In post","2022","Black","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","50","50","31970","30530"
"In post","2022","Black","Internal Audit","30","30","[c]","[c]"
"In post","2022","Black","International Trade","70","70","41810","38540"
"In post","2022","Black","Knowledge and Information Management","60","60","33130","31000"
"In post","2022","Black","Legal","480","470","48950","50500"
"In post","2022","Black","Medicine","60","60","59440","45140"
"In post","2022","Black","Operational Delivery","9600","9090","29610","28650"
"In post","2022","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Black","Other","810","780","30250","29200"
"In post","2022","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Black","Policy","1300","1280","40240","36650"
"In post","2022","Black","Project Delivery","560","550","40110","37770"
"In post","2022","Black","Property","170","160","38350","34960"
"In post","2022","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","280","270","38120","37700"
"In post","2022","Black","Security","140","140","32260","28990"
"In post","2022","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","60","60","40390","39580"
"In post","2022","Black","Tax","580","570","32980","33080"
"In post","2022","Black","Unknown","630","620","39630","35590"
"In post","2022","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","110","110","38200","36500"
"In post","2022","Mixed","Communications","110","110","43140","38640"
"In post","2022","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","110","100","29430","27570"
"In post","2022","Mixed","Digital, Data and Technology","290","280","41970","39780"
"In post","2022","Mixed","Economics","90","80","43360","41060"
"In post","2022","Mixed","Finance","200","190","40590","36990"
"In post","2022","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","220","220","40620","37580"
"In post","2022","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","60","60","38180","33280"
"In post","2022","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","50","50","49480","51710"
"In post","2022","Mixed","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Mixed","Legal","300","280","50920","51830"
"In post","2022","Mixed","Medicine","40","40","[c]","[c]"
"In post","2022","Mixed","Operational Delivery","4370","4110","29390","27570"
"In post","2022","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Other","450","430","31370","27570"
"In post","2022","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Policy","1080","1060","45820","41950"
"In post","2022","Mixed","Project Delivery","280","270","42380","40100"
"In post","2022","Mixed","Property","90","90","36070","33300"
"In post","2022","Mixed","Psychology","40","40","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","230","220","37740","36330"
"In post","2022","Mixed","Security","100","100","36080","35980"
"In post","2022","Mixed","Social Research","30","30","[c]","[c]"
"In post","2022","Mixed","Statistics","40","40","[c]","[c]"
"In post","2022","Mixed","Tax","290","280","35710","33370"
"In post","2022","Mixed","Unknown","510","490","43130","37540"
"In post","2022","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","100","100","43530","39470"
"In post","2022","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","50","50","[c]","[c]"
"In post","2022","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","50","50","35720","30470"
"In post","2022","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","90","80","53060","52730"
"In post","2022","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","1260","1180","30180","28140"
"In post","2022","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","120","120","37350","31060"
"In post","2022","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Policy","320","310","45840","41950"
"In post","2022","Other ethnicity","Project Delivery","70","70","43030","40030"
"In post","2022","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","90","90","41320","39650"
"In post","2022","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","90","80","36150","33370"
"In post","2022","Other ethnicity","Unknown","130","120","42050","36650"
"In post","2022","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","250","240","40490","38090"
"In post","2022","Undeclared","Communications","110","110","41610","39660"
"In post","2022","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","390","350","28890","27570"
"In post","2022","Undeclared","Digital, Data and Technology","1060","1030","42210","39700"
"In post","2022","Undeclared","Economics","50","50","52730","57010"
"In post","2022","Undeclared","Finance","530","510","40200","36930"
"In post","2022","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","290","270","37240","33380"
"In post","2022","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","200","190","36190","33300"
"In post","2022","Undeclared","Internal Audit","40","30","[c]","[c]"
"In post","2022","Undeclared","International Trade","70","70","51850","51970"
"In post","2022","Undeclared","Knowledge and Information Management","160","150","35630","33140"
"In post","2022","Undeclared","Legal","500","470","47490","44780"
"In post","2022","Undeclared","Medicine","80","70","67390","65750"
"In post","2022","Undeclared","Operational Delivery","9720","8840","29440","27570"
"In post","2022","Undeclared","Operational Research","60","60","43560","45430"
"In post","2022","Undeclared","Other","1240","1160","29910","27570"
"In post","2022","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","1210","1180","48410","46730"
"In post","2022","Undeclared","Project Delivery","710","680","44360","40910"
"In post","2022","Undeclared","Property","580","540","38400","34000"
"In post","2022","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","990","950","41810","40200"
"In post","2022","Undeclared","Security","450","440","36060","37710"
"In post","2022","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","60","50","45500","41590"
"In post","2022","Undeclared","Tax","750","700","41330","37930"
"In post","2022","Undeclared","Unknown","620","600","44650","39660"
"In post","2022","Undeclared","Veterinarian","30","30","[c]","[c]"
"In post","2022","Unknown","Commercial","690","670","39190","36820"
"In post","2022","Unknown","Communications","720","710","43500","39630"
"In post","2022","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","430","410","33160","29290"
"In post","2022","Unknown","Digital, Data and Technology","2970","2930","41960","38110"
"In post","2022","Unknown","Economics","320","310","43160","35070"
"In post","2022","Unknown","Finance","1200","1160","39910","36820"
"In post","2022","Unknown","Geography","130","120","30560","29290"
"In post","2022","Unknown","Human Resources","820","790","37360","32910"
"In post","2022","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","260","260","33810","30930"
"In post","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","430","420","45130","40020"
"In post","2022","Unknown","Knowledge and Information Management","200","200","35950","32580"
"In post","2022","Unknown","Legal","1740","1660","45310","40520"
"In post","2022","Unknown","Medicine","400","340","49440","39030"
"In post","2022","Unknown","Operational Delivery","34800","32390","27540","25110"
"In post","2022","Unknown","Operational Research","120","120","39990","37930"
"In post","2022","Unknown","Other","4180","4080","34700","32120"
"In post","2022","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","Unknown","Policy","3970","3880","45930","41950"
"In post","2022","Unknown","Project Delivery","1500","1460","42760","40180"
"In post","2022","Unknown","Property","840","820","34720","30730"
"In post","2022","Unknown","Psychology","180","170","32550","30450"
"In post","2022","Unknown","Science and Engineering","910","880","36330","32790"
"In post","2022","Unknown","Security","1130","1120","32000","28650"
"In post","2022","Unknown","Social Research","150","150","39980","38340"
"In post","2022","Unknown","Statistics","280","270","38960","36840"
"In post","2022","Unknown","Tax","4570","4380","29910","26820"
"In post","2022","Unknown","Unknown","9370","9140","40820","32000"
"In post","2022","Unknown","Veterinarian","50","40","[c]","[c]"
"In post","2022","White","Commercial","4610","4430","40200","37400"
"In post","2022","White","Communications","2900","2790","42500","39240"
"In post","2022","White","Corporate Finance","100","100","48930","47010"
"In post","2022","White","Counter Fraud","4680","4200","29020","27570"
"In post","2022","White","Digital, Data and Technology","13590","13180","42130","38550"
"In post","2022","White","Economics","1330","1290","49550","51210"
