"Status","Year","Profession_of_post","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Delivery","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","20-29","140","140","33880","32660"
"In post","2021","Operational Research","Female","30-39","130","120","45900","46080"
"In post","2021","Operational Research","Female","40-49","100","80","48580","46650"
"In post","2021","Operational Research","Female","50-59","50","50","49850","46130"
"In post","2021","Operational Research","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","20-29","200","200","34610","33930"
"In post","2021","Operational Research","Male","30-39","220","220","45400","46080"
"In post","2021","Operational Research","Male","40-49","140","130","50790","47880"
"In post","2021","Operational Research","Male","50-59","140","140","50720","47310"
"In post","2021","Operational Research","Male","60-64","40","30","[c]","[c]"
"In post","2021","Operational Research","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","16-19","30","30","[c]","[c]"
"In post","2021","Other","Female","20-29","1340","1320","27790","26250"
"In post","2021","Other","Female","30-39","2020","1870","32270","27850"
"In post","2021","Other","Female","40-49","2450","2290","32750","26670"
"In post","2021","Other","Female","50-59","3530","3360","29110","23130"
"In post","2021","Other","Female","60-64","1080","970","27160","22080"
"In post","2021","Other","Female","65+","320","270","25000","21580"
"In post","2021","Other","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Male","16-19","60","60","18980","17060"
"In post","2021","Other","Male","20-29","1280","1270","28200","26950"
"In post","2021","Other","Male","30-39","1780","1770","35170","31850"
"In post","2021","Other","Male","40-49","2300","2280","37430","32670"
"In post","2021","Other","Male","50-59","4290","4220","33810","29670"
"In post","2021","Other","Male","60-64","1610","1520","31320","26930"
"In post","2021","Other","Male","65+","590","530","29840","26670"
"In post","2021","Other","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","40-49","30","30","[c]","[c]"
"In post","2021","Planning","Female","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","40-49","40","40","[c]","[c]"
"In post","2021","Planning Inspectors","Female","50-59","50","50","59190","58810"
"In post","2021","Planning Inspectors","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","30-39","40","30","[c]","[c]"
"In post","2021","Planning Inspectors","Male","40-49","60","50","53230","47660"
"In post","2021","Planning Inspectors","Male","50-59","70","60","59240","58810"
"In post","2021","Planning Inspectors","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","65+","40","20","[c]","[c]"
"In post","2021","Policy","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","20-29","4260","4240","37980","34710"
"In post","2021","Policy","Female","30-39","4450","4260","48520","51500"
"In post","2021","Policy","Female","40-49","3550","3290","51690","52070"
"In post","2021","Policy","Female","50-59","2840","2730","47540","42200"
"In post","2021","Policy","Female","60-64","470","430","43250","37660"
"In post","2021","Policy","Female","65+","120","100","39110","34320"
"In post","2021","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","20-29","3290","3290","38940","35070"
"In post","2021","Policy","Male","30-39","3760","3730","49560","52500"
"In post","2021","Policy","Male","40-49","3000","2980","54870","54400"
"In post","2021","Policy","Male","50-59","2680","2660","53680","53130"
"In post","2021","Policy","Male","60-64","470","430","53550","48080"
"In post","2021","Policy","Male","65+","130","110","52560","50780"
"In post","2021","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","20-29","1110","1100","32900","31810"
"In post","2021","Project Delivery","Female","30-39","1980","1880","39960","37640"
"In post","2021","Project Delivery","Female","40-49","2170","2060","43400","39960"
"In post","2021","Project Delivery","Female","50-59","2340","2260","42740","38630"
"In post","2021","Project Delivery","Female","60-64","370","330","37490","35000"
"In post","2021","Project Delivery","Female","65+","80","70","37340","34350"
"In post","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","20-29","950","940","32740","31810"
"In post","2021","Project Delivery","Male","30-39","1720","1720","42320","39860"
"In post","2021","Project Delivery","Male","40-49","2030","2020","46790","42000"
"In post","2021","Project Delivery","Male","50-59","2480","2450","48020","42540"
"In post","2021","Project Delivery","Male","60-64","610","550","45690","41070"
"In post","2021","Project Delivery","Male","65+","170","140","42630","39800"
"In post","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","20-29","290","280","28470","26660"
"In post","2021","Property","Female","30-39","460","430","35480","33300"
"In post","2021","Property","Female","40-49","720","660","36660","33300"
"In post","2021","Property","Female","50-59","1000","950","35250","33000"
"In post","2021","Property","Female","60-64","230","190","32070","29720"
"In post","2021","Property","Female","65+","70","50","26660","26350"
"In post","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","20-29","330","330","28790","28080"
"In post","2021","Property","Male","30-39","560","550","36360","33300"
"In post","2021","Property","Male","40-49","820","810","38750","34270"
"In post","2021","Property","Male","50-59","1620","1600","40070","36520"
"In post","2021","Property","Male","60-64","590","540","37950","34620"
"In post","2021","Property","Male","65+","250","220","33460","33300"
"In post","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Female","20-29","340","330","27480","27380"
"In post","2021","Psychology","Female","30-39","520","500","35200","31180"
"In post","2021","Psychology","Female","40-49","260","240","44970","46370"
"In post","2021","Psychology","Female","50-59","110","100","39200","31180"
"In post","2021","Psychology","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","30-39","60","60","34670","31180"
"In post","2021","Psychology","Male","40-49","50","40","[c]","[c]"
"In post","2021","Psychology","Male","50-59","30","30","[c]","[c]"
"In post","2021","Psychology","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","20-29","980","970","29260","28590"
"In post","2021","Science and Engineering","Female","30-39","1220","1130","37120","37240"
"In post","2021","Science and Engineering","Female","40-49","1200","1070","43200","40650"
"In post","2021","Science and Engineering","Female","50-59","850","780","43510","40760"
"In post","2021","Science and Engineering","Female","60-64","160","140","40690","37380"
"In post","2021","Science and Engineering","Female","65+","60","50","40290","34190"
"In post","2021","Science and Engineering","Male","16-19","100","100","17560","16990"
"In post","2021","Science and Engineering","Male","20-29","1770","1760","28720","28650"
"In post","2021","Science and Engineering","Male","30-39","1750","1730","39100","38560"
"In post","2021","Science and Engineering","Male","40-49","1890","1870","43500","42000"
"In post","2021","Science and Engineering","Male","50-59","2800","2760","42540","41480"
"In post","2021","Science and Engineering","Male","60-64","910","840","40380","38580"
"In post","2021","Science and Engineering","Male","65+","390","310","39390","36330"
"In post","2021","Security","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","20-29","300","300","27610","25680"
"In post","2021","Security","Female","30-39","400","390","33760","32690"
"In post","2021","Security","Female","40-49","390","370","34800","33300"
"In post","2021","Security","Female","50-59","540","520","32600","28840"
"In post","2021","Security","Female","60-64","80","70","28020","22650"
"In post","2021","Security","Female","65+","30","30","[c]","[c]"
"In post","2021","Security","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","20-29","760","760","26510","25680"
"In post","2021","Security","Male","30-39","1130","1130","32270","30700"
"In post","2021","Security","Male","40-49","1300","1300","33190","34220"
"In post","2021","Security","Male","50-59","2470","2450","32840","33000"
"In post","2021","Security","Male","60-64","690","630","27830","20920"
"In post","2021","Security","Male","65+","200","180","26020","21130"
"In post","2021","Security","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","20-29","290","290","35600","33930"
"In post","2021","Social Research","Female","30-39","230","210","43860","42590"
"In post","2021","Social Research","Female","40-49","180","160","49270","47000"
"In post","2021","Social Research","Female","50-59","90","80","48840","47000"
"In post","2021","Social Research","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","20-29","120","120","36170","34770"
"In post","2021","Social Research","Male","30-39","120","120","43060","40320"
"In post","2021","Social Research","Male","40-49","60","60","46310","44930"
"In post","2021","Social Research","Male","50-59","40","40","[c]","[c]"
"In post","2021","Social Research","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","20-29","330","330","35240","33680"
"In post","2021","Statistics","Female","30-39","290","270","44790","42950"
"In post","2021","Statistics","Female","40-49","200","180","51020","50090"
"In post","2021","Statistics","Female","50-59","110","100","47930","47270"
"In post","2021","Statistics","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","20-29","310","310","34840","33210"
"In post","2021","Statistics","Male","30-39","310","300","44120","41500"
"In post","2021","Statistics","Male","40-49","220","220","49500","49440"
"In post","2021","Statistics","Male","50-59","180","180","49380","46000"
"In post","2021","Statistics","Male","60-64","40","30","[c]","[c]"
"In post","2021","Statistics","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","16-19","80","80","20270","20140"
"In post","2021","Tax","Female","20-29","1780","1730","26460","25560"
"In post","2021","Tax","Female","30-39","1860","1740","31480","31810"
"In post","2021","Tax","Female","40-49","1640","1510","33680","31810"
"In post","2021","Tax","Female","50-59","2360","2200","35530","31870"
"In post","2021","Tax","Female","60-64","580","440","34360","31810"
"In post","2021","Tax","Female","65+","120","80","33290","31470"
"In post","2021","Tax","Male","16-19","70","70","20460","20140"
"In post","2021","Tax","Male","20-29","1960","1930","27440","25560"
