"Status","Year","Disability","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Barnet","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","250","210","24920","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Ministry of Justice","170","150","29240","26810"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","70","60","27440","27570"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","1180","1140","37390","35010"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","70","70","31570","31300"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Ministry of Justice","50","50","29290","27850"
"In post","2021","Declared disabled","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","HM Revenue and Customs","180","160","28300","25560"
"In post","2021","Declared disabled","Belfast","Home Office","30","30","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Department for Work and Pensions","70","60","29600","29290"
"In post","2021","Declared disabled","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Ministry of Defence","80","80","34650","37320"
"In post","2021","Declared disabled","Berkshire","Ministry of Justice","50","50","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Department for Work and Pensions","50","50","30960","31060"
"In post","2021","Declared disabled","Bexley and Greenwich","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Ministry of Justice","110","100","31010","30600"
"In post","2021","Declared disabled","Birmingham","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Department for Business, Energy and Industrial Strategy","70","70","31470","30360"
"In post","2021","Declared disabled","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Department for Work and Pensions","390","340","27320","27570"
"In post","2021","Declared disabled","Birmingham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","HM Revenue and Customs","250","230","32080","31810"
"In post","2021","Declared disabled","Birmingham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Ministry of Justice","390","370","26090","22570"
"In post","2021","Declared disabled","Birmingham","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Department for Work and Pensions","50","40","26610","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Department for Work and Pensions","740","660","27440","27570"
"In post","2021","Declared disabled","Blackpool","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Department for Work and Pensions","60","50","27020","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Department for Work and Pensions","120","100","24500","27570"
"In post","2021","Declared disabled","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","HM Revenue and Customs","170","140","27060","25560"
"In post","2021","Declared disabled","Bradford","Ministry of Justice","50","50","26700","23130"
"In post","2021","Declared disabled","Breckland and South Norfolk","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Declared disabled","Brent","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Declared disabled","Brent","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Department for Work and Pensions","70","60","25670","27570"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Department for Work and Pensions","50","50","27160","27570"
"In post","2021","Declared disabled","Brighton and Hove","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Environment, Food and Rural Affairs","90","90","38840","36520"
"In post","2021","Declared disabled","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Transport","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Department for Work and Pensions","170","150","25950","27570"
"In post","2021","Declared disabled","Bristol, City of","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","HM Revenue and Customs","130","120","35870","31810"
"In post","2021","Declared disabled","Bristol, City of","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Ministry of Housing, Communities and Local Government","60","60","34360","27530"
"In post","2021","Declared disabled","Bristol, City of","Ministry of Justice","100","90","27120","23970"
"In post","2021","Declared disabled","Bristol, City of","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Department for Work and Pensions","50","50","32650","31090"
"In post","2021","Declared disabled","Bromley","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Ministry of Defence","70","70","33850","29930"
"In post","2021","Declared disabled","Buckinghamshire CC","Ministry of Justice","80","80","28400","28200"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Department for Work and Pensions","140","120","26520","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Ministry of Defence","120","110","34220","33300"
"In post","2021","Declared disabled","Cambridgeshire CC","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Ministry of Justice","130","120","30890","31010"
"In post","2021","Declared disabled","Cambridgeshire CC","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","HM Revenue and Customs","110","100","38430","36160"
"In post","2021","Declared disabled","Camden and City of London","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Ministry of Justice","100","100","26480","23500"
"In post","2021","Declared disabled","Camden and City of London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","90","80","32330","27460"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department for Work and Pensions","190","170","27730","27570"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","HM Revenue and Customs","370","330","28820","25560"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Home Office","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Ministry of Justice","130","130","28610","23840"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Welsh Government","180","160","41570","37410"
"In post","2021","Declared disabled","Causeway Coast and Glens","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","Ministry of Defence","360","350","35350","33300"
"In post","2021","Declared disabled","Central Hampshire","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Department for Work and Pensions","100","90","26240","27570"
"In post","2021","Declared disabled","Central Valleys","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Welsh Government","50","50","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","Department for Work and Pensions","60","50","25670","27570"
"In post","2021","Declared disabled","Cheshire West and Chester","Food Standards Agency","[c]","[c]","[c]","[c]"
