"Status","Year","Sexual_orientation","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Undeclared","160","160","43940","39100"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Unknown","460","450","38240","36500"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","450","440","40370","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","3140","3030","42890","38490"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","120","120","40300","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","60","60","44510","39460"
"In post","2021","Heterosexual / straight","Department for International Trade","Declared disabled","120","120","45620","41640"
"In post","2021","Heterosexual / straight","Department for International Trade","Declared non-disabled","1100","1090","46840","42230"
"In post","2021","Heterosexual / straight","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Unknown","290","290","45250","38540"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Declared disabled","150","140","45280","42890"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Declared non-disabled","2000","1950","49890","45140"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Unknown","120","110","44540","42470"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Declared disabled","11020","9670","27190","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Declared non-disabled","45150","41000","28090","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Undeclared","2190","2030","27340","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Unknown","380","350","28160","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Declared disabled","90","80","46440","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Declared non-disabled","720","690","50130","50890"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Unknown","570","550","45790","40650"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Declared non-disabled","110","100","28280","22230"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Unknown","50","50","33020","29190"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Declared disabled","380","320","24830","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Declared non-disabled","3210","2910","27120","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Undeclared","200","180","27080","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Unknown","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Declared disabled","300","270","29590","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Declared non-disabled","2360","2250","30390","27680"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Undeclared","100","90","29410","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Declared disabled","110","110","39080","36960"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Declared non-disabled","950","920","42210","37100"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Undeclared","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Unknown","100","100","36260","36500"
"In post","2021","Heterosexual / straight","Education Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Declared non-disabled","100","90","58060","66290"
"In post","2021","Heterosexual / straight","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Unknown","70","70","60310","69160"
"In post","2021","Heterosexual / straight","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Declared non-disabled","90","80","58230","74730"
"In post","2021","Heterosexual / straight","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Declared disabled","60","60","37390","32850"
"In post","2021","Heterosexual / straight","FCDO Services","Declared non-disabled","730","700","40810","37420"
"In post","2021","Heterosexual / straight","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Declared disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Declared non-disabled","480","460","38230","32940"
"In post","2021","Heterosexual / straight","Food Standards Agency","Undeclared","340","330","38470","37350"
"In post","2021","Heterosexual / straight","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Declared non-disabled","90","90","35530","30650"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","560","540","44220","38600"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","4200","4120","48880","44770"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","110","110","48440","43690"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","230","230","54340","55430"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Declared non-disabled","200","190","34900","34140"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Declared non-disabled","140","130","69230","65470"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","Declared disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","Declared non-disabled","320","300","48910","47150"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Legal Department","Declared disabled","130","120","53150","51830"
"In post","2021","Heterosexual / straight","Government Legal Department","Declared non-disabled","1390","1300","53400","51250"
"In post","2021","Heterosexual / straight","Government Legal Department","Undeclared","60","50","53610","51940"
"In post","2021","Heterosexual / straight","Government Legal Department","Unknown","60","50","48320","51830"
"In post","2021","Heterosexual / straight","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Property Agency","Declared non-disabled","130","130","50810","49700"
"In post","2021","Heterosexual / straight","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Declared disabled","240","220","39530","35910"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Declared non-disabled","1510","1420","43990","41480"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Undeclared","70","60","41370","40620"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Declared disabled","1660","1490","23820","20650"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Declared non-disabled","9500","8520","25020","21180"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Undeclared","590","520","24140","20650"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Unknown","60","60","24150","21300"
"In post","2021","Heterosexual / straight","HM Land Registry","Declared disabled","350","300","30630","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Declared non-disabled","2590","2320","33380","30600"
"In post","2021","Heterosexual / straight","HM Land Registry","Undeclared","50","50","29700","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Unknown","560","540","27210","22350"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Declared disabled","4690","4400","30580","28690"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Declared non-disabled","29490","28050","30330","28200"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Undeclared","3030","2820","31680","31650"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Unknown","270","260","27260","25810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Declared disabled","3900","3500","31390","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Declared non-disabled","27820","25820","33210","31810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Undeclared","860","800","31420","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Unknown","2040","1790","29580","25560"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Declared disabled","130","130","45770","42650"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Declared non-disabled","1200","1180","48350","52500"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Undeclared","150","150","44430","37450"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Declared disabled","2400","2200","31020","27370"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Declared non-disabled","24950","23130","31910","27370"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Undeclared","570","530","31080","28650"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Unknown","270","270","33700","28650"
"In post","2021","Heterosexual / straight","Insolvency Service","Declared disabled","100","100","35590","32060"
"In post","2021","Heterosexual / straight","Insolvency Service","Declared non-disabled","670","640","35490","34390"
"In post","2021","Heterosexual / straight","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Insolvency Service","Unknown","120","110","29340","24260"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Declared non-disabled","120","120","49530","50230"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Declared disabled","110","110","25640","21310"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Declared non-disabled","780","730","29590","23370"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Declared disabled","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Declared non-disabled","700","670","38830","35280"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Unknown","120","120","33740","31350"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","400","390","49520","46460"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Unknown","350","340","43100","40450"
"In post","2021","Heterosexual / straight","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Declared disabled","2720","2610","31440","27570"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Declared non-disabled","22140","21420","32040","27680"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Undeclared","1240","1210","30290","26670"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Unknown","2520","2430","32140","27420"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","220","210","42840","38230"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","1640","1590","46630","42900"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","60","60","41960","38160"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Declared disabled","430","420","40200","36710"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Declared non-disabled","2980","2900","42450","37580"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Undeclared","210","210","39870","36800"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","National Crime Agency","Declared disabled","160","150","38240","36630"
"In post","2021","Heterosexual / straight","National Crime Agency","Declared non-disabled","1510","1460","43520","40210"
"In post","2021","Heterosexual / straight","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Crime Agency","Unknown","2420","2380","38010","36410"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Records of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Records of Scotland","Declared non-disabled","120","110","39020","35110"
"In post","2021","Heterosexual / straight","National Records of Scotland","Unknown","50","50","35710","33620"
"In post","2021","Heterosexual / straight","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Savings and Investments","Declared non-disabled","130","130","50220","45130"
"In post","2021","Heterosexual / straight","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Declared non-disabled","70","70","46150","39080"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Budget Responsibility","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Budget Responsibility","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Declared disabled","110","110","45660","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","1250","1210","50920","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Unknown","70","70","43880","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Declared non-disabled","420","410","43310","37240"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Declared non-disabled","140","130","45520","40250"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Declared non-disabled","160","150","51450","51310"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Declared disabled","160","150","22690","20420"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Declared non-disabled","830","770","22150","19930"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Undeclared","60","50","21670","19930"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Declared disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Declared non-disabled","490","460","46230","47660"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Public Health England","Declared disabled","250","230","39050","33290"
"In post","2021","Heterosexual / straight","Public Health England","Declared non-disabled","3750","3430","41320","36330"
"In post","2021","Heterosexual / straight","Public Health England","Undeclared","180","150","44930","40070"
"In post","2021","Heterosexual / straight","Public Health England","Unknown","470","440","49140","42370"
"In post","2021","Heterosexual / straight","Queen Elizabeth II Centre","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Queen Elizabeth II Centre","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Registers of Scotland","Declared disabled","90","90","32450","30080"
"In post","2021","Heterosexual / straight","Registers of Scotland","Declared non-disabled","470","450","33650","30080"
"In post","2021","Heterosexual / straight","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Registers of Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Revenue Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Revenue Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Royal Fleet Auxiliary","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Royal Fleet Auxiliary","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Declared disabled","100","90","27380","25880"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Declared non-disabled","850","760","28120","25560"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","[c]","[c]","[c]","[c]"
