"Status","Year","Ethnicity","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Finance","230","220","38420","35200"
"In post","2021","Black","Female","Human Resources","240","230","37720","34500"
"In post","2021","Black","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","International Trade","30","30","[c]","[c]"
"In post","2021","Black","Female","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Black","Female","Legal","310","300","47850","50500"
"In post","2021","Black","Female","Medicine","40","40","[c]","[c]"
"In post","2021","Black","Female","Operational Delivery","3660","3410","28960","26810"
"In post","2021","Black","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Other","340","340","30280","28310"
"In post","2021","Black","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Policy","760","750","38960","34890"
"In post","2021","Black","Female","Project Delivery","320","310","40130","37660"
"In post","2021","Black","Female","Property","80","70","34630","31620"
"In post","2021","Black","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Science and Engineering","160","150","35460","33180"
"In post","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Statistics","30","30","[c]","[c]"
"In post","2021","Black","Female","Tax","240","230","31220","31810"
"In post","2021","Black","Female","Unknown","3010","2810","29970","31060"
"In post","2021","Black","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Commercial","60","60","40360","38000"
"In post","2021","Black","Male","Communications","30","30","[c]","[c]"
"In post","2021","Black","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Digital, Data and Technology","250","250","40270","36750"
"In post","2021","Black","Male","Economics","40","40","[c]","[c]"
"In post","2021","Black","Male","Finance","140","140","41900","39980"
"In post","2021","Black","Male","Human Resources","50","50","38890","35900"
"In post","2021","Black","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Black","Male","Legal","110","110","50720","51190"
"In post","2021","Black","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Operational Delivery","2200","2140","29910","28670"
"In post","2021","Black","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Other","180","170","32090","28810"
"In post","2021","Black","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Policy","340","340","39460","36300"
"In post","2021","Black","Male","Project Delivery","170","170","39510","37390"
"In post","2021","Black","Male","Property","50","50","39720","38420"
"In post","2021","Black","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Science and Engineering","120","120","38770","36510"
"In post","2021","Black","Male","Security","90","90","29280","22650"
"In post","2021","Black","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Tax","190","190","33490","32050"
"In post","2021","Black","Male","Unknown","1350","1330","30650","29290"
"In post","2021","Black","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Finance","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Legal","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Operational Delivery","210","190","28880","25560"
"In post","2021","Chinese","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Other","40","30","[c]","[c]"
"In post","2021","Chinese","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Policy","80","80","46980","42430"
"In post","2021","Chinese","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Unknown","130","110","30330","27570"
"In post","2021","Chinese","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Chinese","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Operational Delivery","150","140","27690","25560"
"In post","2021","Chinese","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Policy","50","50","41100","37230"
"In post","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Unknown","80","80","32910","29290"
"In post","2021","Chinese","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Commercial","60","50","39730","34780"
"In post","2021","Mixed","Female","Communications","70","70","42240","39290"
"In post","2021","Mixed","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Digital, Data and Technology","90","80","41240","39980"
"In post","2021","Mixed","Female","Economics","40","40","[c]","[c]"
"In post","2021","Mixed","Female","Finance","80","80","40710","38140"
"In post","2021","Mixed","Female","Human Resources","110","110","40660","37640"
"In post","2021","Mixed","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Legal","180","160","51550","51830"
"In post","2021","Mixed","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Operational Delivery","1610","1480","29010","26160"
"In post","2021","Mixed","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Other","150","140","33140","28660"
"In post","2021","Mixed","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Policy","520","510","43600","39310"
"In post","2021","Mixed","Female","Project Delivery","140","130","40250","36800"
"In post","2021","Mixed","Female","Property","50","40","[c]","[c]"
"In post","2021","Mixed","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Science and Engineering","80","80","34210","33330"
"In post","2021","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Tax","100","100","32220","31810"
"In post","2021","Mixed","Female","Unknown","1330","1220","30270","27570"
"In post","2021","Mixed","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Commercial","30","30","[c]","[c]"
"In post","2021","Mixed","Male","Communications","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Digital, Data and Technology","130","130","43770","39190"
"In post","2021","Mixed","Male","Economics","50","50","46350","46410"
"In post","2021","Mixed","Male","Finance","70","70","41640","39010"
"In post","2021","Mixed","Male","Human Resources","50","50","[c]","[c]"
"In post","2021","Mixed","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Legal","110","110","49310","50110"
"In post","2021","Mixed","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Operational Delivery","1120","1080","30870","28210"
"In post","2021","Mixed","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Other","120","120","34400","31380"
"In post","2021","Mixed","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Policy","370","370","46390","44230"
"In post","2021","Mixed","Male","Project Delivery","120","120","44730","40110"
"In post","2021","Mixed","Male","Property","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Science and Engineering","120","120","39190","37320"
"In post","2021","Mixed","Male","Security","60","60","32710","29890"
"In post","2021","Mixed","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Tax","110","110","38720","31810"
"In post","2021","Mixed","Male","Unknown","760","750","32770","27570"
"In post","2021","Mixed","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Finance","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Human Resources","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Legal","80","70","56180","55310"
"In post","2021","Other ethnicity","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Operational Delivery","440","400","29240","26550"
"In post","2021","Other ethnicity","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Other","70","60","31820","26950"
"In post","2021","Other ethnicity","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Policy","150","140","44790","38000"
"In post","2021","Other ethnicity","Female","Project Delivery","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Tax","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Unknown","350","320","31410","29290"
"In post","2021","Other ethnicity","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Digital, Data and Technology","50","50","43190","39930"
"In post","2021","Other ethnicity","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Legal","50","50","58840","63830"
"In post","2021","Other ethnicity","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Operational Delivery","350","340","31900","28670"
"In post","2021","Other ethnicity","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Other","50","50","39890","33150"
"In post","2021","Other ethnicity","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Policy","120","120","46620","45960"
"In post","2021","Other ethnicity","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Science and Engineering","60","60","42480","40900"
"In post","2021","Other ethnicity","Male","Security","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Tax","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Male","Unknown","240","230","32520","27570"
"In post","2021","Other ethnicity","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Commercial","100","100","38310","35760"
"In post","2021","Undeclared","Female","Communications","50","40","[c]","[c]"
"In post","2021","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Digital, Data and Technology","160","150","41920","38630"
"In post","2021","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Finance","160","150","38770","35140"
"In post","2021","Undeclared","Female","Human Resources","140","130","36310","33300"
"In post","2021","Undeclared","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Intelligence Analysis","60","60","33160","31360"
"In post","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Knowledge and Information Management","90","80","35910","33300"
"In post","2021","Undeclared","Female","Legal","200","180","46160","43460"
"In post","2021","Undeclared","Female","Medicine","50","40","[c]","[c]"
"In post","2021","Undeclared","Female","Operational Delivery","2900","2580","28840","26470"
"In post","2021","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Other","380","360","29750","26130"
"In post","2021","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Policy","460","440","45320","40950"
"In post","2021","Undeclared","Female","Project Delivery","300","290","40700","38630"
"In post","2021","Undeclared","Female","Property","120","110","36460","33300"
"In post","2021","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Science and Engineering","240","220","41550","38890"
"In post","2021","Undeclared","Female","Security","60","60","32470","30110"
"In post","2021","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Tax","270","240","36750","32460"
"In post","2021","Undeclared","Female","Unknown","2650","2240","28020","27570"
"In post","2021","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Commercial","130","120","41080","39620"
"In post","2021","Undeclared","Male","Communications","70","70","41820","38980"
"In post","2021","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Digital, Data and Technology","530","520","42140","39820"
"In post","2021","Undeclared","Male","Economics","60","60","49910","52280"
"In post","2021","Undeclared","Male","Finance","230","230","42590","38630"
"In post","2021","Undeclared","Male","Human Resources","80","80","37150","33350"
"In post","2021","Undeclared","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Intelligence Analysis","150","140","36110","32100"
"In post","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Knowledge and Information Management","100","90","40350","36460"
"In post","2021","Undeclared","Male","Legal","270","260","42690","38630"
"In post","2021","Undeclared","Male","Medicine","30","30","[c]","[c]"
"In post","2021","Undeclared","Male","Operational Delivery","3950","3750","30980","28220"
"In post","2021","Undeclared","Male","Operational Research","60","60","43680","46080"
"In post","2021","Undeclared","Male","Other","620","600","33480","29200"
"In post","2021","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Policy","730","720","49880","50400"
"In post","2021","Undeclared","Male","Project Delivery","530","510","44820","41720"
"In post","2021","Undeclared","Male","Property","270","260","39140","36460"
"In post","2021","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Science and Engineering","850","830","41230","40260"
"In post","2021","Undeclared","Male","Security","370","370","34890","39070"
"In post","2021","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Statistics","40","30","[c]","[c]"
"In post","2021","Undeclared","Male","Tax","490","460","40360","36160"
"In post","2021","Undeclared","Male","Unknown","2350","2230","30970","27570"
"In post","2021","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","310","290","38650","36820"
"In post","2021","Unknown","Female","Communications","400","390","42090","38650"
"In post","2021","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Counter Fraud","70","70","38750","34790"
"In post","2021","Unknown","Female","Digital, Data and Technology","660","640","40400","36500"
"In post","2021","Unknown","Female","Economics","130","130","42980","36820"
"In post","2021","Unknown","Female","Finance","510","480","36360","32790"
"In post","2021","Unknown","Female","Human Resources","460","430","35610","31810"
"In post","2021","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Intelligence Analysis","120","110","44540","44830"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","International Trade","190","190","44120","39370"
"In post","2021","Unknown","Female","Knowledge and Information Management","80","70","35640","33040"
"In post","2021","Unknown","Female","Legal","950","870","46100","46790"
