"Status","Year","Profession_of_post","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","London","330","330","44300","40000"
"In post","2021","Counter Fraud","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","North West (England)","80","80","39290","39170"
"In post","2021","Counter Fraud","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","West Midlands (England)","70","70","37390","37380"
"In post","2021","Counter Fraud","Counter Fraud","Yorkshire and The Humber","50","50","37940","37910"
"In post","2021","Counter Fraud","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","London","40","40","[c]","[c]"
"In post","2021","Counter Fraud","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","North East (England)","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Scotland","60","60","25480","25040"
"In post","2021","Counter Fraud","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","London","80","80","47300","44740"
"In post","2021","Digital, Data and Technology","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Wales","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Yorkshire and The Humber","70","60","43220","42220"
"In post","2021","Digital, Data and Technology","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","East Midlands (England)","270","270","36460","32300"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","East of England","490","470","36260","33300"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","London","2250","2210","48410","44030"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","North East (England)","650","630","39240","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","North West (England)","740","710","38720","36500"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Scotland","570","560","38820","35720"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","South East (England)","790","770","38260","34950"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","South West (England)","1700","1650","38330","37170"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Wales","1760","1720","40030","37880"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","West Midlands (England)","850","830","41100","38000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Yorkshire and The Humber","740","710","39600","36520"
"In post","2021","Digital, Data and Technology","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","London","80","80","47230","42340"
"In post","2021","Digital, Data and Technology","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","South West (England)","390","370","43030","43350"
"In post","2021","Digital, Data and Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","South West (England)","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","London","850","840","53120","48200"
"In post","2021","Digital, Data and Technology","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","North West (England)","270","270","41930","38020"
"In post","2021","Digital, Data and Technology","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Wales","220","210","37800","37410"
"In post","2021","Digital, Data and Technology","Unknown","Yorkshire and The Humber","80","80","46690","42140"
"In post","2021","Economics","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","London","1070","1050","47760","42020"
"In post","2021","Economics","Analysis","North West (England)","30","30","[c]","[c]"
"In post","2021","Economics","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Wales","120","120","36080","29840"
"In post","2021","Economics","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","London","70","70","44860","40650"
"In post","2021","Economics","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","London","410","400","48850","52290"
"In post","2021","Economics","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","London","60","60","52580","55340"
"In post","2021","Economics","Project Delivery","Overseas","40","40","[c]","[c]"
"In post","2021","Economics","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","London","160","160","45350","35120"
"In post","2021","Economics","Unknown","Wales","50","50","[c]","[c]"
"In post","2021","Economics","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","London","30","30","[c]","[c]"
"In post","2021","Finance","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","East Midlands (England)","180","170","36280","31810"
"In post","2021","Finance","Finance","East of England","390","360","36720","33300"
"In post","2021","Finance","Finance","London","2060","2020","49200","44900"
"In post","2021","Finance","Finance","North East (England)","310","300","40020","38630"
"In post","2021","Finance","Finance","North West (England)","540","520","38730","36500"
"In post","2021","Finance","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Overseas","30","30","[c]","[c]"
"In post","2021","Finance","Finance","Scotland","660","550","27350","21440"
"In post","2021","Finance","Finance","South East (England)","890","850","37010","33300"
"In post","2021","Finance","Finance","South West (England)","970","930","38840","34640"
"In post","2021","Finance","Finance","Wales","380","350","34310","30730"
"In post","2021","Finance","Finance","West Midlands (England)","430","410","39620","36960"
"In post","2021","Finance","Finance","Yorkshire and The Humber","700","650","35150","30210"
"In post","2021","Finance","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","London","180","170","48110","42890"
"In post","2021","Finance","No function","North East (England)","50","50","34860","32650"
"In post","2021","Finance","No function","North West (England)","30","30","[c]","[c]"
"In post","2021","Finance","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","West Midlands (England)","80","70","48170","48770"
"In post","2021","Finance","No function","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Finance","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","London","30","30","[c]","[c]"
"In post","2021","Finance","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Scotland","40","40","[c]","[c]"
"In post","2021","Finance","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","South West (England)","310","300","42320","39860"
"In post","2021","Finance","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","London","200","200","50830","45590"
"In post","2021","Finance","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","North West (England)","60","50","34190","30830"
"In post","2021","Finance","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Wales","330","310","41910","37410"
"In post","2021","Finance","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","East Midlands (England)","360","340","37850","33840"
"In post","2021","Human Resources","Human Resources","East of England","190","170","35680","32910"
"In post","2021","Human Resources","Human Resources","London","1930","1880","46890","42200"
"In post","2021","Human Resources","Human Resources","North East (England)","120","110","36130","33250"
"In post","2021","Human Resources","Human Resources","North West (England)","940","890","33400","29560"
"In post","2021","Human Resources","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Scotland","750","710","29170","25870"
"In post","2021","Human Resources","Human Resources","South East (England)","470","440","36810","33280"
"In post","2021","Human Resources","Human Resources","South West (England)","880","810","35660","32800"
"In post","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Wales","590","550","35200","31190"
"In post","2021","Human Resources","Human Resources","West Midlands (England)","310","290","38780","36260"
"In post","2021","Human Resources","Human Resources","Yorkshire and The Humber","350","330","39050","36820"
"In post","2021","Human Resources","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","London","40","40","[c]","[c]"
"In post","2021","Human Resources","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
