"Status","Year","Responsibility_level","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Operational Delivery","1570","1430","21190","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Policy","50","50","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Property","60","50","21330","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Science and Engineering","260","240","22800","24370"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Commercial","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Communications","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Digital, Data and Technology","60","50","21660","21590"
"In post","2021","AA/AO","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Finance","60","50","21050","21590"
"In post","2021","AA/AO","Department for Transport","Human Resources","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Operational Delivery","5160","4470","21610","21590"
"In post","2021","AA/AO","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Other","120","100","28880","32740"
"In post","2021","AA/AO","Department for Transport","Policy","60","50","21410","21590"
"In post","2021","AA/AO","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Property","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Security","70","60","25240","25390"
"In post","2021","AA/AO","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Operational Delivery","260","220","22080","22160"
"In post","2021","AA/AO","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions","Unknown","29320","25100","21170","21010"
"In post","2021","AA/AO","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Operational Delivery","510","430","20910","19640"
"In post","2021","AA/AO","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Science and Engineering","330","300","21630","21570"
"In post","2021","AA/AO","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Operational Delivery","220","210","24520","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Policy","130","120","27340","28000"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Security","90","90","25940","24030"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Digital, Data and Technology","60","50","21740","22350"
"In post","2021","AA/AO","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Operational Delivery","1760","1670","22480","22350"
"In post","2021","AA/AO","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Finance","550","410","20800","20640"
"In post","2021","AA/AO","HM Revenue and Customs","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Legal","270","230","21170","20370"
"In post","2021","AA/AO","HM Revenue and Customs","Operational Delivery","15150","12790","20900","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Property","120","100","22640","21250"
"In post","2021","AA/AO","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs","Tax","3790","3570","20260","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Unknown","1570","1470","20330","20140"
"In post","2021","AA/AO","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Counter Fraud","40","40","[c]","[c]"
"In post","2021","AA/AO","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Intelligence Analysis","80","70","23090","21430"
"In post","2021","AA/AO","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Operational Delivery","7640","6740","21960","21430"
"In post","2021","AA/AO","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Other","330","310","22270","21430"
"In post","2021","AA/AO","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Security","150","150","22320","22210"
"In post","2021","AA/AO","Home Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Commercial","60","50","22500","20920"
"In post","2021","AA/AO","Ministry of Defence","Communications","100","90","21350","21020"
"In post","2021","AA/AO","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Digital, Data and Technology","120","120","21390","20920"
"In post","2021","AA/AO","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Finance","230","210","21530","21130"
"In post","2021","AA/AO","Ministry of Defence","Human Resources","770","700","21250","21130"
"In post","2021","AA/AO","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Knowledge and Information Management","190","180","21640","21130"
"In post","2021","AA/AO","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Medicine","320","300","22000","22640"
"In post","2021","AA/AO","Ministry of Defence","Operational Delivery","360","330","20770","20920"
"In post","2021","AA/AO","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Other","6720","6420","20870","20920"
"In post","2021","AA/AO","Ministry of Defence","Policy","110","110","21700","21130"
"In post","2021","AA/AO","Ministry of Defence","Project Delivery","190","180","21140","20920"
"In post","2021","AA/AO","Ministry of Defence","Property","740","710","18570","17980"
"In post","2021","AA/AO","Ministry of Defence","Science and Engineering","740","720","21100","21580"
"In post","2021","AA/AO","Ministry of Defence","Security","5030","4930","27010","21670"
"In post","2021","AA/AO","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence","Unknown","220","210","21840","21130"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Operational Delivery","190","180","22210","22560"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Commercial","60","50","22990","21710"
"In post","2021","AA/AO","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Finance","50","50","20920","20100"
"In post","2021","AA/AO","Ministry of Justice","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Operational Delivery","40030","37130","24450","23240"
"In post","2021","AA/AO","Ministry of Justice","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Policy","180","170","22280","23060"
"In post","2021","AA/AO","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice","Psychology","60","50","21120","20890"
"In post","2021","AA/AO","Ministry of Justice","Security","60","60","29130","27510"
"In post","2021","AA/AO","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Operational Delivery","250","230","23950","24220"
"In post","2021","AA/AO","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Operational Delivery","110","100","21160","21160"
"In post","2021","AA/AO","Office for Standards in Education","Other","90","80","21270","21160"
"In post","2021","AA/AO","Office for Standards in Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Other","40","40","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Operational Delivery","[c]","[c]","[c]","[c]"
