"Status","Year","Age","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Leeds","50","50","[c]","[c]"
"In post","2021","16-19","AA/AO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Medway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Swansea","50","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Tyneside","60","50","20570","20140"
"In post","2021","16-19","AA/AO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Wiltshire","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","90","90","18130","17780"
"In post","2021","16-19","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Westminster","70","70","25790","25170"
"In post","2021","16-19","EO","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Aberdeen City and Aberdeenshire","110","110","23830","22220"
"In post","2021","20-29","AA/AO","Angus and Dundee City","160","150","21140","21010"
"In post","2021","20-29","AA/AO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Barnet","80","70","23990","23530"
"In post","2021","20-29","AA/AO","Barnsley, Doncaster and Rotherham","300","300","23480","22850"
"In post","2021","20-29","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","190","180","21710","20920"
"In post","2021","20-29","AA/AO","Bedford","110","110","27580","29920"
"In post","2021","20-29","AA/AO","Belfast","240","220","20360","20140"
"In post","2021","20-29","AA/AO","Berkshire","210","210","26640","26610"
"In post","2021","20-29","AA/AO","Bexley and Greenwich","210","200","28730","30150"
"In post","2021","20-29","AA/AO","Birmingham","800","770","20610","20140"
"In post","2021","20-29","AA/AO","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Blackpool","310","310","21010","21010"
"In post","2021","20-29","AA/AO","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Bradford","270","260","20200","20140"
"In post","2021","20-29","AA/AO","Breckland and South Norfolk","80","80","23350","23970"
"In post","2021","20-29","AA/AO","Brent","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Bridgend and Neath Port Talbot","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Bristol, City of","360","350","21400","21050"
"In post","2021","20-29","AA/AO","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Buckinghamshire CC","120","120","25590","27850"
"In post","2021","20-29","AA/AO","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Cambridgeshire CC","230","220","25060","25850"
"In post","2021","20-29","AA/AO","Camden and City of London","170","170","22670","22680"
"In post","2021","20-29","AA/AO","Cardiff and Vale of Glamorgan","850","830","21020","20140"
"In post","2021","20-29","AA/AO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Central Hampshire","150","150","24450","20920"
"In post","2021","20-29","AA/AO","Central Valleys","70","70","22360","22160"
"In post","2021","20-29","AA/AO","Cheshire East","70","70","23070","22850"
"In post","2021","20-29","AA/AO","Cheshire West and Chester","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Chorley and West Lancashire","160","160","23950","24120"
"In post","2021","20-29","AA/AO","City of Edinburgh","910","900","21740","20940"
"In post","2021","20-29","AA/AO","Clackmannanshire and Fife","60","60","22490","22190"
"In post","2021","20-29","AA/AO","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Cornwall and Isles of Scilly","70","70","20830","21010"
"In post","2021","20-29","AA/AO","Coventry","50","50","21170","21010"
"In post","2021","20-29","AA/AO","Croydon","280","270","23930","24120"
"In post","2021","20-29","AA/AO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Derby","60","50","22240","21010"
"In post","2021","20-29","AA/AO","Devon CC","340","330","22350","21050"
"In post","2021","20-29","AA/AO","Dorset CC","200","190","23850","22850"
"In post","2021","20-29","AA/AO","Dudley","60","50","20880","21010"
"In post","2021","20-29","AA/AO","Dumfries and Galloway","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Durham CC","660","630","22290","21430"
"In post","2021","20-29","AA/AO","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","East Cumbria","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","270","260","23770","22220"
"In post","2021","20-29","AA/AO","East Kent","240","230","22370","21430"
"In post","2021","20-29","AA/AO","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","East Riding of Yorkshire","230","230","23840","24440"
"In post","2021","20-29","AA/AO","East Surrey","120","120","31100","33570"
"In post","2021","20-29","AA/AO","East Sussex CC","190","190","23460","21010"
"In post","2021","20-29","AA/AO","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Essex Haven Gateway","50","50","[c]","[c]"
"In post","2021","20-29","AA/AO","Essex Thames Gateway","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Falkirk","180","170","21460","21010"
"In post","2021","20-29","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Flintshire and Wrexham","270","270","22770","22850"
"In post","2021","20-29","AA/AO","Glasgow City","690","660","20970","20920"
"In post","2021","20-29","AA/AO","Gloucestershire","60","60","22220","22350"
"In post","2021","20-29","AA/AO","Greater Manchester North East","60","60","22900","21650"
"In post","2021","20-29","AA/AO","Greater Manchester North West","150","150","22170","21010"
"In post","2021","20-29","AA/AO","Greater Manchester South East","110","100","21100","21010"
"In post","2021","20-29","AA/AO","Greater Manchester South West","400","390","20250","20140"
"In post","2021","20-29","AA/AO","Gwent Valleys","50","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Gwynedd","70","70","21140","21010"
"In post","2021","20-29","AA/AO","Hackney and Newham","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Haringey and Islington","170","160","27820","25450"
"In post","2021","20-29","AA/AO","Harrow and Hillingdon","90","90","25350","25630"
"In post","2021","20-29","AA/AO","Hartlepool and Stockton-on-Tees","100","100","22830","22850"
"In post","2021","20-29","AA/AO","Heart of Essex","100","100","26420","25850"
"In post","2021","20-29","AA/AO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Hertfordshire","140","140","26600","27850"
"In post","2021","20-29","AA/AO","Hounslow and Richmond upon Thames","220","220","27940","30720"
"In post","2021","20-29","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","60","60","21660","21030"
"In post","2021","20-29","AA/AO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Isle of Wight","80","80","23910","25300"
"In post","2021","20-29","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","110","110","30590","31550"
"In post","2021","20-29","AA/AO","Kent Thames Gateway","220","220","28540","30400"
"In post","2021","20-29","AA/AO","Kingston upon Hull, City of","170","170","23010","22350"
"In post","2021","20-29","AA/AO","Lambeth","130","120","27230","25110"
"In post","2021","20-29","AA/AO","Lancaster and Wyre","100","100","22180","21010"
"In post","2021","20-29","AA/AO","Leeds","880","860","21820","21010"
"In post","2021","20-29","AA/AO","Leicester","200","190","21540","21010"
"In post","2021","20-29","AA/AO","Leicestershire CC and Rutland","200","190","22830","22850"
"In post","2021","20-29","AA/AO","Lewisham and Southwark","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Lincolnshire","150","150","22920","21360"
"In post","2021","20-29","AA/AO","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Liverpool","700","660","21280","21430"
"In post","2021","20-29","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Luton","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Manchester","450","430","21100","20150"
"In post","2021","20-29","AA/AO","Medway","180","180","27200","29630"
"In post","2021","20-29","AA/AO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Mid Kent","60","60","24220","25790"
"In post","2021","20-29","AA/AO","Mid Lancashire","370","350","21260","21010"
"In post","2021","20-29","AA/AO","Milton Keynes","250","250","25490","24750"
"In post","2021","20-29","AA/AO","Monmouthshire and Newport","230","230","20330","19130"
"In post","2021","20-29","AA/AO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","North and North East Lincolnshire","60","60","21140","21010"
"In post","2021","20-29","AA/AO","North and West Norfolk","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","North Hampshire","40","30","[c]","[c]"
"In post","2021","20-29","AA/AO","North Lanarkshire","240","220","20540","20140"
"In post","2021","20-29","AA/AO","North Northamptonshire","30","30","[c]","[c]"
"In post","2021","20-29","AA/AO","North Nottinghamshire","110","110","24530","25300"
"In post","2021","20-29","AA/AO","North Yorkshire CC","70","70","22840","21010"
"In post","2021","20-29","AA/AO","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Norwich and East Norfolk","110","110","22350","22850"
"In post","2021","20-29","AA/AO","Nottingham","530","510","21290","20140"
"In post","2021","20-29","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Oxfordshire","220","210","25980","27850"
"In post","2021","20-29","AA/AO","Perth and Kinross and Stirling","70","60","23100","22430"
"In post","2021","20-29","AA/AO","Peterborough","90","70","21500","21430"
"In post","2021","20-29","AA/AO","Plymouth","180","170","22240","21100"
"In post","2021","20-29","AA/AO","Portsmouth","160","160","21470","20140"
"In post","2021","20-29","AA/AO","Powys","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Redbridge and Waltham Forest","60","60","23420","25110"
"In post","2021","20-29","AA/AO","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Sefton","370","350","20430","20140"
"In post","2021","20-29","AA/AO","Sheffield","320","310","21070","21430"
"In post","2021","20-29","AA/AO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Shropshire CC","60","60","23230","22850"
"In post","2021","20-29","AA/AO","Solihull","50","50","[c]","[c]"
"In post","2021","20-29","AA/AO","Somerset","80","80","20190","20170"
"In post","2021","20-29","AA/AO","South and West Derbyshire","70","70","23460","22850"
"In post","2021","20-29","AA/AO","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","South Hampshire","130","110","20950","19520"
"In post","2021","20-29","AA/AO","South Lanarkshire","240","230","20310","20140"
