"Status","Year","Profession_of_post","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Unknown","SCS","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","410","400","37910","37900"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","G6/G7","60","60","57220","56350"
"In post","2021","Corporate Finance","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","AA/AO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","EO","140","130","26450","25580"
"In post","2021","Counter Fraud","Heterosexual / straight","G6/G7","80","80","62080","59050"
"In post","2021","Counter Fraud","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","SEO/HEO","330","320","37400","37910"
"In post","2021","Counter Fraud","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","140","140","38150","39170"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","AA/AO","270","260","22040","21580"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","EO","1340","1290","27550","26670"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","G6/G7","2200","2160","58410","57280"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","SCS","170","160","92200","85350"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","SEO/HEO","4270","4140","37960","37740"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","EO","90","80","26870","26350"
"In post","2021","Digital, Data and Technology","LGBO","G6/G7","130","130","58890","57430"
"In post","2021","Digital, Data and Technology","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","SEO/HEO","240","240","36520","36780"
"In post","2021","Digital, Data and Technology","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","AA/AO","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","EO","240","230","28320","27940"
"In post","2021","Digital, Data and Technology","Undeclared","G6/G7","310","310","58970","57680"
"In post","2021","Digital, Data and Technology","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","SEO/HEO","710","690","38310","38450"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","AA/AO","110","110","21520","21590"
"In post","2021","Digital, Data and Technology","Unknown","EO","560","540","27110","26370"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","810","800","57790","55710"
"In post","2021","Digital, Data and Technology","Unknown","SCS","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","1660","1630","37170","36800"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Heterosexual / straight","AA/AO","50","50","23010","23210"
"In post","2021","Economics","Heterosexual / straight","EO","70","70","27320","27680"
"In post","2021","Economics","Heterosexual / straight","G6/G7","630","610","59730","58030"
"In post","2021","Economics","Heterosexual / straight","SCS","70","70","87430","81750"
"In post","2021","Economics","Heterosexual / straight","SEO/HEO","580","570","34920","33930"
"In post","2021","Economics","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","G6/G7","50","50","58760","57940"
"In post","2021","Economics","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","SEO/HEO","60","50","34780","33960"
"In post","2021","Economics","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","G6/G7","70","70","60210","59540"
"In post","2021","Economics","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","SEO/HEO","70","70","35810","34470"
"In post","2021","Economics","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","EO","30","30","[c]","[c]"
"In post","2021","Economics","Unknown","G6/G7","200","190","59150","57250"
"In post","2021","Economics","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","SEO/HEO","210","210","34760","33880"
"In post","2021","Finance","Heterosexual / straight","AA/AO","720","620","21540","21440"
"In post","2021","Finance","Heterosexual / straight","EO","1220","1160","26510","26670"
"In post","2021","Finance","Heterosexual / straight","G6/G7","1540","1510","59220","58120"
"In post","2021","Finance","Heterosexual / straight","SCS","220","220","90840","83860"
"In post","2021","Finance","Heterosexual / straight","SEO/HEO","2760","2660","37900","37410"
"In post","2021","Finance","Heterosexual / straight","Unknown","120","110","41410","39860"
"In post","2021","Finance","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","EO","40","40","[c]","[c]"
"In post","2021","Finance","LGBO","G6/G7","80","80","58300","57460"
"In post","2021","Finance","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","SEO/HEO","90","90","37020","36960"
"In post","2021","Finance","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","AA/AO","120","100","21530","21440"
"In post","2021","Finance","Undeclared","EO","160","150","27300","26930"
"In post","2021","Finance","Undeclared","G6/G7","220","210","59780","58390"
"In post","2021","Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","SEO/HEO","380","360","38660","38150"
"In post","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","AA/AO","300","250","21070","20770"
"In post","2021","Finance","Unknown","EO","210","200","26470","26350"
"In post","2021","Finance","Unknown","G6/G7","310","300","58100","55220"
"In post","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","580","570","36860","36540"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","AA/AO","910","830","21700","21130"
"In post","2021","Human Resources","Heterosexual / straight","EO","1020","960","27040","26670"
"In post","2021","Human Resources","Heterosexual / straight","G6/G7","1310","1260","58420","57460"
"In post","2021","Human Resources","Heterosexual / straight","SCS","160","150","89900","84030"
"In post","2021","Human Resources","Heterosexual / straight","SEO/HEO","2570","2450","36930","36460"
"In post","2021","Human Resources","Heterosexual / straight","Unknown","40","30","[c]","[c]"
"In post","2021","Human Resources","LGBO","AA/AO","40","40","[c]","[c]"
"In post","2021","Human Resources","LGBO","EO","50","50","[c]","[c]"
"In post","2021","Human Resources","LGBO","G6/G7","90","90","58520","58590"
"In post","2021","Human Resources","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","SEO/HEO","150","150","36590","36010"
"In post","2021","Human Resources","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","AA/AO","120","110","21490","21140"
"In post","2021","Human Resources","Undeclared","EO","120","110","28040","27380"
"In post","2021","Human Resources","Undeclared","G6/G7","90","90","58800","57190"
"In post","2021","Human Resources","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","SEO/HEO","260","250","37760","37450"
"In post","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","130","120","21430","20920"
"In post","2021","Human Resources","Unknown","EO","200","190","27070","26930"
"In post","2021","Human Resources","Unknown","G6/G7","170","170","57110","55250"
"In post","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","390","370","35760","34830"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","G6/G7","430","420","75450","75500"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","SEO/HEO","290","280","51060","51360"
"In post","2021","Inspector of Education and Training","LGBO","G6/G7","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","G6/G7","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Heterosexual / straight","AA/AO","110","100","23050","21580"
"In post","2021","Intelligence Analysis","Heterosexual / straight","EO","1180","1120","27730","27370"
"In post","2021","Intelligence Analysis","Heterosexual / straight","G6/G7","240","230","58440","57860"
"In post","2021","Intelligence Analysis","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Heterosexual / straight","SEO/HEO","930","900","36980","36140"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","EO","60","60","27270","26880"
"In post","2021","Intelligence Analysis","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","EO","200","190","28000","27370"
"In post","2021","Intelligence Analysis","Undeclared","G6/G7","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","SEO/HEO","180","170","37200","36460"
"In post","2021","Intelligence Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","EO","120","120","28340","27380"
"In post","2021","Intelligence Analysis","Unknown","G6/G7","130","120","58060","54010"
"In post","2021","Intelligence Analysis","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","SEO/HEO","120","120","37050","36360"
"In post","2021","Internal Audit","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","EO","40","30","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","G6/G7","160","160","58510","56610"
"In post","2021","Internal Audit","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","SEO/HEO","370","350","40600","40530"
"In post","2021","Internal Audit","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","SEO/HEO","50","50","41170","40580"
"In post","2021","Internal Audit","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","30","30","[c]","[c]"
"In post","2021","International Trade","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Heterosexual / straight","EO","60","60","26570","26250"
"In post","2021","International Trade","Heterosexual / straight","G6/G7","350","350","55850","53550"
"In post","2021","International Trade","Heterosexual / straight","SCS","70","70","86960","75570"
"In post","2021","International Trade","Heterosexual / straight","SEO/HEO","350","350","35450","35060"
"In post","2021","International Trade","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","G6/G7","40","40","[c]","[c]"
"In post","2021","International Trade","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","SEO/HEO","30","30","[c]","[c]"
"In post","2021","International Trade","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","G6/G7","30","30","[c]","[c]"
"In post","2021","International Trade","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","SEO/HEO","50","50","[c]","[c]"
"In post","2021","International Trade","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","EO","30","30","[c]","[c]"
"In post","2021","International Trade","Unknown","G6/G7","180","170","55180","52940"
"In post","2021","International Trade","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","SEO/HEO","230","230","35370","34770"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","AA/AO","250","230","22130","21130"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","EO","330","320","26860","26670"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","G6/G7","280","260","57710","55550"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","SEO/HEO","720","690","36850","36520"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","AA/AO","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","EO","70","70","27210","26670"
"In post","2021","Knowledge and Information Management","Undeclared","G6/G7","50","50","58610","57370"
"In post","2021","Knowledge and Information Management","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","SEO/HEO","150","150","37030","37430"
"In post","2021","Knowledge and Information Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","EO","80","70","27030","26670"
"In post","2021","Knowledge and Information Management","Unknown","G6/G7","70","60","55800","54740"
"In post","2021","Knowledge and Information Management","Unknown","SEO/HEO","150","140","36950","36590"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","AA/AO","190","170","21540","21440"
"In post","2021","Legal","Heterosexual / straight","EO","1140","1100","27400","25820"
"In post","2021","Legal","Heterosexual / straight","G6/G7","3890","3610","58660","57000"
"In post","2021","Legal","Heterosexual / straight","SCS","240","230","89020","83230"
"In post","2021","Legal","Heterosexual / straight","SEO/HEO","2270","2120","38620","38000"
"In post","2021","Legal","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","EO","80","80","28050","25560"
"In post","2021","Legal","LGBO","G6/G7","230","220","60150","58040"
"In post","2021","Legal","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","SEO/HEO","110","110","38480","38000"
"In post","2021","Legal","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","EO","150","140","27730","27230"
"In post","2021","Legal","Undeclared","G6/G7","380","350","60990","60830"
"In post","2021","Legal","Undeclared","SCS","30","30","[c]","[c]"
"In post","2021","Legal","Undeclared","SEO/HEO","440","400","39650","39800"
"In post","2021","Legal","Unknown","AA/AO","90","80","21470","21240"
"In post","2021","Legal","Unknown","EO","580","550","27230","25560"
"In post","2021","Legal","Unknown","G6/G7","1430","1300","60970","59930"
"In post","2021","Legal","Unknown","SCS","90","90","87480","82100"
"In post","2021","Legal","Unknown","SEO/HEO","760","720","36860","36160"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Heterosexual / straight","AA/AO","230","220","22430","22640"
"In post","2021","Medicine","Heterosexual / straight","EO","250","230","30510","30620"
"In post","2021","Medicine","Heterosexual / straight","G6/G7","460","410","73960","74490"
"In post","2021","Medicine","Heterosexual / straight","SCS","250","210","103980","98580"
"In post","2021","Medicine","Heterosexual / straight","SEO/HEO","530","480","38690","37890"
"In post","2021","Medicine","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Undeclared","G6/G7","60","50","80490","83530"
"In post","2021","Medicine","Undeclared","SCS","60","50","104200","104560"
"In post","2021","Medicine","Undeclared","SEO/HEO","60","50","40040","38490"
"In post","2021","Medicine","Unknown","AA/AO","90","80","21050","21140"
"In post","2021","Medicine","Unknown","EO","50","50","30640","30620"
"In post","2021","Medicine","Unknown","G6/G7","140","110","73060","76160"
"In post","2021","Medicine","Unknown","SCS","110","100","116000","112850"
"In post","2021","Medicine","Unknown","SEO/HEO","140","120","37810","37890"
"In post","2021","Operational Delivery","Heterosexual / straight","AA/AO","49420","44500","22960","21440"
"In post","2021","Operational Delivery","Heterosexual / straight","EO","30010","27880","27600","26780"
"In post","2021","Operational Delivery","Heterosexual / straight","G6/G7","4600","4470","58750","56400"
"In post","2021","Operational Delivery","Heterosexual / straight","SCS","490","480","92090","84340"
"In post","2021","Operational Delivery","Heterosexual / straight","SEO/HEO","21800","20770","36870","35630"
"In post","2021","Operational Delivery","Heterosexual / straight","Unknown","9690","8970","30090","30210"
"In post","2021","Operational Delivery","LGBO","AA/AO","2890","2760","23490","21590"
"In post","2021","Operational Delivery","LGBO","EO","1530","1480","27530","26410"
"In post","2021","Operational Delivery","LGBO","G6/G7","260","250","59310","57430"
"In post","2021","Operational Delivery","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","LGBO","SEO/HEO","1150","1120","36390","35070"
"In post","2021","Operational Delivery","LGBO","Unknown","580","560","29120","26810"
"In post","2021","Operational Delivery","Undeclared","AA/AO","7620","6630","22570","21440"
"In post","2021","Operational Delivery","Undeclared","EO","5070","4600","27910","27230"
"In post","2021","Operational Delivery","Undeclared","G6/G7","660","640","59560","57460"
"In post","2021","Operational Delivery","Undeclared","SCS","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","SEO/HEO","3170","2990","37320","36030"
"In post","2021","Operational Delivery","Undeclared","Unknown","930","860","31860","32090"
"In post","2021","Operational Delivery","Unknown","AA/AO","21010","18800","23020","21440"
"In post","2021","Operational Delivery","Unknown","EO","8480","7880","28240","27130"
"In post","2021","Operational Delivery","Unknown","G6/G7","1030","1000","58200","55460"
"In post","2021","Operational Delivery","Unknown","SCS","100","90","99710","93000"
"In post","2021","Operational Delivery","Unknown","SEO/HEO","4560","4320","36460","35060"
"In post","2021","Operational Delivery","Unknown","Unknown","1000","900","26940","24020"
"In post","2021","Operational Research","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Heterosexual / straight","EO","40","30","[c]","[c]"
"In post","2021","Operational Research","Heterosexual / straight","G6/G7","390","360","53910","52580"
"In post","2021","Operational Research","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Heterosexual / straight","SEO/HEO","400","380","36550","37320"
"In post","2021","Operational Research","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
