"Status","Year","Region_ITL2","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","50-59","350","330","32460","29910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","60-64","110","90","33320","30210"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","65+","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","16-19","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","20-29","970","970","27790","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","30-39","1260","1200","32560","30810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","40-49","1390","1320","34620","31170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","50-59","1920","1840","34690","31730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","60-64","590","530","31970","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","65+","240","200","32240","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","20-29","50","50","28370","29130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","30-39","130","120","32420","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","40-49","170","160","35010","34250"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","50-59","290","280","34650","34250"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","60-64","70","60","31700","31420"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","20-29","350","340","27030","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30-39","290","280","32950","30410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","40-49","300","290","37860","36750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","50-59","390","370","36900","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60-64","90","80","38130","33030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","65+","50","40","33290","29140"
"In post","2021","Cheshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","30-39","50","50","28080","27570"
"In post","2021","Cheshire","Declared disabled","40-49","100","90","31050","27570"
"In post","2021","Cheshire","Declared disabled","50-59","150","140","29440","27570"
"In post","2021","Cheshire","Declared disabled","60-64","50","40","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","20-29","290","290","26220","25790"
"In post","2021","Cheshire","Declared non-disabled","30-39","460","440","30450","27620"
"In post","2021","Cheshire","Declared non-disabled","40-49","530","500","32950","30550"
"In post","2021","Cheshire","Declared non-disabled","50-59","730","680","32260","27570"
"In post","2021","Cheshire","Declared non-disabled","60-64","180","150","29270","27570"
"In post","2021","Cheshire","Declared non-disabled","65+","50","30","[c]","[c]"
"In post","2021","Cheshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","30-39","50","40","[c]","[c]"
"In post","2021","Cheshire","Undeclared","40-49","70","70","32930","31650"
"In post","2021","Cheshire","Undeclared","50-59","120","110","30770","31650"
"In post","2021","Cheshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","20-29","280","280","27950","28840"
"In post","2021","Cheshire","Unknown","30-39","280","280","33270","32770"
"In post","2021","Cheshire","Unknown","40-49","190","190","36460","36410"
"In post","2021","Cheshire","Unknown","50-59","190","190","37750","36740"
"In post","2021","Cheshire","Unknown","60-64","30","30","[c]","[c]"
"In post","2021","Cheshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","40-49","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","50-59","100","90","26870","26780"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","20-29","90","90","23310","21010"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","30-39","160","150","25610","25960"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","40-49","270","250","27860","27570"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","50-59","460","430","26790","26750"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","60-64","150","130","26300","26510"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","50-59","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","30-39","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","50-59","50","50","26740","24370"
"In post","2021","Cornwall and Isles of Scilly","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","30-39","30","30","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","40-49","60","50","27640","25490"
"In post","2021","Cumbria","Declared disabled","50-59","100","90","28000","25810"
"In post","2021","Cumbria","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","20-29","180","180","23490","21050"
"In post","2021","Cumbria","Declared non-disabled","30-39","300","260","27040","24920"
"In post","2021","Cumbria","Declared non-disabled","40-49","520","470","28320","25270"
"In post","2021","Cumbria","Declared non-disabled","50-59","500","460","28920","25560"
"In post","2021","Cumbria","Declared non-disabled","60-64","140","120","26620","23350"
"In post","2021","Cumbria","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Cumbria","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","50-59","50","50","31500","30030"
"In post","2021","Cumbria","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Cumbria","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","20-29","130","130","24770","24440"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","30-39","240","220","28950","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","40-49","390","360","29870","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","50-59","580","540","31280","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","60-64","160","130","28230","27460"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","65+","50","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","20-29","1060","1040","26480","25560"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","30-39","1630","1520","30510","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","40-49","1970","1820","33340","30110"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","50-59","2630","2440","33760","27680"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","60-64","590","470","30840","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","65+","150","110","31090","27130"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","20-29","60","60","26310","27100"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","30-39","150","140","29610","28590"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","40-49","190","180","32480","31650"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","50-59","310","290","31540","31510"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","60-64","60","50","27730","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","20-29","610","600","25230","25560"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","30-39","450","430","28510","25560"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","40-49","370","350","32900","29220"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","50-59","360","340","31760","27680"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","60-64","70","60","30540","25560"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Declared disabled","20-29","70","60","25120","24660"
"In post","2021","Devon","Declared disabled","30-39","150","140","28780","27570"
"In post","2021","Devon","Declared disabled","40-49","210","190","29080","27570"
"In post","2021","Devon","Declared disabled","50-59","380","350","29420","27570"
"In post","2021","Devon","Declared disabled","60-64","130","100","28190","25900"
"In post","2021","Devon","Declared disabled","65+","30","20","[c]","[c]"
"In post","2021","Devon","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Declared non-disabled","20-29","680","670","26100","24920"
"In post","2021","Devon","Declared non-disabled","30-39","1370","1270","31730","30090"
"In post","2021","Devon","Declared non-disabled","40-49","1680","1540","34790","31990"
"In post","2021","Devon","Declared non-disabled","50-59","2110","1960","33680","28430"
"In post","2021","Devon","Declared non-disabled","60-64","580","480","29290","26780"
"In post","2021","Devon","Declared non-disabled","65+","170","130","29290","26620"
"In post","2021","Devon","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Devon","Undeclared","30-39","50","50","29790","27570"
"In post","2021","Devon","Undeclared","40-49","120","110","29230","27570"
"In post","2021","Devon","Undeclared","50-59","180","170","30500","28410"
"In post","2021","Devon","Undeclared","60-64","50","40","[c]","[c]"
"In post","2021","Devon","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","20-29","260","250","25490","22850"
"In post","2021","Devon","Unknown","30-39","230","220","28650","26630"
"In post","2021","Devon","Unknown","40-49","220","210","31940","27130"
"In post","2021","Devon","Unknown","50-59","200","200","29480","25000"
"In post","2021","Devon","Unknown","60-64","70","60","25210","21440"
"In post","2021","Devon","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared disabled","30-39","80","80","28340","27570"
"In post","2021","Dorset and Somerset","Declared disabled","40-49","110","100","30680","27570"
"In post","2021","Dorset and Somerset","Declared disabled","50-59","240","220","29440","27570"
"In post","2021","Dorset and Somerset","Declared disabled","60-64","90","80","27690","27570"
"In post","2021","Dorset and Somerset","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Declared non-disabled","20-29","370","360","25580","25850"
"In post","2021","Dorset and Somerset","Declared non-disabled","30-39","580","550","28990","27570"
"In post","2021","Dorset and Somerset","Declared non-disabled","40-49","810","750","30930","27570"
"In post","2021","Dorset and Somerset","Declared non-disabled","50-59","1280","1200","30500","27570"
"In post","2021","Dorset and Somerset","Declared non-disabled","60-64","370","310","28260","27570"
"In post","2021","Dorset and Somerset","Declared non-disabled","65+","140","110","28450","27340"
"In post","2021","Dorset and Somerset","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","30-39","50","50","29570","27570"
"In post","2021","Dorset and Somerset","Undeclared","40-49","80","80","30930","27570"
"In post","2021","Dorset and Somerset","Undeclared","50-59","170","160","32410","31650"
"In post","2021","Dorset and Somerset","Undeclared","60-64","60","50","29760","29290"
"In post","2021","Dorset and Somerset","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","20-29","130","120","24330","22350"
"In post","2021","Dorset and Somerset","Unknown","30-39","140","130","29710","27020"
"In post","2021","Dorset and Somerset","Unknown","40-49","140","140","33460","29650"
"In post","2021","Dorset and Somerset","Unknown","50-59","180","170","33000","27570"
"In post","2021","Dorset and Somerset","Unknown","60-64","60","50","29980","26900"
"In post","2021","Dorset and Somerset","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Declared disabled","20-29","110","110","25910","25850"
"In post","2021","East Anglia","Declared disabled","30-39","190","180","29840","27570"
"In post","2021","East Anglia","Declared disabled","40-49","330","310","29210","27570"
"In post","2021","East Anglia","Declared disabled","50-59","520","490","30240","27570"
"In post","2021","East Anglia","Declared disabled","60-64","150","130","28860","27570"
"In post","2021","East Anglia","Declared disabled","65+","50","40","[c]","[c]"
"In post","2021","East Anglia","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Declared non-disabled","20-29","1020","1000","25810","25560"
"In post","2021","East Anglia","Declared non-disabled","30-39","1660","1550","29360","27570"
"In post","2021","East Anglia","Declared non-disabled","40-49","2030","1880","31290","27570"
"In post","2021","East Anglia","Declared non-disabled","50-59","2770","2620","31180","27570"
"In post","2021","East Anglia","Declared non-disabled","60-64","780","680","29100","26920"
"In post","2021","East Anglia","Declared non-disabled","65+","260","190","28260","26120"
"In post","2021","East Anglia","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Undeclared","20-29","50","40","[c]","[c]"
"In post","2021","East Anglia","Undeclared","30-39","170","160","30260","29810"
"In post","2021","East Anglia","Undeclared","40-49","260","240","31810","31650"
"In post","2021","East Anglia","Undeclared","50-59","460","440","32440","31650"
"In post","2021","East Anglia","Undeclared","60-64","140","120","28610","27370"
"In post","2021","East Anglia","Undeclared","65+","50","30","[c]","[c]"
"In post","2021","East Anglia","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Unknown","20-29","320","320","25200","24870"
"In post","2021","East Anglia","Unknown","30-39","280","270","30610","28130"
"In post","2021","East Anglia","Unknown","40-49","330","310","34750","31220"
"In post","2021","East Anglia","Unknown","50-59","370","360","34440","29200"
"In post","2021","East Anglia","Unknown","60-64","100","90","32640","26580"
"In post","2021","East Anglia","Unknown","65+","40","30","[c]","[c]"
"In post","2021","East Wales","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Declared disabled","20-29","180","180","26750","25560"
"In post","2021","East Wales","Declared disabled","30-39","330","310","30850","27570"
"In post","2021","East Wales","Declared disabled","40-49","420","390","32470","28100"
"In post","2021","East Wales","Declared disabled","50-59","620","570","32180","27570"
"In post","2021","East Wales","Declared disabled","60-64","170","130","30620","25750"
"In post","2021","East Wales","Declared disabled","65+","70","50","29720","27570"
"In post","2021","East Wales","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Declared non-disabled","16-19","30","30","[c]","[c]"
"In post","2021","East Wales","Declared non-disabled","20-29","1930","1900","26600","25560"
"In post","2021","East Wales","Declared non-disabled","30-39","3280","3110","32670","29540"
"In post","2021","East Wales","Declared non-disabled","40-49","3360","3150","37190","31810"
"In post","2021","East Wales","Declared non-disabled","50-59","3630","3430","35510","29540"
"In post","2021","East Wales","Declared non-disabled","60-64","970","790","32920","27570"
"In post","2021","East Wales","Declared non-disabled","65+","300","210","32030","27570"
"In post","2021","East Wales","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Undeclared","20-29","90","90","25800","25560"
"In post","2021","East Wales","Undeclared","30-39","200","190","30920","27570"
"In post","2021","East Wales","Undeclared","40-49","220","210","34600","31700"
"In post","2021","East Wales","Undeclared","50-59","340","320","31940","29470"
"In post","2021","East Wales","Undeclared","60-64","100","80","28960","27570"
"In post","2021","East Wales","Undeclared","65+","30","20","[c]","[c]"
"In post","2021","East Wales","Unknown","16-19","30","30","[c]","[c]"
"In post","2021","East Wales","Unknown","20-29","1270","1250","26230","24500"
"In post","2021","East Wales","Unknown","30-39","1170","1120","30360","27570"
"In post","2021","East Wales","Unknown","40-49","700","660","34280","30130"
"In post","2021","East Wales","Unknown","50-59","700","640","30620","25560"
"In post","2021","East Wales","Unknown","60-64","190","150","28130","22490"
"In post","2021","East Wales","Unknown","65+","60","40","33750","22490"
"In post","2021","East Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","30-39","60","50","26670","26840"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","40-49","110","100","27010","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","50-59","220","200","27800","27380"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","60-64","80","60","26580","26930"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","20-29","430","420","24300","24440"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","30-39","590","540","27320","26580"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","40-49","740","680","28680","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","50-59","1200","1090","28830","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","60-64","320","260","29290","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","65+","70","50","27180","26930"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","30-39","60","60","28860","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","40-49","90","90","30900","31650"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","50-59","190","180","31870","31650"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","60-64","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","20-29","160","160","23430","22350"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","30-39","110","110","26610","25580"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","40-49","60","50","27110","24920"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","50-59","90","90","27510","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Declared disabled","20-29","210","210","28340","27150"
"In post","2021","Eastern Scotland","Declared disabled","30-39","360","340","32370","29190"
"In post","2021","Eastern Scotland","Declared disabled","40-49","450","420","34530","29190"
"In post","2021","Eastern Scotland","Declared disabled","50-59","670","630","33940","29190"
"In post","2021","Eastern Scotland","Declared disabled","60-64","190","150","29420","27570"
"In post","2021","Eastern Scotland","Declared disabled","65+","50","40","[c]","[c]"
"In post","2021","Eastern Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Declared non-disabled","16-19","50","50","[c]","[c]"
"In post","2021","Eastern Scotland","Declared non-disabled","20-29","1320","1300","27260","26160"
"In post","2021","Eastern Scotland","Declared non-disabled","30-39","2230","2110","34520","30650"
"In post","2021","Eastern Scotland","Declared non-disabled","40-49","2560","2400","38640","32140"
"In post","2021","Eastern Scotland","Declared non-disabled","50-59","2970","2820","37340","30650"
"In post","2021","Eastern Scotland","Declared non-disabled","60-64","770","640","34110","27570"
"In post","2021","Eastern Scotland","Declared non-disabled","65+","230","180","33430","27570"
"In post","2021","Eastern Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","30-39","130","120","32530","27570"
"In post","2021","Eastern Scotland","Undeclared","40-49","120","110","31250","27570"
"In post","2021","Eastern Scotland","Undeclared","50-59","190","180","32380","27570"
"In post","2021","Eastern Scotland","Undeclared","60-64","40","30","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","16-19","40","40","[c]","[c]"
