"Status","Year","Organisation","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Operational Delivery","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Operational Delivery","140","130","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Operational Delivery","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Operational Delivery","50","50","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Operational Delivery","90","80","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Operational Delivery","80","80","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Operational Delivery","70","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Operational Delivery","120","110","29530","28910"
"In post","2021","Animal and Plant Health Agency","East of England","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Operational Delivery","90","80","33370","31690"
"In post","2021","Animal and Plant Health Agency","London","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Operational Delivery","220","200","25480","24360"
"In post","2021","Animal and Plant Health Agency","North West (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Veterinarian","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Operational Delivery","80","80","26940","25190"
"In post","2021","Animal and Plant Health Agency","Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Veterinarian","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Operational Delivery","170","160","29480","26520"
"In post","2021","Animal and Plant Health Agency","South East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Science and Engineering","460","430","32730","28630"
"In post","2021","Animal and Plant Health Agency","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Veterinarian","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Operational Delivery","260","250","25510","24920"
"In post","2021","Animal and Plant Health Agency","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Science and Engineering","50","50","28340","25320"
"In post","2021","Animal and Plant Health Agency","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Veterinarian","80","80","43530","38080"
"In post","2021","Animal and Plant Health Agency","Wales","Operational Delivery","250","230","25010","21050"
"In post","2021","Animal and Plant Health Agency","Wales","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Veterinarian","60","50","42290","37480"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Operational Delivery","180","170","26080","24920"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Veterinarian","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Operational Delivery","150","140","27250","25210"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Unknown","120","110","46980","38500"
"In post","2021","Cabinet Office (excl. agencies)","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Other","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","6410","6320","49820","42270"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Unknown","410","390","29410","24570"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Unknown","440","430","46940","49700"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Unknown","80","80","48190","49700"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Unknown","220","210","42660","33950"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Unknown","190","180","53730","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","600","590","36190","32000"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Unknown","70","60","38410","30370"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Unknown","50","50","62730","52530"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Unknown","740","700","36340","33030"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Science and Engineering","350","330","34260","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Science and Engineering","130","120","32530","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Unknown","30","30","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Unknown","160","150","31070","29160"
"In post","2021","Charity Commission","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Companies House","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Digital, Data and Technology","260","250","38840","38000"
"In post","2021","Companies House","Wales","Finance","60","50","30930","27460"
"In post","2021","Companies House","Wales","Human Resources","90","80","33040","27460"
"In post","2021","Companies House","Wales","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Operational Delivery","510","450","24480","22490"
"In post","2021","Companies House","Wales","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Digital, Data and Technology","60","60","57200","55860"
"In post","2021","Competition and Markets Authority","London","Economics","90","90","63040","59890"
"In post","2021","Competition and Markets Authority","London","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Legal","120","110","70510","72430"
"In post","2021","Competition and Markets Authority","London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Project Delivery","340","330","61130","56630"
"In post","2021","Competition and Markets Authority","London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Project Delivery","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Operational Delivery","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Commercial","90","80","34770","34800"
"In post","2021","Crown Commercial Service","East of England","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Commercial","190","180","33650","34800"
"In post","2021","Crown Commercial Service","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Operational Delivery","100","100","44840","46920"
"In post","2021","Crown Commercial Service","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Commercial","70","60","31160","28540"
"In post","2021","Crown Commercial Service","Wales","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Legal","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Operational Delivery","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Legal","210","190","51100","51470"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Operational Delivery","190","180","25840","23470"
"In post","2021","Crown Prosecution Service","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East of England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East of England","Finance","[c]","[c]","[c]","[c]"
