"Status","Year","Organisation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","140","130","32370","29160"
"In post","2021","Charity Commission","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","80","80","33920","29160"
"In post","2021","Companies House","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Digital, Data and Technology","80","70","36690","36440"
"In post","2021","Companies House","Female","Finance","40","30","[c]","[c]"
"In post","2021","Companies House","Female","Human Resources","60","60","33220","30530"
"In post","2021","Companies House","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Operational Delivery","360","300","24210","22490"
"In post","2021","Companies House","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Digital, Data and Technology","180","180","39770","38000"
"In post","2021","Companies House","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Operational Delivery","220","210","25230","22490"
"In post","2021","Companies House","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Economics","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Legal","70","70","69330","71370"
"In post","2021","Competition and Markets Authority","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Project Delivery","200","190","58740","55860"
"In post","2021","Competition and Markets Authority","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Economics","50","50","64140","61650"
"In post","2021","Competition and Markets Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Legal","60","50","72010","74480"
"In post","2021","Competition and Markets Authority","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Project Delivery","170","170","62970","59260"
"In post","2021","Competition and Markets Authority","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Operational Delivery","160","140","25810","22570"
"In post","2021","Criminal Injuries Compensation Authority","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Operational Delivery","130","130","25130","22710"
"In post","2021","Criminal Injuries Compensation Authority","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Commercial","190","180","33620","33340"
"In post","2021","Crown Commercial Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Operational Delivery","100","100","39290","36740"
"In post","2021","Crown Commercial Service","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Commercial","180","180","34510","34800"
"In post","2021","Crown Commercial Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Digital, Data and Technology","80","70","40390","35470"
"In post","2021","Crown Commercial Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Operational Delivery","90","80","43160","35420"
"In post","2021","Crown Commercial Service","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Legal","430","390","54110","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Operational Delivery","950","860","25870","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Legal","170","170","55850","55850"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Operational Delivery","320","310","27670","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Communications","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Digital, Data and Technology","60","60","39230","38180"
"In post","2021","Crown Prosecution Service","Female","Finance","50","50","30600","30110"
"In post","2021","Crown Prosecution Service","Female","Human Resources","110","110","41450","38180"
"In post","2021","Crown Prosecution Service","Female","Legal","1950","1760","53930","54770"
"In post","2021","Crown Prosecution Service","Female","Operational Delivery","2220","2000","27040","25480"
"In post","2021","Crown Prosecution Service","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Digital, Data and Technology","60","60","40430","38180"
"In post","2021","Crown Prosecution Service","Male","Finance","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Legal","1240","1200","56630","55610"
"In post","2021","Crown Prosecution Service","Male","Operational Delivery","840","820","27910","25820"
"In post","2021","Crown Prosecution Service","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Operational Delivery","40","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Other","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Science and Engineering","220","210","27030","28750"
"In post","2021","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Commercial","480","450","37410","34100"
"In post","2021","Defence Equipment and Support","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Digital, Data and Technology","100","90","36080","33200"
"In post","2021","Defence Equipment and Support","Female","Finance","240","230","38890","33250"
"In post","2021","Defence Equipment and Support","Female","Human Resources","150","140","36740","32650"
"In post","2021","Defence Equipment and Support","Female","Knowledge and Information Management","50","50","34410","33910"
"In post","2021","Defence Equipment and Support","Female","Other","1420","1310","29890","27010"
"In post","2021","Defence Equipment and Support","Female","Policy","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Project Delivery","870","820","36330","34240"
"In post","2021","Defence Equipment and Support","Female","Property","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Science and Engineering","240","230","36060","33140"
"In post","2021","Defence Equipment and Support","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Commercial","440","430","41740","37530"
"In post","2021","Defence Equipment and Support","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Digital, Data and Technology","270","270","42830","42950"
"In post","2021","Defence Equipment and Support","Male","Finance","220","210","38960","32490"
"In post","2021","Defence Equipment and Support","Male","Human Resources","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Knowledge and Information Management","130","130","35730","33010"
"In post","2021","Defence Equipment and Support","Male","Other","2040","2000","32480","28780"
"In post","2021","Defence Equipment and Support","Male","Policy","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Project Delivery","1400","1380","43000","40900"
"In post","2021","Defence Equipment and Support","Male","Property","80","80","36410","34170"
"In post","2021","Defence Equipment and Support","Male","Science and Engineering","2330","2290","37110","36700"
"In post","2021","Defence Equipment and Support","Male","Security","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Commercial","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Corporate Finance","40","30","[c]","[c]"
