"Status","Year","Sex","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Tax","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Female","Tax","Finance","30","30","[c]","[c]"
"In post","2021","Female","Tax","Human Resources","90","90","36330","31810"
"In post","2021","Female","Tax","Legal","170","160","37570","33680"
"In post","2021","Female","Tax","No function","5690","5210","32760","31810"
"In post","2021","Female","Tax","Project Delivery","80","80","40410","32520"
"In post","2021","Female","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Analysis","40","30","[c]","[c]"
"In post","2021","Female","Unknown","Commercial","670","650","65860","62010"
"In post","2021","Female","Unknown","Communications","440","430","38720","33390"
"In post","2021","Female","Unknown","Counter Fraud","100","100","39130","34550"
"In post","2021","Female","Unknown","Debt","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Digital, Data & Technology","550","530","47440","47720"
"In post","2021","Female","Unknown","Finance","160","150","41220","37530"
"In post","2021","Female","Unknown","Human Resources","860","820","39560","35590"
"In post","2021","Female","Unknown","Legal","110","100","55110","59160"
"In post","2021","Female","Unknown","No function","3780","3650","35910","30880"
"In post","2021","Female","Unknown","Project Delivery","280","260","45740","35680"
"In post","2021","Female","Unknown","Property","260","240","33580","29190"
"In post","2021","Female","Unknown","Security","460","430","32190","33000"
"In post","2021","Female","Unknown","Unknown","67120","58420","28650","27570"
"In post","2021","Female","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","No function","240","230","44110","38390"
"In post","2021","Female","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Commercial","1880","1850","42360","40000"
"In post","2021","Male","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","No function","150","150","46450","43000"
"In post","2021","Male","Commercial","Project Delivery","400","390","40390","37400"
"In post","2021","Male","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Unknown","50","50","41910","42100"
"In post","2021","Male","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Communications","1420","1400","41630","37920"
"In post","2021","Male","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","No function","50","50","39810","38540"
"In post","2021","Male","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Unknown","140","140","44160","41320"
"In post","2021","Male","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Finance","60","60","49560","46080"
"In post","2021","Male","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Counter Fraud","400","390","42080","39490"
"In post","2021","Male","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Unknown","70","60","29190","25580"
"In post","2021","Male","Digital, Data and Technology","Analysis","140","130","42370","42220"
"In post","2021","Male","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Digital, Data & Technology","7000","6900","41480","38450"
"In post","2021","Male","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","No function","130","130","41090","36960"
"In post","2021","Male","Digital, Data and Technology","Project Delivery","330","320","44380","44400"
"In post","2021","Male","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Unknown","1000","990","48490","44970"
"In post","2021","Male","Economics","Analysis","840","830","46560","40480"
"In post","2021","Male","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Economics","Finance","50","50","[c]","[c]"
"In post","2021","Male","Economics","No function","280","280","48310","48410"
"In post","2021","Male","Economics","Project Delivery","70","60","56830","56610"
"In post","2021","Male","Economics","Unknown","130","130","46740","35910"
"In post","2021","Male","Finance","Analysis","30","30","[c]","[c]"
"In post","2021","Male","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Finance","3290","3220","43000","39000"
"In post","2021","Male","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","No function","200","200","45380","40230"
"In post","2021","Male","Finance","Project Delivery","180","180","44040","41000"
"In post","2021","Male","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Unknown","280","280","45730","41970"
"In post","2021","Male","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Human Resources","1990","1950","39350","35000"
"In post","2021","Male","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Unknown","270","260","41400","36620"
"In post","2021","Male","Inspector of Education and Training","No function","260","250","73380","75500"
"In post","2021","Male","Intelligence Analysis","Analysis","150","150","52390","53360"
"In post","2021","Male","Intelligence Analysis","Counter Fraud","110","110","38700","36160"
"In post","2021","Male","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","No function","180","170","34130","32040"
"In post","2021","Male","Intelligence Analysis","Security","100","100","47960","39770"
"In post","2021","Male","Intelligence Analysis","Unknown","1310","1270","33680","30980"
"In post","2021","Male","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Internal Audit","360","350","48160","45390"
"In post","2021","Male","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","No function","820","820","47820","42470"
"In post","2021","Male","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Commercial","360","350","36140","33300"
"In post","2021","Male","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Digital, Data & Technology","80","80","40350","39120"
"In post","2021","Male","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","No function","340","330","40320","36800"
"In post","2021","Male","Knowledge and Information Management","Project Delivery","130","120","37230","35790"
"In post","2021","Male","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Unknown","100","100","38240","37410"
"In post","2021","Male","Legal","Counter Fraud","1930","1880","32370","31810"
"In post","2021","Male","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Legal","3120","3020","56240","55610"
"In post","2021","Male","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Unknown","50","50","57450","60830"
"In post","2021","Male","Medicine","No function","170","150","106540","105470"
"In post","2021","Male","Medicine","Project Delivery","30","30","[c]","[c]"
"In post","2021","Male","Medicine","Unknown","560","530","55420","46290"
"In post","2021","Male","Operational Delivery","Analysis","260","260","33270","30130"
"In post","2021","Male","Operational Delivery","Commercial","230","220","48070","41100"
"In post","2021","Male","Operational Delivery","Communications","760","750","29870","25980"
"In post","2021","Male","Operational Delivery","Counter Fraud","1260","1220","30940","28130"
"In post","2021","Male","Operational Delivery","Debt","1500","1420","24020","21440"
"In post","2021","Male","Operational Delivery","Digital, Data & Technology","220","220","36820","31810"
"In post","2021","Male","Operational Delivery","Finance","370","360","29810","25560"
"In post","2021","Male","Operational Delivery","Grants Management","800","780","25980","24920"
"In post","2021","Male","Operational Delivery","Human Resources","290","280","30260","25560"
"In post","2021","Male","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Delivery","Legal","1560","1510","28070","25560"
"In post","2021","Male","Operational Delivery","No function","57670","55090","30130","27460"
"In post","2021","Male","Operational Delivery","Project Delivery","780","760","38550","36110"
"In post","2021","Male","Operational Delivery","Property","580","560","31080","24500"
"In post","2021","Male","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Delivery","Unknown","12910","12280","29070","25990"
"In post","2021","Male","Operational Research","Analysis","430","420","44750","46080"
"In post","2021","Male","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","No function","170","170","45790","46090"
"In post","2021","Male","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
