"Status","Year","Sex","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Communications","Home Office","110","100","48340","44200"
"In post","2021","Female","Communications","Ministry of Defence","310","290","35640","33300"
"In post","2021","Female","Communications","Ministry of Housing, Communities and Local Government","60","50","41040","34200"
"In post","2021","Female","Communications","Ministry of Justice","100","90","43610","38960"
"In post","2021","Female","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","United Kingdom Statistics Authority","50","50","36130","30500"
"In post","2021","Female","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Welsh Government","90","80","39550","37410"
"In post","2021","Female","Corporate Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Ministry of Defence","40","30","[c]","[c]"
"In post","2021","Female","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Attorney General's Departments","110","110","42550","35480"
"In post","2021","Female","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Business, Energy and Industrial Strategy","110","100","38790","39170"
"In post","2021","Female","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Home Office","110","100","25620","25310"
"In post","2021","Female","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Attorney General's Departments","80","70","38360","35290"
"In post","2021","Female","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","310","290","39670","37240"
"In post","2021","Female","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department for Education","410","380","40530","37100"
"In post","2021","Female","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","290","270","42020","39050"
"In post","2021","Female","Digital, Data and Technology","Department for International Trade","60","60","44730","43000"
"In post","2021","Female","Digital, Data and Technology","Department for Transport","330","320","35620","32180"
"In post","2021","Female","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department of Health and Social Care","150","150","43420","39110"
"In post","2021","Female","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Foreign, Commonwealth and Development Office","90","90","41290","39630"
"In post","2021","Female","Digital, Data and Technology","HM Land Registry","240","210","37460","38450"
"In post","2021","Female","Digital, Data and Technology","HM Revenue and Customs","700","660","40000","38630"
"In post","2021","Female","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Home Office","380","370","48730","44970"
"In post","2021","Female","Digital, Data and Technology","Ministry of Defence","440","420","33000","32660"
"In post","2021","Female","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","50","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Ministry of Justice","390","380","44870","42320"
"In post","2021","Female","Digital, Data and Technology","National Crime Agency","110","100","38090","36740"
"In post","2021","Female","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Scottish Government","50","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","The National Archives","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","United Kingdom Statistics Authority","200","200","40370","36310"
"In post","2021","Female","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Welsh Government","70","60","39730","37410"
"In post","2021","Female","Economics","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Female","Economics","Department for Business, Energy and Industrial Strategy","120","110","46770","39570"
"In post","2021","Female","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Department for Environment, Food and Rural Affairs","60","60","44940","48990"
"In post","2021","Female","Economics","Department for International Trade","50","50","42710","34110"
"In post","2021","Female","Economics","Department for Transport","60","60","48160","54110"
"In post","2021","Female","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Female","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Foreign, Commonwealth and Development Office","80","70","48460","52840"
"In post","2021","Female","Economics","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Female","Economics","HM Treasury","80","80","44710","39940"
"In post","2021","Female","Economics","Home Office","40","40","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","United Kingdom Statistics Authority","60","50","34210","32290"
"In post","2021","Female","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Attorney General's Departments","80","70","33290","30610"
"In post","2021","Female","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Business, Energy and Industrial Strategy","190","180","43100","40050"
"In post","2021","Female","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Education","410","390","41770","37760"
"In post","2021","Female","Finance","Department for Environment, Food and Rural Affairs","210","200","40040","36970"
"In post","2021","Female","Finance","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Female","Finance","Department for Transport","230","220","37900","33350"
"In post","2021","Female","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department of Health and Social Care","290","280","38610","33970"
"In post","2021","Female","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Foreign, Commonwealth and Development Office","140","130","41180","36520"
"In post","2021","Female","Finance","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Female","Finance","HM Revenue and Customs","950","800","31450","25560"
"In post","2021","Female","Finance","HM Treasury","50","50","46250","44020"
"In post","2021","Female","Finance","Home Office","140","130","44050","41570"
"In post","2021","Female","Finance","Ministry of Defence","1300","1230","36680","33300"
"In post","2021","Female","Finance","Ministry of Housing, Communities and Local Government","80","80","49610","49040"
"In post","2021","Female","Finance","Ministry of Justice","430","410","39090","34530"
"In post","2021","Female","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Scottish Government","100","100","34650","30930"
"In post","2021","Female","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Female","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Welsh Government","200","180","40490","37410"
"In post","2021","Female","Human Resources","Attorney General's Departments","160","150","40910","35000"
"In post","2021","Female","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Department for Business, Energy and Industrial Strategy","300","280","39880","37420"
"In post","2021","Female","Human Resources","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Department for Education","120","120","35030","30110"
"In post","2021","Female","Human Resources","Department for Environment, Food and Rural Affairs","200","190","42870","38600"
"In post","2021","Female","Human Resources","Department for International Trade","90","80","43970","38540"
"In post","2021","Female","Human Resources","Department for Transport","290","270","37440","33350"
"In post","2021","Female","Human Resources","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Department of Health and Social Care","220","210","42610","36820"
"In post","2021","Female","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Foreign, Commonwealth and Development Office","190","180","43120","37590"
"In post","2021","Female","Human Resources","HM Land Registry","70","60","38040","33840"
"In post","2021","Female","Human Resources","HM Revenue and Customs","490","460","41580","38630"
"In post","2021","Female","Human Resources","HM Treasury","70","70","43810","39590"
"In post","2021","Female","Human Resources","Home Office","350","330","43190","37450"
"In post","2021","Female","Human Resources","Ministry of Defence","1430","1310","31120","26670"
"In post","2021","Female","Human Resources","Ministry of Housing, Communities and Local Government","70","60","39500","33210"
"In post","2021","Female","Human Resources","Ministry of Justice","630","610","41370","36840"
"In post","2021","Female","Human Resources","National Crime Agency","110","100","40250","40060"
"In post","2021","Female","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Scottish Government","150","140","34400","32890"
"In post","2021","Female","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","United Kingdom Statistics Authority","130","110","36940","31090"
"In post","2021","Female","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Welsh Government","150","140","35500","34490"
"In post","2021","Female","Inspector of Education and Training","ESTYN","30","30","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Office for Standards in Education","570","560","62970","51360"
"In post","2021","Female","Intelligence Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Department of Health and Social Care","120","110","54280","53360"
"In post","2021","Female","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Foreign, Commonwealth and Development Office","100","100","43680","38860"
"In post","2021","Female","Intelligence Analysis","HM Revenue and Customs","90","80","36840","31960"
"In post","2021","Female","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Home Office","670","620","29190","27370"
"In post","2021","Female","Intelligence Analysis","Ministry of Defence","260","240","35700","33300"
"In post","2021","Female","Intelligence Analysis","Ministry of Justice","300","290","29520","27380"
"In post","2021","Female","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Treasury","160","150","47530","44190"
"In post","2021","Female","Internal Audit","Ministry of Defence","80","70","37440","33300"
"In post","2021","Female","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Department for International Trade","570","560","47260","48220"
"In post","2021","Female","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","HM Revenue and Customs","70","60","33910","31810"
"In post","2021","Female","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for Transport","40","40","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Department of Health and Social Care","400","350","38420","36340"
"In post","2021","Female","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Foreign, Commonwealth and Development Office","70","70","41340","36080"
"In post","2021","Female","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Home Office","50","50","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Ministry of Defence","420","400","31740","28670"
"In post","2021","Female","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Ministry of Justice","50","50","29640","26410"
"In post","2021","Female","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","The National Archives","50","50","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Welsh Government","60","50","32100","28850"
"In post","2021","Female","Legal","Attorney General's Departments","3300","2970","56270","55010"
"In post","2021","Female","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Competition and Markets Authority","70","70","69330","71370"
"In post","2021","Female","Legal","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Female","Legal","Department for Education","50","40","[c]","[c]"
"In post","2021","Female","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Female","Legal","HM Land Registry","160","140","48960","57000"
"In post","2021","Female","Legal","HM Revenue and Customs","1630","1520","32690","29570"
"In post","2021","Female","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Justice","940","830","42320","42750"
"In post","2021","Female","Legal","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Office of Gas and Electricity Markets","50","50","59400","62300"
"In post","2021","Female","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Scottish Government","470","430","53150","52490"
"In post","2021","Female","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Welsh Government","100","100","56330","60830"
"In post","2021","Female","Medicine","Department for Transport","40","30","[c]","[c]"
