"Status","Year","Profession_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","330","320","37400","37910"
"In post","2021","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","140","140","38150","39170"
"In post","2021","Digital, Data and Technology","AA/AO","Heterosexual / straight","270","260","22040","21580"
"In post","2021","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","110","110","21520","21590"
"In post","2021","Digital, Data and Technology","EO","Heterosexual / straight","1340","1290","27550","26670"
"In post","2021","Digital, Data and Technology","EO","LGBO","90","80","26870","26350"
"In post","2021","Digital, Data and Technology","EO","Undeclared","240","230","28320","27940"
"In post","2021","Digital, Data and Technology","EO","Unknown","560","540","27110","26370"
"In post","2021","Digital, Data and Technology","G6/G7","Heterosexual / straight","2200","2160","58410","57280"
"In post","2021","Digital, Data and Technology","G6/G7","LGBO","130","130","58890","57430"
"In post","2021","Digital, Data and Technology","G6/G7","Undeclared","310","310","58970","57680"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","810","800","57790","55710"
"In post","2021","Digital, Data and Technology","SCS","Heterosexual / straight","170","160","92200","85350"
"In post","2021","Digital, Data and Technology","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","4270","4140","37960","37740"
"In post","2021","Digital, Data and Technology","SEO/HEO","LGBO","240","240","36520","36780"
"In post","2021","Digital, Data and Technology","SEO/HEO","Undeclared","710","690","38310","38450"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","1660","1630","37170","36800"
"In post","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Heterosexual / straight","50","50","23010","23210"
"In post","2021","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Heterosexual / straight","70","70","27320","27680"
"In post","2021","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Unknown","30","30","[c]","[c]"
"In post","2021","Economics","G6/G7","Heterosexual / straight","630","610","59730","58030"
"In post","2021","Economics","G6/G7","LGBO","50","50","58760","57940"
"In post","2021","Economics","G6/G7","Undeclared","70","70","60210","59540"
"In post","2021","Economics","G6/G7","Unknown","200","190","59150","57250"
"In post","2021","Economics","SCS","Heterosexual / straight","70","70","87430","81750"
"In post","2021","Economics","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Heterosexual / straight","580","570","34920","33930"
"In post","2021","Economics","SEO/HEO","LGBO","60","50","34780","33960"
"In post","2021","Economics","SEO/HEO","Undeclared","70","70","35810","34470"
"In post","2021","Economics","SEO/HEO","Unknown","210","210","34760","33880"
"In post","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Heterosexual / straight","720","620","21540","21440"
"In post","2021","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Undeclared","120","100","21530","21440"
"In post","2021","Finance","AA/AO","Unknown","300","250","21070","20770"
"In post","2021","Finance","EO","Heterosexual / straight","1220","1160","26510","26670"
"In post","2021","Finance","EO","LGBO","40","40","[c]","[c]"
"In post","2021","Finance","EO","Undeclared","160","150","27300","26930"
"In post","2021","Finance","EO","Unknown","210","200","26470","26350"
"In post","2021","Finance","G6/G7","Heterosexual / straight","1540","1510","59220","58120"
"In post","2021","Finance","G6/G7","LGBO","80","80","58300","57460"
"In post","2021","Finance","G6/G7","Undeclared","220","210","59780","58390"
"In post","2021","Finance","G6/G7","Unknown","310","300","58100","55220"
"In post","2021","Finance","SCS","Heterosexual / straight","220","220","90840","83860"
"In post","2021","Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Heterosexual / straight","2760","2660","37900","37410"
"In post","2021","Finance","SEO/HEO","LGBO","90","90","37020","36960"
"In post","2021","Finance","SEO/HEO","Undeclared","380","360","38660","38150"
"In post","2021","Finance","SEO/HEO","Unknown","580","570","36860","36540"
"In post","2021","Finance","Unknown","Heterosexual / straight","120","110","41410","39860"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Heterosexual / straight","910","830","21700","21130"
"In post","2021","Human Resources","AA/AO","LGBO","40","40","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Undeclared","120","110","21490","21140"
"In post","2021","Human Resources","AA/AO","Unknown","130","120","21430","20920"
"In post","2021","Human Resources","EO","Heterosexual / straight","1020","960","27040","26670"
"In post","2021","Human Resources","EO","LGBO","50","50","[c]","[c]"
"In post","2021","Human Resources","EO","Undeclared","120","110","28040","27380"
"In post","2021","Human Resources","EO","Unknown","200","190","27070","26930"
"In post","2021","Human Resources","G6/G7","Heterosexual / straight","1310","1260","58420","57460"
"In post","2021","Human Resources","G6/G7","LGBO","90","90","58520","58590"
"In post","2021","Human Resources","G6/G7","Undeclared","90","90","58800","57190"
"In post","2021","Human Resources","G6/G7","Unknown","170","170","57110","55250"
"In post","2021","Human Resources","SCS","Heterosexual / straight","160","150","89900","84030"
"In post","2021","Human Resources","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Heterosexual / straight","2570","2450","36930","36460"
"In post","2021","Human Resources","SEO/HEO","LGBO","150","150","36590","36010"
"In post","2021","Human Resources","SEO/HEO","Undeclared","260","250","37760","37450"
"In post","2021","Human Resources","SEO/HEO","Unknown","390","370","35760","34830"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Heterosexual / straight","430","420","75450","75500"
"In post","2021","Inspector of Education and Training","G6/G7","LGBO","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","290","280","51060","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Heterosexual / straight","110","100","23050","21580"
"In post","2021","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Heterosexual / straight","1180","1120","27730","27370"
"In post","2021","Intelligence Analysis","EO","LGBO","60","60","27270","26880"
"In post","2021","Intelligence Analysis","EO","Undeclared","200","190","28000","27370"
"In post","2021","Intelligence Analysis","EO","Unknown","120","120","28340","27380"
"In post","2021","Intelligence Analysis","G6/G7","Heterosexual / straight","240","230","58440","57860"
"In post","2021","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Unknown","130","120","58060","54010"
"In post","2021","Intelligence Analysis","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Heterosexual / straight","930","900","36980","36140"
"In post","2021","Intelligence Analysis","SEO/HEO","LGBO","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Undeclared","180","170","37200","36460"
"In post","2021","Intelligence Analysis","SEO/HEO","Unknown","120","120","37050","36360"
"In post","2021","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Heterosexual / straight","160","160","58510","56610"
"In post","2021","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Heterosexual / straight","370","350","40600","40530"
"In post","2021","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Undeclared","50","50","41170","40580"
"In post","2021","Internal Audit","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Heterosexual / straight","60","60","26570","26250"
"In post","2021","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Unknown","30","30","[c]","[c]"
"In post","2021","International Trade","G6/G7","Heterosexual / straight","350","350","55850","53550"
"In post","2021","International Trade","G6/G7","LGBO","40","40","[c]","[c]"
"In post","2021","International Trade","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","International Trade","G6/G7","Unknown","180","170","55180","52940"
"In post","2021","International Trade","SCS","Heterosexual / straight","70","70","86960","75570"
"In post","2021","International Trade","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Heterosexual / straight","350","350","35450","35060"
"In post","2021","International Trade","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Undeclared","50","50","[c]","[c]"
"In post","2021","International Trade","SEO/HEO","Unknown","230","230","35370","34770"
"In post","2021","Knowledge and Information Management","AA/AO","Heterosexual / straight","250","230","22130","21130"
"In post","2021","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Heterosexual / straight","330","320","26860","26670"
"In post","2021","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","EO","Undeclared","70","70","27210","26670"
"In post","2021","Knowledge and Information Management","EO","Unknown","80","70","27030","26670"
"In post","2021","Knowledge and Information Management","G6/G7","Heterosexual / straight","280","260","57710","55550"
"In post","2021","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","G6/G7","Undeclared","50","50","58610","57370"
"In post","2021","Knowledge and Information Management","G6/G7","Unknown","70","60","55800","54740"
"In post","2021","Knowledge and Information Management","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","720","690","36850","36520"
"In post","2021","Knowledge and Information Management","SEO/HEO","LGBO","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Undeclared","150","150","37030","37430"
"In post","2021","Knowledge and Information Management","SEO/HEO","Unknown","150","140","36950","36590"
"In post","2021","Knowledge and Information Management","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Heterosexual / straight","190","170","21540","21440"
"In post","2021","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Unknown","90","80","21470","21240"
"In post","2021","Legal","EO","Heterosexual / straight","1140","1100","27400","25820"
"In post","2021","Legal","EO","LGBO","80","80","28050","25560"
"In post","2021","Legal","EO","Undeclared","150","140","27730","27230"
"In post","2021","Legal","EO","Unknown","580","550","27230","25560"
"In post","2021","Legal","G6/G7","Heterosexual / straight","3890","3610","58660","57000"
"In post","2021","Legal","G6/G7","LGBO","230","220","60150","58040"
"In post","2021","Legal","G6/G7","Undeclared","380","350","60990","60830"
"In post","2021","Legal","G6/G7","Unknown","1430","1300","60970","59930"
"In post","2021","Legal","SCS","Heterosexual / straight","240","230","89020","83230"
"In post","2021","Legal","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Undeclared","30","30","[c]","[c]"
"In post","2021","Legal","SCS","Unknown","90","90","87480","82100"
"In post","2021","Legal","SEO/HEO","Heterosexual / straight","2270","2120","38620","38000"
"In post","2021","Legal","SEO/HEO","LGBO","110","110","38480","38000"
"In post","2021","Legal","SEO/HEO","Undeclared","440","400","39650","39800"
"In post","2021","Legal","SEO/HEO","Unknown","760","720","36860","36160"
"In post","2021","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Heterosexual / straight","230","220","22430","22640"
"In post","2021","Medicine","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Unknown","90","80","21050","21140"
"In post","2021","Medicine","EO","Heterosexual / straight","250","230","30510","30620"
"In post","2021","Medicine","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","EO","Unknown","50","50","30640","30620"
"In post","2021","Medicine","G6/G7","Heterosexual / straight","460","410","73960","74490"
"In post","2021","Medicine","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","G6/G7","Undeclared","60","50","80490","83530"
"In post","2021","Medicine","G6/G7","Unknown","140","110","73060","76160"
"In post","2021","Medicine","SCS","Heterosexual / straight","250","210","103980","98580"
"In post","2021","Medicine","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","SCS","Undeclared","60","50","104200","104560"
"In post","2021","Medicine","SCS","Unknown","110","100","116000","112850"
"In post","2021","Medicine","SEO/HEO","Heterosexual / straight","530","480","38690","37890"
"In post","2021","Medicine","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","SEO/HEO","Undeclared","60","50","40040","38490"
"In post","2021","Medicine","SEO/HEO","Unknown","140","120","37810","37890"
"In post","2021","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","Heterosexual / straight","49420","44500","22960","21440"
"In post","2021","Operational Delivery","AA/AO","LGBO","2890","2760","23490","21590"
"In post","2021","Operational Delivery","AA/AO","Undeclared","7620","6630","22570","21440"
"In post","2021","Operational Delivery","AA/AO","Unknown","21010","18800","23020","21440"
"In post","2021","Operational Delivery","EO","Heterosexual / straight","30010","27880","27600","26780"
"In post","2021","Operational Delivery","EO","LGBO","1530","1480","27530","26410"
"In post","2021","Operational Delivery","EO","Undeclared","5070","4600","27910","27230"
"In post","2021","Operational Delivery","EO","Unknown","8480","7880","28240","27130"
"In post","2021","Operational Delivery","G6/G7","Heterosexual / straight","4600","4470","58750","56400"
"In post","2021","Operational Delivery","G6/G7","LGBO","260","250","59310","57430"
"In post","2021","Operational Delivery","G6/G7","Undeclared","660","640","59560","57460"
"In post","2021","Operational Delivery","G6/G7","Unknown","1030","1000","58200","55460"
"In post","2021","Operational Delivery","SCS","Heterosexual / straight","490","480","92090","84340"
"In post","2021","Operational Delivery","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SCS","Undeclared","40","40","[c]","[c]"
"In post","2021","Operational Delivery","SCS","Unknown","100","90","99710","93000"
"In post","2021","Operational Delivery","SEO/HEO","Heterosexual / straight","21800","20770","36870","35630"
"In post","2021","Operational Delivery","SEO/HEO","LGBO","1150","1120","36390","35070"
"In post","2021","Operational Delivery","SEO/HEO","Undeclared","3170","2990","37320","36030"
"In post","2021","Operational Delivery","SEO/HEO","Unknown","4560","4320","36460","35060"
"In post","2021","Operational Delivery","Unknown","Heterosexual / straight","9690","8970","30090","30210"
"In post","2021","Operational Delivery","Unknown","LGBO","580","560","29120","26810"
"In post","2021","Operational Delivery","Unknown","Undeclared","930","860","31860","32090"
"In post","2021","Operational Delivery","Unknown","Unknown","1000","900","26940","24020"
"In post","2021","Operational Research","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
