"Status","Year","Function_of_post","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Declared disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Declared non-disabled","420","400","34810","30220"
"In post","2021","Analysis","Science and Engineering","Undeclared","40","30","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Unknown","180","160","38210","36580"
"In post","2021","Analysis","Social Research","Declared disabled","90","80","40500","37700"
"In post","2021","Analysis","Social Research","Declared non-disabled","490","470","44400","40720"
"In post","2021","Analysis","Social Research","Undeclared","40","30","[c]","[c]"
"In post","2021","Analysis","Social Research","Unknown","250","250","35260","32540"
"In post","2021","Analysis","Statistics","Declared disabled","160","150","42740","38630"
"In post","2021","Analysis","Statistics","Declared non-disabled","1170","1130","44450","40580"
"In post","2021","Analysis","Statistics","Undeclared","90","80","42870","41760"
"In post","2021","Analysis","Statistics","Unknown","370","360","39070","36920"
"In post","2021","Analysis","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","60","60","45410","41850"
"In post","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Declared disabled","380","360","39070","37940"
"In post","2021","Commercial","Commercial","Declared non-disabled","2600","2510","41210","38200"
"In post","2021","Commercial","Commercial","Undeclared","260","260","42470","40000"
"In post","2021","Commercial","Commercial","Unknown","850","820","38260","35760"
"In post","2021","Commercial","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Declared non-disabled","50","50","34410","31070"
"In post","2021","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Declared disabled","100","100","34070","30870"
"In post","2021","Commercial","Knowledge and Information Management","Declared non-disabled","450","430","32500","29200"
"In post","2021","Commercial","Knowledge and Information Management","Undeclared","70","60","34750","33300"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","70","70","37960","33300"
"In post","2021","Commercial","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Declared non-disabled","330","320","44840","39880"
"In post","2021","Commercial","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Commercial","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Declared non-disabled","50","50","46850","43640"
"In post","2021","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Declared non-disabled","80","80","40270","40310"
"In post","2021","Commercial","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","340","330","73910","64500"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1040","1030","69170","64500"
"In post","2021","Commercial","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Declared disabled","230","220","36880","33830"
"In post","2021","Communications","Communications","Declared non-disabled","2130","2050","41490","38180"
"In post","2021","Communications","Communications","Undeclared","180","180","42100","38620"
"In post","2021","Communications","Communications","Unknown","890","860","41880","38600"
"In post","2021","Communications","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Declared disabled","130","110","27140","25560"
"In post","2021","Communications","Operational Delivery","Declared non-disabled","980","930","30820","28130"
"In post","2021","Communications","Operational Delivery","Undeclared","60","60","28110","25560"
"In post","2021","Communications","Operational Delivery","Unknown","360","340","28680","25560"
"In post","2021","Communications","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Declared non-disabled","170","160","27020","22100"
"In post","2021","Communications","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Declared disabled","130","120","28490","25560"
"In post","2021","Communications","Tax","Declared non-disabled","990","950","27760","25560"
"In post","2021","Communications","Tax","Undeclared","70","70","28970","25560"
"In post","2021","Communications","Tax","Unknown","950","930","26760","25560"
"In post","2021","Communications","Unknown","Declared disabled","40","30","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","410","410","39500","34550"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","320","320","35990","31810"
"In post","2021","Counter Fraud","Counter Fraud","Declared disabled","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Declared non-disabled","430","410","41340","39490"
"In post","2021","Counter Fraud","Counter Fraud","Undeclared","60","60","38190","34450"
"In post","2021","Counter Fraud","Counter Fraud","Unknown","130","120","41020","35070"
"In post","2021","Counter Fraud","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Declared non-disabled","120","120","39760","36160"
"In post","2021","Counter Fraud","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Unknown","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Legal","Declared disabled","230","210","31330","29570"
"In post","2021","Counter Fraud","Legal","Declared non-disabled","1980","1900","31460","29570"
"In post","2021","Counter Fraud","Legal","Undeclared","230","220","33410","31810"
"In post","2021","Counter Fraud","Legal","Unknown","890","860","30690","29570"
"In post","2021","Counter Fraud","Operational Delivery","Declared disabled","290","270","29950","28130"
"In post","2021","Counter Fraud","Operational Delivery","Declared non-disabled","1790","1650","30920","29570"
"In post","2021","Counter Fraud","Operational Delivery","Undeclared","170","160","30590","28130"
"In post","2021","Counter Fraud","Operational Delivery","Unknown","640","590","27960","25560"
"In post","2021","Counter Fraud","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","Declared disabled","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Other","Declared non-disabled","210","190","40390","35000"
"In post","2021","Counter Fraud","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","Unknown","60","50","36120","31810"
"In post","2021","Counter Fraud","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","Declared disabled","160","140","39830","35000"
"In post","2021","Counter Fraud","Tax","Declared non-disabled","1220","1150","39870","36160"
"In post","2021","Counter Fraud","Tax","Undeclared","130","120","43890","38700"
"In post","2021","Counter Fraud","Tax","Unknown","400","370","35740","31810"
"In post","2021","Counter Fraud","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","140","140","40930","36160"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Debt","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","Declared disabled","340","290","23180","21440"
"In post","2021","Debt","Operational Delivery","Declared non-disabled","1980","1740","24550","21440"
"In post","2021","Debt","Operational Delivery","Undeclared","190","170","24430","21440"
"In post","2021","Debt","Operational Delivery","Unknown","1070","960","22980","20140"
"In post","2021","Debt","Tax","Declared disabled","30","30","[c]","[c]"
"In post","2021","Debt","Tax","Declared non-disabled","290","280","21120","20140"
"In post","2021","Debt","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Tax","Unknown","660","650","20540","20140"
"In post","2021","Debt","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Declared disabled","860","820","38380","35000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Declared non-disabled","6540","6350","41580","38630"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Undeclared","580","570","40220","38100"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","2870","2820","40410","36840"
"In post","2021","Digital, Data & Technology","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Declared non-disabled","100","100","37110","35230"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Declared non-disabled","300","290","35130","31810"
"In post","2021","Digital, Data & Technology","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Unknown","110","100","33460","31810"
"In post","2021","Digital, Data & Technology","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Declared non-disabled","510","470","42950","40040"
"In post","2021","Digital, Data & Technology","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Declared disabled","110","100","46280","52580"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","900","880","50650","54700"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","280","280","44750","40570"
"In post","2021","Finance","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Declared non-disabled","100","100","45950","45740"
"In post","2021","Finance","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Unknown","70","60","40500","32970"
"In post","2021","Finance","Finance","Declared disabled","640","600","37540","33440"
"In post","2021","Finance","Finance","Declared non-disabled","5190","4930","40630","36820"
"In post","2021","Finance","Finance","Undeclared","430","410","38970","35300"
"In post","2021","Finance","Finance","Unknown","1300","1230","37750","33300"
"In post","2021","Finance","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","Declared disabled","80","70","30070","27400"
"In post","2021","Finance","Operational Delivery","Declared non-disabled","540","500","29150","25560"
"In post","2021","Finance","Operational Delivery","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Operational Delivery","Unknown","210","190","26170","21440"
"In post","2021","Finance","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
