"Status","Year","Sex","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Clackmannanshire and Fife","Scotland","680","610","27840","27570"
"In post","2021","Female","Conwy and Denbighshire","Wales","450","410","34420","30210"
"In post","2021","Female","Cornwall and Isles of Scilly","South West (England)","920","800","26230","26590"
"In post","2021","Female","Coventry","West Midlands (England)","1460","1350","35630","31000"
"In post","2021","Female","Croydon","London","5350","4950","36810","32090"
"In post","2021","Female","Darlington","North East (England)","600","550","34360","30200"
"In post","2021","Female","Derby","East Midlands (England)","650","540","24990","21530"
"In post","2021","Female","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon CC","South West (England)","2710","2360","29700","27570"
"In post","2021","Female","Dorset CC","South West (England)","950","860","27860","26670"
"In post","2021","Female","Dudley","West Midlands (England)","810","670","24960","25410"
"In post","2021","Female","Dumfries and Galloway","Scotland","250","220","27880","26530"
"In post","2021","Female","Durham CC","North East (England)","3150","2750","26070","23240"
"In post","2021","Female","Ealing","London","340","310","31640","31060"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","Scotland","510","440","26050","27570"
"In post","2021","Female","East Cumbria","North West (England)","540","470","27230","25010"
"In post","2021","Female","East Derbyshire","East Midlands (England)","280","240","26270","27570"
"In post","2021","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","840","770","27910","26670"
"In post","2021","Female","East Kent","South East (England)","2060","1840","27960","25980"
"In post","2021","Female","East Lancashire","North West (England)","320","280","25540","27570"
"In post","2021","Female","East Lothian and Midlothian","Scotland","70","60","27240","27570"
"In post","2021","Female","East Merseyside","North West (England)","730","630","26930","27570"
"In post","2021","Female","East Riding of Yorkshire","Yorkshire and The Humber","680","620","26540","25570"
"In post","2021","Female","East Surrey","South East (England)","520","480","33020","31880"
"In post","2021","Female","East Sussex CC","South East (England)","1180","1010","26080","26350"
"In post","2021","Female","Enfield","London","240","220","30180","31060"
"In post","2021","Female","Essex Haven Gateway","East of England","570","530","29460","29290"
"In post","2021","Female","Essex Thames Gateway","East of England","690","600","27500","28200"
"In post","2021","Female","Falkirk","Scotland","1150","980","26250","22820"
"In post","2021","Female","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Flintshire and Wrexham","Wales","1090","1000","27130","25200"
"In post","2021","Female","Glasgow City","Scotland","6320","5720","31190","27570"
"In post","2021","Female","Gloucestershire","South West (England)","830","730","28130","27130"
"In post","2021","Female","Greater Manchester North East","North West (England)","740","680","27400","27570"
"In post","2021","Female","Greater Manchester North West","North West (England)","1340","1160","24820","22850"
"In post","2021","Female","Greater Manchester South East","North West (England)","870","770","25440","21920"
"In post","2021","Female","Greater Manchester South West","North West (England)","3090","2830","29920","25570"
"In post","2021","Female","Gwent Valleys","Wales","760","660","27540","27570"
"In post","2021","Female","Gwynedd","Wales","460","400","24760","21050"
"In post","2021","Female","Hackney and Newham","London","1820","1650","33280","31060"
"In post","2021","Female","Haringey and Islington","London","840","780","30160","31060"
"In post","2021","Female","Harrow and Hillingdon","London","1670","1490","30880","29170"
"In post","2021","Female","Hartlepool and Stockton-on-Tees","North East (England)","870","760","26530","27470"
"In post","2021","Female","Heart of Essex","East of England","640","590","31120","29290"
"In post","2021","Female","Herefordshire, County of","West Midlands (England)","220","200","26490","26670"
"In post","2021","Female","Hertfordshire","East of England","1600","1460","33730","30110"
"In post","2021","Female","Hounslow and Richmond upon Thames","London","1480","1370","31680","30250"
"In post","2021","Female","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","590","510","28080","27570"
"In post","2021","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","600","550","28410","27570"
"In post","2021","Female","Isle of Anglesey","Wales","130","120","26900","26670"
"In post","2021","Female","Isle of Wight","South East (England)","390","350","25840","25790"
"In post","2021","Female","Kensington & Chelsea and Hammersmith & Fulham","London","430","410","31850","31060"
"In post","2021","Female","Kent Thames Gateway","South East (England)","760","700","28550","29290"
"In post","2021","Female","Kingston upon Hull, City of","Yorkshire and The Humber","1090","930","27400","27130"
"In post","2021","Female","Lambeth","London","2590","2410","42350","37460"
"In post","2021","Female","Lancaster and Wyre","North West (England)","600","540","27720","26670"
"In post","2021","Female","Leeds","Yorkshire and The Humber","6130","5600","32610","28200"
"In post","2021","Female","Leicester","East Midlands (England)","1560","1350","26630","24470"
"In post","2021","Female","Leicestershire CC and Rutland","East Midlands (England)","1050","950","27880","25550"
"In post","2021","Female","Lewisham and Southwark","London","810","770","34040","31060"
"In post","2021","Female","Lincolnshire","East Midlands (England)","1450","1320","26730","25600"
"In post","2021","Female","Lisburn and Castlereagh","Northern Ireland","180","170","26820","22580"
"In post","2021","Female","Liverpool","North West (England)","5970","5340","28360","25040"
"In post","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","150","140","27810","27570"
"In post","2021","Female","Luton","East of England","330","300","25600","25260"
"In post","2021","Female","Manchester","North West (England)","4710","4380","33180","28430"
"In post","2021","Female","Medway","South East (England)","780","720","29570","29290"
"In post","2021","Female","Merton, Kingston upon Thames and Sutton","London","400","370","30020","31060"
"In post","2021","Female","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mid Kent","South East (England)","500","460","29710","29290"
"In post","2021","Female","Mid Lancashire","North West (England)","3210","2770","27110","23840"
"In post","2021","Female","Milton Keynes","South East (England)","990","930","30420","27570"
"In post","2021","Female","Monmouthshire and Newport","Wales","3090","2810","31370","28030"
"In post","2021","Female","Na h-Eileanan Siar","Scotland","100","90","24500","21010"
"In post","2021","Female","Newry, Mourne and Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","North and North East Lincolnshire","Yorkshire and The Humber","560","480","25560","25560"
"In post","2021","Female","North and West Norfolk","East of England","410","360","26210","25790"
"In post","2021","Female","North Hampshire","South East (England)","600","560","29400","26870"
"In post","2021","Female","North Lanarkshire","Scotland","1750","1470","25360","21440"
"In post","2021","Female","North Northamptonshire","East Midlands (England)","360","310","25110","26780"
"In post","2021","Female","North Nottinghamshire","East Midlands (England)","520","480","28780","27570"
"In post","2021","Female","North Yorkshire CC","Yorkshire and The Humber","900","830","28900","26700"
"In post","2021","Female","Northumberland","North East (England)","250","220","27710","27570"
"In post","2021","Female","Norwich and East Norfolk","East of England","950","820","28480","27570"
"In post","2021","Female","Nottingham","East Midlands (England)","4430","4020","31160","27570"
"In post","2021","Female","Orkney Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Overseas","1500","1490","49160","46620"
"In post","2021","Female","Oxfordshire","South East (England)","1440","1310","31500","27570"
"In post","2021","Female","Perth and Kinross and Stirling","Scotland","610","560","29630","27570"
"In post","2021","Female","Peterborough","East of England","1030","900","27450","25040"
"In post","2021","Female","Plymouth","South West (England)","1420","1260","29110","27130"
"In post","2021","Female","Portsmouth","South East (England)","1950","1740","29240","26670"
"In post","2021","Female","Powys","Wales","290","270","29690","27570"
"In post","2021","Female","Redbridge and Waltham Forest","London","720","630","28820","30330"
"In post","2021","Female","Sandwell","West Midlands (England)","310","270","26810","27570"
"In post","2021","Female","Scottish Borders","Scotland","260","220","28640","27570"
"In post","2021","Female","Sefton","North West (England)","3520","3060","27950","25560"
"In post","2021","Female","Sheffield","Yorkshire and The Humber","3880","3440","32330","27570"
"In post","2021","Female","Shetland Islands","Scotland","30","30","[c]","[c]"
"In post","2021","Female","Shropshire CC","West Midlands (England)","490","440","27660","26670"
"In post","2021","Female","Solihull","West Midlands (England)","620","550","28490","26160"
"In post","2021","Female","Somerset","South West (England)","1140","1000","29250","27570"
"In post","2021","Female","South and West Derbyshire","East Midlands (England)","670","590","31280","27570"
"In post","2021","Female","South Ayrshire","Scotland","200","180","27800","27570"
"In post","2021","Female","South Hampshire","South East (England)","2070","1740","29850","27570"
"In post","2021","Female","South Lanarkshire","Scotland","2280","1980","29490","25560"
"In post","2021","Female","South Nottinghamshire","East Midlands (England)","380","350","29780","27380"
"In post","2021","Female","South Teesside","North East (England)","750","650","26620","26060"
"In post","2021","Female","South West Wales","Wales","880","800","29690","27570"
"In post","2021","Female","Southampton","South East (England)","710","630","29440","27570"
"In post","2021","Female","Southend-on-Sea","East of England","800","700","30560","29290"
"In post","2021","Female","Staffordshire CC","West Midlands (England)","2090","1920","29320","27380"
"In post","2021","Female","Stoke-on-Trent","West Midlands (England)","830","730","24810","21170"
"In post","2021","Female","Suffolk","East of England","2150","1940","27440","26670"
"In post","2021","Female","Sunderland","North East (England)","3090","2500","24490","21440"
"In post","2021","Female","Swansea","Wales","5380","4550","25580","21590"
"In post","2021","Female","Swindon","South West (England)","290","270","30880","27570"
"In post","2021","Female","Telford and Wrekin","West Midlands (England)","1130","1010","31680","27570"
"In post","2021","Female","Thurrock","East of England","170","150","26650","26830"
"In post","2021","Female","Torbay","South West (England)","220","180","25920","25190"
"In post","2021","Female","Tower Hamlets","London","3580","3410","46080","40600"
"In post","2021","Female","Tyneside","North East (England)","9330","8090","28140","25560"
"In post","2021","Female","Unknown","Unknown","1200","1130","33020","29250"
"In post","2021","Female","Wakefield","Yorkshire and The Humber","880","790","29230","27570"
"In post","2021","Female","Walsall","West Midlands (England)","420","350","25270","26120"
"In post","2021","Female","Wandsworth","London","480","450","30480","30220"
"In post","2021","Female","Warrington","North West (England)","1430","1330","30800","28840"
"In post","2021","Female","Warwickshire","West Midlands (England)","730","640","26400","23420"
"In post","2021","Female","West Cumbria","North West (England)","700","600","26070","24440"
"In post","2021","Female","West Essex","East of England","360","320","30530","29290"
"In post","2021","Female","West Kent","South East (England)","130","120","32890","29290"
"In post","2021","Female","West Lothian","Scotland","310","280","32890","27570"
"In post","2021","Female","West Northamptonshire","East Midlands (England)","680","600","25800","23530"
"In post","2021","Female","West Surrey","South East (England)","1220","1120","31860","29290"
"In post","2021","Female","West Sussex (North East)","South East (England)","650","570","30360","27570"
"In post","2021","Female","West Sussex (South West)","South East (England)","720","630","28900","27570"
"In post","2021","Female","Westminster","London","29620","28450","46860","41970"
"In post","2021","Female","Wiltshire","South West (England)","3640","3400","34080","31780"
"In post","2021","Female","Wirral","North West (England)","1470","1230","25940","25860"
"In post","2021","Female","Wolverhampton","West Midlands (England)","610","510","24640","23840"
"In post","2021","Female","Worcestershire","West Midlands (England)","1200","1100","27750","25520"
"In post","2021","Female","York","Yorkshire and The Humber","1560","1440","35900","31350"
"In post","2021","Male","Aberdeen City and Aberdeenshire","Scotland","940","910","39900","33650"
"In post","2021","Male","Angus and Dundee City","Scotland","740","710","25790","21150"
"In post","2021","Male","Antrim and Newtownabbey","Northern Ireland","140","140","23700","20310"
"In post","2021","Male","Ards and North Down","Northern Ireland","170","170","24940","20310"
"In post","2021","Male","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Barking & Dagenham and Havering","London","210","200","31100","31060"
"In post","2021","Male","Barnet","London","620","600","42610","38520"
"In post","2021","Male","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","1150","1100","28800","27570"
"In post","2021","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","7990","7850","39800","37990"
"In post","2021","Male","Bedford","East of England","370","360","31830","30060"
"In post","2021","Male","Belfast","Northern Ireland","1380","1330","29010","25560"
"In post","2021","Male","Berkshire","South East (England)","1590","1560","35820","33170"
"In post","2021","Male","Bexley and Greenwich","London","840","820","33250","33180"
"In post","2021","Male","Birmingham","West Midlands (England)","5000","4850","32400","27570"
"In post","2021","Male","Blackburn with Darwen","North West (England)","200","190","27180","27570"
"In post","2021","Male","Blackpool","North West (England)","1930","1860","30190","27570"
"In post","2021","Male","Bournemouth and Poole","South West (England)","300","290","26620","27290"
"In post","2021","Male","Bradford","Yorkshire and The Humber","1240","1180","27660","25560"
"In post","2021","Male","Breckland and South Norfolk","East of England","310","300","29020","26810"
"In post","2021","Male","Brent","London","210","200","33300","31060"
"In post","2021","Male","Bridgend and Neath Port Talbot","Wales","210","200","28560","27570"
"In post","2021","Male","Brighton and Hove","South East (England)","230","220","30520","27570"
"In post","2021","Male","Bristol, City of","South West (England)","3090","2960","37550","31860"
"In post","2021","Male","Bromley","London","130","120","29250","31060"
"In post","2021","Male","Buckinghamshire CC","South East (England)","700","680","33710","31810"
"In post","2021","Male","Caithness and Sutherland and Ross and Cromarty","Scotland","100","100","31100","29190"
"In post","2021","Male","Calderdale and Kirklees","Yorkshire and The Humber","360","350","27480","27570"
"In post","2021","Male","Cambridgeshire CC","East of England","1760","1700","34900","31650"
"In post","2021","Male","Camden and City of London","London","1860","1820","40630","36160"
"In post","2021","Male","Cardiff and Vale of Glamorgan","Wales","5560","5380","33710","28850"
"In post","2021","Male","Causeway Coast and Glens","Northern Ireland","60","60","20740","20310"
"In post","2021","Male","Central Bedfordshire","East of England","250","240","31440","29750"
"In post","2021","Male","Central Hampshire","South East (England)","2320","2270","38340","37320"
"In post","2021","Male","Central Valleys","Wales","580","560","38080","31700"
"In post","2021","Male","Cheshire East","North West (England)","290","270","30540","27570"
"In post","2021","Male","Cheshire West and Chester","North West (England)","170","160","25600","23840"
"In post","2021","Male","Chorley and West Lancashire","North West (England)","700","650","30590","28830"
"In post","2021","Male","City of Edinburgh","Scotland","6050","5900","37710","33620"
"In post","2021","Male","Clackmannanshire and Fife","Scotland","670","640","32110","33300"
"In post","2021","Male","Conwy and Denbighshire","Wales","240","220","36310","30600"
"In post","2021","Male","Cornwall and Isles of Scilly","South West (England)","730","700","27040","26670"
"In post","2021","Male","Coventry","West Midlands (England)","970","950","38730","36430"
"In post","2021","Male","Croydon","London","4270","4190","40290","36160"
"In post","2021","Male","Darlington","North East (England)","380","370","37750","36500"
"In post","2021","Male","Derby","East Midlands (England)","370","350","29020","27570"
"In post","2021","Male","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Devon CC","South West (England)","2870","2750","33560","31580"
"In post","2021","Male","Dorset CC","South West (England)","1190","1150","30160","28220"
"In post","2021","Male","Dudley","West Midlands (England)","340","320","25360","26580"
"In post","2021","Male","Dumfries and Galloway","Scotland","320","300","30440","28870"
"In post","2021","Male","Durham CC","North East (England)","2440","2280","28250","26780"
"In post","2021","Male","Ealing","London","180","170","30700","31060"
"In post","2021","Male","East Ayrshire and North Ayrshire mainland","Scotland","450","430","27460","26160"
"In post","2021","Male","East Cumbria","North West (England)","400","390","28160","24920"
"In post","2021","Male","East Derbyshire","East Midlands (England)","110","100","28250","27570"
"In post","2021","Male","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","1580","1540","31950","29420"
"In post","2021","Male","East Kent","South East (England)","2170","2050","28400","27240"
"In post","2021","Male","East Lancashire","North West (England)","160","160","26320","27570"
"In post","2021","Male","East Lothian and Midlothian","Scotland","50","40","[c]","[c]"
"In post","2021","Male","East Merseyside","North West (England)","310","300","29280","27570"
"In post","2021","Male","East Riding of Yorkshire","Yorkshire and The Humber","1210","1160","29820","26930"
"In post","2021","Male","East Surrey","South East (England)","470","460","33880","33880"
"In post","2021","Male","East Sussex CC","South East (England)","820","780","27860","27570"
"In post","2021","Male","Enfield","London","120","120","30030","31060"
"In post","2021","Male","Essex Haven Gateway","East of England","560","540","35250","29670"
"In post","2021","Male","Essex Thames Gateway","East of England","250","240","28100","29290"
"In post","2021","Male","Falkirk","Scotland","660","620","29880","27570"
"In post","2021","Male","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Flintshire and Wrexham","Wales","1060","1030","28500","27460"
"In post","2021","Male","Glasgow City","Scotland","5330","5140","32570","27570"
"In post","2021","Male","Gloucestershire","South West (England)","570","530","30890","27570"
"In post","2021","Male","Greater Manchester North East","North West (England)","470","450","27940","27570"
"In post","2021","Male","Greater Manchester North West","North West (England)","650","620","26330","26780"
"In post","2021","Male","Greater Manchester South East","North West (England)","520","500","25950","24300"
"In post","2021","Male","Greater Manchester South West","North West (England)","3050","2960","31070","27570"
"In post","2021","Male","Gwent Valleys","Wales","330","320","30230","27570"
"In post","2021","Male","Gwynedd","Wales","290","280","25630","23600"
"In post","2021","Male","Hackney and Newham","London","1220","1180","36550","31880"
"In post","2021","Male","Haringey and Islington","London","670","650","32310","31540"
"In post","2021","Male","Harrow and Hillingdon","London","1730","1590","31460","29410"
"In post","2021","Male","Hartlepool and Stockton-on-Tees","North East (England)","680","650","28150","27570"
"In post","2021","Male","Heart of Essex","East of England","480","460","33150","30680"
"In post","2021","Male","Herefordshire, County of","West Midlands (England)","220","220","29320","26930"
"In post","2021","Male","Hertfordshire","East of England","1120","1100","36280","31880"
"In post","2021","Male","Hounslow and Richmond upon Thames","London","1380","1330","33640","31870"
"In post","2021","Male","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","460","430","31640","27570"
"In post","2021","Male","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","540","520","29850","27570"
"In post","2021","Male","Isle of Anglesey","Wales","120","120","28520","26800"
"In post","2021","Male","Isle of Wight","South East (England)","510","480","28820","27380"
"In post","2021","Male","Kensington & Chelsea and Hammersmith & Fulham","London","420","410","33470","32680"
"In post","2021","Male","Kent Thames Gateway","South East (England)","850","820","31590","31650"
"In post","2021","Male","Kingston upon Hull, City of","Yorkshire and The Humber","920","870","28690","27370"
"In post","2021","Male","Lambeth","London","1790","1730","45540","40170"
"In post","2021","Male","Lancaster and Wyre","North West (England)","450","440","29660","26930"
"In post","2021","Male","Leeds","Yorkshire and The Humber","5290","5140","33700","28970"
"In post","2021","Male","Leicester","East Midlands (England)","1060","1010","27190","26440"
"In post","2021","Male","Leicestershire CC and Rutland","East Midlands (England)","970","950","30410","27380"
"In post","2021","Male","Lewisham and Southwark","London","580","560","33550","31060"
"In post","2021","Male","Lincolnshire","East Midlands (England)","1380","1340","29580","27570"
"In post","2021","Male","Lisburn and Castlereagh","Northern Ireland","220","210","28150","24970"
"In post","2021","Male","Liverpool","North West (England)","4270","4120","30120","25560"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","180","170","28970","27150"
"In post","2021","Male","Luton","East of England","220","190","27310","27370"
"In post","2021","Male","Manchester","North West (England)","4280","4150","34440","30990"
"In post","2021","Male","Medway","South East (England)","640","620","32860","30400"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","London","250","250","32870","31060"
"In post","2021","Male","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","South East (England)","380","370","31030","29290"
"In post","2021","Male","Mid Lancashire","North West (England)","2400","2260","27920","25560"
"In post","2021","Male","Milton Keynes","South East (England)","1220","1190","34090","31800"
"In post","2021","Male","Monmouthshire and Newport","Wales","2490","2420","36810","32820"
"In post","2021","Male","Na h-Eileanan Siar","Scotland","80","70","27570","27570"
"In post","2021","Male","Newry, Mourne and Down","Northern Ireland","60","60","21140","20310"
"In post","2021","Male","North and North East Lincolnshire","Yorkshire and The Humber","260","250","26290","26700"
"In post","2021","Male","North and West Norfolk","East of England","520","500","29450","27570"
"In post","2021","Male","North Hampshire","South East (England)","420","410","37610","32060"
"In post","2021","Male","North Lanarkshire","Scotland","1050","980","27540","25560"
"In post","2021","Male","North Northamptonshire","East Midlands (England)","150","150","26800","27570"
"In post","2021","Male","North Nottinghamshire","East Midlands (England)","470","450","29060","27380"
"In post","2021","Male","North Yorkshire CC","Yorkshire and The Humber","1030","1000","30220","27570"
"In post","2021","Male","Northumberland","North East (England)","140","140","29420","27570"
"In post","2021","Male","Norwich and East Norfolk","East of England","840","810","30800","27570"
"In post","2021","Male","Nottingham","East Midlands (England)","3530","3410","32550","28130"
"In post","2021","Male","Orkney Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Overseas","2260","2250","50540","50430"
"In post","2021","Male","Oxfordshire","South East (England)","1300","1270","32850","30400"
"In post","2021","Male","Perth and Kinross and Stirling","Scotland","750","710","32050","31040"
"In post","2021","Male","Peterborough","East of England","640","600","29350","27130"
"In post","2021","Male","Plymouth","South West (England)","1680","1630","32880","30640"
"In post","2021","Male","Portsmouth","South East (England)","1960","1900","31940","28130"
"In post","2021","Male","Powys","Wales","260","250","28380","26670"
"In post","2021","Male","Redbridge and Waltham Forest","London","340","330","29360","31060"
"In post","2021","Male","Sandwell","West Midlands (England)","140","130","27970","27570"
"In post","2021","Male","Scottish Borders","Scotland","220","220","30380","27570"
"In post","2021","Male","Sefton","North West (England)","2540","2440","30500","26920"
"In post","2021","Male","Sheffield","Yorkshire and The Humber","3060","2960","34320","30200"
"In post","2021","Male","Shetland Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Shropshire CC","West Midlands (England)","680","670","30110","29670"
"In post","2021","Male","Solihull","West Midlands (England)","480","470","29450","27370"
"In post","2021","Male","Somerset","South West (England)","1220","1180","32550","32160"
"In post","2021","Male","South and West Derbyshire","East Midlands (England)","490","460","35010","31650"
"In post","2021","Male","South Ayrshire","Scotland","120","110","28270","27570"
"In post","2021","Male","South Hampshire","South East (England)","1980","1770","30180","27570"
"In post","2021","Male","South Lanarkshire","Scotland","1420","1340","31520","26120"
"In post","2021","Male","South Nottinghamshire","East Midlands (England)","400","380","31190","28220"
"In post","2021","Male","South Teesside","North East (England)","370","360","25980","24890"
"In post","2021","Male","South West Wales","Wales","590","560","31030","27570"
"In post","2021","Male","Southampton","South East (England)","570","550","37030","31040"
"In post","2021","Male","Southend-on-Sea","East of England","540","510","34350","31810"
"In post","2021","Male","Staffordshire CC","West Midlands (England)","1880","1820","30510","27570"
"In post","2021","Male","Stoke-on-Trent","West Midlands (England)","410","390","25950","23200"
"In post","2021","Male","Suffolk","East of England","2020","1970","30040","27830"
"In post","2021","Male","Sunderland","North East (England)","1340","1250","26430","25560"
"In post","2021","Male","Swansea","Wales","3690","3530","29800","26350"
"In post","2021","Male","Swindon","South West (England)","180","170","34670","27570"
"In post","2021","Male","Telford and Wrekin","West Midlands (England)","800","770","35680","31810"
"In post","2021","Male","Thurrock","East of England","200","190","26160","25310"
"In post","2021","Male","Torbay","South West (England)","110","110","25850","27570"
"In post","2021","Male","Tower Hamlets","London","3300","3240","50850","47980"
"In post","2021","Male","Tyneside","North East (England)","7210","6930","30490","26470"
"In post","2021","Male","Unknown","Unknown","2530","2510","36930","32700"
"In post","2021","Male","Wakefield","Yorkshire and The Humber","800","750","31400","31650"
"In post","2021","Male","Walsall","West Midlands (England)","190","170","24710","26120"
"In post","2021","Male","Wandsworth","London","480","470","33660","33260"
"In post","2021","Male","Warrington","North West (England)","1260","1230","34480","32770"
"In post","2021","Male","Warwickshire","West Midlands (England)","570","540","27360","25710"
"In post","2021","Male","West Cumbria","North West (England)","500","490","31350","27570"
"In post","2021","Male","West Essex","East of England","340","300","30260","27370"
"In post","2021","Male","West Kent","South East (England)","270","260","38140","37320"
"In post","2021","Male","West Lothian","Scotland","200","200","32460","27570"
"In post","2021","Male","West Northamptonshire","East Midlands (England)","420","410","27550","25400"
"In post","2021","Male","West Surrey","South East (England)","890","870","34120","30780"
"In post","2021","Male","West Sussex (North East)","South East (England)","590","530","31130","28350"
"In post","2021","Male","West Sussex (South West)","South East (England)","600","560","31660","28130"
"In post","2021","Male","Westminster","London","26060","25800","49460","45200"
"In post","2021","Male","Wiltshire","South West (England)","3840","3770","38410","37320"
"In post","2021","Male","Wirral","North West (England)","680","640","26870","27130"
"In post","2021","Male","Wolverhampton","West Midlands (England)","280","260","25760","27570"
"In post","2021","Male","Worcestershire","West Midlands (England)","1050","1030","29850","27570"
"In post","2021","Male","York","Yorkshire and The Humber","1230","1200","36560","32160"
"In post","2021","Unknown","Monmouthshire and Newport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","Female","Aberdeen City and Aberdeenshire","Scotland","970","880","32990","27940"
"In post","2022","Female","Angus and Dundee City","Scotland","1280","1170","27460","26110"
"In post","2022","Female","Antrim and Newtownabbey","Northern Ireland","70","60","29400","22500"
"In post","2022","Female","Ards and North Down","Northern Ireland","70","60","30480","25790"
"In post","2022","Female","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Barking & Dagenham and Havering","London","440","390","31330","31060"
"In post","2022","Female","Barnet","London","1140","1040","38240","32330"
"In post","2022","Female","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","1930","1670","26760","26610"
